,0
0,17.74063
1,10.726391
2,9.626853
3,8.998223
4,7.6642427
5,7.0776978
6,6.5345693
7,5.3968205
8,5.7962523
9,4.325618
10,5.155504
11,3.533136
12,4.4470468
13,3.2688653
14,3.8106825
15,3.147407
16,3.4409924
17,2.8483193
18,3.2893703
19,2.688141
20,2.9719226
21,2.808081
22,2.8021727
23,2.6669261
24,2.726015
25,2.6301494
26,2.498749
27,2.6739347
28,2.5136223
29,2.4740396
30,2.737453
31,2.5925136
32,2.5112844
33,2.6865394
34,2.6432283
35,2.406447
36,2.8151536
37,2.4638515
38,2.6664162
39,2.740543
40,2.9011712
41,2.6109412
42,3.1003127
43,2.8050103
44,2.963604
45,3.078611
46,3.2348135
47,2.966377
48,3.472811
49,3.2742248
50,3.3332593
51,3.4682255
52,3.6000469
53,3.5058687
54,3.7085426
55,3.8917375
56,3.615039
57,4.214377
58,3.767969
59,4.139875
60,4.025066
61,4.3946824
62,3.9938984
63,4.6351094
64,4.220771
65,4.520323
66,4.499235
67,4.7290244
68,4.400517
69,4.8842525
70,4.7584267
71,4.7051864
72,5.1020207
73,4.960827
74,4.9497404
75,5.2985597
76,4.9492626
77,5.165146
78,5.39326
79,4.8714905
80,5.394849
81,5.3577943
82,4.97912
83,5.451157
84,4.874604
85,5.586112
86,4.961178
87,5.081082
88,5.4711237
89,4.652297
90,5.235005
91,4.894114
92,4.8643293
93,4.998979
94,4.7700787
95,4.8559823
96,4.316365
97,5.027452
98,4.5664296
99,4.051322
100,4.3330894
101,4.4544334
102,3.5620768
103,3.9358099
104,3.5214477
105,3.40905
106,3.306305
107,2.8367798
108,2.6994936
109,2.8080971
110,2.6934087
111,2.1689982
112,2.4679284
113,2.316879
114,2.0228367
115,2.3914068
116,2.1613824
117,1.7324897
118,2.3940558
119,1.7301633
120,2.1654406
121,1.7677432
122,1.7624269
123,1.8251917
124,1.8316945
125,1.895072
126,1.8152306
127,1.5366594
128,1.7673173
129,1.5814716
130,1.5896053
131,1.9162765
132,1.3061383
133,1.5687528
134,1.4529974
135,1.7240733
136,1.3493087
137,1.5968324
138,1.3763222
139,1.321216
140,1.7069556
141,1.4954151
142,1.400102
143,1.217612
144,1.3948891
145,1.4360007
146,1.1729674
147,1.6267443
148,1.0673879
149,1.700187
150,0.9570328
151,1.6951267
152,1.0307698
153,1.4250184
154,1.2223003
155,1.2356591
156,1.2841642
157,1.393133
158,0.9864907
159,1.5203497
160,1.0459286
161,1.4360948
162,1.0049534
163,1.4502428
164,1.1367279
165,1.351464
166,1.2382469
167,1.2587395
168,1.0857217
169,1.332781
170,1.0778915
171,1.2282531
172,0.9803543
173,1.2685763
174,1.1714873
175,1.2582498
176,0.9780343
177,1.2476337
178,0.8290931
179,1.489643
180,0.8470927
181,1.3131008
182,0.9590596
183,1.0684772
184,1.1164988
185,1.069923
186,0.9740754
187,1.1768715
188,1.0507241
189,1.0100584
190,1.0633817
191,1.1449976
192,0.76504195
193,1.264854
194,0.8163182
195,1.0827806
196,1.1095303
197,1.0570265
198,1.0155795
199,1.1866118
200,0.85447633
201,1.1606925
202,1.076344
203,0.8531354
204,1.2994901
205,0.7151962
206,1.1960727
207,0.9862955
208,1.0708482
209,0.90047306
210,1.1375399
211,1.0077338
212,1.1943967
213,0.9763002
214,0.9648742
215,1.0606023
216,1.0604795
217,1.1346073
218,1.0505531
219,0.983308
220,1.1250091
221,0.99921024
222,1.0741644
223,1.1763657
224,0.95310634
225,1.1428117
226,0.9216588
227,1.1508217
228,1.1220012
229,0.9914415
230,1.1103464
231,1.0254879
232,1.0436509
233,1.0992978
234,1.1006162
235,1.1499978
236,1.1650193
237,0.89520824
238,1.2869484
239,1.0438383
240,1.2187597
241,1.1245884
242,0.9994051
243,1.1356823
244,1.166548
245,1.1072706
246,1.0859702
247,1.1247143
248,1.1371534
249,1.0837721
250,1.183381
251,1.1405439
252,1.0568815
253,1.1770486
254,1.0316718
255,1.0958426
256,1.3126347
257,0.9016776
258,1.164756
259,1.127719
260,0.91220343
261,1.291733
262,1.1221639
263,0.94580615
264,1.2483605
265,0.97996634
266,1.1527054
267,1.0951641
268,1.071559
269,1.1160579
270,1.2275428
271,0.9569322
272,1.2615901
273,1.0759828
274,1.1516045
275,1.2048594
276,0.8517658
277,1.1627138
278,0.9813336
279,1.31568
280,0.9291584
281,1.3282369
282,0.9813896
283,0.95871997
284,1.0219415
285,1.1399549
286,0.9138385
287,1.1987754
288,1.0980505
289,1.2381821
290,0.9067731
291,1.1677177
292,0.9603613
293,1.3643909
294,0.8694481
295,1.1582427
296,0.8053678
297,1.3398753
298,0.8961948
299,1.3553711
300,0.7533529
301,1.2608802
302,0.8766631
303,1.2230805
304,1.018426
305,0.9346312
306,1.1643261
307,0.8097853
308,1.0800544
309,0.9554255
310,1.1293153
311,0.9155382
312,1.1922737
313,0.9327655
314,1.219209
315,0.9884435
316,0.9862735
317,1.1360475
318,0.8721876
319,1.1793864
320,1.0721252
321,0.75345546
322,1.3934745
323,0.81040025
324,1.2677258
325,1.0116107
326,1.0971953
327,1.160427
328,1.0431681
329,1.0598996
330,0.9692619
331,1.2324457
332,0.85900396
333,1.2011883
334,1.0689852
335,1.0385127
336,1.0229204
337,1.2383027
338,0.82825565
339,1.254733
340,0.93862325
341,1.0381001
342,1.109448
343,0.924456
344,0.9674975
345,1.1174965
346,0.9381496
347,1.0613725
348,1.0349636
349,0.9626582
350,1.0739534
351,0.9061871
352,0.91620433
353,1.0503057
354,0.9705026
355,0.94418305
356,1.0301638
357,0.88376594
358,0.9863422
359,0.9258617
360,0.8842654
361,1.0722822
362,0.66619813
363,1.0672994
364,0.75881577
365,1.0179149
366,0.93930566
367,0.8072798
368,0.939332
369,0.76015264
370,1.0083418
371,0.8654584
372,0.8199134
373,0.88977087
