,0
0,-0.0
1,-0.0
2,1.918468e-36
3,3.812734e-32
4,2.1857875e-29
5,-1.7435139e-26
6,5.8999593e-27
7,-2.6541665e-24
8,9.114528e-24
9,-2.643727e-22
10,1.1667586e-22
11,-1.5984112e-21
12,3.7566246e-21
13,1.423184e-19
14,1.6334355e-20
15,4.2332534e-19
16,1.3380786e-18
17,-2.764725e-18
18,1.5124841e-18
19,-1.6224096e-17
20,-1.0796185e-17
21,-3.5325807e-17
22,3.2529579e-18
23,-1.7694045e-17
24,1.1355762e-18
25,-6.58104e-18
26,4.7693704e-19
27,-7.681896e-18
28,2.480847e-18
29,-1.6191544e-19
30,1.006159e-17
31,-9.087607e-19
32,8.894892e-19
33,-2.560404e-19
34,7.2181734e-19
35,-1.6033697e-19
36,7.335306e-20
37,1.06528164e-20
38,1.7326917e-19
39,-2.9609501e-19
40,5.750701e-21
41,1.6377968e-19
42,3.791787e-20
43,9.11496e-20
44,1.0186755e-20
45,-5.566822e-21
46,1.4356977e-21
47,-8.45743e-21
48,-7.942131e-21
49,-1.3817293e-21
50,-4.2467572e-20
51,-2.6287418e-22
52,-6.112672e-21
53,-1.2685721e-23
54,-5.4546806e-21
55,2.8228881e-22
56,1.0317005e-21
57,3.5696158e-22
58,-7.677241e-21
59,6.157439e-22
60,-4.858014e-21
61,2.588481e-21
62,2.6420789e-21
63,-4.949341e-22
64,9.114951e-22
65,-6.2535965e-22
66,-8.029422e-22
67,-1.2299024e-21
68,1.0917033e-22
69,-1.8484435e-21
70,-7.8155047e-22
71,-4.9892663e-22
72,-2.384012e-21
73,3.2546347e-23
74,-2.5648243e-21
75,1.3495066e-21
76,-3.8049016e-21
77,2.3046132e-21
78,-8.169202e-21
79,-1.563937e-21
80,-1.0890376e-20
81,2.1564475e-21
82,-1.2010837e-20
83,-1.6357279e-20
84,1.6706541e-20
85,-1.8506087e-20
86,-1.5554267e-21
87,3.5036847e-22
88,-2.359716e-21
89,3.650747e-21
90,-8.992104e-21
91,-2.6885545e-21
92,1.6328573e-20
93,-2.440541e-23
94,2.0950663e-22
95,-1.4872448e-21
96,-8.085381e-22
97,1.9367925e-22
98,1.3449539e-21
99,1.968178e-21
100,-5.1845277e-22
101,4.5227514e-22
102,1.8337724e-21
103,-9.383805e-24
104,2.6051888e-22
105,-2.7313447e-22
106,1.3177736e-22
107,2.8256886e-21
108,-3.200371e-22
109,2.5033545e-21
110,-1.8750805e-21
111,3.0702146e-20
112,5.093984e-21
113,1.1711935e-20
114,-7.6557416e-21
115,1.2166495e-20
116,3.122218e-20
117,-4.8266522e-20
118,5.2391736e-20
119,1.28997354e-20
120,3.8161247e-20
121,-2.1034377e-21
122,1.1277177e-20
123,7.687565e-21
124,6.1086164e-20
125,-1.0829092e-20
126,3.239123e-20
127,-5.162413e-20
128,-1.013188e-19
129,2.4229234e-19
130,5.522385e-20
131,6.0591605e-19
132,-9.537281e-20
133,3.2280447e-19
134,-8.485072e-20
135,2.7984978e-19
136,4.8753053e-19
137,-4.1056018e-20
138,-2.3034475e-19
139,6.0769067e-19
140,-6.9199364e-20
141,2.5588318e-19
142,6.060729e-20
143,4.4881445e-19
144,-8.0890297e-19
145,-1.1710157e-18
146,-1.7629955e-18
147,2.9049684e-18
148,-4.6263e-18
149,-1.0661483e-18
150,-3.6293596e-19
151,-5.0412423e-18
152,-7.294396e-18
153,-1.2779156e-17
154,-1.952335e-17
155,-4.3837763e-17
156,-2.6980626e-17
157,-7.1087075e-17
158,-1.306221e-17
159,-3.62997e-17
160,-3.016859e-17
161,-4.9279854e-17
162,-2.3479796e-17
163,-2.127855e-16
164,-4.6784452e-17
165,-1.0095126e-16
166,-1.9190785e-16
167,-1.740888e-17
168,-3.6991557e-16
169,-1.8131099e-16
170,-4.5710334e-16
171,-2.4533468e-16
172,-6.3948436e-16
173,-3.4239705e-16
174,-8.63657e-16
175,-9.942643e-16
176,-3.8556342e-16
177,-6.5525553e-16
178,-1.088558e-15
179,-1.0440426e-15
180,-1.2224863e-15
181,-1.7909413e-15
182,-1.0602222e-15
183,5.1572644e-16
184,-3.1005376e-15
185,-8.1983763e-16
186,-4.0898744e-15
187,-4.166408e-16
188,-1.7637569e-15
189,-9.250508e-16
190,-1.263554e-15
191,4.5705385e-15
192,-6.4915684e-16
193,-5.9409286e-15
194,3.2832805e-15
195,7.894565e-15
196,1.5993884e-15
197,1.8592216e-14
198,-3.1413826e-15
199,1.0888355e-14
200,7.934227e-15
201,1.9978089e-14
202,5.0936233e-15
203,1.9811157e-14
204,8.835158e-15
205,9.822874e-14
206,1.0318531e-14
207,6.377215e-14
208,4.7587683e-14
209,1.3991182e-13
210,1.4352919e-13
211,1.4688273e-14
212,7.29309e-14
213,6.191818e-14
214,8.085867e-14
215,1.6791489e-13
216,1.7864212e-13
217,1.2502725e-13
218,1.3931251e-13
219,1.236599e-13
220,1.5977626e-13
221,1.68913e-13
222,1.9583087e-13
223,1.07248276e-13
224,2.8705301e-13
225,1.4917005e-13
226,1.352033e-13
227,1.1376826e-13
228,4.2435805e-14
229,1.1689429e-13
230,7.409339e-14
231,2.396493e-13
232,1.2448435e-13
233,1.3551393e-13
234,1.6442911e-13
235,2.7453604e-13
236,1.8683771e-13
237,1.6417083e-13
238,2.4279716e-13
239,1.9937989e-13
240,1.8981283e-13
241,1.5753456e-13
242,2.5240316e-13
243,2.255955e-13
244,3.9138888e-13
245,1.7418558e-13
246,2.9596388e-13
247,2.82106e-13
248,1.2002453e-13
249,2.3587813e-13
250,1.4203806e-13
251,4.0450515e-13
252,1.9482265e-13
253,2.8966795e-13
254,2.9046494e-13
255,3.3427506e-13
256,2.5186786e-13
257,3.578919e-13
258,1.557369e-13
259,6.769866e-13
260,3.9696664e-13
261,1.9192613e-13
262,3.0047205e-13
263,3.2168327e-13
264,1.3804442e-12
265,5.2716593e-13
266,1.1692241e-12
267,5.9304157e-13
268,2.1325901e-12
269,5.3178707e-13
270,5.397475e-13
271,1.446783e-12
272,5.3863625e-13
273,2.4109976e-12
274,6.9898037e-13
275,2.59019e-12
276,1.4762756e-12
277,4.774208e-12
278,1.915489e-12
279,5.294131e-12
280,2.7911829e-12
281,5.153671e-12
282,2.5788594e-12
283,1.8997531e-12
284,3.4988642e-12
285,2.3312123e-12
286,8.117428e-12
287,4.8929233e-12
288,1.1794495e-11
289,4.136263e-12
290,1.072302e-11
291,5.4314418e-12
292,1.9296374e-11
293,5.0196067e-12
294,1.4340624e-11
295,6.3008375e-12
296,2.6059195e-11
297,1.36725405e-11
298,8.308941e-12
299,1.19870095e-11
300,3.817531e-12
301,1.6709113e-11
302,9.649701e-12
303,1.8921711e-11
304,1.1922665e-11
305,1.3485759e-11
306,1.3021461e-11
307,2.8047235e-11
308,1.44271895e-11
309,1.8588138e-11
310,1.7884921e-11
