,0
0,28.501913
1,27.770243
2,27.178234
3,26.701052
4,26.2532
5,25.949839
6,25.535645
7,25.289257
8,25.110405
9,24.698378
10,24.818796
11,24.253906
12,24.572857
13,23.96146
14,24.171232
15,23.718388
16,23.901703
17,23.570368
18,23.93997
19,23.371101
20,23.705963
21,23.35193
22,23.389238
23,23.328896
24,23.389303
25,23.169327
26,23.240353
27,23.06646
28,23.008293
29,22.928585
30,22.811243
31,22.973345
32,22.779835
33,23.013174
34,22.627312
35,22.870346
36,22.50555
37,22.657745
38,22.451517
39,22.543615
40,22.444162
41,22.491364
42,22.324743
43,22.37868
44,22.173306
45,22.289179
46,22.000116
47,22.230389
48,21.867315
49,22.038893
50,21.794064
51,21.846912
52,21.65117
53,21.738474
54,21.733227
55,21.587744
56,21.591295
57,21.385328
58,21.498512
59,21.365808
60,21.324713
61,21.20433
62,21.184214
63,21.20867
64,21.036999
65,20.886345
66,20.976343
67,20.801607
68,20.759727
69,20.541544
70,20.403196
71,20.510483
72,20.2968
73,20.161446
74,20.091393
75,19.923203
76,19.831182
77,19.686476
78,19.565536
79,19.547922
80,19.291956
81,19.232021
82,18.981354
83,18.752047
84,18.578724
85,18.440289
86,17.947275
87,17.92824
88,17.81028
89,17.489311
90,17.079031
91,16.92218
92,16.8655
93,16.353802
94,16.24587
95,15.962111
96,15.790252
97,15.615315
98,15.594832
99,15.413485
100,15.419782
101,15.102433
102,15.182382
103,15.001458
104,15.0422535
105,15.157344
106,15.008386
107,14.997206
108,14.92973
109,14.952178
110,14.975939
111,14.970945
112,14.975976
113,14.936258
114,15.034927
115,14.81369
116,15.270622
117,14.790561
118,15.115529
119,14.866253
120,15.11157
121,14.763516
122,14.947924
123,14.799948
124,14.9123335
125,15.025657
126,14.8530655
127,15.068243
128,15.075694
129,15.09751
130,15.219104
131,15.0851755
132,15.350617
133,15.271854
134,15.338117
135,15.208192
136,15.3877945
137,15.376481
138,15.3702545
139,15.372762
140,15.390915
141,15.420022
142,15.40006
143,15.671739
144,15.484554
145,15.5032835
146,15.4990225
147,15.522165
148,15.648918
149,15.525608
150,15.71531
151,15.575343
152,15.509038
153,15.466036
154,15.529232
155,15.646236
156,15.450901
157,15.747992
158,15.348106
159,15.793217
160,15.452502
161,15.834623
162,15.635781
163,15.667631
164,15.748734
165,15.761507
166,15.621119
167,15.841382
168,15.518282
169,15.878628
170,15.649024
171,15.591294
172,15.850928
173,15.623329
174,15.850644
175,15.648221
176,15.667303
177,15.833478
178,15.598647
179,15.890741
180,15.678599
181,15.852917
182,15.9032135
183,15.674126
184,15.961608
185,15.732764
186,15.98341
187,15.895753
188,15.953337
189,16.027262
190,15.802527
191,16.005291
192,15.961676
193,15.8573065
194,16.110016
195,15.893031
196,16.011139
197,16.123974
198,15.892059
199,16.121649
200,15.92403
201,16.055285
202,15.913478
203,15.934142
204,16.048357
205,16.02785
206,15.964486
207,16.079422
208,16.002508
209,16.01842
210,15.979756
211,16.063677
212,15.999614
213,16.131624
214,15.885142
215,16.094482
216,16.019165
217,16.094847
218,16.091864
219,15.99543
220,16.114145
221,16.035488
222,16.107624
223,16.126715
224,16.119156
225,16.048487
226,16.007002
227,15.944296
228,16.131184
229,15.87609
230,16.086805
231,16.071646
232,16.004038
233,16.019285
234,15.973217
235,15.969256
236,16.07979
237,15.902758
238,15.901949
239,15.989558
240,15.87338
241,15.966655
242,15.879735
243,15.962838
244,15.935536
245,16.059967
246,15.966754
247,15.817011
248,16.116175
249,15.819244
250,16.029068
251,15.790029
252,15.933028
253,15.83899
254,15.928601
255,15.803265
256,15.879526
257,15.946239
258,15.907194
259,15.976772
260,15.788271
261,15.926215
262,15.805511
263,15.9184885
264,15.855195
265,15.947683
266,15.877173
267,15.969915
268,15.95924
269,16.001608
270,15.962861
271,16.031404
272,16.023024
273,16.04672
274,16.022837
275,16.063131
276,16.040369
277,15.908881
278,16.047876
279,15.936004
280,16.147013
281,16.102922
282,16.14314
283,16.0753
284,16.116272
285,16.067291
286,16.070988
287,16.128984
288,16.194916
289,16.193846
290,16.107908
291,16.178642
292,16.133785
293,16.11261
294,16.211851
295,16.055696
296,16.136164
297,16.13972
298,16.097956
299,16.187574
300,16.070759
301,16.169285
302,16.0112
303,16.06882
304,15.988594
305,15.966137
306,15.925055
307,16.03404
308,16.007778
309,16.119253
310,16.117567
311,16.091663
312,16.072863
313,15.9443655
314,16.113472
315,16.021751
316,16.118538
317,16.01513
318,16.149548
319,16.063293
320,16.186457
321,15.98729
322,16.239302
323,16.040974
324,16.241737
325,16.168428
326,16.238054
327,16.227373
328,16.34748
329,16.36576
330,16.394363
331,16.486628
332,16.453968
333,16.419456
334,16.474844
335,16.328407
336,16.575417
337,16.478348
338,16.475868
339,16.525
340,16.438084
341,16.502329
342,16.40469
343,16.600283
344,16.372223
345,16.503069
346,16.448915
347,16.497063
348,16.471823
349,16.244293
350,16.457651
351,16.317616
352,16.556576
353,16.510054
354,16.584564
355,16.57364
356,16.427599
357,16.583479
358,16.528028
359,16.691168
360,16.838245
361,16.842316
362,16.788628
363,16.879663
364,16.43633
365,16.728598
366,16.394363
367,16.687912
368,16.46709
369,16.700464
370,16.816538
371,16.766605
372,16.818329
373,16.801968
374,16.840439
375,16.912025
376,16.897373
377,16.95322
378,17.071869
379,17.019312
380,16.952763
381,16.82423
382,16.958134
383,16.792791
384,17.054949
385,16.834745
386,17.112022
387,16.923267
388,16.967398
389,16.94117
390,16.993671
391,16.951893
392,17.050194
393,16.824944
394,17.05899
395,16.922308
396,17.096052
397,17.033886
398,17.167597
399,17.066198
400,17.157824
401,17.132206
402,17.20018
403,17.177103
404,17.174599
405,17.193045
406,17.143595
407,17.16831
408,17.219425
409,17.22015
410,17.334215
411,17.27498
412,17.327396
413,17.234303
414,17.26701
415,17.278017
416,17.345934
417,17.294271
418,17.171703
419,17.338028
420,17.349726
421,17.23027
422,17.355087
423,17.256042
424,17.312227
425,17.317932
426,17.252468
427,17.346153
428,17.27734
429,17.32691
430,17.244926
431,17.283188
432,17.309174
433,17.205996
434,17.327631
435,17.17433
436,17.374765
437,17.14778
438,17.386135
439,17.14904
440,17.23749
441,17.111967
442,17.219166
443,17.136644
444,17.152391
445,17.125689
446,17.055214
447,17.021559
448,17.156414
449,16.93963
450,17.159351
451,16.874397
452,17.13001
453,16.83313
454,17.03983
455,16.87861
456,16.986187
457,17.043077
458,16.927265
459,17.06081
460,16.88494
461,17.059359
462,16.820044
463,16.958303
464,16.867205
465,16.865057
466,16.90853
467,16.846516
468,16.762623
469,16.811028
470,16.844759
471,16.767956
472,16.783695
473,16.808666
474,16.758331
475,16.704441
476,16.768682
477,16.703924
478,16.836153
479,16.584293
480,16.708721
481,16.671946
482,16.854956
483,16.593122
484,16.790243
485,16.614054
486,16.81684
487,16.577023
488,16.739332
489,16.60414
490,16.530617
491,16.518545
492,16.606123
493,16.347847
494,16.515682
495,16.53019
496,16.368626
497,16.53665
498,16.459526
499,16.420523
500,16.350065
501,16.179857
502,16.467249
503,16.162289
504,16.342367
505,16.225866
506,16.249136
507,16.372385
508,16.308435
509,16.4005
510,16.164902
511,16.305384
512,16.114206
513,16.189968
514,16.205795
515,16.217945
516,16.212265
517,16.288061
518,15.979767
519,16.319345
520,16.077738
521,16.397202
522,16.143185
523,16.342485
524,16.17083
525,16.28238
526,16.243193
527,16.345482
528,16.282442
529,16.410551
530,16.232822
531,16.284515
532,16.26715
533,16.367853
534,16.297482
535,16.314123
536,16.384533
537,16.260143
538,16.433867
539,16.180717
540,16.443703
541,16.294817
542,16.461466
543,16.325735
544,16.495981
545,16.405128
546,16.356632
547,16.516598
548,16.31268
549,16.485106
550,16.37652
551,16.40662
552,16.434732
553,16.350315
554,16.532932
555,16.460169
556,16.537233
557,16.382605
558,16.435266
559,16.556374
560,16.4327
561,16.491491
562,16.445236
563,16.331564
564,16.505077
565,16.416325
566,16.5833
567,16.401344
568,16.489758
569,16.426105
570,16.409866
571,16.396524
572,16.402948
573,16.492636
574,16.434284
575,16.517086
576,16.277601
577,16.529095
578,16.375837
579,16.456306
580,16.388563
