,0
0,6.1750984
1,5.7246265
2,5.063663
3,4.7082806
4,4.206533
5,3.9351873
6,3.715872
7,3.3689399
8,2.9636338
9,2.7346594
10,2.4585488
11,2.3831463
12,2.0510058
13,1.8152273
14,1.8429829
15,1.82026
16,1.7337644
17,1.3911325
18,1.3493903
19,1.4674541
20,1.3028793
21,1.1714331
22,1.0407231
23,0.96988803
24,1.082475
25,1.0997479
26,0.91523546
27,0.9182098
28,0.98613966
29,0.9887782
30,0.8209691
31,0.91430026
32,0.83479476
33,0.8046487
34,0.8452377
35,0.8662749
36,0.77548957
37,0.7510802
38,0.8057173
39,0.9732262
40,0.8376989
41,0.77846646
42,0.8184887
43,0.8041438
44,0.8715285
45,0.80555034
46,0.8211348
47,0.79820997
48,0.9632447
49,0.7501041
50,0.8817814
51,0.86650926
52,0.86127204
53,0.8591852
54,0.80279166
55,0.9066105
56,0.76923233
57,0.88571
58,0.7707839
59,0.83415484
60,0.80646324
61,0.8033426
62,0.76132554
63,0.96655446
64,0.8109992
65,0.86509943
66,0.7372476
67,0.9167764
68,0.82327265
69,0.8857159
70,0.8129424
71,0.7985306
72,0.856636
73,0.90589494
74,0.95090604
75,0.77883285
76,0.85904497
77,0.9167034
78,0.79138947
79,0.83384824
80,1.0167285
81,0.92325056
82,0.7895434
83,0.8019569
84,1.0126728
85,0.90379936
86,0.75527173
87,0.907319
88,0.90998805
89,0.8284898
90,0.8547435
91,1.028231
92,0.89830476
93,0.8355506
94,0.8774487
95,0.9501978
96,0.82579345
97,0.8078833
98,0.9744311
99,0.85441643
100,0.8420813
101,1.07801
102,0.9717008
103,0.86263067
104,0.9424304
105,0.9715096
106,0.8743937
107,0.82800114
108,0.83355176
109,0.9461783
110,0.87793195
111,0.78394985
112,0.7945974
113,0.83047545
114,0.903242
115,0.76174957
116,0.8737701
117,0.8137518
118,0.79609925
119,0.88293314
120,0.793625
121,0.76705503
122,0.89678735
123,0.778081
124,0.885265
125,0.90660584
126,0.8263145
127,0.8821843
128,0.7471561
129,0.9994656
130,0.8341276
131,0.8067528
132,0.7985337
133,0.8155907
134,0.81086254
135,0.8758134
136,0.8090142
137,0.7416091
138,0.84453946
139,0.74797136
140,0.857634
141,0.81397367
142,0.7882767
143,0.8076465
144,0.7479388
145,0.76830256
146,0.7793472
147,0.7817046
148,0.8257327
149,0.73684907
150,0.73728347
151,0.7610454
152,0.79143584
153,0.7667959
154,0.7161456
155,0.7768421
156,0.70964867
157,0.8028174
158,0.7843092
159,0.6867645
160,0.76852345
161,0.7349315
162,0.74452156
163,0.6823741
164,0.75715303
165,0.7135896
166,0.73567635
167,0.66032165
168,0.76331645
169,0.7014191
170,0.71001625
171,0.78194493
172,0.66078156
173,0.7422152
174,0.64948153
175,0.7122983
176,0.71547705
177,0.65568566
178,0.72789603
179,0.65323615
180,0.7234886
181,0.627182
182,0.7195349
183,0.63223904
184,0.7088309
185,0.72331476
186,0.6399232
187,0.70638156
188,0.7020651
189,0.6379761
190,0.67259586
191,0.7095777
192,0.6393908
193,0.71562636
194,0.6373787
195,0.75016516
196,0.66015077
197,0.6564552
198,0.67860323
199,0.7485413
200,0.67375976
201,0.6331748
202,0.6731926
203,0.74814963
204,0.67845714
205,0.6552818
206,0.6410482
207,0.79866767
208,0.68410796
209,0.64214045
210,0.66320133
211,0.8123139
212,0.65325356
213,0.6483609
214,0.63218236
215,0.7736943
216,0.72817093
217,0.72795856
218,0.6732023
219,0.8124769
220,0.67775387
221,0.7382037
222,0.71747774
223,0.637536
224,0.79915464
225,0.6729536
226,0.670897
227,0.7200653
228,0.65102357
229,0.7410951
230,0.732147
231,0.671638
232,0.75738955
233,0.6666858
234,0.72032136
235,0.68125415
236,0.6930174
237,0.64637727
238,0.7242879
239,0.8113352
240,0.69911814
241,0.69464505
242,0.73535115
243,0.6655967
244,0.64699787
245,0.74734366
246,0.7325771
247,0.7139462
248,0.7285654
249,0.7367163
250,0.78174317
251,0.78268504
252,0.67755467
253,0.66859597
254,0.7543022
255,0.78160506
256,0.6793866
257,0.7441393
258,0.73704445
259,0.623852
260,0.6533277
261,0.836695
262,0.67525184
263,0.7506626
264,0.7483275
265,0.68732774
266,0.74212724
267,0.73479456
268,0.6653324
269,0.72802967
270,0.7523191
271,0.7160567
272,0.7269861
273,0.79075336
274,0.69094324
275,0.7186089
276,0.7177165
277,0.7403825
278,0.7425317
279,0.7044438
280,0.84143925
281,0.7919712
282,0.70597
283,0.7470733
284,0.74959403
285,0.73832005
286,0.72779834
287,0.8158859
288,0.71531856
289,0.7545172
290,0.77544385
291,0.7589362
292,0.76709926
293,0.7761359
294,0.74979246
295,0.7405663
296,0.7607854
297,0.7693478
298,0.7286835
299,0.7339759
300,0.76682603
301,0.762653
302,0.7234621
303,0.75096667
304,0.7719979
305,0.78548825
306,0.73186094
307,0.7567423
308,0.74651885
309,0.75996447
310,0.7844604
311,0.7246936
312,0.79163104
313,0.7962379
314,0.7262581
315,0.8157267
316,0.74231315
317,0.78340715
318,0.7967498
319,0.698906
320,0.69259524
321,0.7466537
322,0.808371
323,0.75013447
324,0.7657597
325,0.7652975
326,0.7502744
327,0.81465477
328,0.7029005
329,0.81488514
330,0.69940525
331,0.8375121
332,0.6224492
333,0.7107457
334,0.9373882
335,0.6473224
336,0.71019304
337,0.9411497
338,0.6529658
339,0.71076596
340,0.9477346
341,0.63763267
342,0.7231957
343,0.9278512
344,0.64546764
345,0.68080735
346,0.91853476
347,0.6381815
348,0.7399518
349,0.9082489
350,0.69888455
351,0.67439723
352,0.86109126
353,0.64705247
354,0.65062416
355,0.8930734
356,0.6869266
357,0.6485482
358,0.8045211
359,0.6569016
360,0.64757454
361,0.7768296
362,0.6294574
363,0.61539316
364,0.6437279
365,0.77921426
366,0.6554277
367,0.66502964
368,0.6663413
369,0.6907441
370,0.597494
371,0.67020977
372,0.63263834
373,0.6895807
374,0.6110175
375,0.59555906
376,0.65195507
377,0.56796604
378,0.6212572
379,0.6836292
380,0.5879502
381,0.55688375
382,0.59553546
383,0.5456531
384,0.7260674
385,0.5573084
386,0.6984946
387,0.5690935
388,0.68938756
389,0.605361
390,0.68370944
391,0.61144364
392,0.66454834
393,0.59048104
394,0.6676352
395,0.6743199
396,0.6486125
397,0.63354975
398,0.66907865
399,0.7044309
400,0.6183751
401,0.7521007
402,0.6802915
403,0.6883314
404,0.61324525
405,0.6114925
406,0.63738453
407,0.7345721
408,0.68330663
409,0.6629859
410,0.622913
411,0.61836225
412,0.5968307
413,0.7423686
414,0.65233564
415,0.58510166
416,0.67322046
417,0.7061397
418,0.68132
419,0.6839087
420,0.5763893
421,0.59148955
422,0.611774
423,0.64192736
424,0.7850051
425,0.7134411
426,0.6570973
427,0.6220131
428,0.6060385
429,0.7592781
430,0.66534007
431,0.59151214
432,0.7046432
433,0.6185868
434,0.6692642
435,0.6349443
436,0.62002766
437,0.6793853
438,0.6336196
439,0.6649201
440,0.63238305
441,0.70056474
442,0.6178716
443,0.6153537
444,0.70098966
445,0.6086624
446,0.6591497
447,0.68523955
448,0.62125206
449,0.7198493
450,0.60374033
451,0.5364072
452,0.6585735
453,0.6734685
454,0.61235374
455,0.55105996
456,0.57586825
457,0.5653408
458,0.564762
459,0.7396068
460,0.6258415
461,0.66167486
462,0.68235314
463,0.6145753
464,0.72590864
465,0.6081338
466,0.73696095
467,0.6108235
468,0.6410368
469,0.7623296
470,0.63705236
471,0.6707812
472,0.7741542
473,0.7105788
474,0.7570071
475,0.7481348
476,0.7741192
477,0.77607137
478,0.77268964
479,0.7500193
480,0.779036
481,0.7653208
482,0.85131085
483,0.8594745
484,0.8245121
485,0.8350147
486,0.81958973
487,0.8140493
488,0.8149333
489,0.83132315
490,0.9288803
491,0.8577386
492,0.8714501
493,0.87602705
494,0.84986717
495,0.8956335
496,0.94271547
497,0.9200019
498,0.90255994
499,0.8996324
500,0.8922864
501,0.9035261
502,0.9598489
503,0.90472823
504,0.9189408
505,0.92240924
506,0.9654067
507,0.9787948
508,0.932197
509,0.9439173
510,0.94171536
511,0.970381
512,0.95244634
513,0.9268198
514,0.95925534
515,0.96610224
516,0.93329287
517,0.95673877
518,0.9950415
519,0.9731056
520,0.92791665
521,0.99111354
522,0.9687169
523,0.9377612
524,0.9502156
525,0.9585484
526,0.92618126
527,0.9179951
528,0.97116953
529,0.9507074
530,0.9153007
531,0.94611734
532,0.88910794
533,0.945505
534,0.92990446
535,0.89215934
536,0.9199524
537,0.89920616
538,0.8933558
539,0.899132
540,0.91797054
541,0.9003944
542,0.8763479
543,0.89956033
544,0.852702
545,0.8849058
546,0.8915957
547,0.8252474
548,0.87146664
549,0.8488893
550,0.8088792
551,0.8516057
552,0.8268127
553,0.76704764
554,0.8350024
555,0.8393681
556,0.76541257
557,0.8425303
558,0.8095485
559,0.7700406
560,0.8179816
561,0.8503781
562,0.7426267
563,0.8056255
564,0.8151418
565,0.7303846
566,0.83033675
567,0.8227795
568,0.7157012
569,0.82391375
570,0.8074063
571,0.7171675
572,0.8144378
573,0.7649406
574,0.7684911
575,0.76748836
576,0.7219679
577,0.7286694
578,0.7547915
579,0.75167215
580,0.69730556
581,0.78912634
582,0.72040105
583,0.7739502
584,0.7746063
585,0.69688916
586,0.7901843
587,0.73098165
588,0.7553391
589,0.79212767
590,0.65801567
591,0.84087104
592,0.7243152
593,0.6936785
594,0.8006467
595,0.6769828
596,0.7612242
597,0.76327765
598,0.6923391
599,0.7587159
600,0.69147074
601,0.6421447
602,0.7327174
603,0.66896504
604,0.7628215
605,0.7039268
606,0.7219455
607,0.7214853
608,0.66179574
609,0.8123385
610,0.72836417
611,0.6970505
612,0.7575376
613,0.68665326
614,0.7357638
615,0.75607663
616,0.7017503
617,0.6480105
618,0.716153
619,0.6406738
620,0.8977958
621,0.70375305
622,0.7137104
623,0.75180876
624,0.8393233
625,0.6815705
626,0.67835176
627,0.80467784
628,0.70453584
629,0.7360046
630,0.86348224
631,0.6344449
632,0.71875536
633,0.82317907
634,0.6565248
635,0.7442754
636,0.90984565
637,0.6173795
638,0.65205836
639,0.7897766
640,0.83823115
641,0.66706586
642,0.76446164
643,0.85639274
644,0.656363
645,0.66450244
646,0.86866176
647,0.6843325
648,0.715365
649,0.6690005
650,0.8158636
651,0.64170194
652,0.65518504
653,0.78463984
654,0.82394505
655,0.7243092
656,0.6299241
657,0.8007083
658,0.65806097
659,0.69144577
660,0.6596284
661,0.8159895
662,0.65233696
663,0.5774349
664,0.5899392
665,0.7779044
666,0.81086445
667,0.7667039
668,0.7446524
669,0.6529573
670,0.7045794
671,0.69142795
672,0.7533416
673,0.7201121
674,0.6716003
675,0.61976755
676,0.76171744
677,0.6676805
678,0.6758389
679,0.8321777
680,0.6978504
681,0.9066119
682,0.6412606
683,0.9025668
684,0.75088733
685,0.6514999
686,0.72765875
687,0.6695858
688,0.62423885
689,0.8431862
690,0.6021659
691,0.7566161
692,0.6125099
693,0.82918555
694,0.70568085
695,0.6263666
696,0.7974403
697,0.6930194
698,0.6845429
699,0.78383094
700,0.734928
701,0.67981714
702,0.61988217
703,0.75565886
704,0.6650527
705,0.6396562
706,0.8038975
707,0.6586793
708,0.6629056
709,0.77369416
710,0.62426573
711,0.78362435
712,0.7416955
713,0.7774119
714,0.7253897
715,0.7273937
716,0.77958035
717,0.7915049
718,0.77548397
719,0.70483243
720,0.70918614
721,0.6553341
722,0.7655628
723,0.74340403
724,0.7282685
725,0.7338649
726,0.7707996
727,0.81762326
728,0.75025153
729,0.7783308
730,0.8039913
731,0.99473256
732,0.70492804
733,0.66049296
734,0.7009263
735,0.69996685
736,0.6636183
737,0.6310092
738,0.64430815
739,0.63709617
740,0.64980334
741,1.1706873
742,0.6686497
743,0.688804
744,0.7270911
745,1.1927674
746,0.65805465
747,0.72589
748,0.67895675
749,1.2723666
750,0.76068604
751,1.2131757
752,0.74385166
753,1.1514524
754,0.72346026
755,0.72490406
756,1.0982307
757,0.79247135
758,0.9755488
759,0.8506295
760,0.7735318
761,0.7120873
762,0.7049944
763,1.0402089
764,0.8382133
765,0.74784654
766,0.811101
767,0.861642
768,0.8132106
769,0.73972297
770,0.81472975
771,0.7938164
772,0.77391714
773,0.7875726
774,0.79483783
775,0.88285536
776,0.75576115
777,0.79298985
778,0.82085824
779,0.7371979
780,0.8625839
781,0.7878811
782,0.7017532
783,0.7327124
784,0.7667465
785,0.7450228
786,0.8045371
787,0.7854477
788,0.70737
789,0.7676384
790,0.75724685
791,0.72891706
792,0.8034077
793,0.78010774
794,0.7367554
795,0.78801924
796,0.77309555
797,0.78642577
798,0.7458931
799,0.7683948
800,0.8368907
801,0.7654731
802,0.78086954
803,0.71874815
804,0.8386116
805,0.80052984
806,0.8196062
807,0.81207716
808,0.8093383
809,0.8653245
810,0.82854617
811,0.84064686
812,0.85487765
813,0.88378054
814,0.89469814
815,0.94940674
816,0.9195993
817,0.9319382
818,0.9200661
819,1.0652539
820,0.92681926
821,0.9720135
822,1.0484096
823,1.0381335
824,1.1284668
825,0.9835006
826,1.0585119
827,1.0829968
828,0.8947136
829,0.8743066
830,1.2200334
831,0.7069997
832,0.99216336
833,0.5782581
834,0.5546518
835,0.5200342
836,0.5681944
837,0.69914454
838,0.6180185
839,0.55111414
840,0.53413135
841,0.69040287
842,0.60239756
843,0.54168904
844,0.52382535
845,0.7181267
846,0.5858382
847,0.5341916
848,0.55602866
849,0.7039448
850,0.6202709
851,0.5565467
852,0.58946085
853,0.7553926
854,0.62454265
855,0.60784286
856,0.56048334
857,0.6074516
858,0.61711586
859,0.6163532
860,0.562276
861,0.525726
862,0.6744512
863,0.54834986
864,0.5683416
865,0.5140048
866,0.57181865
867,0.7749016
868,0.5818334
869,0.51536465
870,0.5521404
871,0.7849676
872,0.67523277
873,0.57289755
874,0.50195885
875,0.51288855
876,0.54434365
877,0.7462696
878,0.5835466
879,0.51051813
880,0.7322703
881,0.65388006
882,0.5296638
883,0.51743805
884,0.5142699
885,0.6836663
886,0.57611173
887,0.52985966
888,0.59232575
889,0.49601132
890,0.49006823
891,0.8097146
892,0.6557358
893,0.53933054
894,0.63698554
895,0.5835151
896,0.6013
897,0.4981803
898,0.8096752
899,0.6130522
900,0.58254987
901,0.6579228
902,0.52926785
903,0.63976705
904,0.62665784
905,0.7035668
906,0.5756496
907,0.56692415
908,0.5642652
909,0.83064
910,0.7760623
911,0.7180587
912,0.64695597
913,0.6502376
914,0.646871
915,0.78014517
916,0.67528754
917,0.67837065
918,0.7281787
919,0.7512853
920,0.751981
921,0.73149705
922,0.71636057
923,0.72422904
924,0.7491202
925,0.741014
926,0.7412115
927,0.8138756
928,0.82581335
929,0.77308285
930,0.8060438
931,0.79895985
932,0.7875819
933,0.8149143
934,0.8225195
935,0.8155086
936,0.83197474
937,0.8373882
938,0.8263587
939,0.838682
940,0.8614331
941,0.85094446
942,0.85203826
943,0.8564725
944,0.85293525
945,0.86162543
946,0.87887
947,0.8740533
948,0.88053054
949,0.875696
950,0.8600773
951,0.91638076
952,0.8992844
953,0.90607387
954,0.89583504
955,0.8867019
956,0.89758027
957,0.9151102
958,0.93461806
959,0.9132306
960,0.9172532
961,0.9025685
962,0.9100334
963,0.91038895
964,0.92257524
965,0.8915249
966,0.89215285
967,0.8958501
968,0.89317584
969,0.89467055
970,0.85357004
971,0.8717592
972,0.80281633
973,0.77300614
974,0.8870408
975,0.891935
976,0.80824935
977,0.78449345
978,0.90343034
979,0.7963923
980,0.7358111
981,0.7673681
982,0.70720017
983,0.8687674
984,0.8411627
985,0.7050142
986,0.8761313
987,0.8680326
988,0.754189
989,0.77713346
990,0.8965339
991,0.7968766
992,0.74727947
993,0.8054007
994,0.787779
995,0.7500383
996,0.8189957
997,0.78484344
998,0.81830317
999,0.867417
1000,0.8082183
1001,0.8470258
1002,0.77896744
1003,0.8518773
1004,0.813716
1005,0.78472614
1006,0.8221718
1007,0.78043914
1008,0.846894
1009,0.7603684
1010,0.8426494
1011,0.7879398
1012,0.873227
1013,0.8425616
1014,0.83972865
1015,0.8474522
1016,0.7593844
1017,0.839053
1018,0.80948615
1019,0.8554807
1020,0.86704123
1021,0.8157169
1022,0.85400593
1023,0.7575103
1024,0.8995645
1025,0.8199581
1026,0.809815
1027,0.8568942
1028,0.7617864
1029,0.9133597
1030,0.8370307
