,0
0,14.420966
1,14.365889
2,14.284723
3,14.215522
4,14.176062
5,14.044686
6,13.946932
7,13.815946
8,13.585085
9,13.457208
10,13.1926565
11,13.218985
12,12.883609
13,12.667686
14,12.343581
15,12.002158
16,11.818633
17,11.510729
18,11.254453
19,10.983588
20,10.835217
21,10.80251
22,10.5138
23,10.648562
24,10.580639
25,10.465023
26,10.188732
27,10.184737
28,9.866344
29,9.83995
30,9.493754
31,9.322078
32,9.1479
33,9.503304
34,9.105606
35,8.849683
36,8.71573
37,9.059052
38,8.681478
39,8.604833
40,8.83742
41,8.476574
42,8.528814
43,8.606814
44,8.5274315
45,8.457239
46,8.418617
47,8.352657
48,7.972608
49,7.940551
50,8.147447
51,7.831094
52,8.167261
53,8.074289
54,7.860879
55,7.6385865
56,7.8231177
57,7.664549
58,8.054292
59,8.077653
60,7.7890005
61,7.7934685
62,7.6353817
63,7.572674
64,7.49735
65,7.7937655
66,7.416301
67,7.610336
68,7.478861
69,7.3661427
70,7.4366593
71,7.5406666
72,7.461526
73,7.4204082
74,7.5906835
75,7.4217863
76,7.484116
77,7.293976
78,7.4438386
79,7.0398746
80,7.305006
81,7.3836784
82,7.370822
83,7.1502767
84,7.5773897
85,7.224711
86,7.1421504
87,7.4540477
88,7.2920103
89,7.4383354
90,7.3092103
91,7.6786346
92,6.974574
93,7.1341095
94,7.341428
95,7.307369
96,7.4965296
97,7.4095116
98,7.1576223
99,7.001742
100,7.450171
101,6.9703274
102,7.0495806
103,7.1140656
104,7.2798605
105,7.4351296
106,7.173403
107,7.269575
108,7.4901643
109,7.0252566
110,7.1519694
111,7.120624
112,7.1975946
113,7.0742426
114,7.137978
115,7.135194
116,6.919139
117,7.081008
118,7.116583
119,7.0403404
120,7.005944
121,7.0359025
122,7.073705
123,6.8534336
124,7.2483397
125,6.7970076
126,6.646239
127,6.823193
128,6.9151397
129,6.620945
130,6.8394384
131,6.842106
132,6.681281
133,6.6347017
134,6.8200736
135,6.709996
136,6.429953
137,6.5666094
138,6.419563
139,6.59636
140,6.366509
141,6.5308247
142,6.6827917
143,6.2048907
144,6.2826986
145,6.315586
146,6.2878714
147,6.3039193
148,6.3225513
149,6.1210957
150,6.2601795
151,6.457665
152,6.1547956
153,5.9981623
154,6.1393833
155,5.947633
156,6.0186253
157,6.0390882
158,6.0924444
159,5.9484634
160,5.99908
161,5.7935476
162,5.9816284
163,6.1159177
164,5.8598914
165,6.0108614
166,5.884923
167,5.9248037
168,5.9342504
169,5.839471
170,6.0423603
171,5.9657764
172,5.867114
173,5.8730173
174,5.7805943
175,5.852352
176,5.9701223
177,6.0246553
178,6.0212946
179,5.8305883
180,5.834962
181,5.8070407
182,5.6534634
183,5.7071795
184,5.5805125
185,5.744689
186,5.3748126
187,5.534169
188,5.5583415
189,5.512578
190,5.805759
191,5.4960933
192,5.6648736
193,5.6018233
194,5.4178457
195,5.4514995
196,5.5541344
197,5.437331
198,5.518564
