,0
0,9.271243
1,9.052507
2,8.583277
3,6.6893063
4,7.1088166
5,6.156624
6,9.247773
7,7.602225
8,8.661074
9,10.007456
10,8.36197
11,7.3503795
12,7.601643
13,6.080921
14,6.1353383
15,10.04101
16,9.494989
17,7.7272415
18,8.0436125
19,6.231695
20,4.731496
21,4.0644674
22,3.9605486
23,4.039366
24,7.6546974
25,6.6723404
26,6.182519
27,5.5130816
28,4.535305
29,4.3649464
30,9.682661
31,9.167945
32,8.954556
33,3.9445534
34,3.6140862
35,3.7268202
36,5.7763925
37,5.482367
38,5.1946306
39,6.7280927
40,6.0576096
41,5.599142
42,3.8633087
43,3.587386
44,3.3960617
45,4.7060413
46,4.2887177
47,5.0547924
48,7.597
49,7.264242
50,7.3515534
51,6.136078
52,5.810403
53,5.4637504
54,4.556797
55,3.9222713
56,4.2148104
57,4.665657
58,4.086416
59,4.7989383
60,7.3613133
61,6.699933
62,6.482754
63,5.2778387
64,4.038892
65,4.3619637
66,5.0566425
67,4.3748517
68,4.0447006
69,4.568518
70,4.69038
71,4.0901017
72,4.6855845
73,4.492203
74,4.9558506
75,11.247596
76,10.808027
77,10.319118
78,9.222269
79,9.029158
80,8.997602
81,5.861751
82,5.3991137
83,5.484792
84,5.4422417
85,4.5570307
86,4.8535514
87,11.855046
88,11.00551
89,10.349329
90,6.175497
91,5.822612
92,6.147027
93,10.693319
94,10.199468
95,9.754495
96,6.501783
97,6.7197156
98,6.8998237
99,6.858892
100,6.8949666
101,7.097767
102,8.883293
103,7.9828997
104,9.222481
105,10.360756
106,8.862049
107,9.890875
108,10.774458
109,10.391441
110,9.511688
111,9.851694
112,9.016989
113,8.628646
114,8.938423
115,8.831381
116,8.241453
117,10.078987
118,9.560169
119,9.4588585
120,10.45175
121,9.949891
122,9.837451
123,9.064336
124,8.5303135
125,8.115542
126,8.120201
127,7.9624987
128,7.0849137
129,10.33205
130,10.656054
131,10.669099
132,9.091792
133,8.069426
134,8.13652
135,9.379947
136,8.107526
137,7.9970016
138,6.276355
139,5.255248
140,5.007082
141,4.935607
142,4.77637
143,5.0263953
144,4.428034
145,4.5141883
146,4.2920547
147,5.271359
148,5.011182
149,4.6539774
150,5.224989
151,4.9912806
152,5.32246
153,7.883897
154,7.58579
155,8.0054455
156,6.622689
157,6.390454
158,6.3465343
159,7.5874696
160,7.176902
161,6.7680926
162,13.321032
163,11.881089
164,12.037549
165,10.158253
166,9.52961
167,9.936102
168,8.321708
169,7.9167314
170,7.806586
171,7.3424773
