,0
0,14.343747
1,14.156202
2,13.946266
3,13.712894
4,13.168712
5,12.399196
6,12.166359
7,11.817132
8,11.293062
9,11.109688
10,10.482329
11,10.122064
12,9.810062
13,9.424832
14,8.847363
15,8.684403
16,8.587187
17,8.4801655
18,8.209624
19,8.14036
20,7.655154
21,7.5551963
22,7.4320693
23,7.437011
24,7.2906785
25,7.257153
26,7.2234554
27,7.094287
28,7.131463
29,6.737492
30,6.7410946
31,6.706752
32,6.825352
33,6.6331525
34,6.65815
35,6.559223
36,6.6507616
37,6.569664
38,6.4499993
39,6.460232
40,6.4072056
41,6.277461
42,6.212976
43,6.332787
44,6.2710667
45,6.190518
46,6.1083837
47,6.117636
48,6.0917835
49,6.1708646
50,6.176669
51,5.9184284
52,5.965025
53,5.880478
54,5.7595067
55,5.773199
56,5.881111
57,5.788909
58,5.8469768
59,5.81806
60,5.736736
61,5.759174
62,5.6129093
63,5.725757
64,5.769141
65,5.852363
66,5.78265
67,5.764504
68,5.7341013
69,5.691851
70,5.4977317
71,5.5056157
72,5.646217
73,5.6903777
74,5.665886
75,5.507589
76,5.580522
77,5.6344795
78,5.6103573
79,5.6888766
80,5.6651177
81,5.6294193
82,5.5972605
83,5.4145336
84,5.552397
85,5.618901
86,5.371664
87,5.4395285
88,5.3925457
89,5.425787
90,5.307135
91,5.399037
92,5.3896675
93,5.429167
94,5.397538
95,5.548346
96,5.388809
97,5.4851136
98,5.440458
99,5.3508744
100,5.3934393
101,5.5346904
102,5.3039455
103,5.3060684
104,5.2435865
105,5.3525796
106,5.348634
107,5.5618434
108,5.4864826
109,5.547422
110,5.3347907
111,5.244561
112,5.3670397
113,5.4040966
114,5.354762
115,5.5146923
116,5.5382295
117,5.543428
118,5.624328
119,5.592011
120,5.585776
121,5.7369175
122,5.592305
123,5.591339
124,5.817484
125,5.8099737
126,5.9040575
127,6.24454
128,6.17874
129,6.1770153
130,6.533124
131,6.7230926
132,6.383259
133,6.5379004
134,6.433252
135,6.4622006
136,6.32842
137,6.5801415
138,6.332617
139,6.444104
140,6.030141
141,5.980736
142,6.3380527
143,6.7006183
144,6.6849265
145,6.74115
146,6.321775
147,5.9358153
148,5.8430176
149,5.915414
150,6.040192
151,5.9098387
152,6.123481
153,6.057258
154,6.1375604
155,5.80751
156,5.4805527
157,5.124443
158,5.000033
159,5.007198
160,5.0097294
161,5.090011
162,5.0159016
163,5.0815387
164,5.079744
165,5.167742
166,5.141125
167,5.021818
168,4.9811387
169,5.0482616
170,4.9205303
171,5.012061
172,5.0540514
173,5.0707994
174,4.9266963
175,4.792907
176,4.831719
177,4.803149
178,4.8028316
179,4.965377
180,4.901414
181,4.687274
182,4.6619406
183,4.8040442
184,4.778893
185,4.978987
186,4.8858633
187,5.096606
188,4.7851777
189,4.7576447
190,4.6490374
191,4.729883
192,4.8038297
193,5.004142
194,4.95446
195,5.0337358
196,4.769929
197,4.744525
198,4.8513227
199,4.7280746
200,4.808116
201,4.97017
202,5.0058465
203,4.8620663
204,4.7654595
205,4.967598
206,4.9021993
207,5.0556164
208,4.765206
209,4.766323
210,4.655919
211,4.703043
212,4.8388414
213,4.869048
214,4.9430857
215,4.7497544
216,4.91723
217,4.6427984
218,4.705156
219,4.7756257
220,4.8159566
221,4.742125
222,4.8236427
223,4.6299276
224,4.7230496
225,4.7980227
226,4.6323195
227,4.399332
228,4.5052834
229,4.598491
230,4.671652
231,4.576096
232,4.563906
233,4.458371
234,4.4995155
235,4.50427
236,4.430009
237,4.5155606
238,4.2873526
239,4.3541546
240,4.200866
241,4.3127007
242,4.3518524
243,4.469289
244,4.4468226
245,4.249193
246,4.362128
247,4.392785
248,4.417583
249,4.48388
250,4.509008
251,4.2919707
252,4.3534493
253,4.3860865
254,4.396361
255,4.480684
256,4.347606
257,4.3333635
258,4.3884535
259,4.48582
260,4.4389095
261,4.3179836
262,4.390542
263,4.4778724
264,4.4945364
265,4.417664
266,4.30352
267,4.3531456
268,4.4739094
269,4.5405836
270,4.5622525
271,4.429756
272,4.5484123
273,4.5759077
274,4.5892076
275,4.638228
276,4.516199
277,4.4899554
278,4.512568
279,4.539326
280,4.528353
281,4.5539713
282,4.586006
283,4.713878
284,4.5249267
285,4.7064962
286,4.780956
287,4.7329874
288,4.8146152
289,4.913045
290,4.931294
291,4.954348
292,5.193796
293,4.845022
294,4.795362
295,4.929599
296,4.9457064
297,5.0211163
298,5.0636673
299,4.7673836
300,4.8229856
301,4.8042035
302,4.950959
303,5.0637984
304,4.5964327
305,4.659636
306,4.9102125
307,4.567693
308,4.5110974
309,4.562067
310,4.6992817
311,4.765454
312,4.954142
313,4.631156
314,4.6790614
315,4.773066
316,4.726998
317,4.8638763
318,4.950432
319,4.81754
320,4.797836
321,4.6569858
322,4.771348
323,4.7895803
324,4.926526
325,5.1117845
326,4.7703276
327,4.5259824
328,4.6688232
329,4.7979712
330,4.796186
331,4.701408
332,4.792004
333,4.8309317
334,4.5924144
335,4.7180552
336,4.5005407
337,4.56293
338,4.522849
339,4.577646
340,4.530179
341,4.618488
342,4.391439
343,4.409101
344,4.37426
345,4.3712826
346,4.386103
347,4.3297048
348,4.3875594
349,4.3306627
350,4.3180184
351,4.241717
352,4.2683005
353,4.3362126
354,4.2571874
355,4.2106743
356,4.2841487
357,4.177033
358,4.243079
359,4.2392206
