,0
0,19.019274
1,16.775988
2,13.440815
3,12.256592
4,10.495259
5,11.821068
6,10.212091
7,8.916872
8,9.72142
9,16.87382
10,16.119064
11,15.583578
12,13.442842
13,12.623217
14,12.991357
15,11.871565
16,9.943488
17,9.841234
18,16.853298
19,14.533685
20,13.386347
21,12.73018
22,11.802944
23,10.378687
24,10.377892
25,10.119751
26,9.78643
27,11.099785
28,10.749137
29,9.967468
30,12.157648
31,11.532321
32,10.567865
33,10.412229
34,9.271765
35,8.939062
36,12.486829
37,11.190422
38,10.287583
39,10.547277
40,9.475524
41,10.137244
42,17.03639
43,13.620736
44,12.444374
45,13.23003
46,10.709646
47,10.580563
48,11.709695
49,10.029966
50,9.07919
51,13.30014
52,12.298892
53,12.097856
54,11.383998
55,10.114725
56,10.170507
57,15.910593
58,13.853091
59,14.094269
60,11.135592
61,11.044755
62,9.787302
63,11.740315
64,10.132526
65,9.8803215
66,8.966677
67,8.281509
68,8.102653
69,19.488964
70,17.250195
71,15.84366
72,9.41679
73,8.762472
74,8.081873
75,12.616063
76,10.970431
77,9.678112
78,12.299372
79,10.982385
80,11.207486
81,13.724609
82,11.725201
83,9.969707
84,11.588486
85,10.926484
86,10.202271
87,16.077478
88,13.140336
89,13.361586
90,11.875479
91,11.384899
92,9.687013
93,14.555283
94,11.86216
95,13.326892
96,10.968609
97,11.04329
98,10.150703
99,9.616215
100,9.335613
101,8.311526
102,10.728108
103,8.994387
104,8.315212
105,13.611588
106,13.199367
107,11.3661995
108,10.512139
109,10.7332115
110,10.321712
111,13.4360485
112,11.378545
113,12.152351
114,11.476154
115,11.364498
116,11.350344
117,12.123221
118,11.05646
119,10.925301
120,11.630556
121,12.333891
122,11.595001
123,8.7491455
124,8.721741
125,9.2684145
126,10.621215
127,9.4788265
128,8.934897
129,10.099714
130,9.760859
131,9.120033
132,11.4634905
133,9.990436
134,9.991129
135,10.615109
136,11.139783
137,9.161642
138,14.007612
139,11.718059
140,11.154556
141,9.540368
142,7.357673
143,9.017825
144,11.557496
145,11.252054
146,10.292798
147,11.692613
148,10.354195
149,9.764199
150,8.874882
151,8.702905
152,8.329248
153,10.226417
154,9.363987
155,9.570406
156,8.260158
157,7.615027
158,7.9035597
159,10.520145
160,8.299459
161,8.185585
162,7.670328
163,7.3495274
164,8.605388
165,9.20565
166,8.312622
167,7.9428606
168,7.746776
169,8.299545
170,7.2193365
171,7.5580206
172,8.020524
173,8.920237
174,10.45215
175,9.32181
176,9.453447
177,8.930315
178,9.707209
179,8.830994
180,7.0967364
181,7.6060705
182,7.6510057
183,6.491146
184,6.6729364
185,6.2102804
186,7.60386
187,6.4011817
188,8.609458
189,10.193215
190,8.51327
191,9.376306
192,13.300144
193,11.902159
194,10.889718
195,7.6162047
196,9.764184
197,7.998173
198,8.6176815
199,8.2141075
200,9.0555
201,11.870745
202,9.8957405
203,9.400235
204,8.138124
205,8.2530775
206,8.831647
207,8.953563
208,9.551832
209,8.472852
210,10.7416725
211,9.837351
212,9.092855
213,9.231938
214,8.758682
215,9.358372
216,9.780115
217,8.313322
218,8.093582
219,8.317696
220,7.5830817
221,8.066635
222,9.578294
223,10.223153
224,9.366614
225,9.635016
226,9.436619
227,9.880573
228,8.446024
229,9.0606
230,8.168632
231,9.8759
232,9.297909
233,9.955988
234,8.956528
235,8.769939
236,8.807425
237,7.546441
238,7.3709354
239,7.6699367
240,8.49319
241,7.603823
242,7.630454
243,8.366795
244,9.240481
245,8.893372
246,10.449752
247,9.602391
248,9.179068
249,8.813322
250,7.8722486
251,7.3302703
252,9.080407
253,8.815614
254,7.120999
255,11.408622
256,8.982148
257,9.421335
258,9.15329
259,7.5651817
260,7.8465333
261,8.337224
262,7.5809984
263,7.781035
264,8.396358
265,7.8651147
266,8.262373
267,8.356474
268,7.67009
269,7.217388
270,10.981484
271,9.99487
272,10.724936
273,8.922238
274,8.919025
275,8.44098
276,10.054364
277,9.137093
278,9.778708
279,8.309336
280,8.253481
281,8.013616
282,8.06083
283,7.7935395
284,7.9730816
285,9.940375
286,9.182405
287,9.22264
288,8.431149
289,9.086012
290,7.7433085
291,8.263152
292,7.741621
293,7.043089
294,9.359983
295,8.879416
296,9.013433
297,7.6825943
298,8.189997
299,8.013468
300,14.971212
301,13.491017
302,13.065803
303,9.0993595
304,8.511154
305,7.3712606
306,8.617861
307,7.3115463
308,7.7705684
309,12.637533
310,11.14861
311,10.717943
312,7.6602407
313,7.451894
314,7.8704095
315,8.494786
316,8.166587
317,8.053794
318,8.785538
319,8.493139
320,8.966257
321,9.170594
322,8.307526
323,8.79349
324,7.71081
325,7.752448
326,7.7500134
327,6.754
328,6.641233
329,6.602625
330,10.720532
331,9.521803
332,10.402747
333,9.242064
334,8.904353
335,9.20446
336,9.481336
337,8.299855
338,7.642102
339,11.879868
340,10.450491
341,10.16565
342,13.103232
343,11.00265
344,9.892898
345,8.650031
346,8.452429
347,8.538272
348,10.2778225
349,9.989724
350,9.413883
351,7.6030726
352,8.484913
353,7.7672973
354,8.961467
355,7.6433215
356,7.7404065
357,10.127331
358,9.274317
359,8.959599
360,10.029647
361,9.650898
362,9.265423
363,9.100979
364,8.756753
365,8.452256
366,8.92567
367,8.716252
368,9.215549
369,9.881266
370,8.5987015
371,8.970949
372,8.80653
373,7.890439
374,7.810439
375,8.613816
376,8.122753
377,8.511392
378,9.565911
379,8.906355
380,8.929922
381,9.660395
382,10.688216
383,8.381152
384,9.905393
385,8.970495
386,8.868313
387,10.042646
388,9.098442
389,9.7685795
390,8.055733
391,7.9460144
392,8.358832
393,9.8532095
394,8.758781
395,8.819886
396,8.746348
397,8.769197
398,8.2925205
399,8.573488
400,10.130176
401,8.43866
