,0
0,9.336166
1,9.272908
2,9.2372675
3,9.191936
4,9.205482
5,9.181264
6,9.056942
7,9.05357
8,9.099143
9,9.139117
10,9.0591755
11,9.564479
12,9.664928
13,9.641934
14,9.754054
15,9.978601
16,9.779482
17,9.879125
18,9.658727
19,9.849392
20,9.866988
21,9.842881
22,9.6217165
23,9.726255
24,9.502755
25,9.83714
26,9.631243
27,9.561695
28,9.605579
29,9.439395
30,9.824761
31,9.558301
32,9.753212
33,9.317798
34,9.763854
35,9.28503
36,9.549628
37,9.515523
38,9.323458
39,9.523924
40,9.252404
41,9.485615
42,9.439114
43,9.390319
44,8.969327
45,9.180743
46,9.2412195
47,9.202645
48,8.990958
49,9.318135
50,8.8351965
51,9.092202
52,8.963314
53,8.921489
54,9.330574
55,8.893737
56,9.125831
57,8.954639
58,9.306267
59,9.079504
60,8.895889
61,9.004998
62,8.856487
63,9.090212
64,9.039825
65,9.124769
66,8.887738
67,9.023405
68,9.185397
69,8.940204
70,8.800872
71,9.035713
72,8.760881
73,9.051404
74,8.78654
75,8.662357
76,8.831003
77,8.879861
78,8.89341
79,8.711386
80,9.092234
81,8.795232
82,8.70681
83,9.036411
84,8.666763
85,8.805929
86,8.908368
87,8.870549
88,8.564117
89,8.966493
90,9.029403
91,8.869264
92,8.860164
93,8.881885
94,8.55616
95,9.077533
96,8.810936
97,8.904244
98,8.794437
99,8.836062
100,8.773409
101,8.812678
102,8.906063
103,8.812433
104,8.933748
105,8.878291
106,8.772429
107,8.904247
108,8.771113
109,8.916459
110,8.778975
111,8.87141
112,8.708793
113,8.723561
114,8.799844
115,8.772956
116,8.690224
117,8.692149
118,8.621715
119,8.745784
120,8.593009
121,8.69933
122,8.611446
123,8.619275
124,8.698015
125,8.524338
126,8.583446
127,8.525557
128,8.622931
129,8.656481
130,8.750749
131,8.500182
132,8.424763
133,8.594463
134,8.543755
135,8.753411
136,8.441846
137,8.586746
138,8.58599
139,8.619862
140,8.551366
141,8.495441
142,8.690876
143,8.5388975
144,8.422634
145,8.66408
146,8.502254
147,8.726189
148,8.4702635
149,8.422437
150,8.626167
151,8.56766
152,8.572596
153,8.532553
154,8.388926
155,8.521658
156,8.396658
157,8.411112
158,8.52585
159,8.375646
160,8.4548855
161,8.542244
162,8.555084
163,8.4408655
164,8.3630495
165,8.345004
166,8.351698
167,8.427417
168,8.373921
169,8.274782
170,8.443401
171,8.393554
172,8.35808
173,8.358402
174,8.438448
175,8.212069
176,8.296783
177,8.10581
178,8.3398485
179,8.186566
180,8.269132
181,8.352121
182,8.073336
183,8.229603
184,8.191058
185,8.237805
186,8.165326
187,8.004999
188,8.260428
189,8.055522
190,8.067552
191,7.9824057
192,8.061403
193,7.993431
194,8.010105
195,7.905275
196,7.9203286
197,7.998015
198,8.090922
199,7.8152423
200,7.763832
201,7.8267436
202,7.671587
203,7.990281
204,7.6955757
205,7.7952104
206,7.6949797
207,7.729715
208,7.757
209,7.8312798
210,7.8495226
211,7.735677
212,7.8133163
213,7.7683816
214,7.718341
215,7.645194
216,7.621526
217,7.7219415
218,7.6916323
219,7.548411
220,7.7724967
221,7.6807556
222,7.4615335
223,7.633506
224,7.456213
225,7.4718437
226,7.8799977
227,7.6020017
228,7.5304956
229,7.6072507
230,7.616122
231,7.5922155
232,7.6332045
233,7.497973
234,7.5996447
235,7.7513185
236,7.641907
237,7.74669
238,7.6290307
239,7.9947433
240,7.6132603
241,7.7010126
242,7.868554
243,7.6384816
244,7.716227
245,8.118009
246,7.645055
247,7.654021
248,8.231223
249,7.614983
250,7.707508
251,8.387759
252,7.754795
253,7.6526055
254,8.351277
255,7.658128
256,8.1481
257,7.7930713
258,7.9922023
259,7.838635
260,7.9713483
261,7.846708
262,7.901179
263,8.057557
264,7.767147
265,8.003997
266,7.9402723
267,7.886114
268,7.8913064
269,7.8037376
270,7.6266723
271,8.175535
272,8.199497
273,7.710702
274,7.4740257
275,7.698204
276,8.427658
277,7.565286
278,7.627445
279,7.7849326
280,8.007907
281,7.868125
282,7.3992443
283,7.5921426
284,7.7318444
285,7.7236423
286,7.931467
287,7.7695336
288,7.648444
289,7.42861
290,7.6057696
291,7.8456516
292,7.5183983
293,7.8984375
294,7.974269
295,7.7382
296,7.9071465
297,7.547683
298,7.603938
299,7.379447
300,7.6089077
301,7.555362
302,7.7161736
303,7.4042697
304,7.402177
305,7.5968184
306,7.5722346
307,7.385993
308,7.6125426
309,7.4453197
310,7.4668436
311,7.479738
312,7.476703
313,7.3225455
314,7.5418224
315,7.3541307
316,7.669234
317,7.6219406
318,7.3723755
319,7.278289
320,7.2832355
321,7.59191
322,7.2993937
323,7.39068
324,7.4352555
325,7.4316435
326,7.211273
327,7.308909
328,7.171083
329,7.4297695
330,7.247981
331,7.343567
332,7.2024436
333,7.28276
334,7.394784
335,7.27169
336,7.212423
337,7.4776855
338,7.2759604
339,7.381005
340,7.2928386
341,7.3826036
342,7.236522
343,7.3204966
344,6.99843
345,7.2921166
346,7.1413374
347,7.349946
348,7.01766
349,7.2991943
350,7.285477
351,7.2284384
352,7.2552066
353,7.2653947
354,7.246611
355,7.258409
356,7.1827407
357,7.2488923
358,7.2520523
359,7.152137
360,7.0916986
361,7.230525
362,7.0656476
363,7.242579
364,7.1706295
365,7.306769
366,7.144246
367,7.201523
368,7.106153
369,7.0491176
370,7.2088304
371,7.2621717
372,7.1595907
373,7.048638
374,7.082119
375,7.1756063
376,7.2007933
377,7.1084123
378,7.1810923
379,6.987255
380,7.088255
381,7.1455717
382,7.0557494
383,7.302642
384,7.001973
385,7.1579595
386,7.124711
387,7.0401645
388,7.2082314
389,7.2955217
390,7.0143194
391,7.18588
392,7.1840625
393,7.0176244
394,7.1627445
395,7.0801773
396,7.126278
397,7.202181
398,7.0829725
399,7.1085634
400,7.0100956
401,7.119039
402,7.2899923
403,7.1357846
404,7.129494
405,7.052126
406,7.094406
407,7.0993576
408,7.192129
409,6.886107
410,7.2166805
411,6.980181
412,7.0838213
413,7.1888466
414,7.080349
415,7.253437
416,7.244621
417,7.174335
418,7.110337
419,7.0268354
420,7.1660852
421,7.3080516
422,7.070402
423,7.086435
424,6.9221425
425,7.276574
426,7.089279
427,7.1972947
428,7.0621443
429,7.179051
430,7.081522
431,7.2805037
432,7.022082
433,7.246284
434,7.16653
435,6.9859695
436,7.1194544
437,6.929227
438,7.3709235
439,7.0091
440,7.107085
441,6.9226856
442,7.1332903
443,6.933056
444,7.0825243
445,7.066218
446,7.077357
447,7.101904
448,7.002427
449,7.065499
450,6.926601
451,7.1364193
452,7.017728
453,7.1774354
454,7.0460157
455,7.165663
456,7.2991924
457,6.8737497
458,7.2980485
459,6.930212
460,7.118763
461,7.010401
462,7.0983343
463,7.1452956
464,7.079136
465,7.0754952
466,6.998366
467,7.374784
468,6.9750514
469,7.1023135
470,7.1102495
471,7.201015
472,7.281355
473,7.061694
474,7.393429
475,6.9252014
476,6.9106174
477,7.0296946
478,7.070358
479,7.163178
480,6.917712
481,7.1216307
482,7.048404
483,7.121077
484,6.8460755
485,6.863871
486,7.001355
487,6.882363
488,7.0722256
489,6.660835
490,6.990099
491,6.661338
492,7.0141244
493,6.8095427
494,6.9593096
495,6.808267
496,6.744279
497,7.003937
498,6.723789
499,6.9238296
500,6.7315903
501,7.096656
502,7.035354
503,6.905287
504,6.607398
505,6.829916
506,6.7602434
507,6.7581253
508,6.737323
509,6.868259
510,6.8344254
511,6.63229
512,6.8103666
513,6.6651545
514,6.776793
515,6.73612
516,6.718856
517,6.497507
518,6.7877545
519,6.599476
520,6.6928263
521,6.5297675
522,6.692473
523,6.708461
524,6.7588806
525,6.4340653
526,6.654615
527,6.728065
528,6.3191485
529,6.7514496
530,6.5685005
531,6.8393345
532,6.6484995
533,6.7953205
534,6.5790243
535,6.947219
536,6.4328027
537,6.760469
538,6.6206193
539,6.6864357
540,6.6618996
541,6.5349326
542,6.7291703
543,6.6930895
544,6.568865
545,6.664276
546,6.7174087
547,6.773466
548,6.8544474
549,6.7353845
550,6.8106337
551,6.928647
552,6.6784735
553,6.9829807
554,6.6153145
555,6.8650494
556,6.680165
557,6.9496746
558,6.947979
559,6.830622
560,6.993567
561,6.878504
562,6.8138185
563,6.6270366
564,6.8365197
565,6.964806
566,6.8265104
567,6.915127
568,6.6794124
569,6.9212685
570,6.8673754
571,6.8873706
572,6.934488
573,6.8511124
574,6.9565797
575,6.693636
576,6.7861238
577,7.088715
578,6.806995
579,7.1148977
580,7.004543
581,6.960183
582,6.8718348
583,7.052974
584,6.862976
585,7.061438
586,6.951457
587,6.859701
588,6.78359
589,7.05836
590,6.9109316
591,6.886195
592,6.971678
593,6.97553
594,6.801692
595,6.861634
596,6.766707
597,6.8173404
598,7.025879
599,6.7105765
600,6.81025
601,6.6078377
602,6.7268553
603,6.7745466
604,6.8723054
605,6.4811983
606,6.8441625
607,6.640453
608,6.7435217
609,6.822002
610,6.8152027
611,6.851813
612,6.9929266
613,6.845301
614,7.004757
615,6.886421
616,6.9438252
617,6.9513674
618,6.852351
619,7.0632844
620,7.0601034
621,7.0946245
622,6.866946
623,6.9773216
624,6.9823303
625,6.909462
626,6.9773984
627,6.960965
628,7.016623
629,7.035343
630,7.0436707
631,6.9554586
632,7.0536942
633,6.861308
634,7.001101
635,6.944547
636,7.098489
637,6.9899693
638,6.970666
639,6.823072
640,7.1708097
641,6.848034
642,7.038199
643,7.087493
644,7.0275207
645,6.817957
646,7.1206093
647,6.8035383
648,7.216579
649,6.7535315
650,6.991735
651,7.0809164
652,6.907946
653,6.9129715
654,7.1335354
655,6.88063
656,6.9652085
657,7.0909057
658,7.1265445
659,6.9202313
660,7.120907
661,6.886626
662,7.001224
663,6.951096
664,6.8868494
665,6.965171
666,6.870383
667,6.9195104
668,6.953742
669,6.9734735
670,6.8990235
671,6.6669006
672,6.8116307
673,6.569733
674,6.901671
675,6.817433
676,6.853068
677,6.8293004
678,7.047109
679,6.661819
680,6.836031
681,7.080336
682,6.947231
683,7.3009844
684,6.972118
685,7.073543
686,7.1038895
687,6.9312315
688,6.888064
689,7.13944
690,7.0550027
691,7.14666
692,7.361665
693,7.0295615
694,7.1985493
695,7.0444636
696,7.307577
697,7.13593
698,6.9814024
699,6.989626
700,7.082985
701,7.209096
702,7.027088
703,7.2726965
704,7.0132623
705,7.0335336
706,7.182177
707,6.859316
708,6.9870834
709,7.0980535
710,7.310353
711,7.366899
712,7.1138163
713,7.401864
714,7.112648
715,7.231975
716,7.546291
717,7.377061
718,7.587637
719,7.495166
720,7.3243623
721,7.4241304
722,7.7124124
723,7.391187
724,7.6007266
725,7.271765
726,7.226708
727,7.013687
728,7.273058
729,7.3999877
730,7.2258005
731,6.901343
732,7.3608484
733,7.1550183
734,7.111766
735,7.2220244
736,6.843148
737,7.287415
738,7.1623383
739,7.26641
740,6.9739356
741,7.1611137
742,7.3043547
743,7.074631
744,7.2441626
745,7.5237055
746,7.121311
747,6.89375
748,7.2912097
749,7.1343207
750,7.1637836
751,7.0338187
752,7.248074
753,6.95855
754,7.3781633
755,7.2034206
756,6.976965
757,7.291436
758,6.837957
759,6.9883666
760,7.2048025
761,6.887682
762,6.9146676
763,7.1790624
764,6.8369493
765,7.1580534
766,7.192994
767,7.1522837
768,7.025774
769,6.8805585
770,6.9545226
771,7.2782764
772,6.583788
773,7.1544614
774,6.7010813
775,7.1345243
776,7.220448
777,6.9558973
778,7.099224
779,6.6565557
780,6.769748
781,6.9225683
782,6.7367554
783,7.021828
784,7.0119514
785,6.7580304
786,7.203851
787,6.7192106
788,6.810326
789,6.788239
790,6.696549
791,6.84461
792,6.929701
793,7.140585
794,6.930467
795,6.877197
796,6.9236593
797,6.9028115
798,6.5075603
799,6.7485485
800,7.016116
801,6.608034
802,6.8586054
803,6.829537
804,6.933773
805,6.8713126
806,6.919962
807,6.807246
808,7.330525
809,6.7289367
810,7.0153317
811,6.8191524
812,6.8320465
813,6.8409915
814,6.6685886
815,6.9569373
816,6.690071
817,6.845228
818,6.7057705
819,6.8519096
820,6.879132
821,6.7760797
822,6.97711
823,6.6984487
824,6.750196
825,6.7225585
826,6.7022676
827,6.852722
828,6.6489024
829,6.5857353
830,6.5542994
831,6.9192786
832,6.6492677
833,6.763944
834,6.606294
835,6.7497663
836,6.4385314
837,6.653693
838,6.691962
839,6.6381173
840,6.6806045
841,6.711538
842,6.6380143
843,6.659745
844,6.529388
845,6.686822
846,6.8253965
847,6.5727453
848,6.9349937
849,6.5809164
850,6.7452564
851,6.6593914
852,6.562353
853,6.6310806
854,6.59554
855,6.7981167
856,6.8713603
857,6.4790473
858,6.6657786
859,6.627401
860,6.747049
861,6.7523093
862,6.636119
863,6.750473
864,6.659502
865,6.6699333
866,6.798282
867,6.3429728
868,6.7129936
869,6.698744
870,6.8037643
871,6.7291794
872,6.557107
873,6.6850715
874,7.0093474
875,6.8062253
876,6.7368126
877,6.6249685
878,6.774931
879,6.66083
880,6.6664925
881,6.6149573
882,6.6632767
883,6.911738
884,6.521818
885,6.8191423
886,6.484332
887,6.670706
888,6.82002
889,6.802792
890,6.6307554
891,6.603719
892,6.7836537
893,6.611169
894,6.684372
895,6.8068714
896,6.731675
897,6.666165
898,6.694585
899,6.515571
900,6.763833
901,6.4984703
902,6.864039
903,6.596636
904,6.509829
905,6.5554795
906,7.2002473
907,6.631545
908,6.6752987
909,6.5489697
910,6.870824
911,6.6278877
912,6.6569157
913,6.785811
914,6.457493
915,6.743224
916,6.9004564
917,6.8033247
918,6.7402606
919,6.711028
920,6.677611
921,6.8984466
922,6.7919617
923,6.7176685
924,6.810008
925,6.83607
926,6.82069
927,6.7682714
928,6.926598
929,6.816482
930,6.6921754
931,6.9387884
932,7.102943
933,6.9206963
934,6.899108
935,6.831074
936,6.941341
937,6.7197394
938,6.846877
939,6.8498735
940,6.908301
941,6.9826374
942,7.042871
943,7.030515
944,6.9469614
945,7.0723577
946,6.866878
947,7.090555
948,7.1370573
949,6.9670634
950,6.9923983
951,6.9711747
952,7.0833225
953,7.031594
954,6.9958982
955,7.171621
956,7.224872
957,7.075282
958,7.0576015
959,6.937287
960,7.2109056
961,7.072465
962,7.200958
963,7.2715797
964,7.302852
965,7.1879454
966,7.297294
967,7.214448
968,7.4259596
969,7.4491105
970,7.2285905
971,7.361435
972,7.355787
973,7.4580255
974,7.25201
975,7.2109094
976,7.1842046
977,7.418612
978,7.4460998
979,7.49397
980,7.2425942
981,7.4650474
982,7.369106
983,7.3451786
984,7.210439
985,7.435093
986,7.0700126
987,7.190138
988,7.421474
989,7.16172
990,7.247794
991,7.2797923
992,7.2248583
993,7.343766
994,7.5049014
995,7.1724634
996,7.2604322
997,7.4131036
998,7.3203053
999,7.4705296
1000,7.408504
1001,7.232156
1002,7.2187266
1003,7.1865063
1004,7.3112893
1005,7.2601733
1006,7.368379
1007,7.271063
1008,7.339051
1009,7.187231
1010,7.199535
1011,7.2308946
1012,7.38403
1013,7.2769012
1014,7.0809503
1015,7.2393804
1016,7.1558146
1017,7.243618
1018,7.249217
1019,7.183459
1020,7.1363325
1021,7.132277
1022,7.097553
1023,7.212216
1024,7.2140493
1025,7.134879
1026,7.254656
1027,7.1527953
1028,7.1021285
1029,6.9391837
1030,7.309169
1031,6.9515333
1032,7.173598
1033,7.019725
1034,7.165267
1035,7.0709734
1036,7.0055847
1037,6.9238524
1038,6.957308
1039,7.303905
1040,6.8868074
1041,7.104035
1042,6.8783755
1043,7.079412
1044,7.028518
1045,7.0724444
1046,7.034285
1047,7.0463734
1048,6.95255
1049,7.0407248
1050,7.065962
1051,7.038969
1052,6.8809137
1053,6.8618116
1054,6.9115114
1055,7.0415773
1056,6.938636
1057,7.0098886
1058,6.889152
1059,6.9914527
1060,6.93163
1061,6.9349284
1062,6.9138722
1063,6.837633
1064,6.985596
1065,6.833765
1066,7.0415974
1067,6.7263327
1068,6.904872
1069,6.9779744
1070,6.8600616
1071,6.96643
1072,6.9878545
1073,7.049141
1074,6.922277
1075,7.0247464
1076,6.92844
1077,7.0227876
1078,6.9335885
1079,6.8788404
1080,7.0207276
1081,7.0199203
1082,6.8996077
1083,6.8869033
1084,7.108374
1085,6.8423476
1086,6.916161
1087,7.133644
1088,6.9967785
1089,7.205709
1090,7.114582
1091,7.3414297
1092,6.94113
1093,6.9716215
1094,7.1843157
1095,7.0965085
1096,7.1777973
1097,7.0530605
1098,7.312492
1099,7.326426
1100,7.3514514
1101,7.262245
1102,7.26391
1103,7.1138
1104,7.2444572
1105,7.257761
1106,7.2996664
1107,7.4200478
1108,7.327185
1109,7.4454904
1110,7.3098736
1111,7.3680816
1112,7.427626
1113,7.615253
1114,7.251174
1115,7.4881277
1116,7.6298027
1117,7.7894263
1118,7.273911
1119,7.4245167
1120,7.828664
1121,7.954403
1122,7.546201
1123,7.341564
1124,7.4248023
1125,7.6381164
1126,7.7101407
1127,7.5750384
1128,7.6365466
1129,7.561966
1130,7.4949694
1131,7.4966636
1132,7.03488
1133,7.355244
1134,7.566456
1135,7.839825
1136,7.938041
1137,7.617983
1138,7.54592
1139,7.4796476
1140,7.3410044
1141,7.444373
1142,7.5302677
1143,7.3629413
1144,7.560637
1145,7.459872
1146,7.6285343
1147,7.55206
1148,7.51465
1149,7.9218984
1150,7.630932
1151,7.3383584
1152,7.558185
1153,7.686809
1154,7.74263
1155,7.2167525
1156,7.347773
1157,7.891451
1158,7.3666487
1159,7.3493667
1160,7.4182615
1161,7.4370136
1162,7.6942425
1163,7.4467435
1164,7.159939
1165,7.5562334
1166,7.212799
1167,7.6780334
1168,7.463103
1169,7.541921
1170,7.1357493
1171,7.27791
1172,7.421563
1173,7.3382735
1174,7.377807
1175,7.3341494
1176,7.19858
1177,7.349222
1178,7.108201
1179,7.2604084
1180,7.2967377
1181,7.186903
1182,7.1468663
1183,7.177913
1184,7.1765714
1185,7.0791397
1186,7.114159
1187,7.215446
1188,6.8227577
1189,7.1567526
1190,6.9671206
1191,7.0178294
1192,6.9490604
1193,6.8955064
1194,6.9641294
1195,7.0498724
1196,7.1456623
1197,6.965789
1198,7.0240626
1199,6.8509974
1200,6.9091935
1201,6.918977
1202,6.9933724
1203,6.9187217
1204,6.901267
1205,6.967548
1206,6.7636285
1207,7.037327
1208,6.769512
1209,6.908087
1210,6.9010825
1211,6.948492
1212,6.9017224
1213,6.96581
1214,6.7457623
1215,6.9314795
1216,6.634381
1217,6.868511
1218,7.034793
1219,6.7198367
1220,6.8018236
1221,6.6098275
1222,6.687128
1223,6.7649302
1224,6.8201885
1225,6.816277
1226,6.6703253
1227,6.702317
1228,6.7421064
1229,6.7564034
1230,6.7542334
1231,6.875655
1232,6.6398973
1233,6.6204185
1234,6.752053
1235,6.7422385
1236,6.758376
1237,6.769823
1238,6.6755643
1239,6.662492
1240,6.638925
1241,6.6124797
1242,6.68404
1243,6.792333
1244,6.681671
1245,6.458061
1246,6.6712146
1247,6.6909003
1248,6.587301
1249,6.525878
1250,6.6686807
1251,6.549819
1252,6.529289
1253,6.4516807
1254,6.560354
1255,6.613096
1256,6.4735723
1257,6.711684
1258,6.442315
1259,6.5999713
1260,6.535357
1261,6.6427913
1262,6.567983
1263,6.5310535
1264,6.4952545
1265,6.6137443
1266,6.490426
1267,6.6079707
1268,6.4729757
1269,6.485227
1270,6.4746895
1271,6.576808
1272,6.4754915
1273,6.705673
1274,6.541185
1275,6.5986686
1276,6.5625463
1277,6.6056547
1278,6.66873
1279,6.6037836
1280,6.801437
1281,6.9351234
1282,6.9698563
1283,6.69929
1284,6.748489
1285,6.720327
1286,6.7959824
1287,6.766937
1288,6.8300734
1289,6.8270383
1290,6.7770767
1291,6.738355
1292,6.9875126
1293,6.8446236
1294,6.7801647
1295,6.6937885
1296,6.693054
1297,6.9492817
1298,6.9743247
1299,6.8361955
1300,7.1828375
1301,6.935139
1302,6.9567113
1303,7.018701
1304,6.924499
1305,6.9210596
1306,7.174653
1307,6.8510485
1308,6.9968934
1309,7.112633
1310,7.0370703
1311,6.9320283
1312,7.149531
1313,6.846326
1314,7.1527023
1315,6.999824
1316,7.035455
1317,7.081736
1318,7.0696173
1319,6.6960063
1320,6.9192486
1321,6.931017
1322,6.8836436
1323,6.946664
1324,6.919834
1325,7.051431
1326,7.1023674
1327,7.368564
1328,6.773107
1329,6.968856
1330,6.816185
1331,6.949174
1332,6.9255714
1333,7.064267
1334,7.26121
1335,6.886813
1336,6.995504
1337,7.2063265
1338,6.752544
1339,6.7723384
1340,6.9632144
1341,7.1670938
1342,7.1764555
1343,6.761105
1344,7.0616207
1345,6.6822524
1346,6.822388
1347,6.925049
1348,6.7669706
1349,6.834911
1350,6.884616
1351,6.948252
1352,6.669347
1353,6.978181
1354,6.6692863
1355,6.8281584
1356,6.589689
1357,6.772993
1358,6.530957
1359,6.698221
1360,6.6680145
1361,6.5135703
1362,6.633044
1363,6.632568
1364,6.596668
1365,6.6397533
1366,6.5582323
1367,6.5831623
1368,6.62781
1369,6.4983873
1370,6.6573787
1371,6.543029
1372,6.3419013
1373,6.540663
1374,6.458077
1375,6.592221
1376,6.3672194
1377,6.558659
1378,6.519377
1379,6.3095465
1380,6.3982887
1381,6.402351
1382,6.5063562
1383,6.623697
1384,6.5662007
1385,6.5602813
1386,6.454244
1387,6.6271324
1388,6.485264
1389,6.756888
1390,6.6753783
1391,6.8254414
1392,6.5026207
1393,6.7060885
1394,6.456616
1395,6.713521
1396,6.5446887
1397,6.771603
1398,6.473321
1399,6.691565
1400,6.561903
1401,6.711229
1402,6.6627984
1403,6.7567077
1404,6.7218246
1405,6.6222763
1406,6.61693
1407,6.6478887
1408,6.6611266
1409,6.743052
1410,6.7692895
1411,6.7813745
1412,6.6599174
1413,6.805128
1414,6.509595
1415,6.6261206
1416,6.7769246
1417,6.606448
1418,6.669584
1419,6.6943626
1420,6.880158
1421,6.998014
1422,6.7682204
1423,6.7570634
1424,6.834284
1425,6.9107194
1426,6.7757587
1427,6.688258
1428,6.6696367
1429,6.8602586
1430,6.9609275
1431,6.5102677
1432,6.810156
1433,6.8107543
1434,6.9088893
1435,6.7749987
1436,6.819419
1437,6.780427
1438,6.7853236
1439,6.705954
1440,6.947466
1441,6.878131
1442,6.855391
1443,7.0233774
1444,6.874355
1445,6.830628
1446,7.0164833
1447,7.0010953
1448,6.7654395
1449,6.99349
1450,6.709962
1451,6.944457
1452,6.7648067
1453,6.9664373
1454,6.818526
1455,6.932562
1456,7.1064973
1457,7.0175614
1458,7.119565
1459,7.092423
1460,6.977672
1461,7.508296
1462,7.1582456
1463,7.1414747
1464,6.9558787
1465,6.8277307
1466,7.1350274
1467,6.865892
1468,6.7570944
1469,6.890204
1470,6.8478317
1471,6.6452174
1472,6.896504
1473,6.783166
1474,6.741363
1475,6.7031856
1476,6.7218494
1477,6.8589377
1478,6.647924
1479,6.6860914
1480,6.7252064
1481,6.776834
1482,6.5401044
1483,6.6010695
1484,6.553396
1485,6.6979933
1486,6.6153026
1487,7.154375
1488,6.628718
1489,6.6253457
1490,6.6776342
1491,6.870884
1492,6.518083
1493,6.6803684
1494,6.700273
1495,6.886973
1496,6.568071
1497,6.7159677
1498,6.7730536
1499,6.91357
1500,6.6649575
1501,6.6510286
1502,6.777511
1503,6.980848
1504,6.600304
1505,6.812379
1506,6.9563556
1507,6.6914043
1508,6.6547356
1509,6.9412436
1510,7.135714
1511,6.8711824
1512,6.7680383
1513,7.174662
1514,6.87363
1515,6.841446
1516,7.315603
1517,6.9021873
1518,7.059551
1519,7.146228
1520,7.0278525
1521,7.2506194
1522,7.021706
1523,7.051034
1524,7.1837406
1525,6.8545265
1526,6.8613286
1527,7.379554
1528,7.0119147
1529,7.089524
1530,7.4255733
1531,6.868321
1532,7.1155844
1533,7.221257
1534,7.332183
1535,7.1354814
1536,7.0512333
1537,7.061661
1538,7.554398
1539,7.212076
1540,7.137933
1541,7.4082227
1542,8.016527
1543,7.4297075
1544,7.732639
1545,7.232994
1546,7.1033664
1547,7.4605117
1548,6.9473333
1549,7.218398
1550,7.7332954
1551,7.197728
1552,7.2280135
1553,7.0709066
1554,7.037492
1555,7.5036387
1556,6.945752
1557,7.060975
1558,7.313265
1559,7.698437
1560,7.505771
1561,7.3662643
1562,7.4594183
1563,7.0947905
1564,7.853028
1565,6.8280745
1566,7.211601
1567,7.2479014
1568,7.0201907
1569,7.2811065
1570,7.234803
1571,7.403358
1572,6.6920834
1573,7.300035
1574,6.8679595
1575,7.207971
1576,7.0760713
1577,7.0824966
1578,7.036803
1579,7.23615
1580,6.9873457
1581,7.317791
1582,7.052246
1583,7.185311
1584,7.1555634
1585,6.9051175
1586,7.140697
1587,7.0535946
1588,6.7821217
1589,7.292034
1590,7.0964313
1591,7.1648874
1592,7.3090515
