,0
0,2.5159397
1,2.510675
2,2.5110252
3,2.5016792
4,2.5190969
5,2.4615545
6,2.4810658
7,2.4732032
8,2.4952674
9,2.4254534
10,2.418649
11,2.3867068
12,2.4327092
13,2.3577213
14,2.3742526
15,2.3678927
16,2.3755383
17,2.3252318
18,2.3352737
19,2.341583
20,2.304013
21,2.3211403
22,2.380966
23,2.2999098
24,2.3418474
25,2.3078387
26,2.3523917
27,2.2908158
28,2.3318253
29,2.299083
30,2.3488202
31,2.2915716
32,2.3219805
33,2.342004
34,2.3447404
35,2.35593
36,2.3303914
37,2.3547356
38,2.3419337
39,2.3002903
40,2.3263366
41,2.3316505
42,2.3459883
43,2.3049965
44,2.3268461
45,2.3163154
46,2.3222845
47,2.2921772
48,2.321292
49,2.2961931
50,2.297047
51,2.2795203
52,2.3275425
53,2.2925508
54,2.2765534
55,2.3081017
56,2.299663
57,2.3156197
58,2.3199124
59,2.319582
60,2.3116965
61,2.3198338
62,2.2962866
63,2.2951727
64,2.3074162
65,2.3218305
66,2.3122506
67,2.331927
68,2.3139925
69,2.3239746
70,2.3454225
71,2.3067746
72,2.3280282
73,2.3320153
74,2.339219
75,2.310139
76,2.3221712
77,2.315445
78,2.346301
79,2.3269176
80,2.3426576
81,2.3454015
82,2.3420508
83,2.3231761
84,2.3336205
85,2.3530939
86,2.351552
87,2.322746
88,2.3307672
89,2.3455114
90,2.342794
91,2.365519
92,2.3579776
93,2.3750005
94,2.3598695
95,2.3652334
96,2.353531
97,2.4026809
98,2.3563704
99,2.377123
100,2.3670135
101,2.3697033
102,2.369932
103,2.3587182
104,2.3538826
105,2.3770838
106,2.394678
107,2.3577933
108,2.3494437
109,2.3518677
110,2.350986
111,2.37607
112,2.3807232
113,2.3541527
114,2.3532245
115,2.3584423
116,2.3905404
117,2.3875825
118,2.3798108
119,2.3860786
120,2.408885
121,2.400836
122,2.4115696
123,2.4026961
124,2.4308124
125,2.4187622
126,2.458976
127,2.4406118
128,2.4805896
129,2.4514058
130,2.4859803
131,2.430016
132,2.4381814
133,2.4408634
134,2.4370675
135,2.4534974
136,2.5121326
137,2.4577596
138,2.5187733
139,2.4550152
140,2.4890528
141,2.4383621
142,2.5378113
143,2.4500022
144,2.5288835
145,2.4831123
146,2.5784125
147,2.5087173
148,2.5037773
149,2.4943585
150,2.550251
151,2.5186484
152,2.5375602
153,2.480431
154,2.5297308
155,2.4928403
156,2.5621943
157,2.4616764
158,2.513764
159,2.4822755
160,2.5513463
161,2.4577382
162,2.5676332
163,2.4773998
164,2.5831046
165,2.5083938
166,2.542891
167,2.494658
168,2.529918
169,2.490706
170,2.6311324
171,2.4620771
172,2.597238
173,2.48839
174,2.5975902
175,2.5238147
176,2.6218498
177,2.4861958
178,2.6090724
179,2.4935195
180,2.5446305
181,2.485298
182,2.632765
183,2.5022883
184,2.554563
185,2.5298052
186,2.4701095
187,2.5858302
188,2.5269358
189,2.5536165
190,2.573549
191,2.576713
192,2.566342
193,2.447634
194,2.564411
195,2.4950202
196,2.5973074
197,2.4545398
198,2.5821257
199,2.512668
200,2.539237
201,2.536086
202,2.5525315
203,2.5218894
204,2.6006513
205,2.535957
206,2.5791574
207,2.5608647
208,2.5599668
209,2.5568123
210,2.6258254
211,2.5881147
212,2.5984864
213,2.4558206
214,2.5288124
215,2.5156648
216,2.6276824
217,2.4875097
218,2.5633116
219,2.4843879
220,2.6220782
221,2.5434132
222,2.484274
223,2.687241
224,2.5313506
225,2.5962753
226,2.5394962
227,2.5811281
228,2.5708098
229,2.563523
230,2.4931908
231,2.6344645
232,2.581638
233,2.5898018
234,2.5698278
235,2.5211382
236,2.485201
237,2.6854389
238,2.5282788
239,2.5262964
240,2.556405
241,2.58493
242,2.5686922
243,2.5596244
244,2.5056906
245,2.5821104
246,2.4539258
247,2.5957222
248,2.5766127
249,2.4823077
250,2.5594702
251,2.5046315
252,2.6334693
253,2.4706526
254,2.622458
255,2.5718453
256,2.5526588
257,2.5211718
258,2.5033035
259,2.638256
260,2.5283368
261,2.5022478
262,2.5848389
263,2.45181
264,2.581503
265,2.5231183
266,2.511835
267,2.5425863
268,2.4584422
269,2.669519
270,2.51657
271,2.5076008
272,2.5432076
273,2.5090327
274,2.6207948
275,2.5554118
276,2.5921752
277,2.5412025
278,2.5005138
279,2.579448
280,2.5351305
281,2.6011024
282,2.5242996
283,2.6231005
284,2.4814231
285,2.5502715
286,2.477047
287,2.6657114
288,2.524908
289,2.4964952
290,2.517814
291,2.5483527
292,2.5604882
293,2.5316882
294,2.556915
295,2.5584528
296,2.5167103
297,2.463428
298,2.5819845
299,2.5470054
300,2.590334
301,2.5120983
302,2.6418858
303,2.4567335
304,2.633214
305,2.558978
306,2.7003264
307,2.5033967
308,2.5955114
309,2.467258
310,2.5980954
311,2.5391598
312,2.6236155
313,2.484652
314,2.5657487
315,2.5295892
316,2.5192263
317,2.4397333
318,2.5964077
319,2.5165586
320,2.6001136
321,2.5081282
322,2.6242788
323,2.6616578
324,2.5800629
325,2.5486712
326,2.6445477
327,2.706368
328,2.603949
329,2.588191
330,2.5372448
331,2.476956
332,2.628405
333,2.5134907
334,2.5474138
335,2.527785
336,2.5804217
337,2.5315971
338,2.6512966
339,2.483363
340,2.6373782
341,2.5098517
342,2.5500937
343,2.5224504
344,2.6242745
345,2.5401962
346,2.685536
347,2.4969513
348,2.688163
349,2.511816
350,2.63786
351,2.4693584
352,2.626165
353,2.4815652
354,2.6633573
355,2.5976315
356,2.5683033
357,2.5067198
358,2.643931
359,2.5551004
360,2.6958961
361,2.521583
362,2.6881404
363,2.5380912
364,2.614394
365,2.575401
366,2.6018014
367,2.5985892
368,2.6456637
369,2.6079814
370,2.5585537
371,2.5496073
372,2.5839033
373,2.5458307
374,2.6737576
375,2.5572
376,2.5141149
377,2.5722964
378,2.513621
379,2.6675534
380,2.647731
381,2.6530724
382,2.642189
383,2.4785573
384,2.6489449
385,2.4939127
386,2.666748
387,2.5343444
388,2.6090412
389,2.4814568
390,2.6291523
391,2.58148
392,2.460781
393,2.6029444
394,2.6109293
395,2.6453278
396,2.6204095
397,2.4696653
398,2.6453872
399,2.520378
400,2.6651971
401,2.5456452
402,2.4863782
403,2.5813437
404,2.5218816
405,2.6114776
406,2.5700684
407,2.5603185
408,2.4943974
409,2.5910068
410,2.5334425
411,2.6244903
412,2.5990522
413,2.5043652
414,2.6088889
415,2.5597618
416,2.4364233
417,2.5889769
418,2.5328147
419,2.619339
420,2.5588443
421,2.4983466
422,2.5809336
423,2.5254087
424,2.619201
425,2.557826
426,2.5613403
427,2.480312
428,2.6222198
429,2.5307407
430,2.5721545
431,2.473509
432,2.575215
433,2.4870439
434,2.5970395
435,2.5459561
436,2.5313392
437,2.560904
438,2.456624
439,2.6015747
440,2.5151782
441,2.6337755
442,2.555595
443,2.6417487
444,2.5925574
445,2.5154228
446,2.6183968
447,2.5728545
448,2.6191175
449,2.559323
450,2.6849935
451,2.6044314
452,2.5556536
453,2.6530342
454,2.5986366
455,2.5937142
456,2.5186348
457,2.6446867
458,2.5532877
459,2.6601622
460,2.6162462
461,2.6115499
462,2.55033
463,2.6575906
464,2.5717318
465,2.6741893
466,2.6295528
467,2.5334141
468,2.6547744
469,2.6076987
470,2.6716278
471,2.6314247
472,2.5197806
473,2.6790202
474,2.5699856
475,2.702043
476,2.6377664
477,2.6650136
478,2.5639307
479,2.6673522
480,2.6338487
481,2.7090735
482,2.6548014
483,2.546881
484,2.6825783
485,2.6073153
486,2.726562
487,2.6610053
488,2.7284682
489,2.7053785
490,2.631943
491,2.7290113
492,2.6378512
493,2.7472808
494,2.6997414
495,2.705889
496,2.6752458
497,2.6005151
498,2.720027
499,2.661449
500,2.777147
501,2.6761584
502,2.619269
503,2.7344308
504,2.6973543
505,2.776557
506,2.687726
507,2.7055988
508,2.6775486
509,2.75825
510,2.6895185
511,2.725208
512,2.7066991
513,2.6743493
514,2.776937
515,2.678161
516,2.698841
517,2.788577
518,2.7300925
519,2.662912
520,2.7341046
521,2.7351913
522,2.7584608
523,2.733024
524,2.6792064
525,2.788768
526,2.718206
527,2.6357255
528,2.8103876
529,2.6717453
530,2.7964358
531,2.6907496
532,2.72415
533,2.688729
534,2.7909827
535,2.7027717
536,2.78105
537,2.7822044
538,2.7238238
539,2.7819753
540,2.7111354
541,2.8475337
542,2.7587886
543,2.7080421
544,2.7841742
545,2.7511976
546,2.6817846
547,2.754707
548,2.6666687
549,2.7882876
550,2.736255
551,2.6653278
552,2.7756364
553,2.700611
554,2.7934453
555,2.7451897
556,2.826366
557,2.7494402
558,2.669404
559,2.7648335
560,2.704461
561,2.8000014
562,2.744816
563,2.8188388
564,2.7811687
565,2.7100854
566,2.8027098
567,2.7600667
568,2.7874947
569,2.718028
570,2.8029227
571,2.7701101
572,2.709967
573,2.8044963
574,2.752093
575,2.8211184
576,2.7836528
577,2.7354112
578,2.8258443
579,2.6968484
580,2.7690322
581,2.7314968
582,2.740509
583,2.7091882
584,2.7670822
585,2.7388942
586,2.74083
587,2.816162
588,2.772197
589,2.7272809
590,2.7956543
591,2.7633018
592,2.7692435
593,2.718435
594,2.790391
595,2.7593782
596,2.820664
597,2.7852302
598,2.7318523
599,2.8133323
600,2.7435188
601,2.822565
602,2.768284
603,2.794501
604,2.7169132
605,2.8195412
