,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
0,tensor(-0.00062245),tensor(-0.00388091),tensor(-0.00754879),tensor(-0.00211987),tensor(-0.00752209),tensor(-0.01431295),tensor(0.00454417),tensor(0.00289972),tensor(0.00411524),tensor(0.00485802),tensor(0.00099611),tensor(0.00070623),tensor(-0.00042639),tensor(0.00135328),tensor(-0.00226975),tensor(-0.00394040),tensor(-0.01757071)
1,tensor(0.00026040),tensor(-0.00114858),tensor(-0.00533496),tensor(-0.00182392),tensor(-0.00244780),tensor(-0.00956865),tensor(0.00315383),tensor(0.00094242),tensor(0.00165263),tensor(0.00125023),tensor(0.00036803),tensor(0.00188838),tensor(0.00144875),tensor(-0.00124558),tensor(-0.00253154),tensor(-0.00368327),tensor(-0.01546476)
2,tensor(0.00025284),tensor(-0.00013925),tensor(-0.00347804),tensor(-0.00134347),tensor(0.00070713),tensor(-0.00507742),tensor(0.00216978),tensor(0.00091527),tensor(0.00158638),tensor(0.00173018),tensor(0.00028766),tensor(0.00130540),tensor(0.00111025),tensor(-0.00014289),tensor(-0.00183614),tensor(-0.00277171),tensor(-0.01008317)
3,tensor(-0.00036498),tensor(-0.00049400),tensor(-0.00279377),tensor(-0.00074724),tensor(0.00083812),tensor(-0.00274879),tensor(0.00164108),tensor(0.00104868),tensor(0.00175928),tensor(0.00205143),tensor(0.00028329),tensor(-0.00023035),tensor(-0.00062087),tensor(0.00084431),tensor(-0.00014398),tensor(-0.00080554),tensor(-0.00153596)
4,tensor(-0.00038399),tensor(0.00089244),tensor(-0.00386681),tensor(-0.00090632),tensor(0.00448313),tensor(-0.00382950),tensor(0.00112386),tensor(0.00092843),tensor(0.00199435),tensor(0.00267374),tensor(0.00011932),tensor(-0.00079988),tensor(-0.00131097),tensor(0.00107059),tensor(7.41403637e-05),tensor(-0.00085488),tensor(-0.01732599)
5,tensor(0.00066579),tensor(0.00244611),tensor(-0.00232276),tensor(-0.00123918),tensor(0.00744973),tensor(-0.00035177),tensor(0.00114628),tensor(-7.19600939e-05),tensor(0.00054154),tensor(5.90948548e-05),tensor(-9.78267126e-05),tensor(0.00147817),tensor(0.00172878),tensor(-0.00064782),tensor(-0.00144613),tensor(-0.00236952),tensor(-0.01183789)
6,tensor(0.00016392),tensor(0.00129176),tensor(-0.00236910),tensor(-0.00090741),tensor(0.00160337),tensor(-0.00264022),tensor(0.00268571),tensor(0.00124663),tensor(0.00240314),tensor(0.00330772),tensor(0.00022940),tensor(0.00133769),tensor(0.00168718),tensor(0.00099549),tensor(-8.53948859e-06),tensor(-0.00054723),tensor(-0.00218297)
7,tensor(-0.00040868),tensor(-7.44301906e-06),tensor(-0.00461125),tensor(-0.00122007),tensor(-0.00302297),tensor(-0.00355856),tensor(0.00176583),tensor(0.00160770),tensor(0.00280608),tensor(0.00391123),tensor(0.00039733),tensor(-2.46407490e-05),tensor(0.00012320),tensor(0.00270795),tensor(0.00039689),tensor(-0.00103664),tensor(-0.01836863)
8,tensor(0.00060952),tensor(0.00305265),tensor(-0.00262233),tensor(-0.00161164),tensor(0.00867601),tensor(-7.14553244e-05),tensor(0.00402093),tensor(0.00191041),tensor(0.00347343),tensor(0.00472763),tensor(0.00037406),tensor(0.00187564),tensor(0.00163796),tensor(0.00170049),tensor(-0.00136185),tensor(-0.00236936),tensor(-0.01261518)
9,tensor(-0.00128125),tensor(0.00025939),tensor(-0.00178605),tensor(0.00041324),tensor(0.00308937),tensor(-0.00326112),tensor(0.00083083),tensor(0.00110601),tensor(0.00247905),tensor(0.00398595),tensor(3.38991958e-05),tensor(-0.00326378),tensor(-0.00430210),tensor(0.00290392),tensor(0.00295639),tensor(0.00292822),tensor(0.01109124)
10,tensor(0.00035914),tensor(0.00417552),tensor(0.00045072),tensor(-0.00037831),tensor(0.00813410),tensor(0.00328144),tensor(0.00233604),tensor(0.00087543),tensor(0.00224734),tensor(0.00390694),tensor(-0.00014004),tensor(6.89541048e-05),tensor(-0.00013325),tensor(0.00260823),tensor(0.00053479),tensor(-4.16533512e-05),tensor(-0.01672982)
11,tensor(0.00097453),tensor(0.00275995),tensor(-0.00056740),tensor(-0.00108380),tensor(0.00317670),tensor(0.00045580),tensor(0.00319717),tensor(0.00039823),tensor(0.00119789),tensor(0.00025715),tensor(-8.10496422e-05),tensor(0.00224530),tensor(0.00297038),tensor(0.00112976),tensor(-0.00167690),tensor(-0.00230971),tensor(-0.01521907)
12,tensor(0.00052831),tensor(0.00225297),tensor(0.00066026),tensor(-0.00069481),tensor(0.00416498),tensor(0.00312490),tensor(0.00350144),tensor(0.00204975),tensor(0.00329051),tensor(0.00437849),tensor(0.00036681),tensor(0.00213032),tensor(0.00291027),tensor(0.00299061),tensor(0.00040833),tensor(-7.60874100e-05),tensor(0.00478582)
13,tensor(0.00075572),tensor(0.00527940),tensor(0.00151711),tensor(0.00026441),tensor(0.00477510),tensor(0.00553009),tensor(-0.00132735),tensor(-0.00086764),tensor(-2.70610190e-06),tensor(0.00086933),tensor(-0.00074229),tensor(0.00026590),tensor(0.00087738),tensor(0.00207695),tensor(0.00132350),tensor(0.00158613),tensor(-0.01469430)
14,tensor(0.00033756),tensor(0.00263460),tensor(0.00086800),tensor(-0.00102146),tensor(0.00422875),tensor(0.00282828),tensor(0.00105614),tensor(0.00213145),tensor(0.00338732),tensor(0.00405183),tensor(0.00037204),tensor(0.00010755),tensor(-0.00087626),tensor(0.00262371),tensor(-0.00119424),tensor(-0.00206764),tensor(-0.01255778)
15,tensor(-3.48954854e-05),tensor(0.00130667),tensor(-0.00193233),tensor(0.00017378),tensor(0.00329933),tensor(-0.00243678),tensor(0.00049373),tensor(-5.67837124e-05),tensor(0.00017466),tensor(-0.00057181),tensor(-5.34794090e-05),tensor(0.00107702),tensor(0.00116862),tensor(-0.00258771),tensor(0.00160669),tensor(0.00201217),tensor(0.00249190)
16,tensor(0.00131126),tensor(0.00431327),tensor(0.00458013),tensor(0.00026531),tensor(0.00284909),tensor(0.00425278),tensor(0.00260138),tensor(0.00082145),tensor(0.00197212),tensor(0.00295955),tensor(-0.00025724),tensor(0.00155973),tensor(0.00176581),tensor(0.00273875),tensor(0.00028486),tensor(0.00055177),tensor(0.01186607)
17,tensor(-0.00064072),tensor(-0.00048852),tensor(-0.00204954),tensor(-0.00147607),tensor(0.00195958),tensor(0.00208990),tensor(-0.00214114),tensor(0.00263769),tensor(0.00276515),tensor(0.00272324),tensor(0.00106896),tensor(0.00067930),tensor(0.00067232),tensor(0.00139996),tensor(-0.00029704),tensor(-0.00169886),tensor(-0.01705204)
18,tensor(0.00136348),tensor(0.00427623),tensor(0.00264843),tensor(0.00041344),tensor(0.00096581),tensor(-0.00335588),tensor(0.00201578),tensor(5.37748429e-06),tensor(0.00142285),tensor(0.00226906),tensor(-0.00068704),tensor(0.00133315),tensor(0.00176013),tensor(0.00210723),tensor(-0.00034598),tensor(4.17846750e-05),tensor(-0.00476166)
19,tensor(-0.00033682),tensor(-0.00160037),tensor(-0.00280097),tensor(-0.00133359),tensor(-0.00144776),tensor(-0.00178835),tensor(0.00123577),tensor(0.00236217),tensor(0.00302157),tensor(0.00251379),tensor(0.00088126),tensor(0.00174889),tensor(0.00070746),tensor(0.00061486),tensor(-0.00082721),tensor(-0.00130744),tensor(0.00452899)
20,tensor(-0.00052582),tensor(0.00104878),tensor(-0.00058175),tensor(-7.01210956e-05),tensor(3.32410527e-05),tensor(-0.00537059),tensor(0.00069508),tensor(0.00243217),tensor(0.00282076),tensor(0.00242329),tensor(0.00055087),tensor(-0.00020041),tensor(-0.00063600),tensor(0.00117037),tensor(0.00094862),tensor(0.00026917),tensor(-0.01370489)
21,tensor(0.00060004),tensor(0.00041637),tensor(0.00130768),tensor(-0.00135444),tensor(-0.00091728),tensor(0.00268239),tensor(0.00273654),tensor(0.00098463),tensor(0.00089894),tensor(0.00103499),tensor(0.00047354),tensor(0.00241078),tensor(0.00265551),tensor(0.00200414),tensor(-0.00184448),tensor(-0.00279808),tensor(-0.00933535)
22,tensor(0.00050195),tensor(0.00047537),tensor(0.00046391),tensor(0.00051632),tensor(0.00194430),tensor(0.00308034),tensor(0.00068049),tensor(0.00040805),tensor(0.00022643),tensor(-0.00127030),tensor(0.00010587),tensor(0.00268558),tensor(0.00286619),tensor(-0.00208416),tensor(0.00111013),tensor(0.00168105),tensor(0.00931478)
23,tensor(0.00084434),tensor(0.00105225),tensor(5.74588666e-05),tensor(-0.00092887),tensor(0.00222822),tensor(-0.00076375),tensor(-0.00217879),tensor(0.00077839),tensor(0.00114525),tensor(0.00172463),tensor(0.00029431),tensor(0.00214614),tensor(0.00188010),tensor(0.00224047),tensor(-0.00134635),tensor(-0.00225754),tensor(-0.00465916)
24,tensor(0.00043389),tensor(0.00227114),tensor(0.00450962),tensor(0.00084925),tensor(7.10068198e-05),tensor(-0.00031651),tensor(0.00156770),tensor(-0.00084883),tensor(-0.00035924),tensor(0.00079042),tensor(-0.00064878),tensor(0.00038330),tensor(0.00091258),tensor(0.00173509),tensor(0.00054207),tensor(0.00090442),tensor(0.00624498)
25,tensor(0.00119973),tensor(0.00338410),tensor(0.00488503),tensor(0.00031606),tensor(-0.00059576),tensor(0.00732397),tensor(0.00040404),tensor(-3.73455186e-05),tensor(0.00015240),tensor(-0.00109997),tensor(-0.00038388),tensor(-0.00247747),tensor(-0.00175195),tensor(-0.00200870),tensor(-0.00055732),tensor(-0.00033314),tensor(-0.01097369)
