,0
0,2.5180545
1,2.521028
2,2.534231
3,2.5745296
4,2.5125241
5,2.5134437
6,2.5735102
7,2.502466
8,2.4936993
9,2.5206258
10,2.5521052
11,2.4225693
12,2.4293227
13,2.461205
14,2.4274092
15,2.4849327
16,2.4121614
17,2.3883934
18,2.4148831
19,2.452108
20,2.4140837
21,2.381575
22,2.403679
23,2.44492
24,2.3915868
25,2.3782132
26,2.4163585
27,2.4365563
28,2.3684804
29,2.3827958
30,2.4356189
31,2.359346
32,2.3817925
33,2.3759818
34,2.3661098
35,2.3465369
36,2.3808477
37,2.3510895
38,2.3647444
39,2.3495996
40,2.3656454
41,2.3289433
42,2.3473656
43,2.3048813
44,2.3408613
45,2.3061728
46,2.329607
47,2.3027577
48,2.343446
49,2.3097577
50,2.2787511
51,2.3227148
52,2.266062
53,2.3041677
54,2.266424
55,2.2969544
56,2.2679737
57,2.3086865
58,2.2740116
59,2.3081992
60,2.2786872
61,2.3022285
62,2.274961
63,2.3126364
64,2.27852
65,2.3088276
66,2.2766285
67,2.3148499
68,2.2836285
69,2.3186398
70,2.264944
71,2.308803
72,2.2677517
73,2.3086877
74,2.2759976
75,2.3225496
76,2.2745929
77,2.3235443
78,2.2589755
79,2.314969
80,2.2576594
81,2.310229
82,2.2404044
83,2.295486
84,2.2402878
85,2.3009439
86,2.2508764
87,2.3081193
88,2.2687116
89,2.3096416
90,2.2698104
91,2.3263276
92,2.2764826
93,2.307917
94,2.2770238
95,2.3223746
96,2.2906706
97,2.3347905
98,2.2874722
99,2.329268
100,2.2893157
101,2.3261077
102,2.2911992
103,2.326879
104,2.2805252
105,2.2284791
106,2.2894783
107,2.232233
108,2.2996984
109,2.2307575
110,2.2783551
111,2.2396133
112,2.2727926
113,2.2416086
114,2.260676
115,2.2221408
116,2.2938614
117,2.2560246
118,2.1904485
119,2.2483053
120,2.1899533
121,2.2392178
122,2.232703
123,2.2444925
124,2.2247286
125,2.1594157
126,2.223905
127,2.1736162
128,2.231336
129,2.1868777
130,2.160337
131,2.1962929
132,2.1761637
133,2.2052503
134,2.170627
135,2.2227116
136,2.1704197
137,2.1265426
138,2.1770732
139,2.1270862
140,2.1714077
141,2.1358175
142,2.1675532
143,2.1315787
144,2.1718311
145,2.1249542
146,2.0819101
147,2.1282377
148,2.0818725
149,2.1369767
150,2.092484
151,2.066157
152,2.1064832
153,2.0685043
154,2.1061344
155,2.0760853
156,2.0180123
157,2.0678446
158,2.0161793
159,2.071474
160,2.0212705
161,2.0733755
162,2.0128596
163,2.0664299
164,2.0162365
165,2.067317
166,2.0283136
167,1.9877837
168,2.031921
169,1.9882815
170,2.026258
171,1.9905542
172,2.0424895
173,1.9977853
174,1.9650527
175,2.0024157
176,1.9640938
177,2.0073552
178,1.9683471
179,2.0037909
180,1.976033
181,2.0192263
182,1.9829144
183,2.0117507
184,1.9766314
185,1.9507095
186,1.9846253
187,1.9556799
188,1.98948
189,1.9615501
190,1.9998573
191,1.9695233
192,2.0067925
193,1.9806838
194,2.0099485
195,1.98032
196,1.948443
197,1.9816201
198,1.9536312
199,1.9838519
200,1.9535857
201,1.9896132
202,1.9654789
203,1.9936981
204,1.9641541
205,1.9952124
206,1.9752618
207,2.0060065
208,1.9792931
209,1.9432975
210,1.9800684
211,1.9539782
212,1.9885795
213,1.9565767
214,1.9870633
215,1.9534785
216,1.9906
217,1.9634938
218,1.9792188
219,1.965162
220,1.9830991
221,1.9710655
222,1.9921508
223,1.9660571
224,1.995323
225,1.970361
226,1.9990718
227,1.9584212
228,1.9839025
229,1.9616694
230,1.9869895
231,1.9751992
232,1.9803338
233,1.9716663
234,1.9863455
235,1.9608482
236,1.9972036
237,1.944309
238,1.980284
239,1.9390256
240,1.9694792
241,1.9273822
242,1.9661629
243,1.9172857
244,1.9547706
245,1.9161798
246,1.9516876
247,1.9115721
248,1.9467912
249,1.9085023
250,1.9342306
251,1.9018744
252,1.9310675
253,1.9025469
254,1.9266889
255,1.8945167
256,1.9168484
257,1.8918133
258,1.9160626
259,1.8861676
260,1.9046011
261,1.880213
262,1.9031423
263,1.8746567
264,1.8981824
265,1.8640316
266,1.8931181
267,1.8723664
268,1.8896165
269,1.8627067
270,1.8849046
271,1.8595529
272,1.8793654
273,1.8546637
274,1.8822677
275,1.8475368
276,1.8779862
277,1.8503513
278,1.8820899
279,1.8536955
280,1.8877602
281,1.852746
282,1.8812904
283,1.8576388
284,1.8901706
285,1.8612509
286,1.8965868
287,1.8632258
288,1.8917189
289,1.8748821
290,1.9061575
291,1.8770031
292,1.8978033
293,1.8765943
294,1.906258
295,1.8827065
296,1.9162859
297,1.8849874
298,1.9039409
299,1.8755242
300,1.913101
301,1.888792
302,1.9187891
303,1.8907495
304,1.9164295
305,1.8904989
306,1.9262964
307,1.9005421
308,1.9421628
309,1.8997542
310,1.9252585
311,1.9064466
312,1.8804433
313,1.9168277
314,1.9003888
315,1.930022
316,1.8967373
317,1.9311632
318,1.9128673
319,1.9398533
320,1.9314642
321,1.9578171
322,1.9237609
