,0
0,9.365195
1,9.259482
2,9.27009
3,9.199543
4,9.121045
5,8.927385
6,9.048263
7,8.737685
8,9.151236
9,8.668174
10,9.296925
11,7.329051
12,7.8091326
13,7.36996
14,7.5518904
15,8.438665
16,8.6336975
17,8.982866
18,9.184041
19,8.705905
20,9.084592
21,8.810974
22,8.940158
23,8.681421
24,8.889482
25,9.159208
26,9.753325
27,9.281136
28,8.710898
29,8.926296
30,8.904665
31,9.168788
32,8.824759
33,9.008684
34,9.0904045
35,8.844666
36,8.483422
37,8.3367405
38,8.690746
39,8.43774
40,8.994272
41,8.994173
42,8.621607
43,8.912678
44,8.552061
45,9.072125
46,8.871134
47,8.761021
48,9.055081
49,8.616564
50,9.3061495
51,9.112277
52,8.625232
53,9.013681
54,8.737449
55,8.082669
56,8.899516
57,8.637774
58,9.508151
59,8.890817
60,8.921134
61,8.675369
62,9.186793
63,9.031017
64,8.505751
65,8.779857
66,8.86455
67,9.215327
68,9.133619
69,9.01053
70,8.493413
71,8.466243
72,8.572251
73,8.217276
74,8.72789
75,8.894177
76,9.141382
77,9.2521515
78,8.888322
79,9.273342
80,9.409295
81,9.60765
82,9.568792
83,9.251258
84,9.848874
85,8.606198
86,9.2382145
87,9.347868
88,9.499486
89,9.642021
90,9.435536
91,9.859118
92,9.157973
93,9.08596
94,9.430788
95,9.439943
96,9.231876
97,9.367795
98,9.134929
99,8.945134
100,9.856884
101,9.201601
102,9.420444
103,8.844248
104,9.48489
105,9.632612
106,9.945165
107,9.409471
108,8.8478985
109,8.43913
110,8.077245
111,8.426709
112,8.124316
113,7.8890157
114,8.348539
115,7.915204
116,7.4205365
117,7.577079
118,7.862521
119,7.787277
120,7.6122074
121,7.3991113
122,7.219919
123,7.7249193
124,7.6533356
125,7.2826552
126,7.38138
127,7.1359673
128,7.3042164
129,7.4136176
130,7.1366954
131,7.2009254
132,7.7338567
133,7.154399
134,7.4287405
135,6.6783
136,6.9994063
137,6.829272
138,6.827269
139,6.8810964
140,6.5994744
141,6.723177
142,6.7338624
143,6.8460684
144,6.864229
145,6.956152
146,6.915125
147,6.606724
148,6.914266
149,6.94331
150,6.7813888
151,6.9064455
152,6.6168733
153,6.84024
154,7.266558
155,6.5787554
156,7.1205444
157,7.1448274
158,7.3696556
159,7.9598446
160,8.308515
161,8.0336275
162,7.964632
163,8.190452
164,8.778801
165,7.8866396
166,7.5921984
167,7.527844
168,7.5483627
169,7.5864024
170,7.4741554
171,7.89997
172,7.7920227
173,8.658978
174,7.6202664
175,7.486695
176,7.752147
177,7.5217543
178,7.6978583
179,8.119234
180,8.870554
181,8.225221
182,8.62684
183,9.0583
184,8.47048
185,9.434413
186,9.052176
187,8.883518
188,8.775869
189,8.928239
190,8.826854
191,9.73573
192,8.878169
193,9.192831
194,9.051977
195,8.93808
196,8.828757
197,7.6586533
198,8.480592
199,8.208028
200,8.890821
201,8.360351
202,8.809866
203,8.619895
204,8.5806875
205,8.417372
206,8.356927
207,8.295545
208,8.584057
209,9.025196
210,9.217982
211,8.10835
212,8.753062
213,8.60525
214,8.666077
215,8.45149
216,8.867519
217,8.339609
218,8.739528
219,8.230803
220,9.024271
221,8.397086
222,8.350024
223,8.350745
224,8.497269
225,8.018098
226,9.157309
227,8.814018
228,8.591392
229,8.71282
230,9.27525
231,8.847381
232,8.725276
233,9.012947
234,9.078511
235,8.190549
236,8.107611
237,8.9957905
238,8.864761
239,8.5415745
240,8.0963745
241,8.918741
242,8.507388
243,8.853129
244,8.879684
245,8.551833
246,8.7430935
247,8.65472
248,8.8487015
249,8.980376
250,8.334578
251,8.725696
252,8.4284115
253,9.036352
254,8.618303
255,8.783633
256,9.476337
257,8.364971
258,8.703428
259,8.815964
260,9.115317
261,8.594471
262,9.63601
263,8.603289
264,8.716761
265,8.672202
266,8.833813
267,8.718729
268,9.047236
269,8.441273
270,8.843623
271,8.928518
272,9.201322
273,9.843486
274,8.828298
275,9.593124
276,8.770753
277,9.723878
278,8.473124
279,8.52151
280,9.199094
281,8.893563
282,8.934049
283,8.32564
284,8.583465
285,8.95646
286,8.947052
287,9.021553
288,9.576755
289,8.651886
290,9.448072
291,8.556052
292,8.982288
293,8.368529
294,8.906336
295,9.166199
296,8.511815
297,9.284393
298,9.007925
299,9.162601
300,9.130235
301,9.469372
302,9.246724
303,8.780223
304,9.623723
305,8.889087
306,9.546288
307,9.236602
308,8.957004
309,8.7236805
310,9.538201
311,9.205708
312,9.511832
313,9.65439
314,9.407101
315,9.408883
316,9.686082
317,9.734294
318,10.003407
319,9.607373
320,9.4692335
321,10.620858
322,9.999957
323,10.370131
324,10.279083
325,10.793115
326,10.171311
327,10.224172
328,9.112463
329,10.241655
330,9.663908
331,8.856945
332,8.316976
333,8.360838
334,7.978795
335,7.939305
336,7.794995
337,8.417005
338,8.519925
339,8.124031
340,7.3996654
341,7.6000524
342,8.048393
343,8.125294
344,7.955289
345,8.217677
346,8.140663
347,7.846708
348,7.9098644
349,8.009887
350,8.184954
351,8.678447
352,8.580141
353,8.648097
354,8.429139
355,8.173516
356,8.663415
357,8.244033
358,7.8050785
359,7.9585853
360,9.007933
361,8.794764
362,8.463462
363,9.01545
364,8.709238
365,8.496015
366,8.791704
367,8.893202
368,8.930201
369,9.049138
370,9.071327
371,8.850062
372,9.094935
373,9.214918
374,9.18069
375,9.152409
376,8.680758
377,8.626694
378,8.493461
379,8.734759
380,8.993062
381,8.681648
382,8.745516
383,8.888166
384,8.363457
385,8.675284
386,8.803794
387,8.432593
388,7.960358
389,8.351714
390,8.272573
391,8.267559
392,8.198821
393,7.723379
394,8.091367
395,8.350179
396,8.127726
397,8.481983
398,8.425621
399,8.684793
400,8.911588
401,8.839922
402,8.961792
403,9.297287
404,9.475769
405,9.693663
406,9.8719635
407,9.914214
408,9.646469
409,9.583105
410,9.419964
411,9.496179
412,9.246727
413,8.909291
414,8.7229
415,8.358497
416,8.407889
417,8.526644
418,8.269526
419,7.835981
420,8.332027
421,8.564234
422,8.780625
423,9.001053
424,8.733084
425,9.110275
426,9.147699
427,8.780226
428,9.016141
429,8.759622
430,9.065821
431,9.056456
432,9.373977
433,9.482266
434,9.56482
435,9.04749
436,8.855068
437,8.565311
438,9.270063
439,9.483107
440,10.162749
441,9.893129
442,9.530248
443,9.494825
444,9.990339
445,9.68807
446,9.984191
447,9.491013
448,9.922527
449,9.787683
450,10.001414
451,9.74242
452,9.272124
453,10.162799
454,9.566219
455,10.240727
456,9.761986
457,9.72941
458,10.164893
459,9.554666
460,9.533736
461,8.798563
462,9.254419
463,8.978615
464,9.666353
465,9.199716
466,9.520567
467,9.030488
468,8.880945
469,9.5471735
470,8.998264
471,9.314623
472,8.096131
473,8.406335
474,7.9713645
475,8.126135
476,7.9776983
477,8.299182
478,9.142911
479,8.804317
480,9.125606
481,9.702165
482,10.186773
483,9.437495
484,10.472554
485,9.510929
486,9.123322
487,10.084635
488,9.225639
489,9.47215
490,9.382328
491,10.300528
492,9.316838
493,9.648339
494,8.979051
495,9.541159
496,8.86499
497,9.217632
498,9.076226
499,9.634065
500,9.90063
501,9.327571
502,8.874706
503,8.555311
504,8.2523
505,8.533249
506,8.3095255
507,8.903974
508,8.923995
509,9.106952
510,9.262445
511,9.315256
512,9.5974655
513,9.233117
514,9.287553
515,9.129386
516,9.606468
517,9.0723715
518,8.942015
519,9.196177
520,9.796757
521,9.031412
522,8.87256
523,8.826218
524,8.474567
525,8.096042
526,8.495884
527,8.010503
528,8.088692
529,8.257145
530,8.8786745
531,8.295811
532,8.455365
533,9.040894
534,8.60899
535,8.070618
536,8.374333
537,8.405523
538,9.352142
539,9.055442
540,8.876299
541,9.139856
542,8.415585
543,9.505782
544,9.112419
545,9.408051
546,8.769041
547,9.315792
548,9.764734
549,9.023952
550,9.127299
551,9.154069
552,8.894781
553,9.475937
554,8.887854
555,9.474419
556,8.918164
557,9.109498
558,9.119973
559,9.366485
560,9.66614
561,8.771084
562,9.281986
563,9.299345
564,9.496869
565,9.139269
566,8.706106
567,9.550802
568,9.347811
569,9.666069
570,8.820546
571,9.003064
572,8.64081
573,8.885827
574,8.849208
575,8.908506
576,8.676596
577,8.713685
578,9.218374
579,8.784441
580,8.616017
581,8.776283
582,8.711108
583,8.68971
584,8.5267105
585,8.508081
586,8.343521
587,8.606297
588,8.689606
589,8.875489
590,8.4403925
591,9.099384
592,8.795956
593,8.31078
594,8.834919
595,8.684284
596,9.002718
597,8.4239
598,8.467042
599,8.634923
600,8.09586
601,8.033885
602,8.7425375
603,9.302077
604,9.3544035
605,8.781542
606,8.466396
607,8.877462
608,8.916203
609,8.199299
610,8.458138
611,8.985262
612,8.042494
613,8.851404
614,8.889853
615,8.932957
616,9.634024
617,10.115928
618,10.058951
619,9.928132
620,9.888455
621,9.459842
622,9.267173
623,9.358207
624,9.468777
625,8.995193
626,9.147543
627,8.483779
628,8.307319
629,8.731432
630,9.160296
631,8.283512
632,8.8984995
633,8.556219
634,9.091138
635,8.387319
636,8.463441
637,8.83418
638,8.726859
639,9.020222
640,8.996622
641,8.280113
642,9.11488
643,8.106233
644,8.2835865
645,8.948966
646,7.9743967
647,8.571322
648,8.620823
649,8.674311
650,9.015889
651,8.025861
652,8.485595
653,8.195598
654,8.593057
655,8.292384
656,9.120513
657,8.337252
658,8.67543
659,8.850155
660,7.877352
661,8.256743
662,8.167251
663,8.067006
664,8.219559
665,7.957204
666,8.422236
667,8.730977
668,8.228285
669,8.200776
670,8.6586075
671,8.979571
672,8.092928
673,7.943546
674,8.160544
675,8.150527
676,8.2537565
677,7.6046286
678,7.6089587
679,8.4441805
680,7.810678
681,8.052837
682,8.919018
683,8.456488
684,8.252995
685,8.171417
686,8.231401
687,8.181617
688,8.571741
689,8.574457
690,8.670642
691,8.659507
692,8.844749
693,8.4666815
694,9.051713
695,8.722045
696,8.311209
697,8.898302
698,8.368492
699,8.865823
700,8.620657
701,8.153157
702,9.017747
703,9.008839
704,8.92988
705,9.437389
706,9.548364
707,9.308275
708,9.061217
709,9.478052
710,9.116701
711,9.636939
712,9.473121
713,10.154133
714,10.054818
715,9.7275305
716,10.042252
717,9.722743
718,9.1511
719,9.040956
720,9.754026
721,9.362329
722,9.443003
723,9.021692
724,9.336475
725,9.160617
726,9.07356
727,7.7933087
728,8.570287
729,7.132867
730,7.552417
731,7.6940303
732,7.897461
733,8.025612
734,8.5045395
735,8.07197
736,7.594583
737,8.053901
738,8.10856
739,8.048804
740,8.0513115
741,7.6036134
742,7.519274
743,7.4111986
744,7.5412693
745,7.5682364
746,7.5281606
747,7.641605
748,7.533549
749,8.523848
750,8.052813
751,8.580913
752,8.49098
753,8.414281
754,8.516656
755,8.579286
756,8.889828
757,8.711085
758,8.723904
759,8.955816
760,8.676645
761,8.671245
762,8.637009
763,8.903381
764,8.55646
765,8.82008
766,9.025392
767,8.773869
768,9.011471
769,8.97039
770,8.933144
771,8.689384
772,9.171183
773,9.01094
774,8.866329
775,8.550986
776,8.927041
777,8.814467
778,8.47052
779,8.964395
780,8.824913
781,8.670498
782,8.581236
783,8.868456
784,9.208159
785,9.052463
786,9.391844
787,9.61184
788,9.376116
789,8.838113
790,9.275563
791,8.687036
792,9.035102
793,9.380748
794,9.21576
795,9.70612
796,10.166684
797,10.294015
798,9.872587
799,9.418726
800,9.296955
801,9.492004
802,9.110448
803,9.024356
804,9.256205
805,9.68561
806,9.762186
807,9.588438
808,9.079233
809,8.938423
810,8.734538
811,8.953468
812,8.727593
813,8.681511
814,8.858951
815,8.4074745
816,7.9725003
817,8.224099
818,7.924326
819,8.168951
820,7.862297
821,7.7660255
822,7.938396
823,8.294095
824,8.031031
825,8.004823
826,7.8239584
827,8.166227
828,8.401194
829,8.350616
830,8.518688
831,8.749736
832,7.732664
833,7.6218505
834,7.7486978
835,8.208601
836,8.2841625
837,7.978457
838,8.1408205
839,7.671999
840,8.467329
841,7.907098
842,8.331878
843,8.066581
844,8.140265
845,8.283824
846,8.519976
847,8.104839
848,8.406145
849,8.089087
850,7.8334007
851,8.474266
852,8.448522
853,7.814737
854,8.114365
855,8.102589
856,8.7129965
857,8.377055
858,8.280281
859,7.770813
860,7.792595
861,8.578279
862,8.711557
863,8.68933
864,8.252798
865,8.037826
866,9.03993
867,8.542719
868,8.170585
869,8.626439
870,8.552833
871,8.880515
872,8.516997
873,8.246076
874,8.790289
875,8.468751
876,9.268758
877,9.187605
878,7.918476
879,8.716085
880,9.198465
881,8.779067
882,9.284886
883,9.168093
884,8.945766
885,8.661726
886,9.194229
887,8.971384
888,8.617816
889,9.2511835
890,7.9842916
891,8.075238
892,8.464924
893,8.321161
894,8.773225
895,8.347923
896,8.542055
897,9.0304985
898,9.337381
899,8.492256
900,8.317661
901,8.473368
902,8.683697
903,8.452781
904,8.709683
905,8.331836
906,8.288487
907,8.111634
908,8.362995
909,8.829357
910,8.882432
911,8.947145
912,9.340338
913,9.118428
914,8.395939
915,7.4635024
916,7.4508243
917,7.7133503
918,7.298612
919,7.262147
920,7.152705
921,7.0981874
922,7.3746967
923,7.242218
924,7.2143507
925,7.167653
926,7.344064
927,7.4322457
928,7.078359
929,7.334849
930,7.4865494
931,7.3731284
932,7.233831
933,7.643103
934,8.285938
935,8.1507225
936,7.8104534
937,8.366187
938,7.87173
939,8.226518
940,8.054425
941,7.925285
942,8.355149
943,8.945103
944,8.912777
945,9.576304
946,9.147498
947,9.515784
