,0
0,11.127495
1,10.327569
2,9.102106
3,6.63748
4,7.3748474
5,6.8748894
6,10.162221
7,8.714082
8,8.110344
9,10.0952
10,8.232734
11,8.362748
12,8.319983
13,5.6919117
14,5.671399
15,11.047405
16,9.285841
17,8.324947
18,7.69757
19,5.7652063
20,5.021914
21,4.519312
22,3.7894487
23,3.5447245
24,8.009861
25,6.727236
26,5.746706
27,5.473732
28,4.4886565
29,4.457419
30,9.446104
31,8.589185
32,8.687807
33,3.8653665
34,3.2892754
35,3.7568982
36,5.469247
37,5.422018
38,4.8734617
39,6.910738
40,6.8444276
41,6.578869
42,3.8464737
43,3.258194
44,3.2865748
45,4.9018893
46,4.255689
47,4.5647373
48,7.7312655
49,7.026515
50,7.2513514
51,6.3677955
52,5.867258
53,5.6437387
54,4.641919
55,3.9942446
56,3.7560196
57,4.630511
58,4.688899
59,4.513082
60,7.3342257
61,6.691652
62,6.698436
63,5.116812
64,4.5918427
65,4.2456856
66,4.149962
67,4.4278975
68,4.972422
69,5.0299196
70,4.4449825
71,5.0917807
72,4.5893993
73,4.7949944
74,4.7087135
75,11.934877
76,11.015712
77,10.904757
78,9.024914
79,8.8285675
80,8.784748
81,6.323308
82,6.3580523
83,5.1053085
84,5.4275317
85,4.9120092
86,5.3646674
87,12.646147
88,10.432748
89,9.810977
90,6.236678
91,6.3064446
92,5.875254
93,10.249127
94,9.912725
95,9.701622
96,7.2038603
97,7.0300436
98,6.7996035
99,7.1157274
100,7.5177574
101,6.5689745
102,9.372201
103,9.43992
104,8.281414
105,10.488141
106,9.565602
107,9.3114395
108,11.489837
109,9.950355
110,9.287075
111,11.257831
112,9.202196
113,8.783153
114,8.620871
115,8.491159
116,8.195175
117,10.436939
118,9.759285
119,9.259661
120,11.19289
121,10.407519
122,10.036701
123,8.851331
124,8.3138685
125,8.190372
126,8.100337
127,7.1172986
128,6.838741
129,11.269684
130,10.232908
131,10.191927
132,9.173287
133,8.302152
134,7.8619976
135,8.380255
136,7.9068604
137,7.695056
138,5.8107834
139,5.126598
140,5.043907
141,5.711379
142,5.218578
143,5.0229588
144,4.7734833
145,4.5149612
146,4.6073895
147,6.1976748
148,4.965967
149,5.055977
150,5.599161
151,5.09408
152,5.167784
153,7.533613
154,7.164375
155,7.2170687
156,6.843093
157,7.115525
158,6.664319
159,7.196122
160,7.0157585
161,7.172003
162,12.009202
163,11.537624
164,11.154558
165,9.440091
166,9.564501
167,8.773903
168,8.604941
169,7.7747917
170,7.259016
171,6.440261
172,6.2690015
173,6.17048
174,10.229606
175,8.633206
176,8.345505
177,7.5892906
178,7.4774976
179,6.898423
180,6.408145
181,5.53366
182,5.1767645
183,5.7034087
184,5.239849
