,0
0,10.192849
1,10.142207
2,10.090994
3,10.092837
4,10.082553
5,10.03923
6,10.01503
7,9.997689
8,9.980583
9,9.971551
10,9.932365
11,9.9103365
12,9.9396925
13,9.904108
14,9.868093
15,9.856633
16,9.831686
17,9.797729
18,9.78708
19,9.7599325
20,9.732886
21,9.71269
22,9.679073
23,9.650058
24,9.63925
25,9.60653
26,9.573442
27,9.551468
28,9.521361
29,9.48869
30,9.483264
31,9.45207
32,9.420905
33,9.389524
34,9.356388
35,9.32439
36,9.298412
37,9.265392
38,9.23216
39,9.229345
40,9.196675
41,9.163287
42,9.132711
43,9.09955
44,9.0663185
45,9.054168
46,9.020242
47,8.986539
48,8.980091
49,8.946054
50,8.911884
51,8.919355
52,8.885173
53,8.850769
54,8.837942
55,8.80378
56,8.769549
57,8.73969
58,8.705028
59,8.670497
60,8.687501
61,8.652444
62,8.61731
63,8.575625
64,8.540631
65,8.505379
66,8.501926
67,8.466478
68,8.430992
69,8.364627
70,8.32884
71,8.293026
72,8.247393
73,8.211163
74,8.174821
75,8.124713
76,8.088303
77,8.051688
78,8.001474
79,7.9666247
80,7.9332013
81,7.873398
82,7.84311
83,7.810407
84,7.7980433
85,7.7669516
86,7.7357244
87,7.695801
88,7.6629004
89,7.631089
90,7.6094737
91,7.5762205
92,7.54287
93,7.482703
94,7.449971
95,7.416397
96,7.380087
97,7.346855
98,7.313491
99,7.2663927
100,7.232368
101,7.1986413
102,7.1435394
103,7.106186
104,7.0696325
105,7.036382
106,7.0015297
107,6.9640303
108,6.9229198
109,6.8888226
110,6.8551598
111,6.805038
112,6.7699876
113,6.7363877
114,6.6871586
115,6.649494
116,6.6149526
117,6.5704026
118,6.5341454
119,6.49861
120,6.4648123
121,6.4306846
122,6.3949003
123,6.3582697
124,6.3245687
125,6.286806
126,6.25955
127,6.2242575
128,6.1893754
129,6.160513
130,6.1232314
131,6.0904927
132,6.0694385
133,6.032304
134,5.9990273
135,5.9716654
136,5.943962
137,5.9113827
138,5.872718
139,5.8459063
140,5.816475
141,5.797087
142,5.7646837
143,5.73468
144,5.709194
145,5.6838355
146,5.650315
147,5.6261196
148,5.596732
149,5.570435
150,5.534996
151,5.507499
152,5.4787655
153,5.4542127
154,5.4220667
155,5.3941507
156,5.3590517
157,5.3329372
158,5.3055997
159,5.2687263
160,5.245082
161,5.216247
162,5.1775556
163,5.1514573
164,5.1258316
165,5.0821066
166,5.0528655
167,5.0271893
168,4.984917
169,4.9526114
170,4.9246283
171,4.885183
172,4.8594856
173,4.829586
174,4.8026605
175,4.7716827
176,4.7417355
177,4.7124066
178,4.6837816
179,4.6545334
180,4.6288004
181,4.599053
182,4.5694423
183,4.5363545
184,4.5066304
185,4.476484
186,4.4439564
187,4.4160457
188,4.3913813
189,4.3690677
190,4.342466
191,4.3163805
