,0
0,84.56401
1,84.11422
2,84.02209
3,83.93143
4,83.55253
5,83.170525
6,83.01916
7,82.86959
8,82.533714
9,82.19442
10,82.00335
11,81.81414
12,81.5067
13,81.196266
14,80.97948
15,80.76457
16,80.473335
17,80.179245
18,79.946815
19,79.715645
20,79.433815
21,79.14833
22,78.90228
23,78.65815
24,78.38224
25,78.10361
26,77.84934
27,77.59681
28,77.32362
29,77.047905
30,76.787766
31,76.52863
32,76.2559
33,75.981804
34,75.71757
35,75.453384
36,75.18168
37,74.90889
38,74.64113
39,74.37378
40,74.10142
41,73.827705
42,73.55815
43,73.28871
44,73.014984
45,72.740814
46,72.469154
47,72.19692
48,71.92338
49,71.64938
50,71.37554
51,71.10217
52,70.82781
53,70.552185
54,70.27936
55,70.00668
56,69.73094
57,69.45565
58,69.18199
59,68.907196
60,68.630585
61,68.35409
62,68.07828
63,67.80366
64,67.52773
65,67.25013
66,66.973305
67,66.697105
68,66.41959
69,66.14238
70,65.86555
71,65.587845
72,65.30913
73,65.030495
74,64.75208
75,64.4744
76,64.19599
77,63.916447
78,63.661263
79,63.406715
80,63.160057
81,62.913857
82,62.660812
83,62.40687
84,62.15826
85,61.90984
86,61.65666
87,61.404797
88,61.15624
89,60.90616
90,60.652756
91,60.400185
92,60.149822
93,59.900276
94,59.6486
95,59.39596
96,59.14539
97,58.89531
98,58.643307
99,58.391937
100,58.141876
101,57.90293
102,57.695225
103,57.478966
104,57.232918
105,57.000397
106,56.792362
107,56.573883
108,56.31074
109,56.056156
110,55.86392
111,55.640774
112,55.367157
113,55.14494
114,54.957714
115,54.700226
116,54.417316
117,54.218403
118,54.014713
119,53.731068
120,53.455578
121,53.260242
122,53.023937
123,52.742878
124,52.53757
125,52.3272
126,52.055405
127,51.790577
128,51.589046
129,51.383617
130,51.11132
131,50.90047
132,50.702206
133,50.497192
134,50.266354
135,50.040836
136,49.83627
137,49.627884
138,49.39844
139,49.19283
140,49.004963
141,48.75899
142,48.49937
143,48.30536
144,48.119915
145,47.865032
146,47.620064
147,47.4567
148,47.284576
149,47.021996
150,46.76862
151,46.613262
152,46.426056
153,46.159595
154,45.9459
155,45.796085
156,45.598743
157,45.35015
158,45.16565
159,45.009914
160,44.789413
161,44.54645
162,44.380703
163,44.20826
164,43.97367
165,43.7452
166,43.59202
167,43.409622
168,43.166798
169,42.948162
170,42.803352
171,42.65403
172,42.406677
173,42.2023
174,42.07493
175,41.914898
176,41.692722
177,41.481434
178,41.33591
179,41.16801
180,40.945988
181,40.74309
182,40.58448
183,40.410164
184,40.201023
185,40.005615
186,39.837494
187,39.661163
188,39.463478
189,39.277946
190,39.11085
191,38.934628
192,38.742134
193,38.55782
194,38.387344
195,38.21089
196,38.02414
197,37.866577
198,37.714405
199,37.53939
200,37.36043
201,37.196827
202,37.036896
203,36.865257
204,36.689594
205,36.52379
206,36.361843
207,36.160126
208,35.95569
209,35.78363
210,35.611225
211,35.43251
212,35.254295
213,35.08015
214,34.905834
215,34.72822
216,34.548817
217,34.372543
218,34.198017
219,34.018456
220,33.837883
221,33.661934
222,33.49509
223,33.324802
224,33.14767
225,32.972084
226,32.8047
227,32.63595
228,32.459835
229,32.285248
230,32.116714
231,31.939177
232,31.757313
233,31.58304
234,31.410841
235,31.233099
236,31.054337
237,30.878927
238,30.705027
239,30.529125
240,30.350605
241,30.17443
242,30.00121
243,29.822014
244,29.641598
245,29.466997
246,29.293152
247,29.116072
248,28.939741
249,28.766497
250,28.594135
251,28.420902
252,28.24736
253,28.076056
254,27.906734
255,27.736332
256,27.566183
257,27.398787
258,27.233173
259,27.067451
260,26.902414
261,26.739395
262,26.578047
263,26.417458
264,26.248732
265,26.081041
266,25.922064
267,25.76428
268,25.600721
269,25.438026
270,25.282942
271,25.134817
272,24.982147
273,24.820988
274,24.66593
275,24.519403
276,24.371103
277,24.221203
278,24.075686
279,23.933899
280,23.790638
281,23.649439
282,23.516602
283,23.384151
284,23.272903
285,23.16386
286,23.041872
287,22.920166
288,22.83842
289,22.75859
290,22.648731
291,22.546383
292,22.470161
293,22.390036
294,22.291641
295,22.201942
296,22.128004
297,22.08728
298,22.035563
299,21.956509
300,21.890818
301,21.847927
302,21.795248
303,21.724535
304,21.661692
305,21.615757
306,21.594812
307,21.561161
308,21.504179
309,21.45529
310,21.42573
311,21.390194
312,21.343307
313,21.301722
314,21.269754
315,21.229763
316,21.1825
317,21.142109
318,21.13995
319,21.132828
320,21.095627
321,21.0691
322,21.06093
323,21.044691
324,21.02138
325,20.99993
326,20.983112
327,20.96569
328,20.94514
329,20.925816
330,20.89715
331,20.87251
332,20.855423
333,20.841932
334,20.81527
335,20.794233
336,20.783129
337,20.768398
338,20.746159
339,20.72654
340,20.713547
341,20.699213
342,20.679958
343,20.662563
344,20.649784
345,20.634071
346,20.615341
347,20.59972
348,20.586649
349,20.571863
350,20.555761
351,20.524984
352,20.49553
353,20.47826
354,20.46027
355,20.432487
356,20.405529
357,20.386343
358,20.366785
359,20.34108
360,20.315462
361,20.29513
362,20.274996
363,20.250677
364,20.22649
365,20.205996
366,20.18522
367,20.161732
368,20.138731
369,20.118744
370,20.09864
371,20.076426
372,20.041119
373,20.023073
374,20.009005
375,19.978283
376,19.944649
377,19.928246
378,19.910122
379,19.878006
380,19.84737
381,19.836302
382,19.81586
383,19.779585
384,19.751934
385,19.736609
386,19.71455
387,19.682676
388,19.656864
389,19.64279
390,19.615564
391,19.57889
392,19.552618
393,19.534998
394,19.509102
395,19.47625
396,19.450872
397,19.430988
398,19.405144
399,19.32417
400,19.248814
401,19.216404
402,19.181261
403,19.113085
404,19.047749
405,19.009306
406,18.969528
407,18.909386
408,18.852312
409,18.811518
410,18.76915
411,18.716455
412,18.66573
413,18.623533
414,18.581911
415,18.534418
416,18.487242
417,18.446358
418,18.406078
419,18.362656
420,18.323633
421,18.287819
422,18.259783
423,18.232187
424,18.19854
425,18.16483
426,18.060051
427,18.001444
428,17.999521
429,17.914583
430,17.78977
431,17.771116
432,17.742249
433,17.628506
434,17.525528
435,17.485722
436,17.44043
437,17.345766
438,17.258312
439,17.208147
440,17.153923
441,17.070753
442,16.991348
443,16.934084
444,16.874891
445,16.799196
446,16.725496
447,16.66463
448,16.603094
449,16.532337
450,16.462753
451,16.40058
452,16.335161
453,16.269928
454,16.207277
455,16.144268
