,0
0,84.60866
1,84.203636
2,84.12025
3,84.03835
4,83.697365
5,83.353325
6,83.21565
7,83.079796
8,82.77729
9,82.47124
10,82.2976
11,82.126
12,81.846275
13,81.563515
14,81.36628
15,81.125496
16,80.81464
17,80.58162
18,80.35961
19,80.073784
20,79.77758
21,79.53014
22,79.29017
23,79.009796
24,78.720924
25,78.463135
26,78.21119
27,77.932045
28,77.64686
29,77.38229
30,77.12036
31,76.84074
32,76.55777
33,76.28522
34,76.01432
35,75.73395
36,75.450226
37,75.17295
38,74.89736
39,74.60662
40,74.31343
41,74.0313
42,73.748924
43,73.456635
44,73.20501
45,72.95847
46,72.67829
47,72.39302
48,72.13144
49,71.88066
50,71.61611
51,71.33973
52,71.0734
53,70.81574
54,70.54694
55,70.27025
56,70.00157
57,69.736336
58,69.46378
59,69.187546
60,68.914474
61,68.643486
62,68.369125
63,68.090546
64,67.81386
65,67.53972
66,67.261406
67,66.98022
68,66.70157
69,66.4229
70,66.14141
71,65.85915
72,65.57692
73,65.29456
74,65.01144
75,64.72062
76,64.43522
77,64.15533
78,63.84975
79,63.53901
80,63.24803
81,62.95951
82,62.65448
83,62.34678
84,62.05004
85,61.75489
86,61.45035
87,61.142666
88,60.84187
89,60.54307
90,60.237488
91,59.92974
92,59.62687
93,59.32449
94,59.017677
95,58.710007
96,58.404724
97,58.09971
98,57.792347
99,57.48387
100,57.176853
101,56.916286
102,56.65249
103,56.374172
104,56.100876
105,55.83788
106,55.569813
107,55.292423
108,55.017445
109,54.748928
110,54.477493
111,54.199886
112,53.923615
113,53.66209
114,53.398735
115,53.122604
116,52.84689
117,52.6007
118,52.353237
119,52.081066
120,51.809166
121,51.55591
122,51.301456
123,51.031597
124,50.76162
125,50.502903
126,50.24383
127,49.974743
128,49.70494
129,49.44269
130,49.18004
131,48.91042
132,48.640724
133,48.37569
134,48.10978
135,47.839756
136,47.569473
137,47.316807
138,47.06476
139,46.797707
140,46.529278
141,46.273273
142,46.01765
143,45.75126
144,45.484947
145,45.226482
146,44.96728
147,44.70237
148,44.43738
149,44.176193
150,43.916084
151,43.652245
152,43.38686
153,43.12539
154,42.864487
155,42.599907
156,42.33543
157,42.073383
158,41.81067
159,41.548756
160,41.286976
161,41.024174
162,40.763897
163,40.50402
164,40.241642
165,39.97841
166,39.716763
167,39.455437
168,39.195385
169,38.934715
170,38.67275
171,38.431522
172,38.19048
173,37.931873
174,37.668144
175,37.418217
176,37.17955
177,36.923893
178,36.6593
179,36.415028
180,36.16995
181,35.908882
182,35.65487
183,35.408524
184,35.156643
185,34.898697
186,34.658092
187,34.422546
188,34.173275
189,33.922222
190,33.682495
191,33.444416
192,33.199684
193,32.95396
194,32.714783
195,32.488495
196,32.263935
197,32.029453
198,31.792488
199,31.566774
200,31.343346
201,31.113234
202,30.881786
203,30.65615
204,30.43328
205,30.20676
206,29.980894
207,29.760162
208,29.539373
209,29.314934
210,29.09269
211,28.87384
212,28.653826
213,28.431364
214,28.21279
215,27.99664
216,27.77907
217,27.562624
218,27.34765
219,27.133392
220,26.920631
221,26.704609
222,26.489304
223,26.27728
224,26.065838
225,25.862862
226,25.66046
227,25.446026
228,25.239588
229,25.044046
230,24.843023
231,24.639683
232,24.438484
233,24.240812
234,24.044098
235,23.846943
236,23.649801
237,23.458822
238,23.263048
239,23.107069
240,22.95952
241,22.781305
242,22.595919
243,22.437262
244,22.284948
245,22.112377
246,21.931211
247,21.76676
248,21.609781
249,21.435991
250,21.257425
251,21.092934
252,20.928894
253,20.755268
254,20.581533
255,20.416552
256,20.252687
257,20.08233
258,19.908949
259,19.742352
260,19.57957
261,19.40989
262,19.23799
263,19.073133
264,18.909138
265,18.740953
266,18.573376
267,18.407661
268,18.243383
269,18.076319
270,17.9085
271,17.743095
272,17.582981
273,17.423306
274,17.257929
275,17.140766
276,17.005442
277,16.833847
278,16.698076
279,16.563902
280,16.406828
281,16.245974
282,16.101969
283,15.962524
284,15.81099
285,15.657697
286,15.516969
287,15.378789
288,15.230245
289,15.081131
290,14.940942
291,14.817771
292,14.688603
293,14.546812
294,14.409842
295,14.280797
296,14.151691
297,14.018493
298,13.880067
299,13.746875
300,13.623505
301,13.4932
302,13.353173
303,13.220453
304,13.095383
305,12.964089
306,12.826935
307,12.694113
308,12.568506
309,12.441006
310,12.306203
311,12.175066
312,12.050383
313,11.92052
314,11.787703
315,11.6466465
316,11.508366
317,11.376197
318,11.243805
319,11.1073
320,10.984242
321,10.868884
322,10.742812
323,10.610742
324,10.487853
325,10.369711
326,10.244093
327,10.131317
328,10.024549
329,9.907225
330,9.783613
331,9.671884
332,9.565324
333,9.446708
334,9.324821
335,9.216044
336,9.108207
337,8.990458
338,8.875475
339,8.784798
340,8.692996
341,8.582709
342,8.476167
343,8.385103
344,8.2921915
345,8.17239
346,8.0618925
347,7.9942746
348,7.9016323
349,7.777639
350,7.6797385
351,7.600078
352,7.503727
353,7.3974466
354,7.3059325
355,7.2241077
356,7.133996
357,7.0403967
358,6.953427
359,6.8708296
360,6.7829585
361,6.6969757
362,6.616981
363,6.5333724
364,6.452565
365,6.377246
366,6.2681317
367,6.1516156
368,6.0720525
369,5.995745
370,5.9008327
371,5.805044
372,5.722857
373,5.6455793
374,5.556671
375,5.4674644
376,5.389142
377,5.3109927
378,5.2252383
379,5.1411
380,5.064846
381,4.985229
382,4.902564
383,4.824166
384,4.7703094
385,4.723635
386,4.656194
387,4.593561
388,4.5529895
389,4.498151
390,4.4568872
391,4.424979
392,4.3823123
393,4.329292
394,4.2915144
395,4.2655315
396,4.2177296
397,4.1748204
398,4.17707
399,4.180255
400,4.0888014
401,4.054578
402,4.0997005
403,4.066146
404,3.9783692
405,3.9556756
406,3.9852502
407,3.9485443
408,3.8954508
409,3.8872025
410,3.9068887
411,3.8367295
412,3.7833085
413,3.8027086
414,3.777925
415,3.692628
416,3.6401036
417,3.6433284
418,3.6228588
419,3.5448809
420,3.4970806
421,3.4988708
422,3.4633412
423,3.390011
424,3.3603244
425,3.363584
426,3.3162405
427,3.246101
428,3.2260234
429,3.2313573
430,3.1741657
431,3.1216972
432,3.1181848
433,3.1159246
434,3.047598
435,3.0054398
436,3.0109043
437,2.980069
438,2.9125874
439,2.8931723
440,2.901008
441,2.8523002
442,2.786782
443,2.776088
444,2.7907116
445,2.7331798
446,2.6547287
447,2.6544337
448,2.6647348
449,2.5917685
450,2.5420637
451,2.5598607
452,2.5389826
453,2.4357655
454,2.4128413
455,2.4591124
456,2.3847795
457,2.2896678
458,2.289326
459,2.2593844
460,2.1950712
461,2.1721299
462,2.128081
463,2.1147983
464,2.1173878
465,2.019376
466,1.9810264
467,2.0209258
468,1.9647601
469,1.8962392
470,1.9061202
471,1.8817368
472,1.8396711
473,1.846042
474,1.8005376
475,1.7498318
476,1.8277193
477,1.7905113
478,1.6518102
479,1.7413124
480,1.7900741
481,1.6158807
482,1.5726774
483,1.7182351
484,1.6687816
485,1.4756191
486,1.512293
487,1.6865106
488,1.5205514
489,1.3585235
490,1.4628335
491,1.5766538
492,1.3677106
493,1.2954104
494,1.4644377
495,1.4281793
496,1.183644
497,1.2007138
498,1.434195
499,1.288747
500,1.0653155
501,1.1622912
502,1.4160709
503,1.1218569
504,0.99464387
505,1.2258726
506,1.3128155
507,1.0179772
508,1.0133536
509,1.3329322
510,1.2322409
511,1.0557212
512,1.1656533
513,1.418832
514,1.1589193
515,1.0071555
516,1.2098054
517,1.3341061
518,1.0248739
519,0.97557527
520,1.2747018
521,1.1776776
522,0.8829242
523,0.91513616
524,1.2617414
525,0.9202535
526,0.7600141
527,0.97316545
528,0.99385655
529,0.6943584
530,0.60651577
531,1.0094844
532,0.6572988
533,0.58950114
534,0.602632
535,0.79425704
536,0.45628247
537,0.32625884
538,0.6620447
