,0
0,177.83795
1,177.97575
2,178.00414
3,178.0172
4,178.1183
5,178.2325
6,178.29428
7,178.34567
8,178.43918
9,178.50078
10,178.52925
11,178.5836
12,178.69037
13,178.77686
14,178.82187
15,178.86101
16,178.93382
17,179.01201
18,179.08932
19,179.15894
20,179.21536
21,179.27652
22,179.34889
23,179.41814
24,179.48193
25,179.54866
26,179.56184
27,179.63153
28,179.74481
29,179.81384
30,179.84901
31,179.91992
32,179.98166
33,179.907
34,179.91222
35,179.89833
36,179.82385
37,179.76422
38,179.75275
39,179.75024
40,179.70892
41,179.65982
42,179.6192
43,179.5846
44,179.543
45,179.51549
46,179.49315
47,179.45921
48,179.39882
49,179.34738
50,179.31683
51,179.30014
52,179.26637
53,179.22104
54,179.20178
55,179.1915
56,179.16011
57,179.10532
58,179.06694
59,179.04689
60,179.02736
61,178.99284
62,178.95758
63,178.91873
64,178.88002
65,178.8437
66,178.94543
67,179.0457
68,179.03568
69,178.88966
70,178.83073
71,178.88028
72,178.99786
73,179.029
74,179.00562
75,178.91406
76,178.98303
77,179.10738
78,179.12294
79,179.09396
80,179.15186
81,179.22696
82,179.23294
83,179.22507
84,179.29079
85,179.36781
86,179.38615
87,179.26321
88,179.30162
89,179.45381
90,179.47983
91,179.41461
92,179.46202
93,179.45555
94,179.35855
95,179.3038
96,179.43687
97,179.53673
98,179.4865
99,179.34302
100,179.31866
101,179.36882
102,179.44574
103,179.46327
104,179.45943
105,179.38371
106,179.32446
107,179.32228
108,179.31342
109,179.26756
110,179.22682
111,179.1984
112,179.16556
113,179.12247
114,179.10222
115,179.09018
116,179.05981
117,179.00537
118,178.9651
119,178.94368
120,178.92885
121,178.89856
122,178.86247
123,178.81999
124,178.78171
125,178.74803
126,178.7275
127,178.70195
128,178.66484
129,178.61888
130,178.58177
131,178.55142
132,178.52306
133,178.48834
134,178.45126
135,178.41457
136,178.37947
137,178.34378
138,178.30984
139,178.27591
140,178.24005
141,178.20485
142,178.17079
143,178.13586
144,178.09996
145,178.06433
146,178.02907
147,177.99484
148,177.95993
149,177.92381
150,177.8892
151,177.8552
152,177.81956
153,177.7843
154,177.71385
155,177.6425
156,177.5992
157,177.55621
158,177.4903
159,177.42567
160,177.37888
161,177.33061
162,177.26733
163,177.20468
164,177.15352
165,177.10225
166,177.04124
167,176.97983
168,176.92583
169,176.87169
170,176.81108
171,176.75043
172,176.69443
173,176.63794
174,176.57722
175,176.51636
176,176.45831
177,176.40004
178,176.33894
179,176.27747
180,176.21848
181,176.15921
182,176.09744
183,176.03555
184,175.97511
185,175.9142
186,175.85143
187,175.78844
188,175.72636
189,175.66388
190,175.60005
191,175.53598
192,175.47165
193,175.40692
194,175.3418
195,175.30266
196,175.23695
197,175.14977
198,175.11801
199,175.10309
200,175.00873
201,174.9323
202,174.91893
203,174.89085
204,174.81174
205,174.7437
206,174.71596
207,174.67975
208,174.61075
209,174.54785
210,174.51048
211,174.46774
212,174.404
213,174.34381
214,174.29985
215,174.25253
216,174.19104
217,174.13162
218,174.083
219,174.0311
220,173.97
221,173.91087
222,173.8579
223,173.80275
224,173.74208
225,173.6633
226,173.57263
227,173.4957
228,173.42676
229,173.34616
230,173.2584
231,173.22223
232,173.27214
233,173.20029
234,173.13751
235,173.17197
236,173.19937
237,173.1496
238,173.105
239,173.12195
240,173.1335
241,173.09563
242,173.06172
243,173.0662
244,173.06744
245,173.03783
246,173.00888
247,173.00446
248,173.01053
249,173.12901
250,173.21378
251,173.091
252,173.11156
253,173.29909
254,173.37279
255,173.31145
256,173.3411
257,173.47954
258,173.54245
259,173.51834
260,173.55473
261,173.61722
262,173.63158
263,173.62502
264,173.72403
265,173.84065
266,173.86633
267,173.88394
268,173.97482
269,174.07294
270,174.11086
271,174.14325
272,174.22429
273,174.26732
274,174.27155
275,174.30632
276,174.36833
277,174.40627
278,174.42256
279,174.50407
280,174.60365
281,174.65155
282,174.68427
283,174.75876
284,174.84602
285,174.89989
286,174.94388
287,175.01508
288,175.09308
289,175.14981
290,175.20149
291,175.30296
292,175.3765
293,175.41052
294,175.49916
295,175.62022
296,175.66556
297,175.71658
298,175.82895
299,175.79141
300,175.73781
301,175.80403
302,175.85106
303,175.83525
304,175.83455
305,175.85179
306,175.88986
307,175.91368
308,175.92072
309,175.94057
310,175.97392
311,175.9651
312,175.97899
313,176.02669
314,176.02438
315,176.02611
316,176.06787
317,176.0747
318,176.08394
319,176.12102
320,176.12434
321,176.13869
322,176.14859
323,176.14963
324,176.18503
325,176.19624
326,176.1798
327,176.21495
328,176.24112
329,176.22589
330,176.21915
331,176.24553
332,176.26515
333,176.25856
334,176.25728
335,176.27695
336,176.29341
337,176.26938
338,176.24773
339,176.25993
340,176.27017
341,176.25319
342,176.2378
343,176.24413
344,176.24916
345,176.20587
346,176.16336
347,176.16035
348,176.15617
349,176.1202
350,176.08485
351,176.07709
352,176.0687
353,176.03804
354,176.0082
355,175.99602
356,175.98302
357,175.95598
358,175.92934
359,175.91376
360,175.89856
361,175.8743
362,175.84955
363,175.95988
364,176.07137
365,176.07494
366,176.09189
367,176.18277
368,176.26347
369,176.31554
370,176.37605
371,176.42958
372,176.50671
373,176.58997
374,176.62447
375,176.68523
376,176.7856
377,176.86546
378,176.91373
379,176.97878
380,177.06966
381,177.14896
382,177.20787
383,177.27643
384,177.36147
385,177.43924
386,177.50418
387,177.64124
388,177.7895
389,177.88072
390,177.9637
391,178.0931
392,178.22995
393,178.26921
394,178.30276
395,178.41504
396,178.53226
397,178.5869
398,178.63795
399,178.73589
400,178.83739
401,178.90187
402,178.96315
403,179.0546
404,179.1492
405,179.22176
406,179.2923
407,179.38106
408,179.47087
409,179.54666
410,179.6221
411,179.70894
412,179.79662
413,179.87576
414,179.9544
415,179.95952
416,179.87245
417,179.79095
418,179.70969
419,179.62338
420,179.53705
421,179.45418
422,179.37076
423,179.28473
424,179.19855
425,179.11386
426,179.0296
427,178.94356
428,178.85658
429,178.77144
430,178.68646
431,178.59943
432,178.5131
433,178.42784
434,178.3414
435,178.25537
436,178.16968
437,178.1279
438,178.04234
439,177.92934
440,177.88728
441,177.86874
442,177.79305
443,177.69795
444,177.64952
445,177.6164
446,177.54552
447,177.46423
448,177.41275
449,177.36925
450,177.30466
451,177.23317
452,177.17816
453,177.13103
454,177.07031
455,177.00285
456,176.94641
457,176.89505
458,176.83455
459,176.7789
460,176.80449
461,176.74327
462,176.70229
463,176.73077
464,176.74327
465,176.70175
466,176.67284
467,176.68713
468,176.69283
469,176.66391
470,176.6417
471,176.64787
472,176.64873
473,176.62682
474,176.61162
475,176.61461
476,176.6123
477,176.59737
478,176.58664
479,176.586
480,176.58365
481,176.57323
482,176.56415
483,176.56186
484,176.55849
485,176.5497
486,176.54152
487,176.53769
488,176.53337
489,176.59433
490,176.65614
491,176.6642
492,176.67458
493,176.72824
494,176.78044
495,176.82675
496,176.87457
497,176.92744
498,176.97955
499,177.02794
500,177.07735
501,177.1068
502,177.07707
503,177.07939
504,177.19542
505,177.20311
506,177.11949
507,177.12274
508,177.19934
509,177.20673
510,177.15656
511,177.16162
512,177.21298
513,177.21977
514,177.18942
515,177.2042
516,177.29326
517,177.26321
518,177.20241
519,177.20706
520,177.2365
521,177.21358
522,177.1701
523,177.16838
524,177.18317
525,177.16342
526,177.13026
527,177.12465
528,177.21207
529,177.19446
530,177.10197
531,177.11844
532,177.16893
533,177.13226
534,177.08192
535,177.06313
536,177.07784
537,177.00948
538,176.91373
539,176.8842
540,176.88895
541,176.82399
542,176.81473
543,176.77582
544,176.7488
545,176.82895
546,176.75774
547,176.60007
548,176.6197
549,176.73405
550,176.62323
551,176.4922
552,176.56657
553,176.65749
554,176.5005
555,176.32727
556,176.5205
557,176.55966
558,176.30246
559,176.27861
560,176.54964
561,176.46469
562,176.1424
563,176.20604
564,176.46872
565,176.3111
566,176.02115
567,176.25621
568,176.3794
569,176.08159
570,176.07423
571,176.40479
572,176.49287
573,176.29156
574,176.3122
575,176.56526
576,176.61192
577,176.47237
578,176.52614
579,176.70302
580,176.72324
581,176.64482
582,176.68938
583,176.81343
584,176.8396
585,176.8009
586,176.84064
587,176.93272
588,176.96227
589,176.95006
590,176.98804
591,177.05887
592,177.08994
593,177.09486
594,177.13283
595,177.19206
596,177.22514
597,177.24117
598,177.27832
599,177.32948
600,177.35461
601,177.33064
602,177.32776
603,177.36438
604,177.38434
605,177.37277
606,177.37354
607,177.39969
608,177.41614
609,177.40964
610,177.41093
611,177.4307
612,177.44377
613,177.44215
614,177.44594
615,177.46251
616,177.4749
617,177.47713
618,177.48238
619,177.49583
620,177.507
621,177.5094
622,177.51369
623,177.52512
624,177.53482
625,177.53888
626,177.54445
627,177.55498
628,177.56444
629,177.57004
630,177.57684
631,177.58685
632,177.59598
633,177.6065
634,177.61957
635,177.63164
636,177.64032
637,177.64989
638,177.66228
639,177.674
640,177.68356
641,177.69377
642,177.70775
643,177.72139
644,177.73213
645,177.7433
646,177.7569
647,177.77028
648,177.78204
649,177.79407
650,177.80754
651,177.82191
652,177.83528
653,177.84804
654,177.86292
655,177.87842
656,177.89235
657,177.90678
658,177.92262
659,177.93817
660,177.95302
661,177.96819
662,177.98409
663,178.00089
664,178.01723
665,178.03302
666,178.05197
667,178.07156
668,178.08876
669,177.9798
670,177.87192
671,177.9909
672,177.98573
673,177.816
674,177.74684
675,177.8118
676,177.7964
677,177.67303
678,177.61584
679,177.64513
680,177.62143
681,177.53049
682,177.48152
683,177.48639
684,177.45764
685,177.38544
686,177.33974
687,177.3306
688,177.30008
689,177.23994
690,177.1985
691,177.18054
692,177.14746
693,177.09706
694,177.05846
695,177.0335
696,176.99992
697,176.95514
698,176.95375
699,176.96321
700,176.93782
701,176.90353
702,176.8605
703,176.82433
704,176.82242
705,176.7988
706,176.74045
707,176.73152
708,176.78148
709,176.755
710,176.69106
711,176.71643
712,176.77217
713,176.71938
714,176.64294
715,176.69035
716,176.72003
717,176.65254
718,176.59888
719,176.62294
720,176.6359
721,176.58636
722,176.54544
723,176.55493
724,176.55757
725,176.51965
726,176.48877
727,176.49026
728,176.48611
729,176.57544
730,176.66997
731,176.57875
732,176.59381
733,176.75816
734,176.83836
735,176.79778
736,176.82451
737,176.9484
738,177.01897
739,177.012
740,177.04779
741,177.14531
742,177.20909
743,177.22377
744,177.26405
745,177.34406
746,177.40402
747,177.43231
748,177.4769
749,177.54723
750,177.60393
751,177.64032
752,177.68794
753,177.75085
754,177.80518
755,177.84763
756,177.89641
757,177.95508
758,178.00906
759,178.05322
760,178.10144
761,178.1579
762,178.21123
763,178.25827
764,178.3082
765,178.36264
766,178.41516
767,178.46442
768,178.51482
769,178.56818
770,178.621
771,178.67026
772,178.7203
773,178.77354
774,178.82587
775,178.74983
776,178.80016
