,0
0,85.02687
1,85.03737
2,85.03012
3,85.01873
4,85.015656
5,85.00954
6,84.98853
7,84.96356
8,84.94432
9,84.920204
10,84.8857
11,84.85004
12,84.81789
13,84.782974
14,84.74224
15,84.699684
16,84.65993
17,84.6202
18,84.579605
19,84.538605
20,84.498146
21,84.456535
22,84.41458
23,84.37382
24,84.335014
25,84.29585
26,84.25574
27,84.21656
28,84.17896
29,84.14144
30,84.10504
31,84.06962
32,84.0342
33,83.99941
34,83.96561
35,83.93229
36,83.90122
37,83.87073
38,83.83934
39,83.809265
40,83.78087
41,83.75229
42,83.72566
43,83.70004
44,83.673744
45,83.64849
46,83.62462
47,83.60074
48,83.57892
49,83.55786
50,83.53595
51,83.515495
52,83.49652
53,83.4771
54,83.460205
55,83.44436
56,83.4272
57,83.41161
58,83.39781
59,83.3834
60,83.37071
61,83.35912
62,83.3468
63,83.33601
64,83.326454
65,83.31624
66,83.3082
67,83.30124
68,83.293076
69,83.28658
70,83.2816
71,83.2758
72,83.27122
73,83.26778
74,83.263855
75,83.26202
76,83.26095
77,83.25857
78,83.25832
79,83.25946
80,83.25924
81,83.26145
82,83.26504
83,83.266945
84,83.27097
85,83.27657
86,83.28072
87,83.28565
88,83.29208
89,83.29822
90,83.30634
91,83.31498
92,83.32221
93,83.33153
94,83.342186
95,83.35137
96,83.363075
97,83.37618
98,83.38744
99,83.40111
100,83.41639
101,83.429886
102,83.44291
103,83.45757
104,83.47277
105,83.488594
106,83.504135
107,83.51934
108,83.53784
109,83.55676
110,83.573204
111,83.591255
112,83.61146
113,83.6305
114,83.64978
115,83.67008
116,83.69031
117,83.71154
118,83.73285
119,83.75338
120,83.774666
121,83.796555
122,83.81779
123,83.839195
124,83.860985
125,83.882515
126,83.90363
127,83.92488
128,83.946396
129,83.96726
130,83.98788
131,84.00903
132,84.02854
133,84.04769
134,84.06814
135,84.090034
136,84.110794
137,84.130424
138,84.15099
139,84.17255
140,84.193344
141,84.21278
142,84.232925
143,84.2542
144,84.27278
145,84.2906
146,84.31076
147,84.329735
148,84.38711
149,84.40413
150,84.38855
151,84.40586
152,84.44953
153,84.46368
154,84.45716
155,84.47464
156,84.5038
157,84.51392
158,84.51501
159,84.52594
160,84.54446
161,84.55545
162,84.5548
163,84.56082
164,84.576614
165,84.58272
166,84.58171
167,84.589066
168,84.59586
169,84.59648
170,84.59795
171,84.64804
172,84.648895
173,84.61153
174,84.60583
175,84.630554
176,84.629654
177,84.6745
178,84.66864
179,84.62658
180,84.614586
181,84.6274
182,84.6153
183,84.735176
184,84.78011
185,84.719055
186,84.6604
187,84.69098
188,84.721054
189,84.72768
190,84.77731
191,84.80267
192,84.74048
193,84.699585
194,84.729645
195,84.828064
196,84.8665
197,84.8113
198,84.75554
199,84.77587
200,84.797165
201,84.885414
202,84.88862
203,84.844185
204,84.818344
205,84.83106
206,84.82923
207,84.96159
208,84.96772
209,84.92316
210,84.89373
211,84.906044
212,84.90701
213,85.04041
214,85.04318
215,85.04418
216,85.06501
217,85.08705
218,85.093445
219,85.20876
220,85.30329
221,85.31077
222,85.25601
223,85.27282
224,85.338394
225,85.44927
226,85.47566
227,85.49312
228,85.492485
229,85.498245
230,85.51827
231,85.64079
232,85.74365
233,85.75291
234,85.69786
235,85.715996
236,85.782974
237,85.85944
238,85.908035
239,85.95025
240,86.019905
241,86.08829
242,86.12921
243,86.13528
244,86.13768
245,86.25687
246,86.34665
247,86.35179
248,86.331955
249,86.38136
250,86.45201
251,86.510185
252,86.575485
253,86.62162
254,86.65998
255,86.67854
256,86.76038
257,86.81033
258,86.90166
259,86.948944
260,86.936066
261,86.95764
262,87.0203
263,87.07143
264,87.162766
265,87.264854
266,87.30293
267,87.20253
268,87.239876
269,87.44158
270,87.49213
271,87.483444
272,87.48019
273,87.518936
274,87.599625
275,87.60069
276,87.6696
277,87.79179
278,87.82641
279,87.76313
280,87.75856
281,87.85903
282,87.944466
283,88.03546
284,88.03135
285,88.06942
286,88.12196
287,88.13466
288,88.23924
289,88.31009
290,88.25433
291,88.22081
292,88.30825
293,88.424774
294,88.3576
295,88.27428
296,88.389694
297,88.52303
298,88.46493
299,88.352585
300,88.45419
301,88.61904
302,88.560356
303,88.41911
304,88.49715
305,88.61395
306,88.59773
307,88.514305
308,88.569916
309,88.645325
310,88.622665
311,88.48703
312,88.61922
313,88.73821
314,88.7092
315,88.61058
316,88.69761
317,88.79085
318,88.67479
319,88.649086
320,88.72823
321,88.84282
322,88.69636
323,88.65266
324,88.82739
325,88.81041
326,88.78517
327,88.726456
328,88.74424
329,88.72673
330,88.66376
331,88.60353
332,88.715454
333,88.72157
334,88.68838
335,88.721924
336,88.67026
337,88.6307
338,88.69309
339,88.753006
340,88.60383
341,88.4852
342,88.56152
343,88.68761
344,88.58228
345,88.53605
346,88.48029
347,88.51548
348,88.53786
349,88.4015
350,88.2782
351,88.3875
352,88.473236
353,88.29047
354,88.16383
355,88.3262
356,88.39572
357,88.19373
358,88.09397
359,88.17772
360,88.14364
361,88.11115
362,88.07535
363,88.058945
364,88.02862
365,87.86287
366,87.864105
367,87.92013
368,87.86583
369,87.745895
370,87.64205
371,87.72878
372,87.70345
373,87.54111
374,87.51428
375,87.55068
376,87.393585
377,87.39453
378,87.39474
379,87.289055
380,87.24644
381,87.22611
