,0
0,42.995914
1,42.384087
2,41.766655
3,41.326893
4,40.88949
5,40.309246
6,39.744835
7,39.313736
8,38.905804
9,38.431797
10,38.00076
11,37.661354
12,37.351807
13,37.009808
14,36.692173
15,36.439594
16,36.21006
17,35.957565
18,35.718018
19,35.519955
20,35.33699
21,35.130985
22,34.931503
23,34.757057
24,34.58722
25,34.41143
26,34.233383
27,34.07088
28,33.910934
29,33.743248
30,33.58458
31,33.42858
32,33.274223
33,33.114914
34,32.956882
35,32.81782
36,32.66687
37,32.512894
38,32.35993
39,32.211025
40,32.06668
41,31.916363
42,31.766882
43,31.620205
44,31.474058
45,31.324043
46,31.177055
47,31.032072
48,30.887676
49,30.742659
50,30.599033
51,30.455437
52,30.312443
53,30.16926
54,30.026443
55,29.884335
56,29.7425
57,29.600761
58,29.459509
59,29.318932
60,29.16074
61,29.020437
62,28.88065
63,28.741404
64,28.602425
65,28.447676
66,28.30907
67,28.171005
68,28.03325
69,27.895685
70,27.760029
71,27.622787
72,27.485937
73,27.349405
74,27.21313
75,27.08178
76,26.945723
77,26.810051
78,26.674698
79,26.539562
80,26.407778
81,26.272856
82,26.13831
83,26.004044
84,25.869959
85,25.741308
86,25.607306
87,25.473656
88,25.340326
89,25.207167
90,25.07603
91,24.94299
92,24.810316
93,24.67787
94,24.545555
95,24.421156
96,24.288877
97,24.15691
98,24.02521
99,23.893663
100,23.762316
101,23.6307
102,23.49942
103,23.368427
104,23.23755
105,23.106794
106,22.975843
107,22.845236
108,22.714876
109,22.58461
110,22.457438
111,22.327179
112,22.197233
113,22.067484
114,21.937836
115,21.814838
116,21.685253
117,21.555943
118,21.42681
119,21.29779
120,21.174599
121,21.045673
122,20.91701
123,20.78849
124,20.660086
125,20.54537
126,20.418459
127,20.300797
128,20.172451
129,20.035278
130,19.926102
131,19.805353
132,19.677597
133,19.544683
134,19.428328
135,19.325588
136,19.188938
137,19.058004
138,18.939465
139,18.825462
140,18.708145
141,18.573553
142,18.459133
143,18.341478
144,18.208887
145,18.102528
146,17.996315
147,17.868544
148,17.736624
149,17.622395
150,17.533695
151,17.408504
152,17.290165
153,17.175383
154,17.05647
155,16.96415
156,16.847313
157,16.732817
158,16.615654
159,16.49728
160,16.405659
161,16.29114
162,16.175089
163,16.058289
164,15.943169
165,15.853092
166,15.737667
167,15.621944
168,15.507333
169,15.393328
170,15.298722
171,15.1836
172,15.069375
173,14.955576
174,14.841382
175,14.748051
176,14.637285
177,14.537264
178,14.429312
179,14.307179
180,14.193128
181,14.095885
182,13.98929
183,13.872667
184,13.753426
185,13.675882
186,13.571117
187,13.457784
188,13.345174
189,13.242674
190,13.168212
191,13.047159
192,12.942612
193,12.838375
194,12.723892
195,12.6363
196,12.542026
197,12.428956
198,12.316068
199,12.2115555
200,12.137631
201,12.039282
202,11.931472
203,11.814865
204,11.720362
205,11.6443815
206,11.53573
207,11.438061
208,11.3391695
209,11.227467
210,11.144122
211,11.060837
212,10.960717
213,10.846066
214,10.74148
215,10.688993
216,10.592377
217,10.483003
218,10.380859
219,10.293495
220,10.22913
221,10.150955
222,10.072562
223,9.971919
224,9.864963
225,9.783396
226,9.727238
227,9.652403
228,9.5648575
229,9.461026
230,9.411205
231,9.362486
232,9.277901
233,9.213545
234,9.086923
235,9.03756
236,8.958951
237,8.946931
238,8.951593
239,8.857001
240,8.797711
241,8.757634
242,8.689994
243,8.6838665
244,8.610731
245,8.561926
246,8.403515
247,8.410444
248,8.417427
249,8.240423
250,8.294922
251,8.309258
252,8.109404
253,8.13402
254,8.076438
255,7.99214
256,7.948559
257,7.9696426
258,7.8472223
259,7.842581
260,7.878833
261,7.686468
262,7.634083
263,7.595916
264,7.548954
265,7.5284758
266,7.429185
267,7.421793
268,7.484446
269,7.3519225
270,7.3579006
271,7.220774
272,7.2883945
273,7.163893
274,7.1374474
275,7.0805197
276,7.1386156
277,6.9740076
278,7.016943
279,7.0214767
280,6.9978714
281,6.9156656
282,6.8886867
283,6.8660307
284,6.877144
285,6.778579
286,6.7237873
287,6.756675
288,6.5695276
289,6.594092
290,6.643265
291,6.5241637
292,6.500829
293,6.6367364
294,6.468991
295,6.4812574
296,6.6574974
297,6.529434
298,6.6017103
299,6.578537
300,6.5000987
301,6.348776
302,6.472541
303,6.35507
304,6.366267
305,6.5058136
306,6.5106344
307,6.408446
308,6.3813543
309,6.3500032
310,6.3894043
311,6.3350205
312,6.2312355
313,6.339248
314,6.523486
315,6.1345835
316,6.204379
317,6.157749
318,6.2090664
319,5.9811525
320,6.2333717
321,6.0110106
322,5.997288
323,5.9058037
324,6.1155095
325,6.075974
326,6.12841
327,6.1120467
328,5.9285936
329,5.9843006
330,5.878069
331,5.9126153
332,5.7877812
333,5.72261
334,5.8319025
335,5.5315943
336,5.605047
337,5.618628
338,5.609141
339,5.528595
340,5.7030997
341,5.4532747
342,5.536805
343,5.54939
344,5.4923763
345,5.470193
346,5.4952693
347,5.2486567
348,5.611388
349,5.548278
350,5.4380455
351,5.4465513
352,5.4692965
353,5.5950675
354,5.5988235
355,5.514726
356,5.3455873
357,5.2717423
358,5.3961444
359,5.312654
360,5.2983418
361,5.403864
362,5.1514196
363,5.068464
364,5.363471
365,5.385088
366,5.163224
367,5.192686
368,5.3184533
369,5.424762
370,5.2491474
371,5.368079
372,5.0345283
373,5.1207743
374,5.1611443
375,4.98888
376,5.2575746
377,5.3401036
378,5.1084886
379,4.9670043
380,5.1426477
381,4.886467
382,4.98661
383,5.127656
384,4.9317045
385,4.9511495
386,4.7864313
387,4.8451796
388,4.703674
389,4.9876447
390,4.7863865
391,4.869459
392,4.7439623
393,4.6630554
394,4.752468
395,4.77188
396,4.607488
397,4.4238644
398,4.783787
399,4.8188095
400,4.6902046
401,4.4490414
402,4.739061
403,4.673538
404,4.5672226
