,0
0,1.7238135
1,1.7155762
2,1.7139283
3,1.7122804
4,1.7053608
5,1.6984407
6,1.695738
7,1.693035
8,1.6869581
9,1.6808811
10,1.6775038
11,1.6741264
12,1.6685892
13,1.663052
14,1.6592425
15,1.6554326
16,1.6502405
17,1.6450485
18,1.6409624
19,1.6368759
20,1.6319054
21,1.6269351
22,1.6226718
23,1.6184084
24,1.6135795
25,1.60875
26,1.604373
27,1.5999963
28,1.5952575
29,1.5905185
30,1.58607
31,1.5816215
32,1.5769408
33,1.5722598
34,1.5677648
35,1.563269
36,1.5586246
37,1.5539807
38,1.5494556
39,1.5449303
40,1.5403103
41,1.5356905
42,1.5311465
43,1.5266021
44,1.5219971
45,1.5173917
46,1.5128347
47,1.508278
48,1.5036825
49,1.4990869
50,1.4945226
51,1.4899584
52,1.4853691
53,1.4807794
54,1.4762101
55,1.4716401
56,1.4670541
57,1.4624684
58,1.4578955
59,1.4533224
60,1.4487393
61,1.4441565
62,1.4395816
63,1.4350064
64,1.4304249
65,1.4258432
66,1.4212667
67,1.4166901
68,1.4121095
69,1.4075288
70,1.402952
71,1.3983749
72,1.393795
73,1.3892149
74,1.3846374
75,1.3800592
76,1.3754792
77,1.3708994
78,1.3663212
79,1.3617427
80,1.3571633
81,1.3525841
82,1.3480057
83,1.343427
84,1.3388478
85,1.3342686
86,1.3296896
87,1.3251108
88,1.3205315
89,1.3159522
90,1.3113735
91,1.3067945
92,1.3022153
93,1.2976359
94,1.293057
95,1.2884778
96,1.2838982
97,1.279319
98,1.2747399
99,1.2701606
100,1.2655814
101,1.2610023
102,1.2564231
103,1.2518437
104,1.2472644
105,1.2426851
106,1.2381057
107,1.2335261
108,1.2289467
109,1.2243673
110,1.219788
111,1.2152085
112,1.2106291
113,1.2060496
114,1.2014701
115,1.196891
116,1.1923118
117,1.1877322
118,1.1831527
119,1.1785735
120,1.173994
121,1.1694142
122,1.1648345
123,1.1602551
124,1.1556754
125,1.1510956
126,1.1465162
127,1.1419365
128,1.1373568
129,1.1327771
130,1.1281976
131,1.1236179
132,1.119038
133,1.1144582
134,1.1098784
135,1.1052989
136,1.1007191
137,1.0961392
138,1.0915594
139,1.0869796
140,1.0823997
141,1.0778197
142,1.0732398
143,1.0686599
144,1.0640798
145,1.0595001
146,1.0549204
147,1.0503405
148,1.0457604
149,1.0411805
150,1.0366005
151,1.0320202
152,1.0274401
153,1.02286
154,1.0187011
155,1.0141209
156,1.0092038
157,1.0046237
158,1.000313
159,0.9957329
160,0.99093676
161,0.9863563
162,0.9823669
163,0.9777863
164,0.9727328
165,0.9681529
166,0.9639512
167,0.9593706
168,0.9549168
169,0.95033664
170,0.94565433
171,0.94107306
172,0.9365734
173,0.93199295
174,0.9273472
175,0.92319876
176,0.9186706
177,0.91374445
178,0.9091222
179,0.9052553
180,0.900707
181,0.8955543
182,0.8909467
183,0.8868226
184,0.88263935
185,0.8781323
186,0.87367725
187,0.86903924
188,0.86480945
189,0.8611609
190,0.85629684
191,0.8509672
192,0.8469805
193,0.8433818
194,0.8383235
195,0.8338612
196,0.83058167
197,0.8263907
198,0.8216387
199,0.8176132
200,0.81356406
201,0.8093314
202,0.80509406
203,0.8010147
204,0.7965464
205,0.7925119
206,0.789179
207,0.785912
208,0.78078276
209,0.7756203
210,0.7722532
211,0.7689328
212,0.7641791
213,0.7593698
214,0.7557193
215,0.7536266
216,0.7487751
217,0.7430893
218,0.74051005
219,0.73731065
220,0.73192286
221,0.72743386
222,0.7246435
223,0.7210978
224,0.71545506
225,0.71222746
226,0.7114414
227,0.70667833
228,0.70143896
229,0.69840515
230,0.6949678
231,0.6908472
232,0.6870379
233,0.68329686
234,0.67973155
235,0.67779016
236,0.67545366
237,0.6708721
238,0.6677023
239,0.66560644
240,0.6625778
241,0.65857005
242,0.6558414
243,0.65312374
244,0.6497975
245,0.64712244
246,0.6443306
247,0.6411817
248,0.63738495
249,0.63533115
250,0.634698
251,0.63178587
252,0.6273046
253,0.62559146
254,0.62337995
255,0.6256534
256,0.6258838
257,0.62077147
258,0.6173127
259,0.61809325
260,0.6176007
261,0.61650455
262,0.613877
263,0.6115311
264,0.61669284
265,0.61489236
266,0.60623544
267,0.60470426
268,0.60708284
269,0.60350436
270,0.5979328
271,0.60310304
272,0.6034152
273,0.59532106
274,0.5934528
275,0.59660065
276,0.5953041
277,0.5897939
278,0.587898
279,0.59160197
280,0.5905019
281,0.5857422
282,0.58401704
283,0.5869244
284,0.5858533
285,0.5799697
286,0.5753873
287,0.5755233
288,0.5758634
289,0.5722281
290,0.57209194
291,0.5716049
292,0.56948006
293,0.5680028
294,0.56866986
295,0.56498706
296,0.55789953
297,0.5558752
298,0.5559071
299,0.5532686
300,0.55056757
301,0.55164206
302,0.55130583
303,0.5476128
304,0.54583526
305,0.54578793
306,0.5519758
307,0.55401784
308,0.547039
309,0.543694
310,0.5475332
311,0.5483963
312,0.54233956
313,0.5413431
314,0.5436168
315,0.5413492
316,0.5348233
317,0.53411156
318,0.5353094
319,0.53248125
320,0.52970415
321,0.5299284
322,0.5298539
323,0.52857965
324,0.52769
325,0.5259258
326,0.52334523
327,0.5221747
328,0.5217758
329,0.5206252
330,0.51871747
331,0.5170651
332,0.51595855
333,0.51464456
334,0.5141068
335,0.510923
336,0.5081302
337,0.5083729
338,0.50859994
339,0.5051305
340,0.5032867
341,0.5039576
342,0.50470334
343,0.50183696
344,0.49944118
345,0.49823853
346,0.49814832
347,0.49724802
348,0.49491638
349,0.49356064
350,0.49340385
351,0.4977297
352,0.49500272
353,0.4885136
354,0.48939556
355,0.49278212
356,0.48981217
357,0.48537508
358,0.48592663
359,0.48846117
360,0.48543033
361,0.4826636
362,0.4837526
363,0.48376945
364,0.48106554
365,0.4796541
366,0.48082525
367,0.4811936
368,0.47740558
369,0.47453237
370,0.47537825
371,0.47628364
372,0.4734069
373,0.4716172
374,0.47234136
375,0.4728225
376,0.47028133
377,0.46744114
378,0.46762422
379,0.46831757
380,0.46588266
381,0.4637496
382,0.4641047
383,0.46467996
384,0.4630474
385,0.46192053
386,0.46206006
387,0.4621839
388,0.46009862
389,0.45924926
390,0.458789
391,0.4573776
392,0.45762065
393,0.45825306
394,0.4570092
395,0.45462957
396,0.4543928
397,0.45345175
398,0.45358384
399,0.45351505
400,0.45203194
401,0.45000497
402,0.45089874
403,0.45021766
404,0.44724163
405,0.44593203
406,0.44656676
407,0.44564477
408,0.44326118
409,0.4436368
410,0.4440075
411,0.44370815
412,0.44156793
413,0.4403063
414,0.44032854
415,0.4400264
416,0.4402751
417,0.43878755
418,0.4387358
419,0.43886203
420,0.436336
421,0.43450028
422,0.43485135
423,0.43597093
424,0.4345404
425,0.4337926
426,0.43254027
427,0.43164688
428,0.43058014
429,0.4310031
430,0.430831
431,0.42942753
432,0.42903247
433,0.4289472
434,0.42871016
435,0.42643467
436,0.426819
437,0.42729467
438,0.42427874
439,0.423613
440,0.42414457
441,0.42396924
442,0.42325518
443,0.42370486
444,0.42327356
445,0.42132103
446,0.42044315
447,0.42172232
448,0.4206646
449,0.41910678
450,0.41899115
451,0.41977337
452,0.417465
453,0.41727287
454,0.41719607
455,0.41707566
456,0.41633904
457,0.41629285
458,0.4157619
459,0.41553086
460,0.41407442
461,0.41330174
462,0.41307527
463,0.41414738
464,0.4123188
465,0.41141483
466,0.4128958
467,0.41250795
468,0.41023812
469,0.40933257
470,0.41099238
471,0.41064104
472,0.40820163
473,0.40916514
474,0.40947315
475,0.40747064
476,0.40655446
477,0.40749937
478,0.40727857
479,0.4061327
480,0.4060593
481,0.40519652
482,0.40499327
483,0.40486848
484,0.40384576
485,0.40338248
486,0.40352634
487,0.40352547
488,0.40221915
489,0.40156165
490,0.40248686
491,0.40290868
492,0.40134242
493,0.39993402
494,0.39927703
495,0.39974892
496,0.40056825
497,0.39841548
498,0.39684418
499,0.39845404
500,0.39837462
501,0.3962751
502,0.3962658
503,0.39781252
504,0.3964729
505,0.39363045
506,0.3959311
507,0.39731896
508,0.3942253
509,0.3926217
510,0.39525276
511,0.39653888
512,0.3928228
513,0.3911786
514,0.3939128
515,0.39398158
516,0.3929273
517,0.3923313
518,0.39211348
519,0.39278868
520,0.39256516
521,0.3912528
