,0
0,45.031628
1,44.817204
2,44.602776
3,44.579487
4,44.536602
5,44.356483
6,44.21261
7,44.142277
8,44.071945
9,43.96182
10,43.803642
11,43.715736
12,43.56586
13,43.421764
14,43.27766
15,43.176918
16,43.07775
17,42.94262
18,42.841072
19,42.734734
20,42.628384
21,42.437927
22,42.308548
23,42.19759
24,42.06074
25,41.935047
26,41.809353
27,41.679745
28,41.565845
29,41.44252
30,41.28749
31,41.1717
32,41.055912
33,40.896282
34,40.774456
35,40.657448
36,40.49601
37,40.37516
38,40.254303
39,40.11877
40,40.00098
41,39.88073
42,39.71693
43,39.598675
44,39.480415
45,39.345642
46,39.225784
47,39.1072
48,38.944386
49,38.824795
50,38.705196
51,38.562336
52,38.44355
53,38.32412
54,38.106697
55,37.98778
56,37.868866
57,37.735847
58,37.61652
59,37.497517
60,37.31389
61,37.194637
62,37.07538
63,36.88035
64,36.76131
65,36.642105
66,36.485435
67,36.366344
68,36.247257
69,36.055576
70,35.936386
71,35.817276
72,35.63193
73,35.512753
74,35.39357
75,35.18291
76,35.063805
77,34.944653
78,34.77168
79,34.65255
80,34.53342
81,34.328846
82,34.20969
83,34.090553
84,33.89849
85,33.77934
86,33.66019
87,33.511745
88,33.39262
89,33.273487
90,33.100945
91,32.9818
92,32.862667
93,32.683838
94,32.564705
95,32.44557
96,32.264908
97,32.14579
98,32.026672
99,31.871475
100,31.75234
101,31.63321
102,31.439392
103,31.320265
104,31.201138
105,31.062023
106,30.942894
107,30.823765
108,30.693039
109,30.57392
110,30.454798
111,30.324316
112,30.205187
113,30.086056
114,29.952477
115,29.833353
116,29.714222
117,29.606552
118,29.487442
119,29.368332
120,29.231426
121,29.112309
122,28.9932
123,28.865946
124,28.746832
125,28.627716
126,28.486736
127,28.367636
128,28.24853
129,28.105385
130,27.986292
131,27.867195
132,27.784964
133,27.665874
134,27.546793
135,27.399172
136,27.280085
137,27.161
138,27.106575
139,26.987503
140,26.868433
141,26.71278
142,26.593706
143,26.47463
144,26.331444
145,26.21238
146,26.093319
147,26.028452
148,25.909403
149,25.790356
150,25.66767
151,25.548615
152,25.429571
153,25.31786
154,25.19882
155,25.079782
156,24.987856
157,24.868826
158,24.749802
159,24.675428
160,24.556412
161,24.437391
162,24.347706
163,24.228695
164,24.109686
165,24.040346
166,23.921343
167,23.802345
168,23.69117
169,23.57218
170,23.453194
171,23.37173
172,23.252747
173,23.13377
174,23.078405
175,22.959436
176,22.840467
177,22.773884
178,22.654924
179,22.535973
180,22.45416
181,22.335209
182,22.21626
183,22.123848
184,22.00491
185,21.885975
186,21.80394
187,21.685013
188,21.56609
189,21.47314
190,21.354216
191,21.235298
192,21.23879
193,21.119879
194,21.000969
195,20.860538
196,20.741625
197,20.622715
198,20.529043
199,20.410141
200,20.291243
201,20.24716
202,20.128271
203,20.009388
204,19.910393
205,19.791496
206,19.67261
207,19.572342
208,19.453455
209,19.334564
210,19.26346
211,19.144579
212,19.025698
213,18.911385
214,18.792503
215,18.673628
216,18.593008
217,18.47413
218,18.355257
219,18.244514
220,18.125643
221,18.006771
222,17.929466
223,17.81059
224,17.691715
225,17.606539
226,17.487663
227,17.368788
228,17.24974
229,17.130863
230,17.011984
231,16.947233
232,16.828358
233,16.709482
234,16.625484
235,16.5066
236,16.387722
237,16.257988
238,16.139107
239,16.020227
240,15.927676
241,15.808795
242,15.689908
243,15.586483
244,15.467596
245,15.348709
246,15.283965
247,15.165074
248,15.046183
249,14.923898
250,14.805009
251,14.686116
252,14.574522
253,14.455625
254,14.336727
255,14.266175
256,14.147284
257,14.028389
258,13.887966
259,13.769063
260,13.65016
261,13.46353
262,13.344635
263,13.225738
264,13.094482
265,12.975578
266,12.856676
267,12.725117
268,12.606217
269,12.487314
270,12.389182
271,12.270284
272,12.151385
273,12.035913
274,11.917003
275,11.798092
276,11.674398
277,11.555487
278,11.43657
279,11.253881
280,11.1349745
281,11.016063
282,10.861662
283,10.742754
284,10.623847
285,10.46101
286,10.342097
287,10.223189
288,10.077056
289,9.958141
290,9.839223
291,9.690044
292,9.571138
293,9.452228
294,9.31819
295,9.199279
296,9.080369
297,8.922283
298,8.803364
299,8.684445
300,8.621862
301,8.502961
302,8.384055
303,8.174705
304,8.055775
305,7.9368496
306,7.7662845
307,7.6473665
308,7.5284414
309,7.422844
310,7.30394
311,7.1850343
312,7.021008
313,6.9020762
314,6.7831545
315,6.632202
316,6.513291
317,6.3943753
318,6.25545
319,6.136539
320,6.020071
321,5.919708
322,5.8136177
323,5.7012734
324,5.5959506
325,5.500237
326,5.404522
327,5.2941947
328,5.189312
329,5.0917554
330,5.0171285
331,4.9137235
332,4.810313
333,4.721412
