,0
0,1.7237986
1,1.7155464
2,1.713896
3,1.7122458
4,1.7053142
5,1.6983824
6,1.695676
7,1.6929697
8,1.6868831
9,1.6807965
10,1.6774144
11,1.6740321
12,1.6684867
13,1.6629412
14,1.6591264
15,1.655312
16,1.6501127
17,1.6449136
18,1.6408223
19,1.6367309
20,1.6317534
21,1.6267761
22,1.6225078
23,1.6182394
24,1.613404
25,1.6085687
26,1.6041869
27,1.5998056
28,1.5950613
29,1.5903167
30,1.5858629
31,1.5814092
32,1.576723
33,1.572037
34,1.5675371
35,1.563037
36,1.5583885
37,1.5537399
38,1.5492103
39,1.544681
40,1.5400563
41,1.5354317
42,1.5308834
43,1.5263354
44,1.5217261
45,1.5171173
46,1.5125573
47,1.507997
48,1.503398
49,1.4987992
50,1.4942312
51,1.4896637
52,1.4850713
53,1.4804788
54,1.4759064
55,1.4713341
56,1.4667459
57,1.4621576
58,1.4575824
59,1.453007
60,1.4484215
61,1.443836
62,1.4392588
63,1.4346818
64,1.4300983
65,1.4255146
66,1.4209366
67,1.4163585
68,1.4117761
69,1.4071939
70,1.4026151
71,1.3980362
72,1.3934548
73,1.3888733
74,1.384294
75,1.3797147
76,1.3751335
77,1.3705525
78,1.3659731
79,1.3613935
80,1.3568127
81,1.3522322
82,1.3476526
83,1.3430729
84,1.3384925
85,1.3339123
86,1.3293326
87,1.3247527
88,1.3201725
89,1.3155924
90,1.3110127
91,1.306433
92,1.3018528
93,1.2972728
94,1.292693
95,1.2881132
96,1.2835335
97,1.2789537
98,1.2743741
99,1.2697942
100,1.2652144
101,1.2606347
102,1.256055
103,1.2514753
104,1.2468956
105,1.2423158
106,1.2377361
107,1.2331563
108,1.2285765
109,1.2239969
110,1.2194173
111,1.2148377
112,1.210258
113,1.2056785
114,1.2010987
115,1.196519
116,1.1919394
117,1.1873598
118,1.1827803
119,1.1782006
120,1.1736209
121,1.1690413
122,1.1644619
123,1.1598821
124,1.1553023
125,1.1507227
126,1.146143
127,1.141563
128,1.1369833
129,1.1324037
130,1.127824
131,1.1232442
132,1.1186644
133,1.1140846
134,1.1095049
135,1.1049252
136,1.1003454
137,1.0957656
138,1.0911858
139,1.086606
140,1.0820262
141,1.0774466
142,1.0728667
143,1.0682869
144,1.0637071
145,1.0591274
146,1.0545477
147,1.0499676
148,1.0453877
149,1.0408078
150,1.0362284
151,1.0316488
152,1.027069
153,1.0224892
154,1.0179095
155,1.0133299
156,1.0087498
157,1.00417
158,0.9995902
159,0.9950104
160,0.99043024
161,0.9858502
162,0.9812708
163,0.9766911
164,0.9721111
165,0.96753114
166,0.96295154
167,0.9583719
168,0.9537919
169,0.94921196
170,0.94463223
171,0.9400527
172,0.93547297
173,0.93089306
174,0.92631334
175,0.9217338
176,0.9171541
177,0.91257435
178,0.9079947
179,0.9034151
180,0.8988355
181,0.8942559
182,0.8896762
183,0.8850967
184,0.88051724
185,0.87593764
186,0.87135804
187,0.86677843
188,0.86219895
189,0.8576194
190,0.8530398
191,0.8484603
192,0.84388083
193,0.83930135
194,0.8347218
195,0.83014244
196,0.82556313
197,0.8209837
198,0.8164042
199,0.81182486
200,0.80724555
201,0.80266637
202,0.79808706
203,0.79350775
204,0.78892857
205,0.78434944
206,0.7797702
207,0.7751909
208,0.77061164
209,0.76603246
210,0.7614533
211,0.75687397
212,0.75229466
213,0.74771553
214,0.74313635
215,0.73855716
216,0.7339778
217,0.7293985
218,0.7248193
219,0.7202401
220,0.7156609
221,0.7110817
222,0.7065024
223,0.7019231
224,0.6973438
225,0.69276434
226,0.68818486
227,0.6836056
228,0.67902625
229,0.67444676
230,0.66986734
231,0.66528785
232,0.66070837
233,0.65612894
234,0.6515492
235,0.64696944
236,0.6423899
237,0.6378102
238,0.63323027
239,0.6286506
240,0.62407076
241,0.6194908
242,0.61491096
243,0.610331
244,0.6057509
245,0.601171
246,0.5965909
247,0.59201074
248,0.58743066
249,0.5828506
250,0.5782703
251,0.5736902
252,0.5691097
253,0.5645291
254,0.55994886
255,0.55536836
256,0.5507877
257,0.5462072
258,0.5416266
259,0.53704584
260,0.5324652
261,0.5278843
262,0.52330333
263,0.5187226
264,0.5141416
265,0.50956047
266,0.5049795
267,0.5003984
268,0.49581718
269,0.49123603
270,0.4866547
271,0.48207328
272,0.4774921
273,0.47291067
274,0.4683291
275,0.46374774
276,0.4591662
277,0.45458454
278,0.450003
279,0.4454214
280,0.4408397
281,0.4362581
282,0.43167636
283,0.42709455
284,0.4225129
285,0.4179311
286,0.4133492
287,0.40876746
288,0.4041855
289,0.39960346
290,0.39502162
291,0.3904397
292,0.38585764
293,0.38127565
294,0.37669373
295,0.37211174
296,0.36752975
297,0.36294767
298,0.35836565
299,0.3537837
300,0.34920156
301,0.34461936
302,0.34003738
303,0.33545527
304,0.33087304
305,0.3262909
306,0.32170877
307,0.31712657
308,0.3125444
309,0.30796227
310,0.30338013
311,0.29879797
312,0.29421583
313,0.28963366
314,0.28505158
315,0.28046945
316,0.27588728
317,0.2713052
318,0.2667231
319,0.262141
320,0.2575589
321,0.25297672
322,0.24839452
323,0.24381244
324,0.23923048
325,0.23464844
326,0.23006636
327,0.2254843
328,0.22090231
329,0.21632035
330,0.21173847
331,0.2071566
332,0.20257473
333,0.19799294
334,0.19341117
335,0.18882945
336,0.18424775
337,0.1796661
338,0.17508453
339,0.17050299
340,0.16592152
341,0.16134009
342,0.15713365
343,0.15292984
344,0.1484251
345,0.14392091
346,0.1396612
347,0.13540392
348,0.13095179
349,0.12650079
350,0.12221029
351,0.117923014
352,0.11350977
353,0.1090984
354,0.104794405
355,0.100494705
356,0.09611417
357,0.09173779
358,0.08743546
359,0.08313947
360,0.07879474
361,0.07445774
362,0.07017593
363,0.06633465
364,0.062484402
365,0.05830999
366,0.054243412
367,0.050716072
368,0.04715967
369,0.04324051
370,0.039433036
371,0.036554117
372,0.03377373
373,0.030462919
374,0.027517771
375,0.026207047
376,0.025153559
377,0.023780257
378,0.02257377
379,0.021820912
380,0.02108927
381,0.019944545
382,0.01886227
383,0.018212399
384,0.017703442
385,0.016136367
386,0.015383149
387,0.01568496
388,0.0139238015
389,0.012622893
390,0.012056627
391,0.013725915
392,0.011734765
393,0.01170325
394,0.012877431
395,0.012219921
396,0.010821346
397,0.01106923
398,0.013836459
399,0.0108049065
400,0.010482167
401,0.010416102
402,0.013286576
403,0.009082726
404,0.0097046215
405,0.011432317
406,0.01141355
407,0.008362313
408,0.00896226
409,0.012585834
410,0.009683631
411,0.008194491
412,0.007860785
413,0.013184756
414,0.008019854
415,0.00767357
416,0.00773185
417,0.011506128
418,0.0060811113
419,0.00631955
420,0.009504128
421,0.008736913
422,0.0051517533
423,0.004009737
424,0.011408754
425,0.006890344
426,0.0047775917
427,0.0040224986
428,0.012268011
429,0.0063249343
430,0.00439087
431,0.0062425956
432,0.010537606
433,0.0063548624
434,0.0028971902
435,0.010088688
436,0.008607929
437,0.005719148
438,0.0027955193
439,0.012177725
440,0.008175239
441,0.004792108
442,0.00492937
443,0.012948481
444,0.008716219
445,0.0040229578
446,0.007625223
447,0.012512796
448,0.008322249
449,0.0039735767
450,0.010208689
451,0.011839009
452,0.006098059
453,0.008092251
454,0.01281137
455,0.012849568
456,0.0068086884
457,0.01016554
458,0.014395203
459,0.012259633
460,0.008415346
461,0.009954831
462,0.01617908
463,0.010548709
464,0.010520838
465,0.011578005
466,0.016932206
467,0.008763562
468,0.012649049
469,0.013760765
470,0.01529206
471,0.00959971
472,0.013664982
473,0.016381083
474,0.012571718
475,0.013155293
476,0.01342696
477,0.0172984
478,0.010496535
479,0.014989131
480,0.01327197
481,0.015812505
482,0.009627149
483,0.015371248
484,0.014730495
485,0.013285183
486,0.01201769
487,0.014403314
488,0.01625423
489,0.010422604
490,0.0143607445
491,0.012341484
492,0.016863555
493,0.008623519
494,0.013524405
495,0.012193147
496,0.014105332
497,0.008773398
498,0.011369624
499,0.014590704
500,0.010568441
501,0.012168352
502,0.009965898
503,0.016605595
504,0.008209276
505,0.0114426
506,0.008596167
507,0.015683645
508,0.0070558693
509,0.00955156
510,0.012308822
511,0.011721009
512,0.010567523
513,0.0083455015
514,0.015942952
515,0.008786866
516,0.011474089
517,0.008052765
518,0.016406314
519,0.0066475165
520,0.010836726
521,0.011928087
522,0.011673363
523,0.01124365
524,0.009024497
525,0.015765866
526,0.0074317995
527,0.011956047
528,0.005444624
529,0.016029913
530,0.004087016
531,0.010736708
532,0.010056025
533,0.0120993005
534,0.010179914
535,0.007540109
536,0.015150968
537,0.007103607
538,0.013835279
539,0.0056172633
540,0.016998297
541,0.0026312552
542,0.011437437
543,0.011181979
544,0.013982079
545,0.008544672
546,0.008177471
547,0.01810204
548,0.0098167285
549,0.013941641
550,0.007583484
551,0.021769296
552,0.0064366786
553,0.013505884
554,0.011064512
555,0.018733207
556,0.0053477474
557,0.010360035
558,0.018085543
559,0.01424827
560,0.011286857
561,0.009415705
562,0.020990936
563,0.008526924
564,0.01379852
565,0.008282494
566,0.01963714
