,0
0,171.88634
1,171.88637
2,171.88637
3,171.88637
4,171.88637
5,171.88637
6,171.8864
7,171.88643
8,171.88643
9,171.88643
10,171.88643
11,171.88643
12,171.88646
13,171.88646
14,171.88646
15,171.88646
16,171.88646
17,171.88646
18,171.88646
19,171.88646
20,171.88652
21,171.88652
22,171.88652
23,171.88652
24,171.88652
25,171.88655
26,171.88657
27,171.88657
28,171.88657
29,171.88657
30,171.88657
31,171.88661
32,171.88661
33,171.88661
34,171.88661
35,171.88661
36,171.88661
37,171.88664
38,171.88666
39,171.88666
40,171.88666
41,171.88666
42,171.88666
43,171.88669
44,171.88666
45,171.88672
46,171.88672
47,171.88672
48,171.88672
49,171.88672
50,171.88673
51,171.88676
52,171.88676
53,171.88673
54,171.88676
55,171.88678
56,171.88678
57,171.88678
58,171.88681
59,171.88681
60,171.88681
61,171.88686
62,171.88686
63,171.88686
64,171.88687
65,171.88687
66,171.8869
67,171.8869
68,171.8869
69,171.88693
70,171.88696
71,171.88693
72,171.88693
73,171.88696
74,171.88698
75,171.887
76,171.887
77,171.887
78,171.887
79,171.887
80,171.88705
81,171.88705
82,171.88705
83,171.8871
84,171.88708
85,171.88708
86,171.8871
87,171.88712
88,171.88712
89,171.88715
90,171.88715
91,171.88715
92,171.88715
93,171.88718
94,171.88719
95,171.88715
96,171.88718
97,171.88724
98,171.88722
99,171.88722
100,171.88722
101,171.88722
102,171.88724
103,171.88724
104,171.88724
105,171.88727
106,171.8873
107,171.88727
108,171.8873
109,171.8873
110,171.88731
111,171.88734
112,171.88731
113,171.8873
114,171.88734
115,171.88734
116,171.88739
117,171.88737
118,171.88739
119,171.88739
120,171.88739
121,171.8874
122,171.88739
123,171.88739
124,171.88744
125,171.8874
126,171.88744
127,171.8875
128,171.88747
129,171.88747
130,171.88747
131,171.8875
132,171.8875
133,171.88753
134,171.88756
135,171.88753
136,171.88753
137,171.88753
138,171.88756
139,171.88759
140,171.88762
141,171.88762
142,171.88762
143,171.88762
144,171.88763
145,171.88763
146,171.88768
147,171.88768
148,171.88768
149,171.88768
150,171.88771
151,171.88773
152,171.88773
153,171.88776
154,171.88776
155,171.88777
156,171.88777
157,171.88777
158,171.88783
159,171.88783
160,171.88783
161,171.88788
162,171.88788
163,171.8879
164,171.88788
165,171.88792
166,171.88792
167,171.8879
168,171.88797
169,171.88794
170,171.88803
171,171.88803
172,171.888
173,171.88803
174,171.88803
175,171.88806
176,171.88809
177,171.88809
178,171.88815
179,171.88812
180,171.88815
181,171.88815
182,171.88815
183,171.88821
184,171.88821
185,171.88824
186,171.88824
187,171.88826
188,171.88826
189,171.8883
190,171.8883
191,171.8883
192,171.8883
193,171.88835
194,171.88841
195,171.88841
196,171.88841
197,171.88841
198,171.88843
199,171.88846
200,171.88846
201,171.8885
202,171.8885
203,171.8885
204,171.88855
205,171.88855
206,171.88857
207,171.8886
208,171.8886
209,171.8886
210,171.88866
211,171.88866
212,171.88869
213,171.88869
214,171.88869
215,171.88872
216,171.88875
217,171.88878
218,171.8888
219,171.8888
220,171.88881
221,171.88881
222,171.88887
223,171.88887
224,171.88892
225,171.88892
226,171.88893
227,171.88893
228,171.88893
229,171.88896
230,171.88899
231,171.88899
232,171.88904
233,171.88904
234,171.88904
235,171.88908
236,171.88908
237,171.88913
238,171.88913
239,171.88913
240,171.88919
241,171.88919
242,171.8892
243,171.8892
244,171.88922
245,171.88925
246,171.88928
247,171.88928
248,171.88933
249,171.88933
250,171.88933
251,171.88933
252,171.88933
253,171.88937
254,171.88937
255,171.88937
256,171.88937
257,171.88942
258,171.88942
259,171.88945
260,171.88947
261,171.8895
262,171.88947
