,0
0,10.167584
1,10.167582
2,10.16758
3,10.163618
4,10.163616
5,10.163613
6,10.163359
7,10.163357
8,10.163354
9,10.155613
10,10.155609
11,10.155607
12,10.1399145
13,10.139912
14,10.13991
15,10.138129
16,10.138126
17,10.138124
18,10.1405325
19,10.140531
20,10.140526
21,10.138501
22,10.138499
23,10.138495
24,10.144733
25,10.14473
26,10.144727
27,10.146867
28,10.146864
29,10.146861
30,10.123795
31,10.123795
32,10.123791
33,10.113581
34,10.113576
35,10.113573
36,10.118631
37,10.1186285
38,10.118626
39,10.125812
40,10.125808
41,10.125806
42,10.1396675
43,10.139666
44,10.139662
45,10.144749
46,10.144745
47,10.144742
48,10.154188
49,10.154184
50,10.154182
51,10.189332
52,10.189328
53,10.189326
54,10.221133
55,10.22113
56,10.2211275
57,10.2683
58,10.268298
59,10.268295
60,10.303009
61,10.303006
62,10.303003
63,10.348626
64,10.348623
65,10.348619
66,10.390057
67,10.390054
68,10.39005
69,10.428507
70,10.428505
71,10.428501
72,10.460385
73,10.460384
74,10.46038
75,10.490615
76,10.490612
77,10.490608
78,10.518603
79,10.5185995
80,10.518597
81,10.550575
82,10.550572
83,10.5505705
84,10.5754175
85,10.575415
86,10.575411
87,10.598681
88,10.598678
89,10.598675
90,10.615285
91,10.615282
92,10.615279
93,10.633416
94,10.633413
95,10.63341
96,10.667099
97,10.667095
98,10.667093
99,10.692427
100,10.692425
101,10.692421
102,10.701251
103,10.701248
104,10.701245
105,10.704028
106,10.704024
107,10.704021
108,10.703999
109,10.703995
110,10.703991
111,10.7327
112,10.732697
113,10.732694
114,10.746002
115,10.746
116,10.745996
117,10.750353
118,10.750349
119,10.750347
120,10.749518
121,10.749515
122,10.749512
123,10.766671
124,10.766667
125,10.7666645
126,10.772262
127,10.772259
128,10.772256
129,10.749674
130,10.749672
131,10.749669
132,10.73685
133,10.736846
134,10.736843
135,10.752579
136,10.752575
137,10.752572
138,10.756328
139,10.756325
140,10.756322
141,10.741574
142,10.74157
143,10.741568
144,10.725697
145,10.725693
146,10.725689
147,10.716113
148,10.716112
149,10.716109
150,10.697135
151,10.697132
152,10.69713
153,10.654351
154,10.654347
155,10.654346
156,10.634513
157,10.63451
158,10.634508
159,10.612714
160,10.612711
161,10.612709
162,10.581433
163,10.58143
164,10.581429
165,10.54662
166,10.546618
167,10.546616
168,10.512195
169,10.512192
170,10.51219
171,10.4724245
172,10.472422
173,10.472421
174,10.43871
175,10.438706
176,10.438704
177,10.404156
178,10.404153
179,10.404149
180,10.362194
181,10.362191
182,10.362187
183,10.330931
184,10.330929
185,10.330925
186,10.307847
187,10.307846
188,10.307841
189,10.276406
190,10.276405
191,10.276401
192,10.246038
193,10.246036
194,10.246033
195,10.216025
196,10.2160225
197,10.216019
198,10.189112
199,10.189109
200,10.189106
201,10.162036
202,10.162032
203,10.162029
204,10.153471
205,10.153467
206,10.153464
207,10.145912
208,10.145908
209,10.145906
210,10.124765
211,10.124763
212,10.124759
213,10.143036
214,10.143034
215,10.14303
216,10.130385
217,10.130382
218,10.130379
219,10.1095915
220,10.109589
221,10.109585
222,10.1092825
223,10.109279
224,10.109276
225,10.100229
226,10.100225
227,10.100221
228,10.100114
229,10.10011
230,10.100107
231,10.0941105
232,10.094107
233,10.094103
234,10.09056
235,10.090557
236,10.090552
237,10.092558
238,10.092554
239,10.092549
240,10.084832
241,10.084826
242,10.084824
243,10.089651
244,10.089647
245,10.0896435
246,10.09996
247,10.0999565
248,10.099953
249,10.087417
250,10.087414
251,10.087409
252,10.083419
253,10.083416
254,10.083412
255,10.099575
256,10.099571
257,10.099569
258,10.128748
259,10.128746
260,10.128742
261,10.155353
262,10.155348
263,10.155346
264,10.175292
265,10.175289
266,10.175285
267,10.201555
268,10.201551
269,10.201549
270,10.211993
271,10.211989
272,10.211986
273,10.236981
274,10.236979
275,10.236975
276,10.252304
277,10.2523
278,10.252296
279,10.263097
280,10.263096
281,10.263091
282,10.269332
283,10.269327
284,10.269325
285,10.28031
286,10.280305
287,10.280303
288,10.2835245
289,10.283523
