,0
0,85.016716
1,85.01669
2,85.01667
3,85.01664
4,85.016624
5,85.0166
6,85.01657
7,85.01655
8,85.016525
9,85.0165
10,85.01647
11,85.01645
12,85.016426
13,85.016396
14,85.016365
15,85.01634
16,85.01631
17,85.01628
18,85.01625
19,85.01623
20,85.01619
21,85.016174
22,85.016136
23,85.01611
24,85.01608
25,85.01605
26,85.01602
27,85.01599
28,85.01597
29,85.01594
30,85.015915
31,85.015884
32,85.015854
33,85.01583
34,85.0158
35,85.01578
36,85.01575
37,85.01572
38,85.01569
39,85.015656
40,85.01563
41,85.015594
42,85.01557
43,85.01555
44,85.01552
45,85.01549
46,85.015465
47,85.015434
48,85.0154
49,85.01539
50,85.015366
51,85.015335
52,85.01532
53,85.01529
54,85.01527
55,85.01524
56,85.01522
57,85.0152
58,85.015175
59,85.015144
60,85.01512
61,85.0151
62,85.01507
63,85.01504
64,85.01501
65,85.014984
66,85.014946
67,85.01492
68,85.014885
69,85.01486
70,85.01483
71,85.01481
72,85.01478
73,85.01475
74,85.01471
75,85.01469
76,85.014656
77,85.014626
78,85.01461
79,85.01457
80,85.01455
81,85.01452
82,85.01449
83,85.01446
84,85.01443
85,85.014404
86,85.01437
87,85.01435
88,85.01432
89,85.01429
90,85.01426
91,85.01422
92,85.0142
93,85.014175
94,85.01414
95,85.014114
96,85.014084
97,85.01405
98,85.01402
99,85.01399
100,85.01396
101,85.01394
102,85.0139
103,85.01388
104,85.01385
105,85.01382
106,85.01378
107,85.013756
108,85.013725
109,85.0137
110,85.01367
111,85.01364
112,85.01361
113,85.01357
114,85.01356
115,85.01352
116,85.0135
117,85.01346
118,85.013435
119,85.0134
120,85.013374
121,85.013336
122,85.01331
123,85.01328
124,85.01325
125,85.01323
126,85.01319
127,85.013176
128,85.01314
129,85.013115
130,85.01308
131,85.013054
132,85.013016
133,85.012985
134,85.012955
135,85.012924
136,85.01289
137,85.01286
138,85.01284
139,85.01281
140,85.01279
141,85.01275
142,85.012726
143,85.012695
144,85.01266
145,85.01263
146,85.0126
147,85.01258
148,85.01255
149,85.012535
150,85.01251
151,85.01249
152,85.01247
153,85.01244
154,85.01241
155,85.0124
156,85.012375
157,85.01235
158,85.01234
159,85.01231
160,85.012276
161,85.01226
162,85.01224
163,85.01221
164,85.01219
165,85.01217
166,85.012146
167,85.01212
168,85.0121
169,85.01208
170,85.012054
171,85.01203
172,85.01201
173,85.01199
174,85.01196
175,85.01194
176,85.01191
177,85.01188
178,85.011856
179,85.01182
180,85.0118
181,85.01177
182,85.01175
183,85.01172
184,85.01169
185,85.011665
186,85.01163
187,85.01161
188,85.01157
189,85.01155
190,85.01152
191,85.01149
192,85.01146
193,85.01144
194,85.011406
195,85.011375
196,85.01135
197,85.01132
198,85.01129
199,85.01127
200,85.01124
201,85.01121
202,85.011185
203,85.011154
204,85.01113
205,85.01109
206,85.01107
207,85.01103
208,85.01102
209,85.01098
210,85.01096
211,85.010925
212,85.0109
213,85.01088
214,85.01085
215,85.010826
216,85.010796
217,85.010765
218,85.01074
219,85.01071
220,85.01069
221,85.01066
222,85.010635
223,85.010605
224,85.010574
225,85.01055
226,85.01052
227,85.0105
228,85.01047
229,85.010445
230,85.010414
231,85.01038
232,85.01037
233,85.01033
234,85.010315
235,85.01028
236,85.010254
237,85.010216
238,85.010185
239,85.01015
240,85.01012
241,85.01008
242,85.01005
243,85.01002
244,85.00998
245,85.00994
246,85.00992
247,85.00987
248,85.00985
249,85.0098
250,85.00978
251,85.00974
252,85.00972
253,85.00968
254,85.00966
255,85.00963
256,85.0096
257,85.00957
258,85.00954
259,85.009514
260,85.00948
261,85.00945
262,85.00942
263,85.0094
264,85.00937
265,85.00933
266,85.0093
267,85.00927
268,85.00925
269,85.00922
270,85.009186
271,85.009155
272,85.009125
273,85.009094
274,85.00906
275,85.00903
276,85.00901
277,85.00898
278,85.00894
279,85.00892
280,85.00888
281,85.00886
282,85.00882
283,85.0088
284,85.008766
285,85.00874
286,85.008705
287,85.00868
288,85.00865
289,85.00861
290,85.00859
291,85.00855
292,85.00854
293,85.0085
294,85.00848
295,85.00844
296,85.008415
297,85.00837
298,85.008354
299,85.008316
300,85.00829
301,85.00826
302,85.008224
303,85.0082
304,85.00816
305,85.00815
306,85.00811
307,85.00808
308,85.00805
309,85.008026
310,85.00799
311,85.007965
312,85.00793
313,85.0079
314,85.00787
315,85.00784
316,85.00782
317,85.00778
318,85.00776
319,85.00772
320,85.0077
321,85.00767
322,85.00764
323,85.00761
324,85.00758
325,85.00757
326,85.00754
327,85.007515
328,85.0075
329,85.00747
330,85.00745
331,85.00742
332,85.0074
333,85.00738
334,85.007355
335,85.00733
336,85.00731
337,85.00728
338,85.00726
339,85.00724
340,85.00722
341,85.007195
342,85.00717
343,85.00715
344,85.007126
345,85.0071
346,85.00708
347,85.00706
348,85.007034
349,85.007
350,85.00699
351,85.006966
352,85.006935
353,85.00692
354,85.00689
355,85.00687
356,85.00685
357,85.00682
358,85.006805
359,85.00679
360,85.00675
361,85.00674
362,85.006714
363,85.00669
364,85.00666
365,85.006645
366,85.00662
367,85.0066
368,85.00657
369,85.006546
370,85.00653
371,85.00649
372,85.00648
373,85.00646
374,85.00643
375,85.00641
376,85.00639
377,85.006355
378,85.00633
379,85.00632
380,85.00629
381,85.00627
382,85.00625
383,85.00622
384,85.0062
385,85.00617
386,85.00615
387,85.00613
388,85.006096
389,85.00607
390,85.00606
391,85.00603
392,85.006004
393,85.00598
394,85.00595
395,85.005936
396,85.00591
397,85.00588
398,85.00587
399,85.00583
400,85.005806
401,85.005775
402,85.005745
403,85.00572
404,85.00569
405,85.00567
406,85.00563
407,85.00561
408,85.00557
409,85.005554
410,85.005516
411,85.005486
412,85.00546
413,85.00543
414,85.0054
415,85.00538
416,85.005356
417,85.00532
418,85.005295
419,85.00526
420,85.00523
421,85.0052
422,85.00518
423,85.00515
424,85.00512
425,85.0051
426,85.005066
427,85.00503
428,85.005005
429,85.004974
430,85.00495
431,85.00493
432,85.0049
433,85.00487
434,85.00484
435,85.00481
436,85.004776
437,85.00475
438,85.00472
439,85.0047
440,85.00466
441,85.00464
442,85.00462
443,85.00459
444,85.00458
445,85.004555
446,85.004524
447,85.00451
448,85.00448
449,85.004456
450,85.00443
451,85.0044
452,85.00438
453,85.00436
454,85.004326
455,85.0043
456,85.004265
457,85.00425
458,85.00421
459,85.00418
460,85.00416
461,85.00413
462,85.0041
463,85.00407
464,85.004036
465,85.004005
466,85.00398
467,85.003944
468,85.00392
469,85.00389
470,85.00386
471,85.00383
472,85.0038
473,85.00377
474,85.00374
475,85.00371
476,85.00368
477,85.00365
478,85.00362
479,85.00359
480,85.00356
481,85.00353
482,85.0035
483,85.00348
484,85.00345
485,85.00342
486,85.00339
487,85.00336
488,85.00333
489,85.003296
490,85.003265
491,85.003235
492,85.003204
493,85.00318
494,85.00314
495,85.00312
496,85.00308
497,85.00306
498,85.00304
499,85.003
500,85.002975
501,85.00294
502,85.00291
503,85.00288
504,85.00285
505,85.002815
506,85.00279
507,85.002754
508,85.00274
509,85.0027
510,85.00268
511,85.00264
512,85.00262
513,85.00259
514,85.002556
515,85.002525
516,85.00249
517,85.00247
518,85.00243
519,85.00241
520,85.00237
521,85.00235
522,85.00231
523,85.00229
524,85.00226
525,85.00223
526,85.0022
527,85.00217
528,85.002144
529,85.002106
530,85.00209
531,85.002045
532,85.00202
533,85.00198
534,85.00197
535,85.00193
536,85.0019
537,85.00187
538,85.00184
539,85.00181
540,85.001785
541,85.00177
542,85.00174
543,85.00172
544,85.0017
545,85.00167
546,85.00165
547,85.00163
548,85.0016
549,85.00158
550,85.001564
551,85.00154
552,85.00152
553,85.001495
554,85.001465
555,85.00144
556,85.00142
557,85.001396
558,85.00138
559,85.00135
560,85.001335
561,85.00131
562,85.00129
563,85.00127
564,85.00125
565,85.00121
566,85.0012
567,85.00118
568,85.00115
569,85.00113
570,85.00111
571,85.00108
572,85.00106
573,85.00104
574,85.001015
575,85.00099
576,85.00096
577,85.00093
578,85.00091
579,85.00088
580,85.000854
581,85.000824
582,85.00079
583,85.00077
584,85.00074
585,85.00071
586,85.00069
587,85.000656
588,85.000626
589,85.000595
590,85.00057
591,85.00054
592,85.00052
593,85.00049
594,85.000465
595,85.00043
596,85.000404
597,85.000374
598,85.00034
599,85.00032
600,85.00029
601,85.000275
602,85.000244
603,85.000206
604,85.00018
605,85.00015
606,85.00012
607,85.0001
608,85.00007
609,85.000046
610,85.000015
611,84.99999
612,84.99996
613,84.99994
614,84.99991
615,84.99988
616,84.99986
617,84.999825
618,84.9998
619,84.99977
620,84.99975
621,84.99972
622,84.999695
623,84.999664
624,84.99964
625,84.99961
626,84.99958
627,84.99955
628,84.99952
629,84.99949
630,84.99946
631,84.99942
632,84.999405
633,84.99937
634,84.999344
635,84.9993
636,84.99927
637,84.99923
638,84.9992
639,84.99916
640,84.99913
641,84.9991
642,84.99906
643,84.99903
644,84.999
645,84.99896
646,84.99893
647,84.9989
648,84.99886
649,84.99883
650,84.99881
651,84.99877
652,84.99875
653,84.99871
654,84.99869
655,84.99866
656,84.998634
657,84.9986
658,84.99857
659,84.998535
660,84.99851
661,84.998474
662,84.99844
663,84.99841
664,84.99838
665,84.99835
666,84.99832
667,84.9983
668,84.99826
669,84.99824
670,84.99821
671,84.998184
672,84.998146
673,84.99812
674,84.998085
675,84.998055
676,84.99803
677,84.998
678,84.99797
679,84.99793
680,84.99791
681,84.99788
682,84.997856
683,84.99782
684,84.997795
685,84.99776
686,84.997734
687,84.9977
688,84.99767
689,84.997635
690,84.997604
691,84.99758
692,84.99755
693,84.99752
694,84.99749
695,84.99746
696,84.99743
697,84.997406
698,84.997375
699,84.997345
700,84.997314
701,84.997284
702,84.99725
703,84.99722
704,84.99719
705,84.99716
706,84.99714
707,84.99711
708,84.99708
709,84.99705
710,84.99702
711,84.996994
712,84.996956
713,84.99693
714,84.9969
715,84.99687
716,84.99684
717,84.99682
718,84.996796
719,84.99677
720,84.99675
721,84.99673
722,84.996704
723,84.99668
724,84.99666
725,84.99663
726,84.99661
727,84.99659
728,84.99656
729,84.996544
730,84.99652
731,84.99649
732,84.996475
733,84.99645
734,84.99642
735,84.99641
736,84.99638
737,84.99636
738,84.99634
739,84.996315
740,84.99629
741,84.99626
742,84.99624
743,84.996216
744,84.99619
745,84.99616
746,84.99615
747,84.99613
748,84.9961
749,84.996086
750,84.996056
751,84.99603
752,84.99601
753,84.99599
754,84.995964
755,84.99594
756,84.99592
757,84.995895
758,84.99587
759,84.99584
760,84.99583
761,84.995804
762,84.99577
763,84.99575
764,84.99573
765,84.995705
766,84.99568
767,84.99566
768,84.995636
769,84.99561
770,84.99559
771,84.99556
772,84.99554
773,84.995514
774,84.99549
775,84.99547
776,84.995445
777,84.99542
778,84.9954
779,84.995384
780,84.995346
781,84.99532
782,84.9953
783,84.99528
784,84.995255
785,84.99523
786,84.9952
787,84.995186
788,84.995155
789,84.99513
790,84.99512
791,84.99509
792,84.995056
793,84.995026
794,84.994995
795,84.99497
796,84.99494
797,84.99492
798,84.99489
799,84.99486
800,84.99483
801,84.9948
802,84.994774
803,84.99474
804,84.99471
805,84.99469
806,84.99466
807,84.99463
808,84.9946
809,84.994576
810,84.99454
811,84.99452
812,84.994484
813,84.99446
814,84.99444
815,84.9944
816,84.99438
817,84.99435
818,84.99432
819,84.99429
820,84.99427
821,84.99423
822,84.99421
823,84.99418
824,84.994156
825,84.994125
826,84.9941
827,84.99407
828,84.99404
829,84.99402
830,84.993996
831,84.99397
832,84.99395
833,84.99393
834,84.993904
835,84.99388
836,84.99385
837,84.99383
838,84.99381
839,84.99378
840,84.99375
841,84.99373
842,84.9937
843,84.99367
844,84.99364
845,84.993614
846,84.99358
847,84.99355
848,84.99352
849,84.99349
850,84.99347
851,84.99344
852,84.99341
853,84.993385
854,84.993355
855,84.993324
856,84.99329
857,84.99327
858,84.99323
859,84.99321
860,84.99318
861,84.99316
862,84.99312
863,84.993095
864,84.99307
865,84.993034
866,84.99301
867,84.99297
868,84.99295
869,84.99292
870,84.9929
871,84.99286
872,84.992836
873,84.9928
874,84.992775
875,84.992744
876,84.992714
877,84.99268
878,84.99265
879,84.99264
880,84.9926
881,84.99258
882,84.99254
883,84.992516
884,84.99248
885,84.99245
886,84.99242
887,84.99239
888,84.99236
889,84.99233
890,84.9923
891,84.99227
892,84.99224
893,84.99221
894,84.99219
895,84.99216
896,84.99213
897,84.992096
898,84.992065
899,84.992035
900,84.992004
901,84.991974
902,84.99195
903,84.99192
904,84.99189
905,84.99186
906,84.99183
907,84.9918
908,84.991776
909,84.99174
910,84.991714
911,84.991684
912,84.99165
913,84.99162
914,84.99159
915,84.99156
916,84.99153
917,84.99151
918,84.99147
919,84.99145
920,84.99141
921,84.99139
922,84.99135
923,84.991325
924,84.991295
925,84.991264
926,84.991234
927,84.99121
928,84.99119
929,84.99116
930,84.99114
931,84.99113
932,84.99109
933,84.99108
934,84.99106
935,84.99103
936,84.99101
937,84.99098
938,84.99095
939,84.99094
940,84.99091
941,84.99088
942,84.99087
943,84.99085
944,84.99082
945,84.99081
946,84.990776
947,84.99075
948,84.99074
949,84.99071
950,84.990685
951,84.99067
952,84.99064
953,84.99062
954,84.99059
955,84.99056
956,84.99055
957,84.99051
958,84.99049
959,84.99046
960,84.99043
961,84.99041
962,84.99038
963,84.99035
964,84.99032
965,84.990295
966,84.990265
967,84.990234
968,84.99021
969,84.99018
970,84.99016
971,84.99013
972,84.9901
973,84.99007
974,84.990036
975,84.99001
976,84.98998
977,84.98996
978,84.98992
979,84.9899
980,84.98987
981,84.98984
982,84.989815
983,84.989784
984,84.98976
985,84.98973
986,84.98971
987,84.98968
988,84.98965
989,84.989624
990,84.98959
991,84.98956
992,84.98954
993,84.98951
994,84.98949
995,84.98945
996,84.98943
997,84.989395
998,84.98938
999,84.98935
1000,84.98932
1001,84.989296
1002,84.989265
1003,84.98925
1004,84.98921
1005,84.98919
1006,84.98916
1007,84.98913
1008,84.989105
1009,84.989075
1010,84.98905
1011,84.98902
1012,84.98899
1013,84.98897
1014,84.98894
1015,84.988914
1016,84.98889
1017,84.98885
1018,84.988815
1019,84.98879
1020,84.98875
1021,84.98872
1022,84.988686
1023,84.98865
1024,84.98862
1025,84.98858
1026,84.98854
1027,84.98851
1028,84.98848
1029,84.98845
1030,84.9884
1031,84.98838
1032,84.98834
1033,84.98832
1034,84.98829
1035,84.988266
1036,84.98823
1037,84.988205
1038,84.98817
1039,84.988144
1040,84.98812
1041,84.98808
1042,84.98806
1043,84.98803
1044,84.98801
1045,84.98797
1046,84.987946
1047,84.98791
1048,84.987885
1049,84.98785
1050,84.987816
1051,84.987785
1052,84.987755
1053,84.98773
1054,84.9877
1055,84.98767
1056,84.98763
1057,84.98761
1058,84.98758
1059,84.98756
1060,84.98752
1061,84.98749
1062,84.98746
1063,84.98743
1064,84.9874
1065,84.987366
1066,84.98734
1067,84.98731
1068,84.98728
1069,84.98725
1070,84.98723
1071,84.98719
1072,84.98717
1073,84.98714
1074,84.9871
1075,84.98707
1076,84.987045
1077,84.987015
1078,84.986984
1079,84.98695
1080,84.98692
1081,84.9869
1082,84.98686
1083,84.98683
1084,84.9868
1085,84.98677
1086,84.98674
1087,84.98671
1088,84.98669
1089,84.98666
1090,84.986626
1091,84.986595
1092,84.986565
1093,84.98654
1094,84.98651
1095,84.98648
1096,84.98645
1097,84.98642
1098,84.98638
1099,84.98636
1100,84.98632
1101,84.9863
1102,84.986275
1103,84.986244
1104,84.98622
1105,84.98619
1106,84.986176
1107,84.98615
1108,84.98612
1109,84.98611
1110,84.986084
1111,84.98605
1112,84.98604
1113,84.98601
1114,84.985985
1115,84.98597
1116,84.98594
1117,84.985916
1118,84.98589
1119,84.98587
1120,84.985855
1121,84.985825
1122,84.9858
1123,84.98579
1124,84.985756
1125,84.98573
1126,84.98571
1127,84.98569
1128,84.985664
1129,84.98564
1130,84.98562
1131,84.985596
1132,84.98558
1133,84.98555
1134,84.985535
1135,84.985504
1136,84.98547
1137,84.98546
1138,84.985435
1139,84.985405
1140,84.98539
1141,84.98537
1142,84.98534
1143,84.98532
1144,84.9853
1145,84.985275
1146,84.98525
1147,84.98523
1148,84.98521
1149,84.98518
1150,84.98516
1151,84.98514
1152,84.985115
1153,84.98509
1154,84.98507
1155,84.98505
1156,84.985016
1157,84.98499
1158,84.98497
1159,84.98495
1160,84.984924
1161,84.9849
1162,84.98488
1163,84.984856
1164,84.98483
1165,84.9848
1166,84.98478
1167,84.98476
1168,84.98473
1169,84.9847
1170,84.98469
1171,84.984665
1172,84.98464
1173,84.98462
1174,84.98459
1175,84.984566
1176,84.98454
1177,84.98452
1178,84.98449
1179,84.98447
1180,84.984436
1181,84.98441
1182,84.98438
1183,84.98435
1184,84.98432
1185,84.9843
1186,84.98427
1187,84.98424
1188,84.98421
1189,84.98418
1190,84.98415
1191,84.98412
1192,84.9841
1193,84.98407
1194,84.98404
1195,84.98401
1196,84.98398
1197,84.983955
1198,84.98392
1199,84.9839
1200,84.983864
1201,84.98384
1202,84.98381
1203,84.98378
1204,84.98376
1205,84.98373
1206,84.9837
1207,84.983665
1208,84.98364
1209,84.98361
1210,84.98358
1211,84.98356
1212,84.98353
1213,84.983505
1214,84.983475
1215,84.983444
1216,84.98341
1217,84.98338
1218,84.98336
1219,84.98333
1220,84.98331
1221,84.98328
1222,84.98325
1223,84.98323
1224,84.98321
1225,84.983185
1226,84.98316
1227,84.98313
1228,84.98311
1229,84.983086
1230,84.98306
1231,84.98305
1232,84.98302
1233,84.98299
1234,84.98296
1235,84.982925
1236,84.9829
1237,84.98287
1238,84.98285
1239,84.98282
1240,84.98279
1241,84.982765
1242,84.982735
1243,84.982704
1244,84.982666
1245,84.98264
1246,84.982605
1247,84.98259
1248,84.982544
1249,84.98253
1250,84.98249
1251,84.98247
1252,84.98244
1253,84.98241
1254,84.982376
1255,84.982346
1256,84.982315
1257,84.982285
1258,84.982254
1259,84.98222
1260,84.9822
1261,84.98216
1262,84.98214
1263,84.98211
1264,84.98208
1265,84.98204
1266,84.98202
1267,84.98199
1268,84.98196
1269,84.98193
1270,84.981895
1271,84.98187
1272,84.98184
1273,84.98182
1274,84.98178
1275,84.98175
1276,84.98172
1277,84.98169
1278,84.98167
1279,84.981636
1280,84.981606
1281,84.981575
1282,84.981544
1283,84.981514
1284,84.98149
1285,84.98146
1286,84.98143
1287,84.98139
1288,84.98136
1289,84.98134
1290,84.98131
1291,84.98128
1292,84.98125
1293,84.98122
1294,84.981186
1295,84.981155
1296,84.981125
1297,84.981094
1298,84.98107
1299,84.98104
1300,84.98101
1301,84.98098
1302,84.98095
1303,84.98092
1304,84.980896
1305,84.980865
1306,84.980835
1307,84.980804
1308,84.980774
1309,84.98074
1310,84.98071
1311,84.98069
1312,84.98065
1313,84.98063
1314,84.98059
1315,84.98057
1316,84.98054
1317,84.98051
1318,84.98048
1319,84.980446
1320,84.98042
1321,84.98039
1322,84.98038
1323,84.980354
1324,84.98032
1325,84.98031
1326,84.980286
1327,84.980255
1328,84.98025
1329,84.98022
1330,84.98019
1331,84.98017
1332,84.98015
1333,84.980125
1334,84.9801
1335,84.98008
1336,84.98006
1337,84.980034
1338,84.98
1339,84.979996
1340,84.97997
1341,84.97994
1342,84.97993
1343,84.979904
1344,84.97987
1345,84.97986
1346,84.979836
1347,84.979805
1348,84.9798
1349,84.97977
1350,84.97974
1351,84.97972
1352,84.9797
1353,84.97967
1354,84.97965
1355,84.97962
1356,84.9796
1357,84.97957
1358,84.97954
1359,84.979515
1360,84.979485
1361,84.97946
1362,84.97942
1363,84.97941
1364,84.97937
1365,84.97934
1366,84.97932
1367,84.97929
1368,84.979256
1369,84.97923
1370,84.97921
1371,84.97918
1372,84.97915
1373,84.979126
1374,84.979095
1375,84.979065
1376,84.979034
1377,84.97901
1378,84.97899
1379,84.97895
1380,84.97893
1381,84.9789
1382,84.978874
1383,84.978836
1384,84.97882
1385,84.97878
1386,84.97875
1387,84.97874
1388,84.9787
1389,84.97868
1390,84.978645
1391,84.97862
1392,84.9786
1393,84.97857
1394,84.97854
1395,84.978516
1396,84.97849
1397,84.97846
1398,84.97843
1399,84.97841
1400,84.97837
1401,84.978355
1402,84.97833
1403,84.978294
1404,84.97828
1405,84.97824
1406,84.978226
1407,84.97818
1408,84.97815
1409,84.97811
1410,84.97809
1411,84.978065
1412,84.978035
1413,84.978004
1414,84.97797
1415,84.977936
1416,84.9779
1417,84.97787
1418,84.97784
1419,84.97779
1420,84.97777
1421,84.97773
1422,84.9777
1423,84.97766
1424,84.97763
1425,84.97759
1426,84.97756
1427,84.97753
1428,84.9775
1429,84.97747
1430,84.97744
1431,84.97741
1432,84.97738
1433,84.97735
1434,84.97732
1435,84.97729
1436,84.977264
1437,84.977234
1438,84.9772
1439,84.97717
1440,84.97714
1441,84.97711
1442,84.97707
1443,84.97705
1444,84.97702
1445,84.97699
1446,84.97696
1447,84.97693
1448,84.9769
1449,84.97687
1450,84.97684
1451,84.97681
1452,84.97678
1453,84.97675
1454,84.97672
1455,84.97669
1456,84.97666
1457,84.97663
1458,84.9766
1459,84.97658
1460,84.97654
1461,84.97652
1462,84.97648
1463,84.976456
1464,84.97642
1465,84.976395
1466,84.976364
1467,84.97634
1468,84.97631
1469,84.97628
1470,84.97625
1471,84.97621
1472,84.97619
1473,84.97616
1474,84.976135
1475,84.97609
1476,84.97607
1477,84.976036
1478,84.97601
1479,84.975975
1480,84.97595
1481,84.975914
1482,84.97588
1483,84.97586
1484,84.97583
1485,84.97581
1486,84.97577
1487,84.975746
