,0
0,0.8861336
1,0.88613325
2,0.8861329
3,0.8861324
4,0.88613206
5,0.8861317
6,0.8861312
7,0.88613087
8,0.8861305
9,0.88613
10,0.8861296
11,0.88612914
12,0.88612866
13,0.8861282
14,0.88612765
15,0.8861272
16,0.8861266
17,0.8861261
18,0.8861255
19,0.886125
20,0.8861244
21,0.886124
22,0.8861234
23,0.88612294
24,0.88612247
25,0.886122
26,0.8861214
27,0.8861209
28,0.88612044
29,0.8861199
30,0.8861194
31,0.8861188
32,0.88611835
33,0.88611776
34,0.8861173
35,0.88611674
36,0.88611627
37,0.8861157
38,0.8861152
39,0.8861146
40,0.8861141
41,0.8861135
42,0.88611305
43,0.8861126
44,0.886112
45,0.8861115
46,0.88611096
47,0.8861105
48,0.88611
49,0.88610977
50,0.8861093
51,0.8861088
52,0.8861085
53,0.88610816
54,0.8861077
55,0.8861073
56,0.88610685
57,0.8861065
58,0.8861061
59,0.8861056
60,0.8861052
61,0.8861047
62,0.8861041
63,0.88610363
64,0.88610303
65,0.88610256
66,0.886102
67,0.88610154
68,0.88610095
69,0.8861005
70,0.8860999
71,0.8860994
72,0.8860988
73,0.8860983
74,0.8860978
75,0.8860974
76,0.88609666
77,0.88609624
78,0.8860958
79,0.8860953
80,0.8860948
81,0.8860942
82,0.88609374
83,0.88609314
84,0.88609266
85,0.88609207
86,0.88609165
87,0.88609105
88,0.8860906
89,0.88609
90,0.8860895
91,0.8860889
92,0.8860884
93,0.8860879
94,0.88608736
95,0.8860868
96,0.8860863
97,0.8860858
98,0.88608515
99,0.8860848
100,0.8860841
101,0.88608366
102,0.8860831
103,0.88608265
104,0.88608205
105,0.8860816
106,0.886081
107,0.8860805
108,0.88608
109,0.88607943
110,0.88607895
111,0.8860783
112,0.8860779
113,0.8860772
114,0.8860768
115,0.8860762
116,0.88607574
117,0.8860751
118,0.8860746
119,0.886074
120,0.8860735
121,0.886073
122,0.88607246
123,0.88607186
124,0.8860714
125,0.8860709
126,0.88607043
127,0.88606995
128,0.88606936
129,0.8860688
130,0.8860683
131,0.88606775
132,0.8860672
133,0.88606673
134,0.88606614
135,0.8860656
136,0.88606507
137,0.8860646
138,0.88606393
139,0.8860635
140,0.88606304
141,0.8860624
142,0.88606197
143,0.8860613
144,0.8860609
145,0.88606024
146,0.88605976
147,0.8860593
148,0.8860589
149,0.8860587
150,0.88605815
151,0.88605773
152,0.8860575
153,0.886057
154,0.8860566
155,0.88605624
156,0.88605577
157,0.88605547
158,0.88605505
159,0.88605464
160,0.8860542
161,0.88605374
162,0.8860534
163,0.886053
164,0.88605255
165,0.88605213
166,0.8860518
167,0.8860513
168,0.88605094
169,0.8860506
170,0.8860501
171,0.88604975
172,0.8860494
173,0.8860489
174,0.88604844
175,0.8860479
176,0.8860474
177,0.8860468
178,0.88604635
179,0.8860458
180,0.88604534
181,0.88604486
182,0.8860444
183,0.8860439
184,0.88604337
185,0.88604283
186,0.88604224
187,0.8860418
188,0.8860412
189,0.88604075
190,0.88604015
191,0.88603973
192,0.8860391
193,0.88603866
194,0.886038
195,0.8860375
196,0.886037
197,0.8860365
198,0.88603604
199,0.88603544
200,0.88603497
201,0.88603437
202,0.8860339
203,0.8860333
204,0.8860328
205,0.88603234
206,0.88603187
207,0.8860313
208,0.88603085
209,0.88603026
210,0.8860298
211,0.88602924
212,0.88602877
213,0.8860283
214,0.8860277
215,0.8860272
216,0.8860267
217,0.8860262
218,0.8860256
219,0.88602513
220,0.88602453
221,0.8860241
222,0.8860235
223,0.88602304
224,0.88602245
225,0.886022
226,0.88602144
227,0.88602096
228,0.8860205
229,0.88602
230,0.8860196
231,0.88601893
232,0.8860185
233,0.8860179
234,0.88601744
235,0.88601685
236,0.8860164
237,0.8860157
238,0.8860151
239,0.88601446
240,0.88601375
241,0.88601315
242,0.8860125
243,0.8860119
244,0.88601124
245,0.8860105
246,0.88600993
247,0.8860092
248,0.8860086
249,0.88600796
250,0.8860075
251,0.8860068
252,0.8860063
253,0.88600576
254,0.8860053
255,0.8860047
256,0.8860042
257,0.8860036
258,0.88600314
259,0.8860026
260,0.8860021
261,0.8860015
262,0.88600105
263,0.8860004
264,0.886
265,0.8859994
266,0.8859989
267,0.8859983
268,0.88599783
269,0.88599735
270,0.8859967
271,0.8859962
272,0.8859957
273,0.88599515
274,0.88599473
275,0.8859942
276,0.8859936
277,0.8859931
278,0.8859925
279,0.88599205
280,0.88599145
281,0.885991
282,0.8859904
283,0.8859899
284,0.8859894
285,0.88598883
286,0.88598835
287,0.88598776
288,0.8859873
289,0.8859867
290,0.8859862
291,0.8859856
292,0.88598514
293,0.88598454
294,0.885984
295,0.8859834
296,0.885983
297,0.88598233
298,0.88598204
299,0.8859815
300,0.8859808
301,0.8859805
302,0.8859799
303,0.88597935
304,0.8859788
305,0.88597834
306,0.88597775
307,0.8859772
308,0.8859766
309,0.88597614
310,0.88597554
311,0.8859751
312,0.88597447
313,0.885974
314,0.8859734
315,0.8859729
316,0.88597244
317,0.88597184
318,0.88597137
319,0.8859707
320,0.8859703
321,0.88596964
322,0.8859693
323,0.8859686
324,0.8859684
325,0.88596785
326,0.88596755
327,0.88596714
328,0.8859668
329,0.8859663
330,0.88596594
331,0.88596547
332,0.8859651
333,0.8859647
334,0.8859642
335,0.8859639
336,0.8859635
337,0.885963
338,0.88596267
339,0.88596225
340,0.88596183
341,0.8859615
342,0.8859611
343,0.8859606
344,0.8859602
345,0.88595986
346,0.8859594
347,0.885959
