,0
0,10.995469
1,10.9734745
2,10.951093
3,10.365253
4,10.367897
5,10.364088
6,10.9002695
7,10.882043
8,10.871825
9,10.339573
10,10.337239
11,10.335015
12,10.786443
13,10.764796
14,10.746868
15,10.281131
16,10.281357
17,10.27783
18,10.67117
19,10.654203
20,10.642811
21,10.237097
22,10.23454
23,10.230801
24,10.563162
25,10.544961
26,10.529745
27,10.1860485
28,10.184551
29,10.180215
30,10.438364
31,10.415159
32,10.39741
33,10.09125
34,10.089703
35,10.084099
36,10.30855
37,10.284524
38,10.264809
39,10.037086
40,10.035272
41,10.030696
42,10.178205
43,10.149002
44,10.126776
45,9.966757
46,9.96395
47,9.956808
48,10.023811
49,9.998532
50,9.979936
51,9.89933
52,9.895596
53,9.889067
54,9.888158
55,9.87346
56,9.863066
57,9.835305
58,9.827976
59,9.819448
60,9.8062525
61,9.797306
62,9.788486
63,9.77953
64,9.769059
65,9.758924
66,9.74979
67,9.740138
68,9.728575
69,9.719288
70,9.7146435
71,9.709306
72,9.699465
73,9.691748
74,9.686365
75,9.674317
76,9.666619
77,9.65925
78,9.644794
79,9.638641
80,9.631275
81,9.625132
82,9.618908
83,9.6125145
84,9.595131
85,9.588064
86,9.5816145
87,9.563844
88,9.556732
89,9.54969
90,9.532825
91,9.526053
92,9.518934
93,9.503226
94,9.496352
95,9.489406
96,9.481806
97,9.474627
98,9.467585
99,9.451283
100,9.440488
101,9.429679
102,9.404392
103,9.395463
104,9.384842
105,9.369749
106,9.363513
107,9.357221
108,9.337327
109,9.32842
110,9.321426
111,9.327653
112,9.315268
113,9.303839
114,9.30117
115,9.292132
116,9.27825
117,9.262816
118,9.254474
119,9.245045
120,9.2255745
121,9.214007
122,9.205954
123,9.212322
124,9.200562
125,9.190518
126,9.1970825
127,9.185934
128,9.174974
129,9.155977
130,9.148003
131,9.137824
132,9.122739
133,9.114854
134,9.107188
135,9.110398
136,9.100464
137,9.091926
138,9.095923
139,9.08622
140,9.076255
141,9.06722
142,9.05814
143,9.048185
144,9.038265
145,9.028627
146,9.0189705
147,9.01662
148,9.006186
149,8.996048
150,8.991908
151,8.983981
152,8.975939
153,8.965269
154,8.962055
155,8.95821
156,8.977547
157,8.972754
158,8.969009
159,8.988993
160,8.983936
161,8.97912
162,8.989681
163,8.985267
164,8.980208
165,8.988807
166,8.984295
167,8.979599
168,8.993752
169,8.98871
170,8.983936
171,8.988279
172,8.983032
173,8.977809
174,8.976896
175,8.964762
176,8.953005
177,8.968353
178,8.960677
179,8.944265
180,8.944958
181,8.940718
182,8.932351
183,8.92999
184,8.919222
185,8.912714
186,8.923795
