,0
0,177.81824
1,177.93645
2,177.96115
3,177.95676
4,178.02751
5,178.12236
6,178.18478
7,178.22845
8,178.29773
9,178.35373
10,178.3893
11,178.43628
12,178.52834
13,178.6121
14,178.65973
15,178.68657
16,178.74275
17,178.81601
18,178.86427
19,178.89963
20,178.95451
21,179.02022
22,179.06981
23,179.1122
24,179.16678
25,179.22849
26,179.2799
27,179.32565
28,179.37946
29,179.43874
30,179.49915
31,179.5559
32,179.60634
33,179.65965
34,179.71884
35,179.77531
36,179.83449
37,179.89532
38,179.95154
39,180.0
40,179.93744
41,179.87807
42,179.81444
43,179.75291
44,179.69739
45,179.63577
46,179.57112
47,179.50902
48,179.45107
49,179.38962
50,179.32507
51,179.26166
52,179.20059
53,179.13792
54,179.07423
55,179.01106
56,178.94817
57,178.88338
58,178.81801
59,178.75354
60,178.68864
61,178.62228
62,178.55586
63,178.47223
64,178.38783
65,178.3341
66,178.26337
67,178.16753
68,178.0842
69,178.08287
70,178.07146
71,177.99406
72,177.92387
73,177.90604
74,177.88206
75,177.81627
76,177.7545
77,177.72566
78,177.69327
79,177.63405
80,177.57698
81,177.54074
82,177.50229
83,177.44681
84,177.3897
85,177.34575
86,177.30254
87,177.24893
88,177.19391
89,177.14679
90,177.09978
91,177.04594
92,176.99144
93,176.94122
94,176.89108
95,176.83678
96,176.78192
97,176.72978
98,176.67752
99,176.62827
100,176.57846
101,176.5255
102,176.47075
103,176.4179
104,176.36568
105,176.30536
106,176.24376
107,176.18823
108,176.13254
109,176.07126
110,176.00954
111,175.95728
112,175.90471
113,175.83731
114,175.77498
115,175.72377
116,175.66777
117,175.60199
118,175.53941
119,175.47762
120,175.41858
121,175.35173
122,175.28207
123,175.2234
124,175.15997
125,175.08682
126,175.0232
127,174.96037
128,174.88905
129,174.81654
130,174.75006
131,174.68378
132,174.60384
133,174.52289
134,174.45218
135,174.38046
136,174.29987
137,174.21904
138,174.14493
139,174.07005
140,173.98892
141,173.90826
142,173.83171
143,173.75392
144,173.67163
145,173.58939
146,173.50987
147,173.4301
148,173.34715
149,173.26355
150,173.20273
151,173.14186
152,173.06223
153,173.0909
154,173.13483
155,173.09221
156,173.03723
157,173.05115
158,173.07516
159,173.0433
160,173.00313
161,173.00731
162,173.01799
163,172.9932
164,172.96283
165,172.96132
166,172.96419
167,172.94386
168,172.91962
169,172.91364
170,172.9108
171,172.89362
172,172.87376
173,172.86514
174,172.75418
175,172.6331
176,172.69795
177,172.6681
178,172.48865
179,172.39946
180,172.43175
181,172.39178
182,172.2539
183,172.17351
184,172.17087
185,172.12192
186,172.01112
187,171.93637
188,171.93512
189,171.92746
190,171.86052
191,171.7981
192,171.78436
193,171.76682
194,171.70988
195,171.65611
196,171.64883
197,171.63872
198,171.5912
199,171.54533
200,171.529
201,171.51167
202,171.47041
203,171.4294
204,171.40701
205,171.38412
206,171.34587
207,171.39012
208,171.44678
209,171.4374
210,171.41899
211,171.45323
212,171.49481
213,171.49477
214,171.48859
215,171.51575
216,171.54971
217,171.557
218,171.55878
219,171.58305
220,171.61183
221,171.62263
222,171.63026
223,171.65225
224,171.6769
225,171.6906
226,171.70222
227,171.72258
228,171.74455
229,171.7596
230,171.7733
231,171.79408
232,171.81595
233,171.83218
234,171.97363
235,172.12062
236,172.04219
237,172.08507
238,172.3095
239,172.43793
240,172.42104
241,172.4811
242,172.65837
243,172.77574
244,172.79944
245,172.87149
246,172.98692
247,173.06438
248,173.10739
249,173.18152
250,173.28378
251,173.3618
252,173.41667
253,173.49142
254,173.58534
255,173.66376
256,173.72739
257,173.8038
258,173.95999
259,174.10692
260,174.19072
261,174.28194
262,174.42462
263,174.56232
264,174.6597
265,174.76172
266,174.89659
267,175.0281
268,175.12155
269,175.21533
270,175.35077
271,175.47641
272,175.56955
273,175.58661
274,175.70682
275,175.81114
276,175.77136
277,175.74402
278,175.83224
279,175.91037
280,175.89615
281,175.88988
282,175.95775
283,176.0197
284,176.02252
285,176.04066
286,176.1069
287,176.16054
288,176.16478
289,176.18341
290,176.24512
291,176.28775
292,176.2961
293,176.31975
294,176.38254
295,176.43344
296,176.45314
297,176.48192
298,176.53581
299,176.58293
300,176.6095
301,176.64188
302,176.69081
303,176.73314
304,176.76251
305,176.79723
306,176.84148
307,176.88153
308,176.91435
309,176.94553
310,176.98286
311,177.02158
312,177.05397
313,177.08543
314,177.12221
315,177.15834
316,177.19049
317,177.22328
318,177.2579
319,177.2921
320,177.3252
321,177.35684
322,177.3897
323,177.42383
324,177.45647
325,177.48822
326,177.52148
327,177.55351
328,177.58443
329,177.61658
330,177.62793
331,177.6342
332,177.65715
333,177.68413
334,177.6976
335,177.70816
336,177.72841
337,177.75136
338,177.76665
339,177.77931
340,177.79825
341,177.81932
342,177.835
343,177.84933
344,177.86778
345,177.8396
346,177.80768
347,177.81305
348,177.82076
349,177.7986
350,177.77428
351,177.82076
352,177.85745
353,177.8019
354,177.77895
355,177.85152
356,177.85078
357,177.77359
358,177.80215
359,177.89235
360,177.89828
361,177.8546
362,177.87828
363,177.94215
364,177.95206
365,177.92982
366,178.00787
367,178.11218
368,178.03238
369,177.9884
370,178.13953
371,178.21964
372,178.07828
373,178.03159
374,178.16624
375,178.19409
376,178.07654
377,178.04385
378,178.12843
379,178.14534
380,178.06812
381,178.04556
382,178.09813
383,178.1073
384,178.0588
385,178.04497
386,178.07736
387,178.08214
388,178.04987
389,178.03937
390,178.05862
391,178.06044
392,178.03836
393,178.0322
394,178.04526
395,178.04556
396,178.04756
397,178.05983
398,178.07076
399,178.07481
400,178.08011
401,178.09074
402,178.10225
403,178.10959
404,178.11612
405,178.12758
406,178.13965
407,178.14786
408,178.15729
409,178.16988
410,178.18167
411,178.30673
412,178.34909
413,178.2715
414,178.37442
415,178.57454
416,178.54652
417,178.4491
418,178.61154
419,178.72313
420,178.7082
421,178.73793
422,178.86945
423,178.96751
424,178.91196
425,178.95546
426,179.12329
427,179.21317
428,179.1193
429,179.17244
430,179.3738
431,179.45752
432,179.4253
433,179.48566
434,179.56032
435,179.58035
436,179.59074
437,179.64392
438,179.70659
439,179.60933
440,179.62991
441,179.65283
442,179.58221
443,179.50902
444,179.50981
445,179.51382
446,179.45824
447,179.39932
448,179.38898
449,179.38008
450,179.33266
451,179.284
452,179.26566
453,179.24748
454,179.205
455,179.16211
456,179.1368
457,179.11156
458,179.07211
459,179.03369
460,179.00693
461,178.97876
462,178.94168
463,178.90532
464,178.87569
465,178.84276
466,178.80385
467,178.76775
468,178.73607
469,178.70186
470,178.66397
471,178.62799
472,178.59473
473,178.5598
474,178.52277
475,178.48677
476,178.45236
477,178.41637
478,178.37924
479,178.34294
480,178.3058
481,178.26765
482,178.22989
483,178.19333
484,178.15591
485,178.11758
486,178.0795
487,178.04205
