,0
0,177.77252
1,177.70697
2,177.69167
3,177.66118
4,177.58995
5,177.53026
6,177.51509
7,177.4905
8,177.42953
9,177.36278
10,177.32439
11,177.29044
12,177.24303
13,177.19147
14,177.14995
15,177.12595
16,177.0935
17,177.04668
18,176.98753
19,176.93958
20,176.90099
21,176.87207
22,176.83522
23,176.7902
24,176.72888
25,176.67357
26,176.63094
27,176.60489
28,176.56828
29,176.51794
30,176.45073
31,176.39413
32,176.35048
33,176.32155
34,176.28163
35,176.22946
36,176.18752
37,176.15488
38,176.1136
39,176.07271
40,176.0382
41,176.00296
42,175.95427
43,175.90556
44,175.8671
45,175.83519
46,175.79454
47,175.74812
48,175.70154
49,175.65895
50,175.61607
51,175.5749
52,175.53337
53,175.48994
54,175.44156
55,175.39401
56,175.35004
57,175.30815
58,175.26282
59,175.2153
60,175.19919
61,175.18436
62,175.14409
63,175.07085
64,175.01736
65,174.98969
66,174.97772
67,174.9448
68,174.89873
69,174.83556
70,174.7821
71,174.7417
72,174.7275
73,174.7024
74,174.65587
75,174.5808
76,174.52182
77,174.48491
78,174.47246
79,174.4418
80,174.39108
81,174.31383
82,174.25113
83,174.20845
84,174.19633
85,174.16756
86,174.11371
87,174.0246
88,173.95293
89,173.9075
90,173.89539
91,173.86237
92,173.80217
93,173.70331
94,173.62268
95,173.5712
96,173.5473
97,173.50479
98,173.44098
99,173.37085
100,173.31639
101,173.26682
102,173.19366
103,173.1257
104,173.08046
105,173.02293
106,172.94829
107,172.88419
108,172.79747
109,172.7162
110,172.66214
111,172.61063
112,172.53981
113,172.46782
114,172.33713
115,172.23598
116,172.19737
117,172.16078
118,172.07675
119,171.9914
120,171.81891
121,171.72002
122,171.70575
123,171.6685
124,171.56543
125,171.48
126,171.26138
127,171.16505
128,171.18597
129,171.15036
130,171.02266
131,170.93832
132,170.69456
133,170.60138
134,170.64317
135,170.60928
136,170.46921
137,170.38719
138,170.17458
139,170.06664
140,170.07373
141,170.05237
142,169.94046
143,169.84976
144,169.69202
145,169.57793
146,169.5307
147,169.51219
148,169.44115
149,169.3468
150,169.20952
151,169.11295
152,169.05351
153,169.01933
154,168.95581
155,168.8719
156,168.75027
157,168.65321
158,168.58792
159,168.55243
160,168.4918
161,168.40714
162,168.29681
163,168.20842
164,168.13974
165,168.0956
166,168.03574
167,167.95601
168,167.85371
169,167.76779
170,167.69882
171,167.65144
172,167.5905
173,167.512
174,167.41621
175,167.334
176,167.26418
177,167.2134
178,167.15265
179,167.07637
180,166.98459
181,166.90442
182,166.83531
183,166.78192
184,166.71956
185,166.6444
186,166.55531
187,166.47554
188,166.40569
189,166.3514
190,166.28908
191,166.2141
192,166.12668
193,166.04845
194,165.97905
195,165.923
196,165.85979
197,165.78575
198,165.69858
199,165.61914
200,165.54918
201,165.49251
202,165.42827
203,165.4138
204,165.3872
205,165.3201
206,165.26183
207,165.25673
208,165.24487
209,165.19067
210,165.1424
211,165.12753
212,165.10738
213,165.0614
214,165.01984
215,164.99902
216,164.97394
217,164.93178
218,164.89232
219,164.87004
220,164.84592
221,164.80821
222,164.76917
223,164.74043
224,164.71222
225,164.68048
226,164.64859
227,164.6197
228,164.58484
229,164.54709
230,164.51344
231,164.50322
232,164.48993
233,164.45804
234,164.3986
235,164.35349
236,164.32993
