,0
0,89.704475
1,89.405945
2,89.34035
3,89.28088
4,89.034294
5,88.78036
6,88.67516
7,88.57538
8,88.35568
9,88.13511
10,88.00841
11,87.88161
12,87.6821
13,87.480965
14,87.336205
15,87.19564
16,87.00901
17,86.817566
18,86.62772
19,86.44045
20,86.25081
21,86.059265
22,85.86795
23,85.67687
24,85.48525
25,85.29231
26,85.09853
27,84.907
28,84.71513
29,84.52035
30,84.325005
31,84.13096
32,83.93641
33,83.74375
34,83.550514
35,83.35479
36,83.157745
37,82.961815
38,82.76616
39,82.57181
40,82.37658
41,82.1796
42,81.98234
43,81.7859
44,81.5891
45,81.39635
46,81.20333
47,81.006645
48,80.81178
49,80.61952
50,80.42541
51,80.17423
52,79.923775
53,79.718666
54,79.51198
55,79.26807
56,79.02466
57,78.810745
58,78.59601
59,78.356926
60,78.12183
61,77.90584
62,77.68631
63,77.45086
64,77.21783
65,76.99726
66,76.75697
67,76.506226
68,76.27099
69,76.04051
70,75.79733
71,75.55008
72,75.31611
73,75.085434
74,74.84396
75,74.59919
76,74.36306
77,74.129585
78,73.89014
79,73.64865
80,73.43067
81,73.20285
82,72.96935
83,72.74406
84,72.52653
85,72.3028
86,72.07328
87,71.85029
88,71.63245
89,71.40989
90,71.1556
91,70.90567
92,70.68191
93,70.456
94,70.209595
95,69.96542
96,69.740456
97,69.51446
98,69.27377
99,69.03536
100,68.80962
101,68.582825
102,68.34739
103,68.11364
104,67.88775
105,67.6892
106,67.485374
107,67.26052
108,67.041245
109,66.840614
110,66.63966
111,66.42253
112,66.21033
113,66.01199
114,65.81149
115,65.60094
116,65.39311
117,65.19624
118,64.99836
119,64.79286
120,64.589
121,64.3924
122,64.195816
123,63.99651
124,63.79854
125,63.605057
126,63.425056
127,63.242607
128,63.05054
129,62.861736
130,62.70856
131,62.55353
132,62.367393
133,62.183247
134,62.02445
135,61.86597
136,61.68804
137,61.510574
138,61.324894
139,61.139633
140,60.96183
141,60.784237
142,60.601402
143,60.4193
144,60.24311
145,60.06728
146,59.893917
147,59.714924
148,59.535015
149,59.36065
150,59.188747
151,59.01524
152,58.840816
153,58.66641
154,58.478973
155,58.26609
156,58.06394
157,57.883087
158,57.694397
159,57.494846
160,57.302105
161,57.11877
162,56.93167
163,56.737137
164,56.546227
165,56.362476
166,56.17647
167,55.98509
168,55.795933
169,55.611908
170,55.426735
171,55.237682
172,55.050255
173,54.866714
174,54.71831
175,54.567924
176,54.39016
177,54.21326
178,54.059685
179,53.906624
180,53.718597
181,53.531258
182,53.3727
183,53.212456
184,53.029896
185,52.849777
186,52.685997
187,52.525414
188,52.363617
189,52.193085
190,52.024567
191,51.866905
192,51.707653
193,51.54062
194,51.37558
195,51.223095
196,51.069496
197,50.90625
198,50.747364
199,50.59582
200,50.441086
201,50.274845
202,50.113083
203,49.960342
204,49.80293
205,49.638615
206,49.478413
207,49.322643
208,49.163837
209,49.001747
210,48.841213
211,48.6834
212,48.524525
213,48.361115
214,48.198677
215,48.040066
216,47.878807
217,47.714813
218,47.553177
219,47.392105
220,47.230644
221,47.07115
222,46.911316
223,46.75026
224,46.589767
225,46.429367
226,46.268852
227,46.108627
228,45.94684
229,45.785202
230,45.625286
231,45.465717
232,45.30528
233,45.1451
234,44.984463
235,44.824196
236,44.66488
237,44.50199
238,44.339317
239,44.18001
240,44.020836
241,43.86011
242,43.70022
243,43.541035
244,43.382442
245,43.224422
246,43.064915
247,42.90599
248,42.749516
249,42.59352
250,42.436825
251,42.28091
252,42.126793
253,41.9851
254,41.842293
255,41.678043
256,41.525948
257,41.389763
258,41.244236
259,41.08666
260,40.936775
261,40.796978
262,40.65152
263,40.49865
264,40.35018
265,40.207485
266,40.06166
267,39.9114
268,39.763847
269,39.619858
270,39.474224
271,39.326202
272,39.17976
273,39.036007
274,38.890938
275,38.74364
276,38.59771
277,38.45416
278,38.309593
279,38.169743
280,38.02855
281,37.883533
