,0
0,11.3541
1,11.298872
2,11.242256
3,11.229416
4,11.218053
5,11.170502
6,11.145062
7,11.124892
8,11.10548
9,11.0929
10,11.049204
11,11.024091
12,10.927532
13,10.8870535
14,10.845784
15,10.8268385
16,10.797715
17,10.7583885
18,10.736515
19,10.70804
20,10.67972
21,10.612444
22,10.575133
23,10.543914
24,10.50651
25,10.469783
26,10.432445
27,10.409732
28,10.376331
29,10.339209
30,10.300721
31,10.265151
32,10.229506
33,10.207532
34,10.169114
35,10.132088
36,10.076589
37,10.037224
38,9.997486
39,9.985605
40,9.946735
41,9.906495
42,9.826672
43,9.786293
44,9.745708
45,9.769147
46,9.727443
47,9.685903
48,9.651561
49,9.6092005
50,9.56655
51,9.585679
52,9.548785
53,9.511617
54,9.464342
55,9.424604
56,9.386116
57,9.403176
58,9.363129
59,9.322748
60,9.294072
61,9.254501
62,9.213909
63,9.173437
64,9.132595
65,9.091675
66,9.077714
67,9.034087
68,8.990572
69,8.894712
70,8.851079
71,8.806357
72,8.81068
73,8.766581
74,8.721909
75,8.626367
76,8.580821
77,8.535469
78,8.511931
79,8.466465
80,8.422735
81,8.363143
82,8.317692
83,8.27187
84,8.21838
85,8.173591
86,8.127667
87,8.066322
88,8.020852
89,7.9753203
90,7.9633827
91,7.9153275
92,7.8677607
93,7.795383
94,7.7479067
95,7.699569
96,7.6469665
97,7.5993342
98,7.5512414
99,7.5751934
100,7.5267787
101,7.4785833
102,7.4106827
103,7.361743
104,7.313722
105,7.2693644
106,7.2235193
107,7.174812
108,7.16287
109,7.1185026
110,7.0721765
111,7.046417
112,6.9996185
113,6.954175
114,6.9361687
115,6.887892
116,6.8404946
117,6.81588
118,6.768856
119,6.7208896
120,6.6654673
121,6.618343
122,6.570771
123,6.549647
124,6.502956
125,6.4605293
126,6.4325747
127,6.3866086
128,6.348132
129,6.331629
130,6.2955675
131,6.2548456
132,6.23603
133,6.2021675
134,6.166349
135,6.108609
136,6.0703473
137,6.0347795
138,6.0339284
139,5.991858
140,5.950581
141,5.8722496
142,5.8332186
143,5.7913322
144,5.759396
145,5.720221
146,5.682724
147,5.669626
148,5.6266837
149,5.5848756
150,5.5165687
151,5.4788504
152,5.4391217
153,5.3822827
154,5.344269
155,5.3107495
156,5.269441
157,5.2335825
158,5.1987705
159,5.1815186
160,5.15291
161,5.124043
162,5.084349
163,5.0525384
164,5.0228796
165,5.003149
166,4.9716005
167,4.939995
168,4.886718
169,4.8564363
170,4.8248787
171,4.806786
172,4.776072
173,4.745292
174,4.7237687
175,4.6869016
176,4.6517067
177,4.650229
178,4.6173625
179,4.577125
180,4.566656
181,4.537138
182,4.5069175
183,4.498419
184,4.4677496
185,4.4378
186,4.446496
187,4.417976
188,4.39329
189,4.396415
190,4.3668103
191,4.33946
192,4.432101
193,4.4052873
194,4.3722067
195,4.308123
196,4.294936
197,4.279414
198,4.300759
199,4.2806244
200,4.2654023
201,4.2952185
202,4.273836
203,4.254004
204,4.254818
205,4.236892
206,4.2163215
207,4.2153378
208,4.1974874
209,4.1785703
210,4.1993327
211,4.1793485
212,4.1604724
213,4.122464
214,4.1015654
215,4.081013
216,4.1086183
217,4.0880666
218,4.06665
219,4.0475106
220,4.027442
221,4.0070996
222,4.0101933
223,3.9890501
224,3.9682646
225,3.9638724
226,3.9423058
227,3.9206643
228,3.8964145
229,3.8745956
230,3.8523612
231,3.8692937
232,3.847235
233,3.8249323
234,3.8088908
235,3.7859662
236,3.763069
