,0
0,89.70328
1,89.403534
2,89.33766
3,89.27795
4,89.03038
5,88.77539
6,88.66974
7,88.56953
8,88.34893
9,88.12744
10,88.000206
11,87.87283
12,87.672516
13,87.470535
14,87.325165
15,87.184006
16,86.9966
17,86.80431
18,86.613754
19,86.42573
20,86.235275
21,86.04293
22,85.85083
23,85.659004
24,85.46663
25,85.27293
26,85.07838
27,84.88602
28,84.69335
29,84.49779
30,84.301674
31,84.10683
32,83.91147
33,83.718056
34,83.524025
35,83.32754
36,83.1297
37,82.93302
38,82.73657
39,82.54146
40,82.34544
41,82.14771
42,81.9497
43,81.752495
44,81.55493
45,81.361435
46,81.167694
47,80.97028
48,80.77467
49,80.58166
50,80.3868
51,80.13478
52,79.88346
53,79.67756
54,79.470116
55,79.225365
56,78.98114
57,78.76645
58,78.5509
59,78.31103
60,78.07511
61,77.85837
62,77.63808
63,77.401825
64,77.168
65,76.946686
66,76.705574
67,76.454
68,76.21801
69,75.986755
70,75.74277
71,75.49471
72,75.26003
73,75.02858
74,74.78634
75,74.540825
76,74.30393
77,74.06976
78,73.82961
79,73.606026
80,73.38748
81,73.15714
82,72.923
83,72.698586
84,72.480484
85,72.25499
86,72.02485
87,71.80227
88,71.58389
89,71.35998
90,71.10509
91,70.855225
92,70.630936
93,70.40393
94,70.156906
95,69.91261
96,69.68717
97,69.460304
98,69.21906
99,68.98043
100,68.7542
101,68.52671
102,68.29076
103,68.05672
104,67.833084
105,67.63641
106,67.43443
107,67.21144
108,66.99383
109,66.79404
110,66.59097
111,66.37608
112,66.16463
113,65.9637
114,65.76184
115,65.55255
116,65.344955
117,65.14638
118,64.94757
119,64.74271
120,64.53878
121,64.340996
122,64.14374
123,63.94476
124,63.761326
125,63.580345
126,63.38812
127,63.209305
128,63.05397
129,62.888927
130,62.70588
131,62.531086
132,62.36768
133,62.198368
134,62.020775
135,61.849617
136,61.68572
137,61.51746
138,61.3198
139,61.12637
140,60.95709
141,60.785175
142,60.594707
143,60.40726
144,60.236244
145,60.087906
146,59.930088
147,59.72829
148,59.53503
149,59.378605
150,59.21817
151,59.029564
152,58.84518
153,58.68318
154,58.485416
155,58.287632
156,58.09303
157,57.899036
158,57.70322
159,57.51341
160,57.32558
161,57.133556
162,56.93998
163,56.75001
164,56.56188
165,56.372562
166,56.182144
167,55.992996
168,55.806667
169,55.620045
170,55.431763
171,55.243977
172,55.058277
173,54.872997
174,54.722687
175,54.573406
176,54.36111
177,54.182373
178,54.055702
179,53.903477
180,53.692596
181,53.503597
182,53.362206
183,53.2024
184,53.009426
185,52.827847
186,52.67344
187,52.52482
188,52.355156
189,52.173866
190,52.010506
191,51.860935
192,51.696407
193,51.52174
194,51.35969
195,51.212162
196,51.05749
197,50.89488
198,50.7358
199,50.582672
200,50.427
201,50.262787
202,50.1016
203,49.94785
204,49.789482
205,49.626408
206,49.46709
207,49.309242
208,49.148544
209,48.986897
210,48.82668
211,48.667274
212,48.506992
213,48.34352
214,48.181004
215,48.021194
216,47.858784
217,47.69446
218,47.53279
219,47.372837
220,47.212257
221,47.050552
222,46.888775
223,46.72814
224,46.567955
225,46.405888
226,46.243866
227,46.083675
228,45.921764
229,45.758846
230,45.59772
231,45.43787
232,45.277073
233,45.115753
234,44.954067
235,44.793377
236,44.633564
