,0
0,89.76195
1,89.521545
2,89.46802
3,89.416245
4,89.21474
5,89.0098
6,88.92119
7,88.83502
8,88.655365
9,88.47083
10,88.35913
11,88.250694
12,88.08211
13,87.90946
14,87.7834
15,87.64016
16,87.45881
17,87.289955
18,87.11604
19,86.930756
20,86.7485
21,86.572014
22,86.391426
23,86.20494
24,86.01864
25,85.83587
26,85.65154
27,85.46142
28,85.27154
29,85.08523
30,84.89558
31,84.702
32,84.51021
33,84.31886
34,84.12506
35,83.92997
36,83.73464
37,83.53953
38,83.34367
39,83.145134
40,82.94646
41,82.74922
42,82.55001
43,82.348976
44,82.14894
45,81.94792
46,81.74553
47,81.54339
48,81.340614
49,81.1372
50,80.93386
51,80.72918
52,80.52408
53,80.31978
54,80.11386
55,79.907074
56,79.70139
57,79.5121
58,79.32183
59,79.11839
60,78.89718
61,78.68615
62,78.48927
63,78.28331
64,78.065704
65,77.85518
66,77.65295
67,77.445045
68,77.23035
69,77.01348
70,76.801994
71,76.59234
72,76.37759
73,76.16132
74,75.94924
75,75.73837
76,75.524254
77,75.3093
78,75.09735
79,74.88633
80,74.67315
81,74.45857
82,74.24606
83,74.00915
84,73.767975
85,73.546524
86,73.32875
87,73.09566
88,72.8597
89,72.63626
90,72.4154
91,72.177376
92,71.898994
93,71.63441
94,71.40227
95,71.1594
96,70.89123
97,70.63171
98,70.39266
99,70.14805
100,69.887184
101,69.630905
102,69.389
103,69.14373
104,68.88723
105,68.63355
106,68.38925
107,68.14313
108,67.89049
109,67.63975
110,67.39466
111,67.14972
112,66.90078
113,66.65221
114,66.409836
115,66.17236
116,65.92524
117,65.72365
118,65.50776
119,65.255806
120,65.039314
121,64.84163
122,64.604904
123,64.38076
124,64.1887
125,63.965466
126,63.739204
127,63.538593
128,63.33189
129,63.114567
130,62.902786
131,62.70031
132,62.493416
133,62.25895
134,62.049126
135,61.86261
136,61.636898
137,61.39302
138,61.201275
139,61.025692
140,60.789272
141,60.560658
142,60.38172
143,60.178947
144,59.937042
145,59.733624
146,59.563095
147,59.34459
148,59.100536
149,58.913578
150,58.749504
151,58.544353
152,58.339188
153,58.167736
154,57.996464
155,57.78067
156,57.58322
157,57.42252
158,57.248096
159,57.027527
160,56.83536
161,56.68101
162,56.489815
163,56.268726
164,56.094326
165,55.950813
166,55.75568
167,55.536613
168,55.375076
169,55.22846
170,55.03582
171,54.84791
172,54.69849
173,54.529896
174,54.33098
175,54.162033
176,54.004288
177,53.82386
178,53.635197
179,53.4673
180,53.305065
181,53.12694
182,52.945084
183,52.77687
184,52.612724
185,52.438515
186,52.26746
187,52.105396
188,51.94163
189,51.77218
190,51.604855
191,51.442963
192,51.280926
193,51.121223
194,50.9622
195,50.802826
196,50.643555
197,50.48484
198,50.329613
199,50.174767
200,50.017784
201,49.861927
202,49.708416
203,49.554855
204,49.398888
205,49.243553
206,49.091213
207,48.939533
208,48.786236
209,48.63313
210,48.48466
211,48.336967
212,48.186317
213,48.059826
214,47.93627
215,47.799328
216,47.69169
217,47.59497
218,47.475002
219,47.347027
220,47.238007
221,47.135937
222,47.024246
223,46.907864
224,46.799408
225,46.711704
226,46.61886
227,46.510323
228,46.406765
229,46.31683
230,46.224174
231,46.120235
232,46.01917
233,45.928223
234,45.834507
235,45.733757
236,45.636086
