,0
0,134.87134
1,134.74121
2,134.71188
3,134.61528
4,134.44096
5,134.32106
6,134.36543
7,134.36777
8,134.2394
9,134.05829
10,133.97939
11,133.94185
12,133.90599
13,133.83775
14,133.76828
15,133.6447
16,133.5201
17,133.43723
18,133.43314
19,133.39626
20,133.29652
21,133.14137
22,133.03415
23,132.96996
24,132.9512
25,132.89842
26,132.80919
27,132.657
28,132.5315
29,132.4548
30,132.44907
31,132.4045
32,132.30289
33,132.1327
34,132.00546
35,131.93152
36,131.92395
37,131.87349
38,131.76935
39,131.59187
40,131.45442
41,131.37392
42,131.37097
43,131.32173
44,131.20947
45,131.01825
46,130.87413
47,130.79138
48,130.82318
49,130.86809
50,130.82103
51,130.54614
52,130.39749
53,130.46834
54,130.56259
55,130.48065
56,130.37807
57,130.28952
58,130.21461
59,130.1271
60,130.15819
61,130.19762
62,130.14143
63,129.97945
64,129.89023
65,129.88403
66,130.00293
67,130.05383
68,130.00363
69,129.87492
70,129.82443
71,129.83583
72,129.92712
73,129.9675
74,129.94293
75,129.81804
76,129.74283
77,129.74686
78,129.87253
79,129.93468
80,129.89922
81,129.75154
82,129.6801
83,129.6977
84,129.81613
85,129.86427
86,129.83197
87,129.69379
88,129.6191
89,129.6287
90,129.74712
91,129.80005
92,129.76672
93,129.63647
94,129.57518
95,129.59146
96,129.69453
97,129.73802
98,129.71335
99,129.59085
100,129.52356
101,129.53471
102,129.64009
103,129.68564
104,129.65735
105,129.53238
106,129.4674
107,129.48009
108,129.57957
109,129.62009
110,129.59282
111,129.4732
112,129.40889
113,129.41881
114,129.51256
115,129.55
116,129.52206
117,129.40765
118,129.34653
119,129.3549
120,129.44313
121,129.47867
122,129.45195
123,129.34242
124,129.28357
125,129.29126
126,129.4031
127,129.46458
128,129.44444
129,129.34126
130,129.30399
131,129.33333
132,129.42824
133,129.47249
134,129.46591
135,129.37741
136,129.33003
137,129.3482
138,129.47186
139,129.54596
140,129.53746
141,129.4452
142,129.41919
143,129.46028
144,129.57451
145,129.63841
146,129.64592
147,129.56285
148,129.52501
149,129.55954
150,129.68686
151,129.76035
152,129.7621
153,129.6001
154,129.49464
155,129.59674
156,129.78458
157,129.81204
158,129.77351
159,129.651
160,129.5811
161,129.57799
162,129.75134
163,129.87787
164,129.86798
165,129.66942
166,129.57973
167,129.64052
168,129.84529
169,129.93857
170,129.92213
171,129.77942
172,129.72523
173,129.77202
174,129.97522
175,130.10876
176,130.12463
177,129.94406
178,129.85985
179,129.93327
180,130.1914
181,130.33684
182,130.34224
183,130.14456
184,130.06252
185,130.14394
186,130.4553
187,130.64664
188,130.65923
189,130.41953
190,130.42409
191,130.6307
192,130.89412
193,130.99966
194,131.06004
195,130.99704
196,130.96828
197,131.03835
198,131.33871
199,131.5612
200,131.60046
201,131.36049
202,131.37318
203,131.60971
204,131.87927
205,131.9716
206,132.0379
207,132.04242
208,132.06682
209,132.14218
210,132.40877
211,132.63727
212,132.71515
213,132.53123
214,132.65492
215,132.8003
216,133.00092
217,133.18753
218,133.33237
219,133.21167
220,133.19406
221,133.38914
222,133.7151
223,133.87358
224,133.92871
225,133.96567
226,134.0849
227,134.22162
228,134.47273
229,134.70863
230,134.85175
231,134.86212
232,134.94766
233,135.14316
234,135.40475
235,135.57321
236,135.6837
