,0
0,0.0
1,0.096913286
2,0.11190582
3,0.13705608
4,0.16312937
5,0.17245847
6,0.20935665
7,0.28254843
8,0.29073992
9,0.28254843
10,0.2683408
11,0.31651756
12,0.32625884
13,0.29341963
14,0.30390218
15,0.33804092
16,0.32864904
17,0.31153274
18,0.40541756
19,0.4458716
20,0.42978272
21,0.4458716
22,0.5158608
23,0.53813833
24,0.4957444
25,0.47146794
26,0.5128173
27,0.5322888
28,0.50821793
29,0.5112888
30,0.5410394
31,0.53668195
32,0.53375727
33,0.55249125
34,0.55672497
35,0.56092674
36,0.57742816
37,0.5961027
38,0.5814803
39,0.602632
40,0.623066
41,0.62054855
42,0.6355037
43,0.66558194
44,0.66558194
45,0.6330357
46,0.6305581
47,0.65848845
48,0.64163214
49,0.64528126
50,0.68413836
51,0.709964
52,0.6999718
53,0.6829933
54,0.7316805
55,0.762071
56,0.78033906
57,0.7702436
58,0.8137271
59,0.8740145
60,0.90654314
61,0.90912956
62,0.9295621
63,1.0056001
64,1.0594215
65,1.0770067
66,1.1049858
67,1.1756822
68,1.2366793
69,1.2642204
70,1.2984279
71,1.3631247
72,1.4265342
73,1.4553233
74,1.4898716
75,1.5676925
76,1.644211
77,1.6851177
78,1.6589026
79,1.6640847
80,1.7236928
81,1.760979
82,1.7556373
83,1.7702885
84,1.9192156
85,2.0278854
86,2.0539644
87,2.082349
88,2.1832724
89,2.3053396
90,2.3467302
91,2.3752418
92,2.471495
93,2.5836012
94,2.6443887
95,2.6942396
96,2.7876246
97,2.8893821
98,2.9584517
99,3.0215447
100,3.112154
101,3.2072852
102,3.2849343
103,3.358227
104,3.4470289
105,3.538471
106,3.619616
107,3.6987708
108,3.7944655
109,3.885591
110,3.950923
111,4.04104
112,4.1477304
113,4.234956
114,4.2416058
115,4.2651644
116,4.3529162
117,4.42993
118,4.4572387
119,4.493798
120,4.5708375
121,4.639856
122,4.677834
123,4.722972
124,4.793558
125,4.858127
126,4.901925
127,4.950557
128,5.0163846
129,5.0812054
130,5.1330223
131,5.1861334
132,5.254972
133,5.322774
134,5.3786716
135,5.429238
136,5.4884753
137,5.420578
138,5.3500643
139,5.51239
140,5.5463753
141,5.392338
142,5.340983
143,5.4396114
144,5.454417
145,5.3500643
146,5.4430647
147,5.5051417
148,5.410602
149,5.3403964
150,5.376633
151,5.3939347
152,5.326744
153,5.2743053
154,5.2895737
155,5.2937164
156,5.2460246
157,5.207527
158,5.210984
159,5.0816674
160,4.921054
161,4.9897814
162,4.9630356
163,4.755845
164,4.6261683
165,4.663419
166,4.6427236
167,4.491707
168,4.387847
169,4.387668
170,4.353276
171,4.238097
172,4.1518803
173,4.1310873
174,4.0918636
175,4.0040636
176,3.933647
177,3.9040823
178,3.864379
179,3.7961159
180,3.7398133
181,3.7089157
182,3.6724331
183,3.620265
184,3.575882
185,3.5477502
186,3.5649195
187,3.5721583
188,3.5470881
189,3.458818
190,3.4689875
191,3.5340436
192,3.4336045
193,3.291124
194,3.3549623
195,3.3819196
196,3.2419987
197,3.144184
198,3.2614977
199,3.2777777
200,3.1216972
201,3.0501654
202,3.116176
203,3.1171806
204,3.0025735
205,2.9449267
206,2.9805942
207,3.003616
208,2.9192984
209,2.878797
210,2.8988485
211,2.8817866
212,2.8180654
213,2.8099985
214,2.843505
215,2.8310902
216,2.80498
217,2.8155644
218,2.8374422
219,2.829154
220,2.8119478
221,2.8191762
222,2.8319197
223,2.825278
224,2.814174
225,2.8180654
226,2.825278
227,2.821119
228,2.8404753
229,2.8695376
230,2.8798847
231,2.8806999
232,2.8969576
233,2.9203708
234,2.9093604
235,2.8964174
236,2.9152734
