,0
0,0.69973725
1,0.69572747
2,0.6918568
3,0.71231616
4,0.711775
5,0.71075106
6,0.72670346
7,0.7268064
8,0.7264769
9,0.73798513
10,0.73653835
11,0.736529
12,0.7416253
13,0.7406939
14,0.7402909
15,0.74854577
16,0.7484824
17,0.74796236
18,0.7513946
19,0.7468324
20,0.7454168
21,0.76332736
22,0.7587886
23,0.7542246
24,0.7723944
25,0.7731695
26,0.7701048
27,0.79070055
28,0.78991026
29,0.79064476
30,0.7898685
31,0.7892196
32,0.7886818
33,0.77415377
34,0.7735183
35,0.77322936
36,0.78156024
37,0.78109837
38,0.7819245
39,0.7852062
40,0.78487074
41,0.7844572
42,0.7875003
43,0.7880906
44,0.78665876
45,0.7858908
46,0.78436524
47,0.78432584
48,0.78013223
49,0.7794953
50,0.7797673
51,0.76764154
52,0.7665128
53,0.76500905
54,0.76678723
55,0.76346254
56,0.763949
57,0.76357514
58,0.762841
59,0.7630844
60,0.7585626
61,0.7637541
62,0.7578821
63,0.77323455
64,0.77552974
65,0.7752114
66,0.7867848
67,0.7861768
68,0.78917605
69,0.800563
70,0.8031729
71,0.800948
72,0.8133961
73,0.81236035
74,0.8144525
75,0.8046329
76,0.80589026
77,0.8061934
78,0.80507946
79,0.80245817
80,0.80240446
81,0.82357544
82,0.82267237
83,0.82104933
84,0.8286083
85,0.83154464
86,0.8292227
87,0.8259367
88,0.8242025
89,0.82644063
90,0.81986564
91,0.8206294
92,0.82030666
93,0.8232649
94,0.8206783
95,0.8201225
96,0.8329591
97,0.83064044
98,0.8311945
99,0.8307743
100,0.834677
101,0.8302673
102,0.8155434
103,0.8123967
104,0.8151127
105,0.78960735
106,0.78860337
107,0.7887892
108,0.7697549
109,0.76896477
110,0.7655187
111,0.7675715
112,0.76375234
113,0.77249
114,0.7598859
115,0.76399946
116,0.7681292
117,0.7611499
118,0.7662277
119,0.7555921
120,0.7630882
121,0.74098164
122,0.75052464
123,0.7395061
124,0.7539549
125,0.7370789
126,0.7381249
127,0.7343545
128,0.73752546
129,0.71984774
130,0.7194874
131,0.7145383
132,0.68943965
133,0.69012594
134,0.6876372
135,0.67141813
136,0.668517
137,0.66990614
138,0.6448197
139,0.64673364
140,0.6398498
141,0.60563445
142,0.6006815
143,0.6029218
144,0.5761108
145,0.5747111
146,0.5706751
147,0.5564143
148,0.55948484
149,0.5529584
150,0.5454849
151,0.54794633
152,0.5502026
153,0.508759
154,0.5136285
155,0.5148297
156,0.52795243
157,0.5141437
158,0.5111109
159,0.54411876
160,0.5331758
161,0.53578573
162,0.5281229
163,0.539532
164,0.5277427
165,0.5269466
166,0.5410389
167,0.53391194
168,0.5826089
169,0.5606772
170,0.5750334
171,0.6091811
172,0.6307499
173,0.6080804
174,0.62369037
175,0.6231677
176,0.6380717
177,0.6358155
178,0.63645566
179,0.6359469
180,0.6611522
181,0.6535353
182,0.65738106
183,0.67286444
184,0.67204654
185,0.67312926
186,0.6937784
187,0.6901274
188,0.6898314
189,0.70292187
190,0.70139307
191,0.698595
192,0.70007193
193,0.70131105
194,0.7002397
195,0.696832
196,0.6968735
197,0.6975001
198,0.7064573
199,0.70551795
200,0.7055024
201,0.7100466
202,0.709661
203,0.7091889
204,0.7062722
205,0.70642334
206,0.7062387
207,0.6997917
208,0.6998422
209,0.6999813
210,0.69321823
211,0.6930449
212,0.69307166
213,0.7015244
214,0.7012641
215,0.70113534
216,0.68868077
217,0.6885966
218,0.6883574
219,0.6628865
220,0.6629594
221,0.6626455
222,0.6364966
223,0.6365052
224,0.6365479
225,0.60632086
226,0.6062838
227,0.6062559
228,0.5881651
229,0.58712035
230,0.5870757
231,0.5925049
232,0.57954586
233,0.5797313
234,0.58174974
235,0.57712877
236,0.56911796
