,0
0,6.1335006
1,6.089698
2,6.045563
3,6.0702543
4,6.0612307
5,6.02403
6,6.0269747
7,6.0120697
8,5.997282
9,6.0263586
10,5.993488
11,5.9749546
12,5.915962
13,5.885934
14,5.8558025
15,5.8977194
16,5.876481
17,5.8478494
18,5.8493257
19,5.8279357
20,5.806475
21,5.7526536
22,5.7236037
23,5.6990995
24,5.6767287
25,5.649842
26,5.621925
27,5.613034
28,5.5885386
29,5.561725
30,5.553763
31,5.5278974
32,5.502459
33,5.510996
34,5.4835815
35,5.4572206
36,5.4189296
37,5.3921146
38,5.3649583
39,5.362252
40,5.3390737
41,5.31847
42,5.272732
43,5.2488127
44,5.22578
45,5.266592
46,5.2443266
47,5.220786
48,5.204299
49,5.18268
50,5.160436
51,5.2211266
52,5.1982255
53,5.1760263
54,5.1272163
55,5.1038675
56,5.0807366
57,5.1086955
58,5.0855713
59,5.0619717
60,5.053673
61,5.0302196
62,5.0065007
63,4.9731774
64,4.94948
65,4.925855
66,4.92968
67,4.9079986
68,4.88756
69,4.818844
70,4.7967086
71,4.774837
72,4.7662015
73,4.744805
74,4.722672
75,4.6558867
76,4.634129
77,4.612503
78,4.6169686
79,4.6015053
80,4.583376
81,4.5322833
82,4.515909
83,4.4996877
84,4.4776163
85,4.4593606
86,4.4426875
87,4.423134
88,4.4094305
89,4.394185
90,4.3998966
91,4.390143
92,4.378092
93,4.337829
94,4.326063
95,4.315309
96,4.283438
97,4.272198
98,4.2619963
99,4.2905555
100,4.2791142
101,4.2720175
102,4.2376475
103,4.227197
104,4.220274
105,4.2130075
106,4.211489
107,4.2013397
108,4.211608
109,4.20981
110,4.2003136
111,4.2008033
112,4.193339
113,4.192245
114,4.1854086
115,4.181598
116,4.1728735
117,4.186835
118,4.170483
119,4.1657987
120,4.140974
121,4.1323843
122,4.1261077
123,4.1220274
124,4.1220903
125,4.110029
126,4.0948706
127,4.0896034
128,4.085553
129,4.0721135
130,4.0657983
131,4.061999
132,4.0730014
133,4.0634694
134,4.0562687
135,4.0265746
136,4.0207353
137,4.012134
138,4.029187
139,4.024569
140,4.018626
141,3.9705274
142,3.9652612
143,3.961511
144,3.9620266
145,3.953134
146,3.947839
147,3.995697
148,3.985382
149,3.9710677
150,3.953387
151,3.9507358
152,3.9413557
153,3.933329
154,3.9268038
155,3.922283
156,3.9195166
157,3.9099507
158,3.903543
159,3.9186518
160,3.911174
161,3.9022212
162,3.9004378
163,3.8924954
164,3.884988
165,3.8927903
166,3.886314
167,3.8811862
168,3.864604
169,3.8582902
170,3.8506525
171,3.8780472
172,3.8704646
173,3.864048
174,3.8622503
175,3.8557425
176,3.8483136
177,3.8409429
178,3.834361
179,3.826976
180,3.8148644
181,3.806064
182,3.7989569
183,3.7882392
184,3.7801344
185,3.77356
186,3.817482
187,3.81376
188,3.8090425
189,3.8491478
190,3.8442655
191,3.8407896
192,3.9247067
193,3.9203086
194,3.9156837
195,3.8891509
196,3.884882
197,3.8798237
198,3.92572
199,3.9203289
200,3.9156785
201,3.9506102
202,3.946635
203,3.9409792
204,3.9633925
205,3.958228
206,3.9531054
207,3.971883
208,3.9666386
209,3.9612195
210,3.9940445
211,3.9890673
212,3.9836135
213,3.969384
214,3.9642074
215,3.9593928
216,4.0116963
217,4.0064483
218,4.0012684
219,4.006548
220,4.0012145
221,3.9957945
222,4.0217876
223,4.01643
224,4.010947
225,4.0239964
226,4.0195074
227,4.0148163
228,4.0143414
229,4.0084357
230,4.0026655
231,4.056409
232,4.050866
