,0
0,86.3491
1,86.11168
2,86.07097
3,86.02296
4,85.82058
5,85.625496
6,85.552956
7,85.47636
8,85.3043
9,85.13603
10,85.02563
11,84.91349
12,84.75657
13,84.60226
14,84.484
15,84.36535
16,84.21956
17,84.07532
18,83.95231
19,83.82927
20,83.69079
21,83.55283
22,83.42799
23,83.30395
24,83.17055
25,83.03772
26,82.91335
27,82.789055
28,82.65939
29,82.530914
30,82.406944
31,82.28327
32,82.15734
33,82.03207
34,81.909706
35,81.78808
36,81.66503
37,81.54273
38,81.423
39,81.302864
40,81.18198
41,81.087555
42,80.99501
43,80.882675
44,80.770035
45,80.67339
46,80.58268
47,80.48019
48,80.374344
49,80.28102
50,80.19119
51,80.091705
52,79.990204
53,79.89694
54,79.80484
55,79.707054
56,79.60715
57,79.50684
58,79.40935
59,79.3132
60,79.22021
61,79.12716
62,79.032524
63,78.93771
64,78.84468
65,78.752464
66,78.65983
67,78.56714
68,78.47531
69,78.38274
70,78.29174
71,78.201744
72,78.109764
73,78.017456
74,77.92711
75,77.8367
76,77.74527
77,77.65436
78,77.56548
79,77.476814
80,77.387
81,77.29698
82,77.20835
83,77.12062
84,77.02907
85,76.93728
86,76.84896
87,76.76164
88,76.671936
89,76.58432
90,76.49554
91,76.405
92,76.325554
93,76.24981
94,76.150955
95,76.062904
96,75.99353
97,75.915405
98,75.82182
99,75.73461
100,75.65956
101,75.57921
102,75.48765
103,75.4003
104,75.321754
105,75.23912
106,75.14909
107,75.062225
108,74.98066
109,74.89639
110,74.80758
111,74.72085
112,74.637505
113,74.5506
114,74.45838
115,74.37294
116,74.29161
117,74.19773
118,74.10642
119,74.024925
120,73.936386
121,73.84007
122,73.75357
123,73.670105
124,73.57867
125,73.48764
126,73.40057
127,73.31319
128,73.22261
129,73.132095
130,73.04443
131,72.956535
132,72.86722
133,72.77587
134,72.68766
135,72.60187
136,72.50988
137,72.41945
138,72.33501
139,72.249725
140,72.15367
141,72.06687
142,71.98828
143,71.90275
144,71.80914
145,71.72241
146,71.641975
147,71.55692
148,71.45604
149,71.36999
150,71.29659
151,71.198845
152,71.10296
153,71.02548
154,70.94677
155,70.83946
156,70.732834
157,70.6622
158,70.5774
159,70.46157
160,70.37222
161,70.30751
162,70.20576
163,70.08417
164,70.00979
165,69.93409
166,69.81948
167,69.70634
168,69.62412
169,69.540924
170,69.42995
171,69.32134
172,69.235535
173,69.14726
174,69.03816
175,68.93297
176,68.844124
177,68.775
178,68.69253
179,68.59419
180,68.5075
181,68.43328
182,68.3495
183,68.256516
184,68.170876
185,68.09233
186,68.00916
187,67.92012
188,67.83447
189,67.75529
190,67.67312
191,67.586266
192,67.50366
193,67.42463
194,67.34193
195,67.258644
196,67.178085
197,67.09769
198,67.016304
199,66.93454
200,66.85336
201,66.773285
202,66.6925
203,66.61062
204,66.531685
205,66.45342
206,66.37258
207,66.29177
208,66.2128
209,66.13358
210,66.05263
211,65.971695
212,65.89191
213,65.81344
214,65.73383
215,65.65297
216,65.57557
217,65.498955
218,65.41942
219,65.340225
220,65.26319
221,65.18568
222,65.102455
223,65.0197
224,64.941185
225,64.860954
226,64.77766
227,64.695755
228,64.61628
229,64.53591
230,64.45366
231,64.37124
232,64.29017
233,64.20924
234,64.12822
235,64.047
236,63.965775
237,63.884125
238,63.802532
239,63.721336
240,63.642277
241,63.563026
242,63.48193
243,63.428135
244,63.3754
245,63.3008
246,63.22497
247,63.16643
248,63.1086
249,63.035175
250,62.961143
251,62.899323
252,62.858192
253,62.807156
254,62.739494
255,62.67569
256,62.624996
257,62.571125
258,62.504475
259,62.44013
260,62.385815
261,62.32762
262,62.26121
263,62.197624
264,62.13833
265,62.0766
266,62.011234
267,61.94504
268,61.881516
269,61.818474
270,61.750797
271,61.682495
272,61.6177
273,61.531822
274,61.44297
275,61.370728
276,61.30013
277,61.216103
278,61.130535
279,61.057972
280,60.986412
281,60.90417
282,60.81998
283,60.744102
284,60.66958
285,60.587173
286,60.503525
287,60.425953
288,60.350296
289,60.269535
290,60.187054
291,60.107822
292,60.02977
293,59.948864
294,59.865303
295,59.783752
296,59.70416
297,59.622776
298,59.53973
299,59.45781
300,59.376644
301,59.29436
302,59.211273
303,59.127697
304,59.044624
305,58.961624
306,58.875973
307,58.790142
308,58.70639
309,58.62211
310,58.535946
311,58.45001
312,58.365673
313,58.28096
314,58.19473
315,58.109257
316,58.024807
317,57.93962
318,57.849777
319,57.7606
320,57.67513
321,57.590187
322,57.502087
323,57.413403
324,57.327473
325,57.2418
326,57.153767
327,57.0648
328,56.977524
329,56.890797
330,56.802547
331,56.713814
332,56.62622
333,56.53931
334,56.45139
335,56.362926
336,56.27621
337,56.190548
338,56.102547
339,56.015728
340,55.9311
341,55.84555
342,55.759552
343,55.674706
344,55.59046
345,55.50585
346,55.42045
347,55.335556
348,55.252888
349,55.169796
350,55.084797
351,55.0018
352,54.92049
353,54.83753
354,54.755653
355,54.675167
356,54.59389
357,54.513336
358,54.43331
359,54.35284
360,54.275055
361,54.197605
362,54.11799
363,54.0441
364,53.971985
365,53.89519
366,53.8177
367,53.7439
368,53.670628
369,53.597153
370,53.522102
371,53.447815
372,53.378895
373,53.30896
374,53.23235
375,53.16077
376,53.09454
377,53.024117
378,52.94932
379,52.877914
380,52.809948
