,0
0,8.076105
1,7.9968286
2,7.9172835
3,7.9058566
4,7.8910246
5,7.825044
6,7.792947
7,7.766364
8,7.7404537
9,7.6898804
10,7.6330757
11,7.6019826
12,7.516637
13,7.4644094
14,7.4128294
15,7.384391
16,7.3484344
17,7.2994795
18,7.2631707
19,7.2230687
20,7.1834292
21,7.0893116
22,7.0425224
23,7.0019145
24,6.9540205
25,6.9083214
26,6.8625927
27,6.8120074
28,6.770385
29,6.725554
30,6.6769633
31,6.636049
32,6.5951657
33,6.5646253
34,6.52043
35,6.4789877
36,6.38555
37,6.3474846
38,6.3086715
39,6.2938333
40,6.2545376
41,6.2177463
42,6.1260705
43,6.0947447
44,6.0606976
45,6.072945
46,6.046562
47,6.01677
48,5.945999
49,5.9164634
50,5.8886113
51,5.870557
52,5.838806
53,5.808701
54,5.7532873
55,5.722953
56,5.691537
57,5.644146
58,5.6146336
59,5.584201
60,5.558609
61,5.527685
62,5.4973016
63,5.4065127
64,5.375042
65,5.3438425
66,5.354108
67,5.3223243
68,5.290135
69,5.1891623
70,5.157645
71,5.125652
72,5.1177206
73,5.0854177
74,5.0532503
75,4.9588127
76,4.9262347
77,4.893702
78,4.881375
79,4.8478494
80,4.814189
81,4.727526
82,4.6964374
83,4.664738
84,4.624292
85,4.5920763
86,4.560632
87,4.4951015
88,4.462754
89,4.430713
90,4.422611
91,4.390933
92,4.3632545
93,4.306037
94,4.2927732
95,4.2714453
96,4.2447557
97,4.229785
98,4.2149835
99,4.2576513
100,4.237554
101,4.2216434
102,4.1708794
103,4.151891
104,4.1328235
105,4.107925
106,4.0917845
107,4.074294
108,4.071673
109,4.0561705
110,4.0402575
111,4.0361667
112,4.0270596
113,4.01846
114,4.0244594
115,4.0140495
116,4.0059876
117,4.0008707
118,3.990498
119,3.9804776
120,3.969394
121,3.961778
122,3.9531217
123,3.9747894
124,3.9666855
125,3.958923
126,3.9625783
127,3.9536724
128,3.9453654
129,3.9563358
130,3.9477887
131,3.9390152
132,3.9439228
133,3.9358237
134,3.9274137
135,3.9186459
136,3.9099967
137,3.9015253
138,3.9108236
139,3.9023278
140,3.8938737
141,3.8631332
142,3.8536646
143,3.8452573
144,3.858454
145,3.8480422
146,3.8369253
147,3.8525558
148,3.8440444
149,3.83415
150,3.8061066
151,3.7965488
152,3.7874722
153,3.7936504
154,3.7698302
155,3.749299
156,3.7735307
157,3.7583072
158,3.7282722
159,3.7541652
160,3.7445621
161,3.7280338
162,3.724201
163,3.7036805
164,3.6906672
165,3.7042124
166,3.6808817
167,3.6609895
168,3.662346
169,3.6441965
170,3.6222408
171,3.664369
172,3.6475792
173,3.6301234
174,3.6288328
175,3.6104772
176,3.5946455
177,3.5970032
178,3.5795984
179,3.5620892
180,3.5606863
181,3.5443196
182,3.5268989
183,3.5276444
184,3.5159087
185,3.5041611
186,3.5268986
187,3.5190973
188,3.5126126
189,3.533222
190,3.5230122
191,3.5148225
192,3.5772188
193,3.568035
194,3.558155
195,3.512783
196,3.5046427
197,3.4953275
198,3.5211291
199,3.5123758
200,3.5038586
201,3.5298686
202,3.5245512
203,3.5192256
204,3.536464
205,3.5303814
206,3.5247192
207,3.5357838
208,3.529639
209,3.5234275
210,3.5532496
211,3.547341
212,3.5411272
213,3.5196364
214,3.5133793
215,3.5071049
216,3.5550613
217,3.5485637
218,3.5420902
219,3.541234
220,3.5345998
221,3.527891
222,3.548384
223,3.5416832
224,3.5348802
225,3.5399745
226,3.533077
227,3.5261438
228,3.5196044
229,3.5124803
230,3.5053177
231,3.5390728
232,3.5319052
233,3.524649
234,3.5217352
235,3.5145555
236,3.5079048
237,3.4904044
238,3.481979
239,3.4741964
240,3.5092938
241,3.5021572
242,3.4945292
243,3.5172625
244,3.509907
245,3.5023754
246,3.5221248
247,3.5144079
248,3.5064607
249,3.51186
250,3.5042849
251,3.4963937
252,3.551436
253,3.5429754
254,3.5344398
255,3.5459116
256,3.5374637
257,3.5292675
258,3.554154
259,3.5459466
260,3.537384
261,3.4928403
262,3.4844759
263,3.4758906
264,3.490158
265,3.4815516
266,3.4729705
267,3.4957929
268,3.4868295
269,3.477672
270,3.4673078
271,3.458134
272,3.449115
273,3.5265553
274,3.5169995
275,3.507845
276,3.4374998
277,3.428366
278,3.4192855
279,3.3562672
280,3.3472393
281,3.3381388
282,3.3297682
283,3.3201692
284,3.310731
285,3.2573287
286,3.2481282
287,3.2392216
288,3.2286787
289,3.2191253
290,3.2102716
291,3.194886
292,3.1852837
293,3.175758
294,3.1460078
295,3.1368341
296,3.1277728
297,3.162535
298,3.1522264
299,3.1419654
300,3.0995636
301,3.0892594
302,3.0782573
303,3.0141191
304,3.0055854
305,2.9960086
306,2.9916728
307,2.9790905
308,2.9650652
309,2.9417708
310,2.933899
311,2.9221382
312,2.910882
313,2.9017267
314,2.8933556
315,2.8481402
316,2.836529
317,2.827107
318,2.7968154
319,2.7861855
320,2.7752018
321,2.7415342
322,2.7321794
323,2.721741
324,2.7001445
325,2.6910448
326,2.6815522
327,2.6617434
328,2.6503432
329,2.638609
330,2.6185513
331,2.6101444
332,2.5990522
333,2.5676658
334,2.5594347
335,2.550732
336,2.5243933
337,2.5179844
338,2.5127723
339,2.5238254
340,2.5192225
341,2.5157094
342,2.516454
343,2.5135372
344,2.5112834
345,2.457041
346,2.4533954
347,2.4499328
348,2.458069
349,2.4560955
350,2.453171
351,2.445126
352,2.4428773
353,2.4406998
354,2.4272704
355,2.4248738
356,2.4230561
357,2.4113524
358,2.4082742
359,2.405457
360,2.3934443
361,2.3916569
362,2.3888361
363,2.3783166
364,2.3765688
365,2.3746793
366,2.3670406
367,2.3645792
368,2.362655
369,2.3504791
370,2.3481002
371,2.345783
372,2.3453932
373,2.3429718
374,2.340713
375,2.3274465
376,2.3248568
377,2.3228505
378,2.308454
379,2.3055625
380,2.30282
381,2.2834053
382,2.2808795
383,2.278351
384,2.3303394
385,2.3277485
386,2.3250759
387,2.2448392
388,2.2418714
389,2.239187
390,2.2240632
391,2.2225792
392,2.2202299
393,2.2142823
394,2.2128499
395,2.211244
396,2.2226202
397,2.2207327
398,2.2195022
399,2.212956
400,2.2116618
401,2.2099354
402,2.1922803
403,2.1903338
404,2.1886358
405,2.1797478
406,2.1767633
407,2.1733077
408,2.1774547
409,2.1732733
410,2.1698709
411,2.2158036
412,2.2117767
