,0
0,83.5215
1,83.28612
2,83.24066
3,83.193115
4,82.9946
5,82.79784
6,82.72082
7,82.64288
8,82.46996
9,82.29942
10,82.20432
11,82.10769
12,81.95304
13,81.79973
14,81.69259
15,81.58666
16,81.44433
17,81.30113
18,81.184204
19,81.0682
20,80.93163
21,80.79562
22,80.67612
23,80.55646
24,80.42534
25,80.2946
26,80.17319
27,80.051735
28,79.92324
29,79.795044
30,79.672806
31,79.550674
32,79.42415
33,79.30022
34,79.1801
35,79.0583
36,78.934
37,78.81146
38,78.69127
39,78.57266
40,78.45263
41,78.331726
42,78.21087
43,78.09132
44,77.972336
45,77.8559
46,77.73951
47,77.6216
48,77.513756
49,77.40753
50,77.2937
51,77.13964
52,76.99172
53,76.87636
54,76.758415
55,76.61463
56,76.47303
57,76.35362
58,76.23278
59,76.0944
60,75.96082
61,75.84147
62,75.71866
63,75.5846
64,75.453636
65,75.331955
66,75.21082
67,75.08256
68,74.95422
69,74.82898
70,74.70424
71,74.57738
72,74.45606
73,74.33691
74,74.2138
75,74.090096
76,73.96992
77,73.85067
78,73.71833
79,73.58555
80,73.463615
81,73.35651
82,73.24119
83,73.11434
84,72.983215
85,72.86178
86,72.74416
87,72.63317
88,72.51958
89,72.40125
90,72.27433
91,72.15172
92,72.03651
93,71.916695
94,71.79145
95,71.67041
96,71.5546
97,71.43599
98,71.32172
99,71.22496
100,71.12511
101,71.0117
102,70.901245
103,70.80162
104,70.6992
105,70.58785
106,70.4788
107,70.37688
108,70.274345
109,70.16622
110,70.05869
111,69.95687
112,69.854774
113,69.74827
114,69.64227
115,69.539894
116,69.43738
117,69.33285
118,69.22838
119,69.12552
120,69.02185
121,68.91696
122,68.812706
123,68.71321
124,68.613335
125,68.50981
126,68.40504
127,68.30329
128,68.18528
129,68.06813
130,67.96395
131,67.85902
132,67.7438
133,67.629005
134,67.52224
135,67.41382
136,67.29871
137,67.18474
138,67.08943
139,66.99305
140,66.881454
141,66.769196
142,66.66891
143,66.569115
144,66.45947
145,66.34925
146,66.24666
147,66.15105
148,66.04543
149,65.93394
150,65.83238
151,65.735855
152,65.626816
153,65.51793
154,65.4191
155,65.320335
156,65.212776
157,65.1055
158,65.00025
159,64.90081
160,64.79935
161,64.68807
162,64.58177
163,64.483795
164,64.37724
165,64.2639
166,64.16292
167,64.06191
168,63.950283
169,63.844006
170,63.746387
171,63.639454
172,63.5255
173,63.42416
174,63.32172
175,63.208935
176,63.09706
177,62.99735
178,62.891243
179,62.775093
180,62.66881
181,62.57066
182,62.458405
183,62.3615
184,62.281136
185,62.1786
186,62.067513
187,61.974262
188,61.895912
189,61.79288
190,61.677265
191,61.58613
192,61.504692
193,61.3955
194,61.27825
195,61.189754
196,61.098488
197,60.983162
198,60.870865
199,60.785404
200,60.68962
201,60.566376
202,60.453392
203,60.37042
204,60.269302
205,60.14347
206,60.033394
207,59.93905
208,59.831818
209,59.71077
210,59.61485
211,59.530632
212,59.42507
213,59.306725
214,59.20516
215,59.113846
216,59.00971
217,58.897022
218,58.794304
219,58.69642
220,58.59032
221,58.480034
222,58.37478
223,58.272614
224,58.16612
225,58.055004
226,57.947033
227,57.842484
228,57.733097
229,57.620667
230,57.5118
231,57.4072
232,57.29961
233,57.188248
234,57.076485
235,56.96764
236,56.858925
237,56.74528
238,56.631355
239,56.521156
240,56.409725
241,56.295044
242,56.17302
243,56.042065
244,55.916695
245,55.798176
246,55.689957
247,55.57608
248,55.453693
249,55.33413
250,55.221336
251,55.10908
252,54.971237
253,54.832684
254,54.714687
255,54.614193
256,54.49716
257,54.36573
258,54.246487
259,54.13871
260,54.020885
261,53.89188
262,53.77067
263,53.658085
264,53.539043
265,53.412785
266,53.29135
267,53.155693
268,53.015755
269,52.886883
270,52.779865
271,52.663715
272,52.52967
273,52.382984
274,52.250263
275,52.127224
276,52.01162
