,0
0,76.00658
1,75.659355
2,75.5879
3,75.51688
4,75.22877
5,74.941925
6,74.82671
7,74.712494
8,74.46408
9,74.21542
10,74.07383
11,73.94115
12,73.72637
13,73.506035
14,73.35184
15,73.20324
16,73.022095
17,72.83795
18,72.679695
19,72.5252
20,72.35164
21,72.17536
22,72.01558
23,71.85938
24,71.69061
25,71.5205
26,71.36185
27,71.20513
28,71.0409
29,70.87671
30,70.71898
31,70.5628
32,70.403145
33,70.24342
34,70.08812
35,69.9475
36,69.81265
37,69.6678
38,69.52005
39,69.37999
40,69.24393
41,69.10355
42,68.94495
43,68.79129
44,68.65396
45,68.51287
46,68.36009
47,68.211685
48,68.07328
49,67.93296
50,67.78607
51,67.64138
52,67.503654
53,67.365845
54,67.22312
55,67.08191
56,66.94624
57,66.81067
58,66.6722
59,66.53529
60,66.40224
61,66.27539
62,66.146736
63,66.01431
64,65.884705
65,65.75932
66,65.63199
67,65.50281
68,65.37656
69,65.25205
70,65.12873
71,65.005325
72,64.88169
73,64.759445
74,64.63857
75,64.51818
76,64.39809
77,64.278946
78,64.16073
79,64.04318
80,63.92639
81,63.810085
82,63.69469
83,63.580284
84,63.466255
85,63.352825
86,63.239056
87,63.12258
88,63.007847
89,62.896732
90,62.78474
91,62.670258
92,62.557655
93,62.448673
94,62.339443
95,62.228584
96,62.114655
97,62.00232
98,61.89288
99,61.782722
100,61.670258
101,61.558502
102,61.44978
103,61.350822
104,61.240036
105,61.121357
106,61.019825
107,60.924606
108,60.808075
109,60.69345
110,60.595314
111,60.490143
112,60.371967
113,60.264065
114,60.167377
115,60.05846
116,59.942417
117,59.83697
118,59.735653
119,59.625607
120,59.514053
121,59.408775
122,59.304955
123,59.197277
124,59.08895
125,58.98085
126,58.875843
127,58.770794
128,58.66291
129,58.55483
130,58.449562
131,58.344543
132,58.237915
133,58.130676
134,58.025185
135,57.921192
136,57.81456
137,57.70648
138,57.60381
139,57.50104
140,57.39365
141,57.287663
142,57.18523
143,57.081802
144,56.975815
145,56.870556
146,56.767307
147,56.664536
148,56.56009
149,56.45508
150,56.35369
151,56.252804
152,56.148907
153,56.044323
154,55.942192
155,55.8403
156,55.736294
157,55.63208
158,55.528244
159,55.426636
160,55.324738
161,55.220814
162,55.124485
163,55.029655
164,54.928577
165,54.826675
166,54.72951
167,54.632877
168,54.53535
169,54.437176
170,54.33958
171,54.243263
172,54.146442
173,54.04844
174,53.951748
175,53.85589
176,53.758827
177,53.66206
178,53.566135
179,53.469807
180,53.353676
181,53.237785
182,53.160137
183,53.064106
184,52.937008
185,52.824646
186,52.73755
187,52.63878
188,52.519466
189,52.41113
190,52.31878
191,52.217613
192,52.106457
193,52.002228
194,51.90567
195,51.805428
196,51.69896
197,51.595173
198,51.499027
199,51.400566
200,51.295868
201,51.19564
202,51.100136
203,51.00091
204,50.899372
205,50.800644
206,50.703552
207,50.60566
208,50.506283
209,50.407394
210,50.311024
211,50.21411
212,50.115086
213,50.018623
214,49.92372
215,49.826637
216,49.730286
217,49.635567
218,49.54009
219,49.46746
220,49.395294
221,49.304653
222,49.208214
223,49.12678
224,49.055305
225,48.96446
226,48.866367
227,48.783474
228,48.705135
229,48.615513
230,48.522827
231,48.45777
232,48.394924
233,48.31055
234,48.223614
235,48.1538
236,48.08595
237,48.003468
238,47.91983
239,47.853165
240,47.785095
