,0
0,5.0273156
1,4.9731817
2,4.918776
3,4.899963
4,4.888871
5,4.842994
6,4.790915
7,4.772626
8,4.7544107
9,4.7010775
10,4.6601906
11,4.63711
12,4.590206
13,4.555988
14,4.5215673
15,4.4824944
16,4.4576955
17,4.426191
18,4.3909173
19,4.373157
20,4.351003
21,4.3049035
22,4.2818027
23,4.2620964
24,4.2271695
25,4.2068596
26,4.1885242
27,4.160703
28,4.140293
29,4.1201286
30,4.0726233
31,4.05344
32,4.0331745
33,3.9930515
34,3.9737988
35,3.955771
36,3.9337924
37,3.9132645
38,3.8941133
39,3.8757772
40,3.8516657
41,3.82678
42,3.8266685
43,3.8089345
44,3.788411
45,3.7948403
46,3.775561
47,3.7570727
48,3.7676067
49,3.7478614
50,3.7282512
51,3.7376258
52,3.7181544
53,3.6981056
54,3.7107244
55,3.6936586
56,3.6764193
57,3.7013342
58,3.6819322
59,3.6637888
60,3.6818976
61,3.6623058
62,3.6424904
63,3.6625905
64,3.6433961
65,3.6232634
66,3.6327863
67,3.6128402
68,3.5927305
69,3.5994895
70,3.57854
71,3.5577745
72,3.5597708
73,3.5387957
74,3.5183835
75,3.5126238
76,3.4917512
77,3.470562
78,3.4629693
79,3.4423077
80,3.4212322
81,3.4241729
82,3.4026978
83,3.381299
84,3.3724186
85,3.3504283
86,3.3283985
87,3.3233273
88,3.29887
89,3.2759173
90,3.269163
91,3.2479002
92,3.224463
93,3.2124166
94,3.1908724
95,3.1687996
96,3.1762867
97,3.158034
98,3.140551
99,3.1489966
100,3.1278508
101,3.108777
102,3.1003268
103,3.0822234
104,3.0651436
105,3.0517018
106,3.0366354
107,3.0210142
108,3.0078
109,3.0010047
110,2.993429
111,3.0063841
112,2.9996836
113,2.9929264
114,2.9998178
115,2.993075
116,2.9864357
117,2.9872096
118,2.9806304
119,2.9741006
120,2.9669878
121,2.9603403
122,2.9537656
123,2.9609323
124,2.9552965
125,2.9495127
126,2.9436922
127,2.9364038
128,2.9305365
129,2.9103854
130,2.9000256
131,2.8897498
132,2.88156
133,2.874701
134,2.8631427
135,2.866316
136,2.8601918
137,2.8523448
138,2.853052
139,2.844611
140,2.836137
141,2.8278744
142,2.8214977
143,2.8150787
144,2.802057
145,2.7950592
146,2.7886386
147,2.7889667
148,2.782142
149,2.7753491
150,2.767383
151,2.7608666
152,2.754106
153,2.7202287
154,2.713695
155,2.7071517
156,2.6974907
157,2.6908062
158,2.684227
159,2.6681552
160,2.6614633
161,2.6547694
162,2.6478803
163,2.6429753
164,2.6380157
165,2.6291025
166,2.6237702
167,2.6188502
168,2.6205096
169,2.6152296
170,2.6100183
171,2.6022713
172,2.5973294
173,2.5922008
174,2.5710633
175,2.5653567
176,2.5598521
177,2.54472
178,2.5393546
179,2.5331798
180,2.505476
181,2.5005655
182,2.495211
183,2.4647322
184,2.4592476
185,2.4541996
186,2.4267132
187,2.421079
188,2.4156935
189,2.3832505
190,2.378551
191,2.373758
192,2.3652685
193,2.3589296
194,2.3527098
195,2.3300438
196,2.325347
197,2.3195038
198,2.2959158
199,2.2910428
200,2.286203
201,2.2638197
202,2.258204
203,2.2532492
204,2.2363424
205,2.2308805
206,2.2255485
207,2.195639
208,2.1908293
209,2.185749
210,2.1587563
211,2.1548157
212,2.1509192
213,2.1522112
214,2.1476774
215,2.1436284
216,2.1186845
217,2.114258
218,2.1098087
219,2.087708
220,2.0844383
221,2.080945
222,2.0769546
223,2.0730727
224,2.0695355
225,2.0520906
226,2.0480688
227,2.0441144
228,2.0365796
