,0
0,4.820784
1,4.8050017
2,4.7897863
3,4.815077
4,4.812519
5,4.7998166
6,4.826008
7,4.821597
8,4.817163
9,4.85766
10,4.8484516
11,4.843978
12,4.8020763
13,4.7933617
14,4.7851505
15,4.8357635
16,4.8296685
17,4.8212175
18,4.838672
19,4.8337493
20,4.8283243
21,4.7867417
22,4.7786036
23,4.773322
24,4.7663355
25,4.754611
26,4.744328
27,4.7502604
28,4.743139
29,4.7329674
30,4.744181
31,4.7367725
32,4.7290373
33,4.7493925
34,4.7413006
35,4.7340884
36,4.70794
37,4.6996503
38,4.6917534
39,4.7054935
40,4.6977634
41,4.689867
42,4.6542654
43,4.646493
44,4.638601
45,4.6769285
46,4.6691675
47,4.6614027
48,4.6518006
49,4.64394
50,4.6361923
51,4.7062607
52,4.6981907
53,4.6900353
54,4.6537914
55,4.6462235
56,4.6383986
57,4.6721964
58,4.6641693
59,4.656201
60,4.6701136
61,4.6630683
62,4.656065
63,4.62811
64,4.6209817
65,4.613913
66,4.6358027
67,4.6283436
68,4.6207438
69,4.552776
70,4.5457077
71,4.538325
72,4.549976
73,4.5433235
74,4.536566
75,4.4765763
76,4.469376
77,4.462467
78,4.475695
79,4.468485
80,4.4612813
81,4.4097977
82,4.402997
83,4.395994
84,4.3778677
85,4.370948
86,4.3640957
87,4.344482
88,4.337842
89,4.330622
90,4.340721
91,4.3324065
92,4.3241634
93,4.288842
94,4.2826924
95,4.2733626
96,4.246731
97,4.24153
98,4.235928
99,4.262156
100,4.256113
101,4.254906
102,4.211135
103,4.2050023
104,4.197147
105,4.203151
106,4.183852
107,4.18049
108,4.191757
109,4.186194
110,4.178772
111,4.17749
112,4.1735625
113,4.163778
114,4.1649632
115,4.157199
116,4.1563725
117,4.1528263
118,4.1482654
119,4.1409693
120,4.1176214
121,4.107421
122,4.1017275
123,4.104181
124,4.097159
125,4.0875235
126,4.0728264
127,4.069611
128,4.0612764
129,4.0491796
130,4.043649
131,4.039152
132,4.046336
133,4.038255
134,4.0325413
135,4.0015426
136,3.994253
137,3.9865878
138,4.0198617
139,4.0159893
140,4.010769
141,3.973743
142,3.9686797
143,3.9642181
144,3.9622653
145,3.9564805
146,3.951317
147,3.983846
148,3.9787385
149,3.9732978
150,3.9449112
151,3.9399364
152,3.9347112
153,3.9233127
154,3.9184513
155,3.9144545
156,3.9062726
157,3.9015238
158,3.8964434
159,3.9138622
160,3.9027734
161,3.8939843
162,3.892527
163,3.8868983
164,3.8776035
165,3.8860245
166,3.8813062
167,3.8749154
168,3.8586
169,3.8503923
170,3.846076
171,3.871511
172,3.8644316
173,3.8569686
174,3.8553312
175,3.8493161
176,3.8416052
177,3.8346927
178,3.826993
179,3.8204823
180,3.8062878
181,3.799745
182,3.7914622
183,3.7871265
184,3.782892
185,3.779363
186,3.8239691
187,3.8196673
188,3.8146682
189,3.8553443
190,3.851688
191,3.8471737
192,3.9315434
193,3.9266524
194,3.9225993
195,3.8961234
196,3.8911283
197,3.8869145
198,3.9320433
199,3.9270265
200,3.9223256
201,3.9577105
202,3.9528143
203,3.9475107
204,3.9703243
205,3.9653392
206,3.9601698
207,3.9788058
208,3.9736419
209,3.9684064
210,4.001448
211,3.9958029
212,3.990363
213,3.9773536
214,3.97242
215,3.9671488
216,4.0195265
217,4.0143404
218,4.0092516
219,4.0146613
220,4.009301
221,4.0039434
222,4.030002
223,4.024643
224,4.019154
225,4.032024
226,4.026534
227,4.0209827
228,4.020456
229,4.014754
230,4.0090456
231,4.061796
232,4.0557027
233,4.049559
234,4.0749435
235,4.068854
236,4.0615816
237,4.066269
238,4.060089
239,4.053829
240,4.097294
241,4.0907125
242,4.084267
243,4.106947
244,4.1001587
245,4.093332
246,4.111236
247,4.103487
248,4.0950522
249,4.093803
250,4.087373
251,4.0796375
252,4.129515
253,4.122348
254,4.115219
255,4.122739
256,4.1167555
257,4.1109924
258,4.145508
259,4.138407
260,4.1319976
261,4.0884185
262,4.081162
263,4.073834
264,4.089873
265,4.0834785
266,4.0765705
267,4.1058507
268,4.098727
269,4.091914
270,4.0811496
271,4.0740714
272,4.067203
273,4.1514907
274,4.143634
275,4.1360435
276,4.063007
277,4.0559826
278,4.0488973
279,3.9883876
280,3.9813151
281,3.974331
282,3.974319
283,3.9656377
284,3.9570165
285,3.9086413
286,3.900811
287,3.8923283
288,3.8934023
289,3.8853807
290,3.8773334
291,3.8712606
292,3.862807
293,3.8546507
294,3.828672
295,3.8203268
296,3.8119905
297,3.8497415
298,3.8416407
299,3.8334167
300,3.7892556
301,3.7808673
302,3.7725232
303,3.7049017
304,3.6967087
305,3.6884928
306,3.665853
307,3.657618
308,3.6494312
309,3.6122851
310,3.6039429
311,3.5956247
312,3.573938
313,3.5648453
314,3.556607
