,0
0,85.49014
1,85.32422
2,85.29028
3,85.25614
4,85.117455
5,84.97912
6,84.94175
7,84.90458
8,84.78749
9,84.67402
10,84.62407
11,84.571526
12,84.47004
13,84.370384
14,84.30961
15,84.24681
16,84.153076
17,84.06083
18,83.992615
19,83.92333
20,83.83493
21,83.74643
22,83.67314
23,83.59998
24,83.514206
25,83.42826
26,83.35233
27,83.27565
28,83.19097
29,83.10687
30,83.02748
31,82.94767
32,82.86416
33,82.78006
34,82.69894
35,82.618286
36,82.53499
37,82.45128
38,82.369736
39,82.28716
40,82.20292
41,82.119545
42,82.037125
43,81.95405
44,81.87026
45,81.787575
46,81.70543
47,81.622406
48,81.53781
49,81.45388
50,81.371216
51,81.30651
52,81.24082
53,81.1607
54,81.07921
55,81.0089
56,80.939575
57,80.860344
58,80.78011
59,80.70753
60,80.63519
61,80.55667
62,80.47768
63,80.40273
64,80.32798
65,80.2505
66,80.1713
67,80.094055
68,80.018005
69,79.9391
70,79.85904
71,79.78104
72,79.70222
73,79.621574
74,79.54135
75,79.461296
76,79.38071
77,79.2998
78,79.217735
79,79.1374
80,79.05787
81,78.97782
82,78.901985
83,78.821365
84,78.74077
85,78.663826
86,78.586754
87,78.50525
88,78.42368
89,78.34545
90,78.26698
91,78.18559
92,78.104256
93,78.02359
94,77.9427
95,77.86105
96,77.78007
97,77.69951
98,77.61824
99,77.53579
100,77.45369
101,77.37236
102,77.29496
103,77.21654
104,77.13455
105,77.052956
106,76.97395
107,76.891075
108,76.808876
109,76.7296
110,76.64418
111,76.55421
112,76.46919
113,76.3862
114,76.29932
115,76.21276
116,76.12771
117,76.04049
118,75.952934
119,75.866455
120,75.78011
121,75.69681
122,75.61328
123,75.52427
124,75.4355
125,75.3494
126,75.264854
127,75.17784
128,75.08983
129,74.99998
130,74.914665
131,74.83141
132,74.74327
133,74.647835
134,74.561935
135,74.48217
136,74.387794
137,74.294525
138,74.21412
139,74.132996
140,74.039986
141,73.95741
142,73.88426
143,73.802666
144,73.70131
145,73.61906
146,73.551094
147,73.46866
148,73.361694
149,73.27897
150,73.21723
151,73.13486
152,73.021324
153,72.93952
154,72.882515
155,72.78354
156,72.664345
157,72.59468
158,72.54201
159,72.4298
160,72.322716
161,72.26235
162,72.19822
163,72.07787
164,71.978676
165,71.92425
166,71.83358
167,71.70638
168,71.6109
169,71.54423
170,71.45197
171,71.33644
172,71.24141
173,71.16467
174,71.07092
175,70.96216
176,70.866905
177,70.78369
178,70.689384
179,70.603874
180,70.52856
181,70.44588
182,70.35494
183,70.2707
184,70.19295
185,70.10959
186,70.02295
187,69.94054
188,69.860634
189,69.77914
190,69.69548
191,69.61286
192,69.53362
193,69.453354
194,69.3702
195,69.28878
196,69.20946
197,69.12861
198,69.048485
199,68.96937
200,68.88946
201,68.80969
202,68.73037
203,68.650696
204,68.57414
205,68.497696
206,68.41856
207,68.34002
208,68.263466
209,68.186165
210,68.10702
211,68.02832
212,67.95087
213,67.87427
214,67.79642
215,67.717705
216,67.64251
217,67.5678
218,67.49011
219,67.413055
220,67.33822
221,67.26267
222,67.1864
223,67.11051
224,67.03502
225,66.95926
226,66.883
227,66.80681
228,66.729454
229,66.652054
230,66.57511
231,66.4975
232,66.419716
233,66.34241
234,66.26555
235,66.18947
236,66.112404
237,66.03442
238,65.95682
239,65.87988
240,65.801636
241,65.7227
242,65.644485
243,65.56574
244,65.48633
245,65.407166
246,65.35669
247,65.305916
248,65.23207
249,65.15664
250,65.09936
251,65.04153
252,64.96573
253,64.89016
254,64.8288
255,64.78966
256,64.7391
257,64.67058
258,64.60906
259,64.56169
260,64.50857
261,64.44227
262,64.380295
263,64.32868
264,64.27127
265,64.205376
266,64.143936
267,64.06452
268,63.981457
269,63.91247
270,63.844975
271,63.76606
272,63.68575
273,63.61337
274,63.541912
275,63.463932
276,63.38456
277,63.310184
278,63.23672
279,63.158638
280,63.079624
281,63.00409
282,62.931915
283,62.856743
284,62.778614
285,62.70176
286,62.62709
287,62.551174
288,62.474163
289,62.39802
290,62.3225
291,62.245537
292,62.16779
293,62.09101
294,62.013092
295,61.934162
296,61.855907
297,61.778343
298,61.70005
299,61.620956
300,61.541817
301,61.46307
302,61.384167
303,61.301434
304,61.21864
305,61.138676
306,61.058144
307,60.975094
308,60.8923
309,60.811195
310,60.729706
311,60.646603
312,60.56382
313,60.482105
314,60.399918
315,60.31259
316,60.225513
317,60.142357
318,60.05921
319,59.972763
320,59.88615
321,59.803833
322,59.7215
323,59.63551
324,59.54977
325,59.466747
326,59.383312
327,59.29689
328,59.210598
329,59.126522
330,59.041924
331,58.955524
332,58.869457
333,58.785156
334,58.70053
335,58.614456
336,58.530376
337,58.447964
338,58.363605
339,58.2798
340,58.197735
341,58.1153
342,58.03324
343,57.95152
344,57.86966
345,57.788216
346,57.706787
347,57.625057
348,57.544735
349,57.464684
350,57.383453
351,57.303238
352,57.22405
353,57.144062
354,57.066185
355,56.98896
356,56.910137
357,56.8325
358,56.756115
359,56.678802
360,56.6038
361,56.529503
362,56.453335
363,56.378193
364,56.304558
365,56.23006
366,56.16026
367,56.091164
368,56.018265
369,55.94958
370,55.883804
371,55.81423
372,55.74417
373,55.677086
374,55.61013
375,55.54237
376,55.47448
377,55.40715
378,55.324936
379,55.242107
380,55.17112
381,55.100338
382,55.019894
383,54.939236
384,54.86531
385,54.79156
386,54.712242
387,54.633087
388,54.558292
389,54.483307
390,54.38726
391,54.308407
392,54.229206
393,54.137917
394,54.046303
395,53.964172
396,53.88454
397,53.797256
398,53.707935
399,53.608665
400,53.510983
401,53.42125
402,53.329376
403,53.231102
404,53.134525
405,53.044136
406,52.95239
407,52.855637
408,52.759205
409,52.666733
410,52.57396
411,52.476948
412,52.38011
413,52.28668
414,52.19299
415,52.096546
416,52.000248
417,51.905605
418,51.8108
419,51.714607
420,51.622135
421,51.531067
422,51.436886
423,51.338608
424,51.243
425,51.150917
426,51.054306
427,50.955044
428,50.859566
429,50.764038
430,50.665524
431,50.56717
432,50.469048
433,50.370937
434,50.27274
435,50.172607
436,50.072678
437,49.97449
438,49.87486
439,49.773987
440,49.6745
441,49.57448
442,49.4736
443,49.373234
444,49.2709
445,49.16828
446,49.067352
447,48.964577
448,48.86061
449,48.758152
450,48.65143
451,48.543465
452,48.438633
453,48.332546
454,48.22395
455,48.116325
456,48.00847
457,47.899883
458,47.791393
459,47.68006
460,47.568707
461,47.46038
462,47.349716
463,47.236553
464,47.125072
465,47.013214
466,46.899952
467,46.78684
468,46.67229
469,46.557465
470,46.44371
471,46.327915
472,46.21113
473,46.09589
474,45.98168
475,45.864605
476,45.746555
477,45.631466
478,45.517612
479,45.401466
480,45.28284
481,45.16605
482,45.05116
483,44.937527
484,44.822224
485,44.74806
486,44.67918
487,44.576965
488,44.470596
489,44.389957
490,44.31236
491,44.21389
492,44.11264
493,44.027855
494,43.945057
495,43.8468
496,43.74699
497,43.659264
498,43.57115
499,43.473255
500,43.37566
501,43.284424
502,43.192738
503,43.095932
504,42.956333
505,42.86157
506,42.80097
507,42.66298
508,42.498215
509,42.394474
510,42.311867
511,42.18041
512,42.032276
513,41.92218
514,41.825348
515,41.698143
516,41.552624
517,41.443977
518,41.34829
519,41.223343
520,41.08783
521,40.976234
522,40.87343
523,40.75162
524,40.62205
525,40.508904
526,40.40186
527,40.281673
528,40.157413
529,40.043713
530,39.93328
531,39.815067
532,39.694283
533,39.5796
534,39.466747
535,39.349106
536,39.23003
537,39.116764
538,39.004547
539,38.88772
540,38.771637
541,38.659145
542,38.545753
543,38.430485
544,38.31618
545,38.203327
546,38.089855
547,37.97549
548,37.861824
549,37.74835
550,37.63419
551,37.5199
552,37.40948
553,37.29891
554,37.185238
555,37.07285
556,36.96292
557,36.85182
558,36.74064
559,36.630417
560,36.52023
561,36.410675
562,36.30102
563,36.19078
564,36.082428
565,35.974365
566,35.86483
567,35.756115
568,35.648544
569,35.540253
570,35.431007
571,35.322304
572,35.214314
573,35.10998
574,35.003662
575,34.894585
576,34.794014
577,34.69591
578,34.59075
