,0
0,85.490135
1,85.32421
2,85.29029
3,85.25614
4,85.117455
5,84.979126
6,84.941734
7,84.90457
8,84.787476
9,84.673996
10,84.62408
11,84.571526
12,84.47005
13,84.370384
14,84.3096
15,84.24681
16,84.153076
17,84.06084
18,83.99261
19,83.923325
20,83.83493
21,83.74643
22,83.673134
23,83.59998
24,83.514206
25,83.42825
26,83.35233
27,83.27564
28,83.19096
29,83.106865
30,83.02748
31,82.94766
32,82.86416
33,82.78006
34,82.69893
35,82.61827
36,82.53497
37,82.45127
38,82.369736
39,82.287155
40,82.20291
41,82.11955
42,82.03713
43,81.95404
44,81.870255
45,81.78757
46,81.70544
47,81.622406
48,81.5378
49,81.45388
50,81.37121
51,81.30651
52,81.24082
53,81.16069
54,81.079216
55,81.008896
56,80.93955
57,80.860344
58,80.78013
59,80.70751
60,80.63519
61,80.556656
62,80.47768
63,80.40273
64,80.32798
65,80.25049
66,80.1713
67,80.09405
68,80.018005
69,79.939095
70,79.859024
71,79.78103
72,79.70221
73,79.621574
74,79.54136
75,79.4613
76,79.38071
77,79.2998
78,79.217735
79,79.137405
80,79.05788
81,78.977806
82,78.90198
83,78.82136
84,78.740776
85,78.663826
86,78.586754
87,78.50525
88,78.42368
89,78.34545
90,78.26698
91,78.185585
92,78.10424
93,78.02359
94,77.942696
95,77.86105
96,77.78007
97,77.6995
98,77.61824
99,77.53577
100,77.4537
101,77.372345
102,77.29496
103,77.21654
104,77.134544
105,77.05295
106,76.97394
107,76.891075
108,76.80889
109,76.72959
110,76.64417
111,76.554214
112,76.46918
113,76.38621
114,76.29931
115,76.212746
116,76.127716
117,76.04049
118,75.952934
119,75.866455
120,75.78012
121,75.696815
122,75.61327
123,75.524254
124,75.43549
125,75.34941
126,75.264854
127,75.17783
128,75.08983
129,74.99996
130,74.91466
131,74.83141
132,74.74326
133,74.64783
134,74.561935
135,74.48217
136,74.387794
137,74.29452
138,74.21412
139,74.13299
140,74.039986
141,73.957405
142,73.88427
143,73.80265
144,73.701324
145,73.61905
146,73.55109
147,73.468666
148,73.36169
149,73.27896
150,73.21723
151,73.134865
152,73.021324
153,72.939514
154,72.88252
155,72.78354
156,72.664345
157,72.594696
158,72.54201
159,72.42981
160,72.32271
161,72.262344
162,72.19823
163,72.07787
164,71.978676
165,71.92425
166,71.83357
167,71.70639
168,71.61091
169,71.54422
170,71.45198
171,71.33644
172,71.2414
173,71.16468
174,71.07091
175,70.96216
