,0
0,1.7236639
1,1.729047
2,1.7243837
3,1.7499985
4,1.7548168
5,1.7531645
6,1.7934966
7,1.7919041
8,1.7871786
9,1.8031211
10,1.8043537
11,1.827764
12,1.7839452
13,1.8285707
14,1.8270766
15,1.8210497
16,1.8397375
17,1.8610412
18,1.8619246
19,1.8521926
20,1.8693455
21,1.7921234
22,1.8107897
23,1.807557
24,1.7726214
25,1.7731557
26,1.7709979
27,1.7680415
28,1.7610333
29,1.7599344
30,1.7610185
31,1.7616441
32,1.7575719
33,1.7693623
34,1.7666004
35,1.7695134
36,1.7171897
37,1.7158856
38,1.7173622
39,1.7012843
40,1.7062868
41,1.7016608
42,1.6751957
43,1.6761115
44,1.6773599
45,1.692629
46,1.6910889
47,1.6912923
48,1.6493598
49,1.6482193
50,1.6491883
51,1.7258689
52,1.7265263
53,1.7221785
54,1.6694483
55,1.7058088
56,1.7230285
57,1.6962032
58,1.6668297
59,1.6836851
60,1.7416097
61,1.7170646
62,1.7070056
63,1.7013013
64,1.7114705
65,1.6974387
66,1.7467952
67,1.7468253
68,1.7032958
69,1.7042732
70,1.7110012
71,1.6918706
72,1.7510107
73,1.6965389
74,1.6963317
75,1.7116307
76,1.699973
77,1.6689787
78,1.7831194
79,1.7327144
80,1.7235186
81,1.6792848
82,1.6713462
83,1.6833297
84,1.7216834
85,1.7025104
86,1.6912012
87,1.6766124
88,1.6960492
89,1.6893749
90,1.7105404
91,1.7175642
92,1.719407
93,1.7018026
94,1.6925762
95,1.7099131
96,1.6895367
97,1.6921647
98,1.7246038
99,1.7395465
100,1.7414329
101,1.7578242
102,1.7207146
103,1.7090788
104,1.7182862
105,1.7217283
106,1.6988971
107,1.7087882
108,1.7531148
109,1.7186548
110,1.7208742
111,1.778324
112,1.7505981
113,1.7605256
114,1.7705935
115,1.759262
116,1.7651056
117,1.7825944
118,1.781228
119,1.7801411
120,1.8026781
121,1.8045208
122,1.8023282
123,1.8229434
124,1.8174137
125,1.8232634
126,1.8363464
127,1.8421185
128,1.8360797
129,1.8648365
130,1.8622004
131,1.8654399
132,1.8772949
133,1.8829181
134,1.8773284
135,1.8909667
136,1.8903412
137,1.896932
138,1.8993889
139,1.8932724
140,1.8966625
141,1.8694435
142,1.8712337
143,1.8682408
144,1.8917077
145,1.8858109
146,1.8999661
147,1.8775113
148,1.870559
149,1.8754646
150,1.8557858
151,1.847851
152,1.8503332
153,1.8455597
154,1.8415028
155,1.8469429
156,1.8185278
157,1.8350563
158,1.8220489
159,1.8103149
160,1.8100653
161,1.8164612
162,1.7835873
163,1.7901925
164,1.7900258
165,1.7697194
166,1.7758212
167,1.7736737
168,1.7415962
169,1.7434663
170,1.7469234
171,1.7474529
172,1.7351253
173,1.7399608
174,1.7137357
175,1.7160686
176,1.7251163
177,1.7176995
178,1.744548
179,1.7041523
180,1.6738553
181,1.6919813
182,1.7495692
183,1.7025416
184,1.672163
185,1.6897042
186,1.7168819
187,1.6866473
188,1.6878178
189,1.7119385
190,1.6993454
191,1.7105684
192,1.7592425
193,1.7475716
194,1.7495816
195,1.7227815
196,1.7076368
197,1.7080215
198,1.7378428
199,1.7384199
200,1.7515911
201,1.7599244
202,1.7678484
203,1.7566822
204,1.7692041
205,1.752122
206,1.7625802
207,1.7614313
208,1.7619147
209,1.7693698
210,1.7777486
211,1.7827759
212,1.7651495
213,1.8091192
