,0
0,1.3424029
1,1.3401927
2,1.3379855
3,1.3358591
4,1.3336625
5,1.3314692
6,1.3293016
7,1.3271179
8,1.3249373
9,1.3228177
10,1.3206462
11,1.3184779
12,1.3164276
13,1.3142664
14,1.3121088
15,1.3100399
16,1.307889
17,1.3057415
18,1.3036783
19,1.3015368
20,1.2993987
21,1.2974422
22,1.2953093
23,1.2931795
24,1.2913456
25,1.2892209
26,1.287099
27,1.2853246
28,1.2832081
29,1.2810947
30,1.279262
31,1.2771523
32,1.2750455
33,1.2731792
34,1.2710764
35,1.2689767
36,1.2670336
37,1.264935
38,1.2628396
39,1.2609198
40,1.258825
41,1.2567328
42,1.2549474
43,1.2528579
44,1.250771
45,1.2490034
46,1.2469203
47,1.2448401
48,1.2429507
49,1.2408725
50,1.2387971
51,1.2369705
52,1.2348962
53,1.2328243
54,1.2311319
55,1.2290612
56,1.226993
57,1.2253848
58,1.2233187
59,1.2212553
