,0
0,1.3497155
1,1.1824145
2,1.0340426
3,0.90221596
4,0.794183
5,0.69408166
6,0.6125085
7,0.55160075
8,0.49829325
9,0.45576197
10,0.42269593
11,0.39230737
12,0.36657038
13,0.3455199
14,0.3256027
15,0.3081797
16,0.29356098
17,0.27950218
18,0.2668562
19,0.25610784
20,0.24561957
21,0.23591447
22,0.22760029
23,0.21938473
24,0.21170697
25,0.2049909
26,0.19828837
27,0.19204675
28,0.18642953
29,0.18078257
30,0.17535551
31,0.17053759
32,0.16567089
33,0.16094886
34,0.15673299
35,0.15246278
36,0.14809775
37,0.14436251
38,0.14057493
39,0.13650683
40,0.1331642
41,0.12977515
42,0.12622741
43,0.12321179
44,0.12015656
45,0.11713511
46,0.114405856
47,0.11164269
48,0.108829975
49,0.10635914
50,0.1038596
51,0.101117656
52,0.098872155
53,0.096603185
54,0.09415981
55,0.092116944
56,0.09005448
57,0.08794731
58,0.08608552
59,0.08420706
