,0
0,0.0
1,0.0
2,0.0
3,0.0
4,4e-45
5,2.83e-42
6,5.91889e-40
7,6.029591e-38
8,2.0093433e-36
9,-1.5141178e-35
10,-1.5909188e-33
11,-4.0755356e-32
12,-5.7327463e-31
13,-6.2306207e-30
14,-5.1375463e-29
15,-3.135644e-28
16,-1.7469506e-27
17,-8.336785e-27
18,-3.275817e-26
19,-1.234837e-25
20,-4.2052104e-25
21,-1.2445433e-24
22,-3.6150462e-24
23,-9.759811e-24
24,-2.3592681e-23
25,-5.664195e-23
26,-1.2838176e-22
27,-2.6454146e-22
28,-5.441242e-22
29,-1.0627904e-21
30,-1.893622e-21
31,-3.3585241e-21
32,-5.6100464e-21
33,-8.384397e-21
34,-1.21092626e-20
35,-1.523954e-20
36,-1.3113961e-20
37,-1.2139539e-21
38,3.694183e-20
39,1.3369647e-19
40,3.3365307e-19
41,7.3277563e-19
42,1.4847458e-18
43,2.839982e-18
44,5.212251e-18
45,9.1577745e-18
46,1.5752933e-17
47,2.6427502e-17
48,4.2861316e-17
49,6.8900214e-17
50,1.08714396e-16
51,1.6681779e-16
52,2.5510412e-16
53,3.842403e-16
54,5.64356e-16
55,8.2878733e-16
56,1.2016235e-15
57,1.7024455e-15
58,2.417085e-15
59,3.3940032e-15
