,0
0,1.3503621
1,1.3477255
2,1.3450755
3,1.3425677
4,1.3400741
5,1.3375427
6,1.3350819
7,1.332823
8,1.3306715
9,1.3285613
10,1.326368
11,1.3241365
12,1.3218582
13,1.3196859
14,1.3176248
15,1.315484
16,1.3132097
17,1.3111529
18,1.3092095
19,1.3073118
20,1.3055408
21,1.3034267
22,1.3013165
23,1.2995337
24,1.2975812
25,1.295724
26,1.2939465
27,1.2919227
28,1.2900414
29,1.2882189
30,1.2864066
31,1.2842553
32,1.2823173
33,1.2803223
34,1.2783675
35,1.2762336
36,1.2733328
37,1.2701964
38,1.2677779
39,1.2654161
40,1.2624539
41,1.2595639
42,1.2570459
43,1.2541939
44,1.2511432
45,1.2480334
46,1.24534
47,1.2422087
48,1.238736
49,1.2353246
50,1.2319638
51,1.2286518
52,1.2249777
53,1.2212985
54,1.2178209
55,1.2144053
56,1.2109919
57,1.2076396
58,1.2044213
59,1.2014217
60,1.198609
61,1.1958668
62,1.1931869
63,1.1907637
64,1.1884389
65,1.1859937
66,1.1837068
67,1.1815722
68,1.1793406
69,1.1771235
70,1.1750625
71,1.1730613
72,1.1710734
73,1.1690807
74,1.167045
75,1.1650693
76,1.1632437
77,1.1614261
78,1.1595042
79,1.1577115
80,1.1559608
81,1.1540866
82,1.1522924
83,1.1505077
84,1.1487913
85,1.14748
86,1.1464279
87,1.1452024
88,1.1438617
89,1.142725
