,0
0,5.256529
1,5.0701303
2,4.9157267
3,4.818818
4,4.6888185
5,4.5508385
6,4.458477
7,4.4169908
8,4.353796
9,4.2872024
10,4.2108154
11,4.1396985
12,4.061184
13,4.0315156
14,4.0195413
15,3.9630198
16,3.8811638
17,3.8927495
18,3.8930538
19,3.890111
20,3.921763
21,3.868574
22,3.8477483
23,3.9002843
24,3.88339
25,3.8968804
26,3.9284809
27,3.916273
28,3.93613
29,3.9606264
30,3.9781613
31,3.9564047
32,3.9732351
33,3.967393
34,3.9720917
35,3.9565034
36,3.8443778
37,3.7214866
38,3.7053127
39,3.6792939
40,3.5680966
41,3.484211
42,3.4568522
43,3.3706224
44,3.2773974
45,3.187824
46,3.1595094
47,3.056654
48,2.9165199
49,2.7773898
50,2.6720092
51,2.5483549
52,2.4053288
53,2.2261271
54,2.074913
55,1.9591099
56,1.8188533
57,1.6770463
58,1.5600758
59,1.4803766
60,1.3791916
61,1.2753541
62,1.2368497
63,1.203016
64,1.1665794
65,1.181476
66,1.191973
67,1.1742018
68,1.1593012
69,1.2025154
70,1.2591083
71,1.2906212
72,1.3100852
73,1.3459924
74,1.396169
75,1.4730539
76,1.5470951
77,1.5825846
78,1.62726
79,1.7241533
80,1.7927692
81,1.8338811
82,1.8922454
83,1.9480295
84,2.0346947
85,2.1771722
86,2.3159993
87,2.4017239
88,2.5070486
89,2.6267142
