,0
0,14.489546
1,14.487715
2,14.48588
3,14.484046
4,14.482211
5,14.480374
6,14.4785385
7,14.476698
8,14.474859
9,14.47302
10,14.471178
11,14.469337
12,14.467495
13,14.465651
14,14.463805
15,14.461962
16,14.460115
17,14.458266
18,14.456418
19,14.45457
20,14.45272
21,14.450868
22,14.449018
23,14.447165
24,14.445312
25,14.4434595
26,14.441606
27,14.439751
28,14.437896
29,14.436042
30,14.434183
31,14.432327
32,14.4304695
33,14.42861
34,14.426749
35,14.424887
36,14.423024
37,14.42116
38,14.419294
39,14.41743
40,14.415562
41,14.4136915
42,14.411821
43,14.409949
44,14.408076
45,14.406203
46,14.404326
47,14.402448
48,14.400569
49,14.398688
50,14.396807
51,14.394922
52,14.393036
53,14.39115
54,14.389262
55,14.38737
56,14.385477
57,14.383582
58,14.381685
59,14.379787
60,14.377885
61,14.375981
62,14.374075
63,14.372168
64,14.370258
65,14.368343
66,14.366426
67,14.364506
68,14.362586
69,14.360663
70,14.358735
71,14.356808
72,14.3548765
73,14.3529415
74,14.351005
75,14.349068
76,14.347125
77,14.34518
78,14.343233
79,14.341285
80,14.339332
81,14.337376
82,14.335416
83,14.333453
84,14.331489
85,14.329518
86,14.327547
87,14.32557
88,14.323592
89,14.321612
90,14.319624
91,14.317634
92,14.315642
93,14.313644
94,14.3116455
95,14.30964
96,14.30763
97,14.30562
98,14.303606
99,14.301586
100,14.299564
101,14.297539
102,14.295507
103,14.293473
104,14.291438
105,14.289397
106,14.287352
107,14.285302
108,14.28325
109,14.281195
110,14.279134
111,14.277067
112,14.274999
113,14.2729225
114,14.270845
115,14.268764
116,14.266675
117,14.264582
118,14.262486
119,14.260385
120,14.258279
121,14.256167
122,14.254053
123,14.251932
124,14.249808
125,14.24768
126,14.245546
127,14.243408
128,14.241265
129,14.239115
130,14.236963
131,14.234803
132,14.23264
133,14.230472
134,14.228299
135,14.226118
136,14.223933
137,14.221745
138,14.219549
139,14.217349
140,14.215142
141,14.212933
142,14.210716
143,14.208496
144,14.206268
145,14.204037
146,14.201798
147,14.199554
148,14.197306
149,14.195052
150,14.192793
151,14.190529
152,14.188259
153,14.185982
154,14.183702
155,14.181413
156,14.179118
157,14.176818
158,14.174514
159,14.1722
160,14.169883
161,14.167561
162,14.165232
163,14.162895
164,14.160556
165,14.158212
166,14.155861
167,14.153507
168,14.151148
169,14.148782
170,14.146411
171,14.144038
172,14.141657
173,14.13927
174,14.136878
175,14.134485
176,14.132085
177,14.129679
178,14.127268
179,14.124848
180,14.122431
181,14.120006
182,14.117576
183,14.11514
184,14.112699
185,14.110256
186,14.107809
187,14.105356
188,14.102896
189,14.100432
190,14.097969
191,14.095501
192,14.093029
193,14.090549
194,14.088064
195,14.085583
196,14.0830965
197,14.080605
198,14.078109
199,14.075605
200,14.073107
201,14.070603
202,14.068093
203,14.065579
204,14.06306
205,14.060543
206,14.058022
207,14.055496
208,14.052966
209,14.050427
210,14.0478945
211,14.045356
212,14.042812
213,14.040265
214,14.037711
215,14.035164
216,14.03261
217,14.030053
218,14.027489
219,14.024921
220,14.022355
221,14.019786
222,14.017211
223,14.014634
224,14.012051
225,14.009472
226,14.006887
227,14.004302
228,14.00171
229,13.999117
230,13.996522
231,13.993921
232,13.991322
233,13.988724
234,13.986133
235,13.983539
236,13.980949
237,13.978365
238,13.975784
239,13.973207
240,13.970631
241,13.968058
242,13.965491
243,13.962927
244,13.960367
245,13.957812
246,13.955259
247,13.952711
248,13.950169
249,13.947631
250,13.945092
251,13.942559
252,13.940033
253,13.937509
254,13.934992
255,13.932477
256,13.929967
257,13.927462
258,13.924961
259,13.922467
260,13.919973
261,13.917482
262,13.914999
263,13.912521
264,13.9100485
265,13.907576
266,13.905109
267,13.902649
268,13.900194
269,13.897744
270,13.895298
271,13.892857
272,13.890422
273,13.887993
274,13.885566
275,13.883147
276,13.880733
277,13.878324
278,13.875919
279,13.87352
280,13.871127
281,13.868741
282,13.866359
283,13.86398
284,13.861609
285,13.859242
286,13.856882
287,13.854525
288,13.852176
289,13.849829
290,13.847487
291,13.845153
292,13.842821
293,13.840498
294,13.838178
295,13.83586
296,13.83355
297,13.831245
298,13.828945
299,13.826651
300,13.824361
301,13.822075
302,13.819796
303,13.81752
304,13.81525
305,13.812985
306,13.810726
307,13.808472
308,13.806222
309,13.803975
310,13.801736
311,13.799499
312,13.797269
313,13.795041
314,13.792819
315,13.790603
316,13.788389
317,13.786179
318,13.783976
319,13.781776
320,13.77958
321,13.7773905
322,13.775204
323,13.773022
324,13.770844
325,13.768669
326,13.7664995
327,13.764333
328,13.762171
329,13.760015
330,13.757857
331,13.755709
332,13.753562
333,13.751418
334,13.74928
335,13.747142
336,13.74501
337,13.742882
338,13.740758
339,13.738637
340,13.736516
341,13.734403
342,13.73229
343,13.730182
344,13.728077
345,13.725974
346,13.72387
347,13.721775
348,13.719682
349,13.717591
350,13.715503
351,13.713415
352,13.711331
353,13.709253
354,13.707177
355,13.705101
356,13.70303
357,13.70096
358,13.698895
359,13.6968355
360,13.694773
361,13.692718
362,13.690663
363,13.688613
364,13.686564
365,13.684517
366,13.682473
367,13.680433
368,13.678394
369,13.67636
370,13.674325
371,13.672296
372,13.670266
373,13.6682415
374,13.666218
375,13.664196
376,13.662176
377,13.660158
378,13.658148
379,13.6561365
380,13.654127
381,13.652121
382,13.650117
383,13.648118
384,13.64612
385,13.644123
386,13.642131
387,13.6401415
388,13.638154
389,13.63617
390,13.634189
391,13.632209
392,13.630232
393,13.628261
394,13.626287
395,13.62432
396,13.622354
397,13.62039
398,13.618431
399,13.616472
400,13.61452
401,13.612568
402,13.610618
403,13.608673
404,13.606729
405,13.604789
406,13.602851
407,13.600917
408,13.598985
409,13.597056
410,13.59513
411,13.593205
412,13.591282
413,13.589363
414,13.587445
415,13.585533
416,13.583622
417,13.581713
418,13.579807
419,13.577903
420,13.576002
421,13.574103
422,13.572207
423,13.570314
424,13.568424
425,13.566534
426,13.56465
427,13.562766
428,13.560886
429,13.559007
430,13.557132
431,13.55526
432,13.5533905
433,13.551522
434,13.549656
435,13.547793
436,13.545935
437,13.544077
438,13.542221
439,13.540366
440,13.538518
441,13.536671
442,13.534826
443,13.532983
444,13.531141
445,13.529305
446,13.527472
447,13.525639
448,13.5238085
449,13.52198
450,13.520157
451,13.518335
452,13.516517
453,13.5147
454,13.512884
455,13.511075
456,13.509267
457,13.5074625
458,13.505659
459,13.503859
460,13.502063
461,13.500271
462,13.498479
463,13.496691
464,13.494903
465,13.493121
466,13.49134
467,13.489562
468,13.487785
469,13.4860115
470,13.484241
471,13.482474
472,13.48071
473,13.478945
474,13.477186
475,13.4754305
476,13.473677
477,13.471924
478,13.470175
479,13.468427
480,13.466685
481,13.464946
482,13.463207
483,13.461471
484,13.459737
485,13.458009
486,13.456282
487,13.454558
488,13.452835
489,13.451112
490,13.449398
491,13.447684
492,13.445974
493,13.444264
494,13.442555
495,13.440855
496,13.439154
497,13.437457
498,13.435761
499,13.434065
500,13.432375
501,13.430686
502,13.428998
503,13.427314
504,13.425628
505,13.42395
506,13.422272
507,13.420597
508,13.418921
509,13.417247
510,13.415576
511,13.413908
512,13.412239
513,13.410573
514,13.408907
515,13.407244
516,13.405582
517,13.40392
518,13.402262
519,13.400602
520,13.398949
521,13.397294
522,13.3956375
523,13.393987
524,13.392335
525,13.390684
526,13.389033
527,13.387384
528,13.385738
529,13.384092
530,13.382447
531,13.380802
532,13.379158
533,13.377517
534,13.375874
535,13.374231
536,13.372593
537,13.370951
538,13.369314
539,13.367677
540,13.36604
541,13.364403
542,13.362768
543,13.361134
544,13.359504
545,13.357874
546,13.356245
547,13.354619
548,13.352993
549,13.351369
550,13.349744
551,13.348118
552,13.346495
553,13.3448715
554,13.343251
555,13.341627
556,13.340008
557,13.338388
558,13.336769
559,13.335154
560,13.333542
561,13.331929
562,13.330317
563,13.328707
564,13.3271
565,13.325497
566,13.323895
567,13.322297
568,13.320698
569,13.319101
