,0
0,-0.0
1,-0.0
2,1.12e-43
3,5.773106e-39
4,2.0485467e-35
5,1.04866946e-32
6,1.2024444e-30
7,7.1631e-29
8,2.177838e-27
9,3.4261566e-26
10,4.3621385e-25
11,4.0993177e-24
12,2.720509e-23
13,1.6609861e-22
14,8.532047e-22
15,3.4789084e-21
16,1.3653364e-20
17,4.7623147e-20
18,1.4087402e-19
19,4.0665923e-19
20,1.0812349e-18
21,2.5255359e-18
22,5.853652e-18
23,1.26529864e-17
24,2.5214406e-17
25,4.9161064e-17
26,9.3263794e-17
27,1.5988162e-16
28,2.8556755e-16
29,4.6007e-16
30,7.7836626e-16
31,1.118525e-15
32,1.9949729e-15
33,2.3022053e-15
34,4.8084887e-15
35,3.996721e-15
36,1.0256443e-14
37,8.516204e-15
38,1.6257828e-14
39,1.9436233e-14
40,3.6326238e-14
41,4.4418902e-14
42,6.638265e-14
43,8.220576e-14
44,1.11836816e-13
45,1.3672582e-13
46,1.7595808e-13
47,2.1561072e-13
48,2.584095e-13
49,3.075624e-13
50,3.5211284e-13
51,4.0396592e-13
52,4.420955e-13
53,4.991988e-13
54,5.245933e-13
55,5.863413e-13
56,5.9559947e-13
57,6.648818e-13
58,6.6384534e-13
59,7.42127e-13
60,7.3315746e-13
61,8.3410606e-13
62,8.0678135e-13
63,9.382757e-13
64,9.125999e-13
65,1.0639919e-12
66,1.0511405e-12
67,1.25332e-12
68,1.2353099e-12
69,1.5059677e-12
70,1.5337574e-12
71,1.8342506e-12
72,1.9064732e-12
73,2.2781401e-12
74,2.3588007e-12
75,2.8324567e-12
76,2.9989292e-12
77,3.4856462e-12
78,3.7336106e-12
79,4.3435676e-12
80,4.6232866e-12
81,5.3985063e-12
82,5.8846443e-12
83,6.704118e-12
84,7.529561e-12
85,8.708601e-12
86,9.600527e-12
87,1.0892132e-11
88,1.2029151e-11
89,1.34000935e-11
90,1.4799285e-11
91,1.64699e-11
92,1.7989572e-11
93,1.9607389e-11
94,2.1367755e-11
95,2.2940282e-11
96,2.4918505e-11
97,2.6654573e-11
98,2.8746332e-11
99,2.99683e-11
100,3.214587e-11
101,3.312717e-11
102,3.517291e-11
103,3.5746624e-11
104,3.805673e-11
105,3.7948877e-11
106,4.0700075e-11
107,3.9931374e-11
108,4.2697176e-11
109,4.1142544e-11
110,4.4380312e-11
111,4.1628347e-11
112,4.531154e-11
113,4.14357e-11
114,4.51773e-11
115,4.033505e-11
116,4.4784957e-11
117,3.852139e-11
118,4.361823e-11
119,3.6377294e-11
120,4.1743144e-11
121,3.360308e-11
122,3.9895278e-11
123,3.0309102e-11
124,3.7510727e-11
125,2.682302e-11
126,3.4255203e-11
127,2.2539299e-11
128,3.0855728e-11
129,1.7461841e-11
130,2.67159e-11
131,1.23630125e-11
132,2.1683214e-11
133,6.4888143e-12
134,1.6499567e-11
135,-1.491469e-14
136,1.0843504e-11
137,-6.2076524e-12
138,4.3123356e-12
139,-1.34170435e-11
140,-2.0259118e-12
141,-2.1057144e-11
142,-8.864958e-12
143,-2.8405212e-11
144,-1.6688083e-11
145,-3.6727486e-11
146,-2.4481757e-11
147,-4.637152e-11
148,-3.316519e-11
149,-5.5691174e-11
150,-4.3192633e-11
151,-6.604621e-11
152,-5.29818e-11
153,-7.7917076e-11
154,-6.442455e-11
155,-8.998249e-11
156,-7.7784945e-11
157,-1.03379895e-10
158,-9.1333933e-11
159,-1.1849818e-10
160,-1.06926565e-10
161,-1.3362665e-10
162,-1.2440392e-10
163,-1.4922448e-10
164,-1.4201737e-10
165,-1.6746234e-10
166,-1.6292163e-10
167,-1.8573672e-10
168,-1.8595143e-10
169,-2.0478032e-10
170,-2.0972299e-10
171,-2.268443e-10
172,-2.383394e-10
173,-2.4961608e-10
174,-2.6831823e-10
175,-2.712941e-10
176,-2.972253e-10
177,-2.9248814e-10
178,-3.2516573e-10
179,-3.1130282e-10
180,-3.5451964e-10
181,-3.288387e-10
182,-3.8075085e-10
183,-3.4231493e-10
184,-4.0394796e-10
185,-3.5169567e-10
186,-4.267058e-10
187,-3.583294e-10
188,-4.4526413e-10
189,-3.602047e-10
190,-4.6176443e-10
191,-3.5901923e-10
192,-4.7560555e-10
193,-3.5197698e-10
194,-4.8025633e-10
195,-3.3547196e-10
196,-4.7566934e-10
197,-3.1359776e-10
198,-4.644287e-10
199,-2.819392e-10
200,-4.3713103e-10
201,-2.3312027e-10
202,-3.8894177e-10
203,-1.7155474e-10
204,-3.2597786e-10
205,-8.8916756e-11
206,-2.35112e-10
207,2.2603613e-11
208,-1.0959154e-10
209,1.6243301e-10
210,4.3372535e-11
211,3.4200243e-10
212,2.4446717e-10
213,5.7567096e-10
214,5.097608e-10
215,8.729507e-10
216,8.3221297e-10
217,1.2502889e-09
218,1.2437866e-09
219,1.7235666e-09
220,1.7659063e-09
221,2.3098188e-09
222,2.3792397e-09
223,2.9875689e-09
224,3.1046912e-09
225,3.7747996e-09
226,3.9652073e-09
227,4.667442e-09
228,4.871529e-09
229,5.5574634e-09
230,5.794639e-09
231,6.3869017e-09
232,6.6148127e-09
233,7.1313058e-09
234,7.332979e-09
235,7.7728135e-09
236,7.964853e-09
237,8.25463e-09
238,8.379018e-09
239,8.583027e-09
240,8.58997e-09
241,8.6537915e-09
242,8.619684e-09
243,8.583088e-09
244,8.487306e-09
245,8.384306e-09
246,8.191382e-09
247,7.995647e-09
248,7.760228e-09
249,7.437469e-09
250,7.0934134e-09
251,6.7415975e-09
252,6.3230923e-09
253,5.9064607e-09
254,5.4899902e-09
255,5.0499347e-09
256,4.6171373e-09
257,4.201307e-09
258,3.7986885e-09
259,3.4115353e-09
260,3.0475649e-09
261,2.6860103e-09
262,2.3478919e-09
263,2.039008e-09
264,1.753596e-09
265,1.4908914e-09
266,1.2577811e-09
267,1.0608371e-09
268,8.835641e-10
269,7.274709e-10
270,5.9308874e-10
271,4.724679e-10
272,3.724883e-10
273,2.8610553e-10
274,2.1407248e-10
275,1.535124e-10
276,1.0795728e-10
277,7.094778e-11
278,4.0223828e-11
279,2.8453875e-11
280,1.13774615e-11
281,1.4663467e-11
282,-6.593499e-12
283,1.5726937e-11
284,-1.483921e-11
285,3.0939203e-11
286,-2.253509e-11
287,7.269556e-11
288,-1.3021491e-11
289,1.2292452e-10
290,1.6353526e-11
291,1.6151129e-10
292,3.802489e-11
293,1.9584931e-10
294,5.61969e-11
295,1.90267e-10
296,7.180573e-11
297,1.5765579e-10
298,5.073742e-11
299,1.2841436e-10
300,2.2168016e-11
301,7.915216e-11
302,-7.363726e-12
303,2.46525e-11
304,-5.192934e-11
305,-1.8170389e-11
306,-1.0586115e-10
307,-8.744537e-11
308,-1.6039478e-10
309,-1.3802903e-10
310,-1.990062e-10
311,-1.694645e-10
312,-2.3485736e-10
313,-2.1151349e-10
314,-2.6860936e-10
