,0
0,14.365166
1,14.224842
2,14.079021
3,13.961973
4,13.859244
5,13.772885
6,13.701357
7,13.629302
8,13.563486
9,13.507939
10,13.449184
11,13.392049
12,13.339099
13,13.280562
14,13.220481
15,13.162469
16,13.098521
17,13.033106
18,12.96937
19,12.901292
20,12.831739
21,12.7653265
22,12.694841
23,12.6253195
24,12.557893
25,12.490256
26,12.420991
27,12.359277
28,12.291277
29,12.232067
30,12.166197
31,12.115472
32,12.042839
33,12.00927
34,11.922443
35,11.917489
36,11.794541
37,11.858786
38,11.65064
39,11.848123
40,11.522936
41,11.818476
42,11.440441
43,11.720001
44,11.377258
45,11.620399
46,11.314935
47,11.535236
48,11.255255
49,11.453571
50,11.198322
51,11.377278
52,11.144047
53,11.303775
54,11.090866
55,11.237204
56,11.038907
57,11.17602
58,10.989409
59,11.115236
60,10.940317
61,11.058716
62,10.891478
63,11.006363
64,10.84457
65,10.953349
66,10.799119
67,10.904161
68,10.753681
69,10.858451
70,10.710132
71,10.8122
72,10.667608
73,10.769273
74,10.625809
75,10.728505
76,10.5851755
77,10.686059
78,10.546715
79,10.647569
80,10.509855
81,10.612758
82,10.475457
83,10.576542
84,10.443076
85,10.543292
86,10.411752
87,10.5116005
88,10.3816395
89,10.478842
90,10.353291
91,10.449958
92,10.325769
93,10.422731
94,10.2991705
95,10.3940735
96,10.274071
97,10.368376
98,10.249756
99,10.342583
100,10.225973
101,10.316554
102,10.2031765
103,10.292358
104,10.180328
105,10.268025
106,10.157688
107,10.244099
108,10.13578
109,10.221991
110,10.114212
111,10.199691
112,10.09286
113,10.178089
114,10.071924
115,10.156734
116,10.050302
117,10.135168
118,10.028648
119,10.11469
120,10.006959
121,10.093742
122,9.984701
123,10.071841
124,9.961629
125,10.050814
126,9.938869
127,10.02937
128,9.915212
129,10.007333
130,9.890778
131,9.98627
132,9.866476
133,9.965252
134,9.841453
135,9.944112
136,9.815702
137,9.923453
138,9.78843
139,9.901583
140,9.758905
141,9.878062
142,9.730781
143,9.854691
144,9.704007
145,9.830809
146,9.678145
147,9.806998
148,9.650376
149,9.782114
150,9.622868
151,9.756028
152,9.594981
153,9.73055
154,9.565432
155,9.703787
156,9.536325
157,9.676596
158,9.50827
159,9.649327
160,9.478841
161,9.620183
162,9.449755
163,9.590054
164,9.422066
165,9.560586
166,9.393846
167,9.530051
168,9.366388
169,9.49926
170,9.341656
171,9.471173
172,9.31802
173,9.442835
174,9.29606
175,9.416459
176,9.278958
177,9.394255
178,9.26431
179,9.373504
180,9.251769
181,9.355327
182,9.244646
183,9.34103
184,9.238649
185,9.327074
186,9.232136
187,9.313951
188,9.229546
189,9.302017
190,9.224562
191,9.287324
192,9.215991
193,9.270819
194,9.208445
195,9.252783
196,9.195943
197,9.231509
198,9.178861
199,9.207344
200,9.161954
201,9.182549
202,9.140996
203,9.155905
204,9.117785
205,9.127746
206,9.096351
207,9.100803
208,9.073679
209,9.073756
210,9.05266
211,9.047119
212,9.035658
213,9.022382
214,9.018462
215,8.996349
216,9.002159
217,8.967344
218,8.984854
219,8.9359255
220,8.96129
221,8.8983965
222,8.932171
223,8.854399
224,8.893893
225,8.807745
226,8.846373
227,8.762495
228,8.798839
229,8.724706
230,8.754264
231,8.6974535
232,8.717603
233,8.678117
234,8.6908655
235,8.66247
236,8.668919
237,8.649085
238,8.64996
239,8.636126
240,8.634304
241,8.622526
242,8.619272
243,8.610378
244,8.605471
245,8.598296
246,8.593535
247,8.586726
248,8.581885
249,8.576709
