,0
0,-0.0
1,0.0
2,-1.86e-43
3,-4.887302e-39
4,-6.137942e-36
5,-1.4516661e-33
6,-1.0010331e-31
7,-3.9001522e-30
8,-8.538434e-29
9,-1.0342755e-27
10,-9.798185e-27
11,-7.0139306e-26
12,-3.7207418e-25
13,-1.760941e-24
14,-7.127877e-24
15,-2.459121e-23
16,-7.888268e-23
17,-2.2830445e-22
18,-5.932588e-22
19,-1.4732258e-21
20,-3.3865798e-21
21,-7.283367e-21
22,-1.5024699e-20
23,-2.9526868e-20
24,-5.4997985e-20
25,-1.00116927e-19
26,-1.7311425e-19
27,-3.0045312e-19
28,-4.9481665e-19
29,-8.09281e-19
30,-1.2678563e-18
31,-2.012465e-18
32,-2.9182756e-18
33,-4.6128484e-18
34,-6.2977268e-18
35,-9.753455e-18
36,-1.2374782e-17
37,-2.0134924e-17
38,-2.1486129e-17
39,-4.070257e-17
40,-3.3817655e-17
41,-8.053833e-17
42,-3.5009705e-17
43,-1.6286044e-16
44,8.403118e-18
45,-3.1036462e-16
46,6.9236136e-17
47,-4.3535117e-16
48,6.9352325e-17
49,-5.418788e-16
50,6.7210245e-17
51,-6.846626e-16
52,1.0499143e-16
53,-8.268307e-16
54,1.7873581e-16
55,-9.322322e-16
56,2.1855859e-16
57,-9.991898e-16
58,2.3344678e-16
59,-9.825398e-16
60,2.2622225e-16
61,-7.8195556e-16
62,8.509989e-17
63,-3.3331556e-16
64,-2.2156497e-16
65,5.198686e-16
66,-8.5573743e-16
67,1.9512717e-15
68,-1.9484883e-15
69,4.237082e-15
70,-3.8207755e-15
71,7.890577e-15
72,-7.1561485e-15
73,1.2992264e-14
74,-1.19603805e-14
75,2.0457797e-14
76,-1.9912134e-14
77,3.0870346e-14
78,-3.2974095e-14
79,4.3339837e-14
80,-5.001745e-14
81,5.9302166e-14
82,-7.6618196e-14
83,8.0054764e-14
84,-1.1499006e-13
85,1.01687207e-13
86,-1.617446e-13
87,1.3161956e-13
88,-2.3023472e-13
89,1.7023672e-13
90,-3.2922482e-13
91,2.1175654e-13
92,-4.4061263e-13
93,2.7275252e-13
94,-5.791094e-13
95,3.51272e-13
96,-7.587832e-13
97,4.44543e-13
98,-9.252693e-13
99,5.90259e-13
100,-1.1058653e-12
101,8.1685727e-13
102,-1.2629834e-12
103,1.1537208e-12
104,-1.2503701e-12
105,1.7085323e-12
106,-1.038932e-12
107,2.588207e-12
108,-4.944053e-13
109,3.860732e-12
110,6.027372e-13
111,5.645593e-12
112,2.2809831e-12
113,8.1476215e-12
114,4.7052687e-12
115,1.1301652e-11
116,8.091649e-12
117,1.5198977e-11
118,1.2358597e-11
119,2.0061444e-11
120,1.7559528e-11
121,2.546759e-11
122,2.3680972e-11
123,3.148983e-11
124,3.029539e-11
125,3.827843e-11
126,3.7403566e-11
127,4.489336e-11
128,4.4831826e-11
129,5.1483966e-11
130,5.1619677e-11
131,5.8090966e-11
132,5.813522e-11
133,6.3679506e-11
134,6.425347e-11
135,6.865803e-11
136,6.881062e-11
137,7.3060516e-11
138,7.271642e-11
139,7.6005334e-11
140,7.588053e-11
141,7.865047e-11
142,7.813724e-11
143,8.1131823e-11
144,8.014454e-11
145,8.311196e-11
146,8.1961354e-11
147,8.5293515e-11
148,8.322454e-11
149,8.814295e-11
150,8.473185e-11
151,9.20629e-11
152,8.6483556e-11
153,9.887292e-11
154,8.8932174e-11
155,1.1012487e-10
156,9.304639e-11
157,1.2758257e-10
158,1.0280234e-10
159,1.5252613e-10
160,1.2199465e-10
161,1.757678e-10
162,1.4212567e-10
163,1.9149587e-10
164,1.6201734e-10
165,2.0235526e-10
166,1.8006312e-10
167,2.1262213e-10
168,1.9522044e-10
169,2.2339983e-10
170,2.1169487e-10
171,2.3331168e-10
172,2.277869e-10
173,2.4673402e-10
174,2.415243e-10
175,2.5984256e-10
176,2.5788835e-10
177,2.732927e-10
178,2.7316513e-10
179,2.868878e-10
180,2.8741898e-10
181,3.002783e-10
182,3.0192757e-10
183,3.1322156e-10
184,3.159109e-10
185,3.2628497e-10
186,3.3012396e-10
187,3.4043138e-10
188,3.4433115e-10
189,3.551799e-10
190,3.6005618e-10
191,3.6965464e-10
192,3.7570771e-10
193,3.8527334e-10
194,3.9056872e-10
195,4.0135925e-10
196,4.0651837e-10
197,4.1602297e-10
198,4.2254977e-10
199,4.3121123e-10
200,4.3637458e-10
201,4.4655168e-10
202,4.5078255e-10
203,4.5978577e-10
204,4.6595083e-10
205,4.752168e-10
206,4.79337e-10
207,4.9138454e-10
208,4.948822e-10
209,5.0554616e-10
210,5.104167e-10
211,5.146911e-10
212,5.18101e-10
213,5.270912e-10
214,5.2694576e-10
215,5.3607807e-10
216,5.387156e-10
217,5.467868e-10
218,5.468073e-10
219,5.6098115e-10
220,5.5523847e-10
221,5.723109e-10
222,5.652433e-10
223,5.8541655e-10
224,5.698889e-10
225,6.0391686e-10
226,5.7222965e-10
227,6.2217514e-10
228,5.7287847e-10
229,6.471074e-10
230,5.627887e-10
231,6.833899e-10
232,5.4781213e-10
233,7.247917e-10
234,5.422587e-10
235,7.629247e-10
236,5.474859e-10
237,7.7208395e-10
238,5.5373905e-10
239,7.440771e-10
240,5.537854e-10
241,7.0927203e-10
242,5.393955e-10
243,6.7969597e-10
244,5.274557e-10
245,6.5481087e-10
246,5.220523e-10
247,6.3975314e-10
248,5.122227e-10
249,6.331255e-10
250,5.085386e-10
251,6.2818856e-10
252,5.11534e-10
253,6.303892e-10
254,5.102284e-10
255,6.3625877e-10
256,5.152528e-10
257,6.424549e-10
258,5.244995e-10
259,6.562281e-10
260,5.307283e-10
261,6.707322e-10
262,5.429885e-10
263,6.858811e-10
264,5.5682475e-10
265,7.0861983e-10
266,5.693079e-10
267,7.3055545e-10
268,5.8709254e-10
269,7.523136e-10
270,6.0591293e-10
271,7.8203755e-10
272,6.239972e-10
273,8.109876e-10
274,6.464835e-10
275,8.402393e-10
276,6.699275e-10
277,8.8116947e-10
278,6.941863e-10
279,9.2268915e-10
280,7.2504414e-10
281,9.642928e-10
282,7.563918e-10
283,1.019188e-09
284,7.8987905e-10
285,1.074972e-09
286,8.313934e-10
287,1.1306146e-09
288,8.748831e-10
289,1.2029696e-09
290,9.226636e-10
291,1.2762695e-09
292,9.792882e-10
293,1.3517272e-09
294,1.0398103e-09
295,1.4460718e-09
296,1.1070516e-09
297,1.5439402e-09
298,1.184829e-09
299,1.6488612e-09
300,1.2696637e-09
301,1.7776619e-09
302,1.3689052e-09
303,1.9155935e-09
304,1.4865069e-09
305,2.068462e-09
306,1.6231927e-09
307,2.2583075e-09
308,1.7966957e-09
309,2.4719364e-09
310,2.0183544e-09
311,2.73176e-09
312,2.2933029e-09
313,3.0669485e-09
314,2.6603437e-09
315,3.4743288e-09
316,3.144862e-09
317,3.985021e-09
