,0
0,14.366334
1,14.228724
2,14.086116
3,13.971087
4,13.870258
5,13.787012
6,13.718987
7,13.650693
8,13.588297
9,13.53446
10,13.477509
11,13.421798
12,13.36972
13,13.3125725
14,13.254477
15,13.198515
16,13.13758
17,13.075528
18,13.015298
19,12.950953
20,12.885685
21,12.822576
22,12.756053
23,12.689356
24,12.624975
25,12.558316
26,12.491703
27,12.428204
28,12.362532
29,12.298014
30,12.235798
31,12.173019
32,12.109852
33,12.051098
34,11.988862
35,11.930419
36,11.870337
37,11.815211
38,11.751963
39,11.703808
40,11.635887
41,11.596374
42,11.518173
43,11.501324
44,11.394375
45,11.429201
46,11.268435
47,11.386103
48,11.159672
49,11.319841
50,11.056853
51,11.185756
52,10.9591255
53,11.046396
54,10.845524
55,10.89975
56,10.717886
57,10.735007
58,10.585703
59,10.566966
60,10.457111
61,10.420533
62,10.333128
63,10.293336
64,10.219193
65,10.173077
66,10.113578
67,10.066118
68,10.009032
69,9.965974
70,9.910591
71,9.863564
72,9.815153
73,9.7673025
74,9.717021
75,9.673927
76,9.624068
77,9.577646
78,9.533991
79,9.487804
80,9.441636
81,9.401276
82,9.356356
83,9.313277
84,9.274619
85,9.233043
86,9.192311
87,9.156996
88,9.118404
89,9.081153
90,9.048942
91,9.014361
92,8.980833
93,8.952914
94,8.922639
95,8.893549
96,8.870016
97,8.844622
98,8.820262
99,8.801517
100,8.781448
101,8.762461
102,8.749272
103,8.735245
104,8.722298
105,8.715257
106,8.707862
107,8.701469
108,8.700247
109,8.699387
110,8.6992855
111,8.703817
112,8.708868
113,8.714454
114,8.724238
115,8.734565
116,8.744471
117,8.757057
118,8.769775
119,8.781207
120,8.793636
121,8.8046255
122,8.817131
123,8.82183
124,8.842473
125,8.830771
126,8.888732
127,8.836071
128,8.9439125
129,8.755428
130,8.670458
131,8.566635
132,8.582544
133,8.570352
134,8.617836
135,8.610355
136,8.670133
137,8.653614
138,8.724005
139,8.680447
140,8.769714
141,8.685905
142,8.782573
143,8.672288
144,8.752617
145,8.647917
146,8.719171
147,8.643554
148,8.715709
149,8.665881
150,8.735855
151,8.691836
152,8.763834
153,8.714468
154,8.786886
155,8.736
156,8.808452
157,8.74924
158,8.827366
159,8.756951
160,8.837466
161,8.764627
162,8.842618
163,8.770628
164,8.846686
165,8.778203
166,8.849455
167,8.791517
168,8.855578
169,8.803999
170,8.864391
171,8.815881
172,8.873281
173,8.829546
174,8.882606
175,8.84015
176,8.89292
177,8.848385
178,8.901485
179,8.857319
180,8.908689
181,8.863749
182,8.915941
183,8.869194
184,8.921604
185,8.876513
186,8.92588
187,8.88238
188,8.931351
189,8.888248
190,8.93622
191,8.896165
192,8.9401655
193,8.902157
194,8.94574
195,8.907504
196,8.949519
197,8.912755
198,8.951154
199,8.915158
200,8.954552
201,8.916508
202,8.9556055
203,8.917713
204,8.954395
205,8.915862
206,8.954792
207,8.913609
208,8.952616
209,8.91095
210,8.94824
211,8.904246
212,8.945193
213,8.897349
214,8.939512
215,8.889678
216,8.932845
217,8.878964
218,8.927479
219,8.868174
220,8.920115
221,8.857165
222,8.912023
223,8.842233
224,8.904708
225,8.827403
226,8.894622
227,8.811848
228,8.885031
229,8.792632
230,8.875703
231,8.774112
232,8.865058
233,8.757012
234,8.855567
235,8.736779
236,8.845392
237,8.7177305
238,8.8341
239,8.699655
240,8.82415
241,8.677352
242,8.812315
243,8.656478
244,8.798765
245,8.637653
246,8.786175
247,8.614808
248,8.771469
249,8.5925045
250,8.754893
251,8.573662
252,8.74047
253,8.550812
254,8.724944
255,8.530594
256,8.709462
257,8.515666
258,8.697471
259,8.500346
260,8.687416
261,8.491645
262,8.679244
263,8.496941
264,8.677315
265,8.508004
266,8.67983
267,8.530219
268,8.681682
269,8.568658
270,8.67729
271,8.595995
272,8.6619005
273,8.600486
274,8.62886
275,8.59085
276,8.584755
277,8.557676
278,8.545071
279,8.516493
280,8.500716
281,8.481407
282,8.456841
283,8.43933
284,8.419969
285,8.39669
286,8.377385
287,8.359416
288,8.333713
289,8.314621
290,8.2936125
291,8.268284
292,8.244768
293,8.223723
294,8.193004
295,8.169639
296,8.141207
297,8.113684
298,8.078711
299,8.061814
300,8.012859
301,8.015962
302,7.945036
303,8.023337
304,7.899301
305,8.151131
306,7.95536
307,8.27753
308,8.153464
309,8.341926
310,8.198411
311,8.377959
312,8.225208
313,8.39061
314,8.237712
315,8.393855
316,8.231046
317,8.392213
318,8.21318
319,8.384662
320,8.1943245
321,8.373273
322,8.172014
323,8.349375
324,8.141181
325,8.305486
326,8.113377
327,8.251555
328,8.090797
329,8.19881
330,8.083442
331,8.161439
332,8.090841
333,8.142837
334,8.099627
335,8.134393
336,8.10709
337,8.130187
338,8.1135435
339,8.128328
340,8.116376
341,8.127827
342,8.119004
343,8.128024
344,8.121993
345,8.127714
346,8.122707
347,8.127988
348,8.122768
349,8.126596
350,8.123599
351,8.125895
352,8.123314
353,8.126565
354,8.1226425
355,8.125654
356,8.12348
357,8.124411
358,8.123063
359,8.125806
360,8.121752
361,8.126045
362,8.123511
363,8.124754
364,8.123418
365,8.126686
366,8.12199
367,8.127029
368,8.1238365
369,8.126569
370,8.12426
371,8.129315
372,8.122896
373,8.130369
374,8.124334
375,8.129582
376,8.122592
377,8.131709
378,8.118042
379,8.131375
380,8.115774
381,8.129438
382,8.10954
383,8.131504
384,8.099944
385,8.133029
386,8.092475
387,8.134981
388,8.081166
389,8.143865
390,8.067405
391,8.154925
392,8.060064
393,8.167643
394,8.055561
395,8.183668
396,8.05852
397,8.193584
398,8.071635
399,8.197531
400,8.0820465
401,8.201824
402,8.089749
403,8.202271
404,8.098261
405,8.199977
406,8.100535
407,8.199109
408,8.099325
409,8.194028
410,8.099209
411,8.186947
412,8.094723
413,8.1812105
414,8.087564
415,8.171697
416,8.081733
417,8.1601305
418,8.071064
419,8.149386
420,8.057941
421,8.135232
422,8.0461445
423,8.1197815
424,8.030878
425,8.104798
426,8.012515
427,8.085986
428,7.996083
429,8.065296
430,7.975388
431,8.04498
432,7.952108
433,8.020674
434,7.931322
435,7.9946322
436,7.9076805
437,7.969187
438,7.881628
439,7.940306
440,7.858759
441,7.9082904
442,7.8318157
443,7.878532
444,7.8020372
445,7.8448887
446,7.778023
447,7.809417
448,7.7509627
449,7.778093
450,7.7216473
451,7.7439933
452,7.698616
453,7.7075567
454,7.6714563
455,7.6785855
456,7.641439
457,7.6465206
458,7.61992
459,7.613579
460,7.594317
461,7.5895624
462,7.5674314
463,7.5634027
464,7.5485234
465,7.536243
466,7.526327
467,7.517865
468,7.502423
469,7.496535
470,7.4869804
471,7.473956
472,7.4677944
473,7.4602213
474,7.447309
475,7.4427657
476,7.4357877
477,7.424318
478,7.4202514
479,7.4143515
480,7.403049
481,7.3999233
482,7.394207
483,7.3839746
484,7.3808393
485,7.3752637
486,7.3656225
487,7.3618994
488,7.355756
489,7.344617
490,7.3397236
491,7.3316984
492,7.3198
493,7.312675
494,7.3024096
495,7.2895513
496,7.279041
497,7.2666197
498,7.2512074
499,7.238641
500,7.223295
501,7.2086654
502,7.192931
503,7.182179
504,7.1634035
505,7.1614265
506,7.139085
507,7.1585584
508,7.1379232
509,7.2362485
510,7.247213
511,7.4714403
512,7.617315
513,7.730389
514,7.7342267
515,7.781152
516,7.777272
517,7.78924
518,7.787871
519,7.7816343
520,7.784118
521,7.770102
522,7.7773542
523,7.7596183
524,7.773459
525,7.751355
526,7.772973
527,7.7500267
528,7.778656
529,7.752859
530,7.791701
531,7.7611237
532,7.80654
533,7.7774835
534,7.82467
535,7.795596
536,7.84577
537,7.8144155
538,7.8607407
539,7.8326206
540,7.872064
541,7.844393
542,7.8805585
543,7.8513107
544,7.8821144
545,7.8576374
546,7.882398
547,7.8597946
548,7.8843436
549,7.861154
550,7.8825603
551,7.8654394
552,7.882087
553,7.867243
554,7.884762
555,7.868763
556,7.8828273
557,7.8727727
558,7.8816595
559,7.872682
560,7.882392
561,7.8717012
562,7.877956
563,7.8727427
564,7.874186
565,7.8691845
566,7.8721013
567,7.864442
568,7.8644805
569,7.8615427
570,7.8575616
571,7.853755
572,7.8510466
573,7.844333
574,7.8382874
575,7.8359013
576,7.825479
577,7.822126
578,7.8130302
579,7.8069625
580,7.794692
581,7.791721
582,7.7757363
583,7.7711
584,7.7572827
585,7.749684
586,7.733921
587,7.7287855
588,7.7101674
589,7.7029014
590,7.687973
591,7.678005
592,7.661822
593,7.65362
594,7.635772
595,7.6254053
596,7.6121883
597,7.5992517
598,7.5855265
599,7.573999
600,7.5589337
601,7.5452127
602,7.5339966
603,7.5174565
604,7.504884
605,7.489566
606,7.4757786
607,7.4584
608,7.4472094
609,7.4278173
610,7.415088
611,7.396741
612,7.3826246
613,7.36242
614,7.3498254
615,7.3275266
616,7.3126497
617,7.291007
618,7.274195
619,7.250182
620,7.234282
621,7.208252
622,7.1898828
623,7.163993
624,7.14414
625,7.115646
626,7.0959935
627,7.0656157
628,7.0431833
629,7.012729
630,6.988862
631,6.955649
632,6.931503
633,6.8966074
634,6.8692317
635,6.834539
636,6.8057537
637,6.769038
638,6.739817
639,6.7019634
640,6.6695104
641,6.633011
642,6.598836
643,6.5606475
644,6.526566
645,6.487929
646,6.4518037
647,6.415867
648,6.377608
649,6.3403645
650,6.3037615
651,6.2664814
652,6.229887
653,6.195586
654,6.1590104
655,6.124517
656,6.0909586
657,6.0572
658,6.0247455
659,5.993969
660,5.962564
661,5.932889
662,5.904705
663,5.8760605
664,5.849226
665,5.823865
666,5.798899
667,5.775503
668,5.753687
669,5.7324743
670,5.7129316
671,5.694776
672,5.678855
673,5.664199
674,5.6510334
