,0
0,-0.0
1,0.0
2,-2.31e-43
3,-6.207508e-39
4,-8.7280176e-36
5,-1.9129152e-33
6,-1.0839243e-31
7,-3.600974e-30
8,-7.312369e-29
9,-9.225485e-28
10,-8.728097e-27
11,-6.4391887e-26
12,-3.6676032e-25
13,-1.7235556e-24
14,-6.989947e-24
15,-2.4946762e-23
16,-7.705017e-23
17,-2.1567381e-22
18,-5.600262e-22
19,-1.3016528e-21
20,-2.8373699e-21
21,-5.949353e-21
22,-1.134671e-20
23,-2.0761102e-20
24,-3.752795e-20
25,-6.2089334e-20
26,-1.00132695e-19
27,-1.6650845e-19
28,-2.5180102e-19
29,-3.7428783e-19
30,-5.809766e-19
31,-8.189075e-19
32,-1.143078e-18
33,-1.6824578e-18
34,-2.2482453e-18
35,-2.9913823e-18
36,-4.2461576e-18
37,-5.4686912e-18
38,-7.0343605e-18
39,-9.699386e-18
40,-1.2154755e-17
41,-1.5242719e-17
42,-2.0423427e-17
43,-2.5049398e-17
44,-3.0818268e-17
45,-4.0404272e-17
46,-4.8908364e-17
47,-5.946059e-17
48,-7.699624e-17
49,-9.253408e-17
50,-1.1159111e-16
51,-1.4298318e-16
52,-1.7087812e-16
53,-2.0456085e-16
54,-2.5889795e-16
55,-3.0826478e-16
56,-3.6727433e-16
57,-4.610766e-16
58,-5.4876417e-16
59,-6.526688e-16
60,-8.115121e-16
61,-9.626493e-16
62,-1.1397272e-15
63,-1.4031904e-15
64,-1.6591051e-15
65,-1.955353e-15
66,-2.3817707e-15
67,-2.8027187e-15
68,-3.2865787e-15
69,-3.9744967e-15
70,-4.666361e-15
71,-5.4579716e-15
72,-6.555383e-15
73,-7.682332e-15
74,-8.969078e-15
75,-1.0611088e-14
76,-1.2315361e-14
77,-1.42632e-14
78,-1.6863135e-14
79,-1.9620297e-14
80,-2.2763306e-14
81,-2.6917348e-14
82,-3.140349e-14
83,-3.6506453e-14
84,-4.3213724e-14
85,-5.065857e-14
86,-5.91354e-14
87,-6.9592254e-14
88,-8.130423e-14
89,-9.462962e-14
90,-1.10844215e-13
91,-1.2924378e-13
92,-1.5016906e-13
93,-1.7371925e-13
94,-2.0056712e-13
95,-2.3097548e-13
96,-2.6708618e-13
97,-3.0867588e-13
98,-3.5578046e-13
99,-4.1098044e-13
100,-4.7518884e-13
101,-5.479135e-13
102,-6.3107814e-13
103,-7.285418e-13
104,-8.384154e-13
105,-9.553935e-13
106,-1.0923329e-12
107,-1.2451906e-12
108,-1.4049048e-12
109,-1.591623e-12
110,-1.797916e-12
111,-2.0016356e-12
112,-2.2378661e-12
113,-2.4944508e-12
114,-2.7312616e-12
115,-3.0021304e-12
116,-3.2887681e-12
117,-3.526719e-12
118,-3.793358e-12
119,-4.063575e-12
120,-4.245393e-12
121,-4.4406982e-12
122,-4.619137e-12
123,-4.6993525e-12
124,-4.7758885e-12
125,-4.817271e-12
126,-4.609053e-12
127,-4.354377e-12
128,-4.023856e-12
129,-3.4823524e-12
130,-2.862731e-12
131,-2.1467353e-12
132,-1.2210785e-12
133,-1.9842964e-13
134,9.248981e-13
135,2.225093e-12
136,3.6222336e-12
137,5.1097724e-12
138,6.7015057e-12
139,8.36512e-12
140,1.0098917e-11
141,1.18562755e-11
142,1.3638074e-11
143,1.547355e-11
144,1.7274468e-11
145,1.9026804e-11
146,2.0824984e-11
147,2.2568326e-11
148,2.4147795e-11
149,2.576876e-11
150,2.7392215e-11
151,2.8684853e-11
152,3.0009537e-11
153,3.1425838e-11
154,3.2299784e-11
155,3.3187e-11
156,3.434435e-11
157,3.4759595e-11
158,3.5183658e-11
159,3.5544522e-11
160,3.488202e-11
161,3.423356e-11
162,3.407168e-11
163,3.2794625e-11
164,3.156985e-11
165,3.08947e-11
166,2.911689e-11
167,2.7459023e-11
168,2.6384542e-11
169,2.4310167e-11
170,2.242614e-11
171,2.1162056e-11
172,1.9048586e-11
173,1.7184872e-11
174,1.5952085e-11
175,1.4062137e-11
176,1.2453861e-11
177,1.14151475e-11
178,9.903785e-12
179,8.65653e-12
180,7.8810725e-12
181,6.7745536e-12
182,5.8941498e-12
183,5.429042e-12
184,4.7226728e-12
185,4.1926987e-12
186,3.9814163e-12
187,3.5782464e-12
188,3.3110919e-12
189,3.313656e-12
190,3.133608e-12
191,3.0560125e-12
192,3.2382395e-12
193,3.2100963e-12
194,3.2598687e-12
195,3.5857554e-12
196,3.6450825e-12
197,3.771239e-12
198,4.2119155e-12
199,4.3141207e-12
200,4.4835104e-12
201,5.003254e-12
202,5.1064365e-12
203,5.290143e-12
204,5.881292e-12
205,5.9619453e-12
206,6.1433658e-12
207,6.8284397e-12
208,6.887572e-12
209,7.0625385e-12
210,7.874364e-12
211,7.938594e-12
212,8.125123e-12
213,9.015858e-12
214,9.058303e-12
215,9.240519e-12
216,1.0164498e-11
217,1.016691e-11
218,1.0335655e-11
219,1.128282e-11
220,1.1243197e-11
221,1.1397486e-11
222,1.23824275e-11
223,1.23098415e-11
224,1.2454767e-11
225,1.3509614e-11
226,1.343727e-11
227,1.3592842e-11
228,1.4731686e-11
229,1.468618e-11
230,1.4874043e-11
231,1.6091536e-11
232,1.606968e-11
233,1.6287588e-11
234,1.7583936e-11
235,1.7601821e-11
236,1.7867097e-11
237,1.9273126e-11
238,1.9376722e-11
239,1.973219e-11
240,2.126425e-11
241,2.1424801e-11
242,2.1827967e-11
243,2.3476186e-11
244,2.3717903e-11
245,2.4195061e-11
246,2.599469e-11
247,2.634408e-11
248,2.6918152e-11
249,2.8939939e-11
250,2.9468924e-11
251,3.0202483e-11
252,3.251978e-11
253,3.3304588e-11
254,3.4267318e-11
255,3.694886e-11
256,3.805866e-11
257,3.9313972e-11
258,4.2448937e-11
259,4.396236e-11
260,4.5583613e-11
261,4.917684e-11
262,5.1109075e-11
263,5.3124734e-11
264,5.7229325e-11
265,5.965949e-11
266,6.215865e-11
267,6.696006e-11
268,7.009496e-11
269,7.3274935e-11
270,7.88695e-11
271,8.284201e-11
272,8.684445e-11
273,9.3305204e-11
274,9.821386e-11
275,1.03151675e-10
276,1.1076409e-10
277,1.169206e-10
278,1.2310317e-10
279,1.320998e-10
280,1.3976457e-10
281,1.4746193e-10
282,1.5793271e-10
283,1.6722042e-10
284,1.7655151e-10
285,1.8875836e-10
286,2.0004604e-10
287,2.1139572e-10
288,2.2567055e-10
289,2.3940053e-10
290,2.532297e-10
291,2.6981584e-10
292,2.8624342e-10
293,3.0282415e-10
294,3.2165154e-10
295,3.407133e-10
296,3.5998377e-10
297,3.8083867e-10
298,4.0235779e-10
299,4.24119e-10
300,4.4662993e-10
301,4.7019777e-10
302,4.940113e-10
303,5.177647e-10
304,5.4292587e-10
305,5.683283e-10
306,5.9246824e-10
307,6.183575e-10
308,6.44452e-10
309,6.6718425e-10
310,6.918263e-10
