,0
0,-0.0
1,0.0
2,1.6e-43
3,7.760932e-39
4,2.6035863e-35
5,1.0864352e-32
6,9.299415e-31
7,3.636404e-29
8,6.6890816e-28
9,6.3776384e-27
10,4.4510343e-26
11,2.2926677e-25
12,8.979525e-25
13,3.0960315e-24
14,9.39707e-24
15,2.5118658e-23
16,6.302244e-23
17,1.484167e-22
18,3.2549613e-22
19,6.830812e-22
20,1.3766354e-21
21,2.6460478e-21
22,4.894061e-21
23,8.778699e-21
24,1.5209538e-20
25,2.5404686e-20
26,4.141448e-20
27,6.5948965e-20
28,1.01370764e-19
29,1.5274677e-19
30,2.2619665e-19
31,3.236838e-19
32,4.559323e-19
33,6.3689423e-19
34,8.601842e-19
35,1.1469728e-18
36,1.5262848e-18
37,1.9630063e-18
38,2.497837e-18
39,3.1892896e-18
40,3.9290963e-18
41,4.797112e-18
42,5.9579e-18
43,7.115329e-18
44,8.418535e-18
45,1.0036732e-17
46,1.1510863e-17
47,1.31127855e-17
48,1.5128885e-17
49,1.6782378e-17
50,1.8521874e-17
51,2.0805675e-17
52,2.2433575e-17
53,2.4137453e-17
54,2.6832993e-17
55,2.850536e-17
56,3.0188952e-17
57,3.31442e-17
58,3.4651132e-17
59,3.6125098e-17
60,3.909317e-17
61,4.0158328e-17
62,4.118545e-17
63,4.3888526e-17
64,4.439482e-17
65,4.493294e-17
66,4.7423962e-17
67,4.7347825e-17
68,4.7311737e-17
69,4.9809908e-17
70,4.937423e-17
71,4.9008006e-17
72,5.1425987e-17
73,5.073931e-17
74,5.01775e-17
75,5.2303232e-17
76,5.1266368e-17
77,5.0471686e-17
78,5.2770454e-17
79,5.1633332e-17
80,5.0678573e-17
81,5.3016963e-17
82,5.1818478e-17
83,5.0850663e-17
84,5.2028605e-17
85,5.006035e-17
86,4.8532917e-17
87,4.9492433e-17
88,4.7424557e-17
89,4.583057e-17
90,4.6730444e-17
91,4.4696397e-17
92,4.314605e-17
93,4.3358277e-17
94,4.1126755e-17
95,3.945009e-17
96,4.007675e-17
97,3.822046e-17
98,3.6832976e-17
99,3.7065225e-17
100,3.5096876e-17
101,3.3574235e-17
102,3.4037007e-17
103,3.238682e-17
104,3.1101802e-17
105,3.1187747e-17
106,2.944894e-17
107,2.8065957e-17
108,2.8206707e-17
109,2.6649892e-17
110,2.5400318e-17
111,2.4561125e-17
112,2.2684689e-17
113,2.1215646e-17
114,2.1042408e-17
115,1.9614883e-17
116,1.8462805e-17
117,1.7807493e-17
118,1.6332072e-17
119,1.5152725e-17
120,1.4940856e-17
121,1.3757791e-17
122,1.2782088e-17
123,1.19095405e-17
124,1.0595327e-17
125,9.5409435e-18
126,8.990218e-18
127,7.9163286e-18
128,7.042942e-18
129,6.425677e-18
130,5.4321935e-18
131,4.615515e-18
132,3.4988065e-18
133,2.446485e-18
134,1.5983902e-18
135,6.688974e-19
136,-2.726794e-19
137,-1.0335012e-18
138,-1.9653993e-18
139,-2.8797069e-18
140,-3.637609e-18
141,-4.5518885e-18
142,-5.3441497e-18
143,-6.0015527e-18
144,-6.983319e-18
145,-7.735471e-18
146,-8.359334e-18
147,-9.626977e-18
148,-1.0411408e-17
149,-1.1071607e-17
150,-1.21182034e-17
151,-1.28445424e-17
152,-1.3438091e-17
153,-1.4503285e-17
154,-1.5129565e-17
155,-1.5655566e-17
156,-1.7022753e-17
157,-1.7683495e-17
158,-1.825531e-17
159,-1.9662771e-17
160,-2.0336412e-17
161,-2.0902096e-17
162,-2.24125e-17
163,-2.3089355e-17
164,-2.3659253e-17
165,-2.5116474e-17
166,-2.5850946e-17
167,-2.6444898e-17
168,-2.8067902e-17
169,-2.872364e-17
170,-2.9287772e-17
171,-3.0832585e-17
172,-3.151241e-17
173,-3.2086088e-17
174,-3.3751967e-17
175,-3.436367e-17
176,-3.4907214e-17
177,-3.6512798e-17
178,-3.7009857e-17
179,-3.745552e-17
180,-3.9022917e-17
181,-3.9537777e-17
182,-3.998753e-17
183,-4.1542165e-17
184,-4.195777e-17
185,-4.23295e-17
186,-4.3868336e-17
187,-4.425968e-17
188,-4.4592093e-17
189,-4.6012123e-17
190,-4.627533e-17
191,-4.6475854e-17
192,-4.770119e-17
193,-4.7709194e-17
194,-4.7647933e-17
195,-4.8410725e-17
196,-4.7954952e-17
197,-4.742019e-17
198,-4.7517013e-17
199,-4.637686e-17
200,-4.5132245e-17
201,-4.4222945e-17
202,-4.204e-17
203,-3.9684135e-17
204,-3.7369975e-17
205,-3.367655e-17
206,-2.970746e-17
207,-2.5155798e-17
208,-1.9265667e-17
209,-1.2887666e-17
210,-5.1003018e-18
211,4.1317775e-18
212,1.4184447e-17
213,2.6747264e-17
214,4.1055002e-17
215,5.667392e-17
216,7.6342127e-17
217,9.803101e-17
218,1.2179327e-16
219,1.5149731e-16
220,1.8360654e-16
221,2.1881885e-16
222,2.6160718e-16
223,3.072111e-16
224,3.5710848e-16
225,4.1999393e-16
226,4.860603e-16
227,5.589915e-16
228,6.446673e-16
229,7.350738e-16
230,8.3399203e-16
231,9.487375e-16
232,1.0677924e-15
233,1.1971108e-15
234,1.3528117e-15
235,1.5126166e-15
236,1.6869318e-15
237,1.8835285e-15
238,2.0827136e-15
239,2.2984682e-15
240,2.5362282e-15
241,2.7740958e-15
242,3.031331e-15
243,3.3321999e-15
244,3.6315432e-15
245,3.9559704e-15
246,4.3246165e-15
247,4.6876845e-15
248,5.081994e-15
249,5.5196123e-15
250,5.9394293e-15
251,6.3951623e-15
252,6.9085875e-15
253,7.3938285e-15
254,7.92242e-15
255,8.53262e-15
256,9.099954e-15
257,9.719151e-15
258,1.0465518e-14
259,1.1150154e-14
260,1.1895902e-14
261,1.2792513e-14
262,1.35839055e-14
263,1.4437685e-14
264,1.548181e-14
265,1.636011e-14
266,1.7298771e-14
267,1.8507594e-14
268,1.9484251e-14
269,2.0519395e-14
270,2.1878715e-14
271,2.288079e-14
272,2.3918623e-14
273,2.5402025e-14
274,2.6365046e-14
275,2.7330604e-14
276,2.8870132e-14
277,2.97281e-14
278,3.0569653e-14
279,3.2011333e-14
280,3.2713425e-14
281,3.3431388e-14
282,3.4885025e-14
283,3.537341e-14
284,3.5845052e-14
285,3.729814e-14
286,3.7539084e-14
287,3.772924e-14
288,3.8956102e-14
289,3.902517e-14
290,3.910975e-14
291,4.0502337e-14
292,4.0340232e-14
293,4.011258e-14
294,4.1346114e-14
295,4.095095e-14
296,4.052741e-14
297,4.1618432e-14
298,4.1037726e-14
299,4.0474795e-14
300,4.169379e-14
301,4.1054945e-14
302,4.0427524e-14
303,4.1341578e-14
304,4.063803e-14
305,4.007906e-14
306,4.1316925e-14
307,4.058774e-14
308,3.9954354e-14
309,4.099203e-14
310,4.0468368e-14
311,4.014269e-14
312,4.1385298e-14
313,4.0891515e-14
314,4.0591316e-14
