,0
0,0.0
1,0.0
2,1e-45
3,4.843e-42
4,1.8853232e-38
5,1.851203e-36
6,-9.179957e-34
7,-8.10639e-32
8,-2.405605e-30
9,-3.340729e-29
10,-3.0520154e-28
11,-1.9041987e-27
12,-8.700805e-27
13,-3.357964e-26
14,-1.0968534e-25
15,-3.1017178e-25
16,-8.1314066e-25
17,-1.9630587e-24
18,-4.4011355e-24
19,-9.491284e-24
20,-1.9469762e-23
21,-3.8045698e-23
22,-7.268069e-23
23,-1.3357577e-22
24,-2.3582173e-22
25,-4.106026e-22
26,-6.890768e-22
27,-1.1064233e-21
28,-1.7636955e-21
29,-2.6954532e-21
30,-3.887969e-21
31,-5.5904368e-21
32,-7.55112e-21
33,-9.20378e-21
34,-1.1058442e-20
35,-1.1148349e-20
36,-6.0000463e-21
37,3.1207804e-21
38,2.4778156e-20
39,7.27705e-20
40,1.4284295e-19
41,2.631551e-19
42,4.7544403e-19
43,7.651571e-19
44,1.2075786e-18
45,1.8947074e-18
46,2.7867301e-18
47,4.047449e-18
48,5.83408e-18
49,8.051701e-18
50,1.0995871e-17
51,1.495259e-17
52,1.9689529e-17
53,2.5676594e-17
54,3.328676e-17
55,4.2132388e-17
56,5.2851848e-17
57,6.577376e-17
58,8.0479466e-17
59,9.766943e-17
60,1.1792763e-16
61,1.4082371e-16
62,1.6693751e-16
63,1.9767331e-16
64,2.3241462e-16
65,2.714336e-16
66,3.1688127e-16
67,3.6816263e-16
68,4.251385e-16
69,4.946646e-16
70,5.731133e-16
71,6.6011157e-16
72,7.7174045e-16
73,8.971326e-16
74,1.0361866e-15
75,1.2181154e-15
76,1.4199686e-15
77,1.6434999e-15
78,1.9393037e-15
79,2.2621497e-15
80,2.6185837e-15
81,3.0972094e-15
82,3.6105377e-15
83,4.1752202e-15
84,4.925618e-15
85,5.7163907e-15
86,6.581939e-15
87,7.719162e-15
88,8.8968055e-15
89,1.0178721e-14
90,1.1855976e-14
91,1.3564069e-14
92,1.5412769e-14
93,1.7831583e-14
94,2.025766e-14
95,2.2869476e-14
96,2.6239963e-14
97,2.9561826e-14
98,3.3111426e-14
99,3.76351e-14
100,4.199161e-14
101,4.6598474e-14
102,5.240112e-14
103,5.7819106e-14
104,6.346782e-14
105,7.053131e-14
106,7.684473e-14
107,8.330907e-14
108,9.16855e-14
109,9.877521e-14
110,1.0587894e-13
111,1.1528426e-13
112,1.2266482e-13
113,1.2986701e-13
114,1.3897519e-13
115,1.4519919e-13
116,1.5111415e-13
117,1.5936669e-13
118,1.6385785e-13
119,1.68021e-13
120,1.757774e-13
121,1.7878559e-13
122,1.8142326e-13
123,1.8840928e-13
124,1.8963123e-13
125,1.9051782e-13
126,1.965851e-13
127,1.9598605e-13
128,1.9522938e-13
129,2.0110126e-13
130,1.9929125e-13
131,1.9744257e-13
132,2.0396995e-13
133,2.0152033e-13
134,1.9896385e-13
135,2.0647286e-13
136,2.0370153e-13
137,2.0070856e-13
138,2.0754642e-13
139,2.0357897e-13
140,1.995186e-13
141,2.0608055e-13
142,2.0117664e-13
143,1.9635162e-13
144,2.0350847e-13
145,1.9832713e-13
146,1.9331018e-13
147,2.0093938e-13
148,1.9560903e-13
149,1.9058825e-13
150,1.9817272e-13
151,1.925289e-13
152,1.87432e-13
153,1.9482461e-13
154,1.8906156e-13
155,1.8413687e-13
156,1.9159561e-13
157,1.857536e-13
158,1.809376e-13
159,1.8811531e-13
160,1.821592e-13
161,1.7758685e-13
162,1.846169e-13
163,1.7882707e-13
164,1.7472147e-13
165,1.8198161e-13
166,1.7654079e-13
167,1.7291646e-13
168,1.807675e-13
169,1.7600416e-13
170,1.7310662e-13
171,1.8110441e-13
172,1.766599e-13
173,1.7423945e-13
174,1.8227131e-13
175,1.7814107e-13
176,1.761512e-13
177,1.8413134e-13
178,1.8030052e-13
179,1.7864921e-13
180,1.8654793e-13
181,1.8301823e-13
182,1.8172146e-13
183,1.9033687e-13
184,1.8744889e-13
185,1.8669674e-13
186,1.9619273e-13
187,1.9392014e-13
188,1.9356267e-13
189,2.0240014e-13
190,2.0000353e-13
191,1.9960758e-13
192,2.0736826e-13
193,2.04837e-13
194,2.0446435e-13
195,2.121455e-13
196,2.0993287e-13
197,2.0970893e-13
198,2.1726785e-13
199,2.1544574e-13
200,2.1547488e-13
201,2.227047e-13
202,2.2129892e-13
203,2.2163282e-13
204,2.286098e-13
205,2.2759076e-13
206,2.281633e-13
207,2.3578104e-13
208,2.355759e-13
209,2.3658354e-13
210,2.447314e-13
211,2.4531475e-13
212,2.4675677e-13
213,2.540039e-13
214,2.544495e-13
215,2.5574028e-13
216,2.620062e-13
217,2.6234074e-13
218,2.6360698e-13
219,2.7032513e-13
220,2.7161192e-13
221,2.736551e-13
222,2.8142907e-13
223,2.8414142e-13
224,2.8732946e-13
225,2.9612765e-13
226,3.002917e-13
227,3.0466236e-13
228,3.1288457e-13
229,3.1711726e-13
230,3.2155818e-13
231,3.289379e-13
232,3.329452e-13
233,3.3725193e-13
234,3.4429886e-13
235,3.484972e-13
236,3.530006e-13
237,3.6025024e-13
238,3.6514468e-13
239,3.7025835e-13
240,3.778393e-13
241,3.835134e-13
242,3.8934982e-13
243,3.9777223e-13
244,4.0456966e-13
245,4.11467e-13
246,4.2042146e-13
247,4.2817299e-13
248,4.3603193e-13
249,4.4539177e-13
250,4.5390381e-13
251,4.625606e-13
252,4.7308815e-13
253,4.830127e-13
254,4.9307065e-13
255,5.051157e-13
256,5.1676106e-13
257,5.285169e-13
258,5.415344e-13
259,5.543283e-13
260,5.6725783e-13
261,5.811496e-13
262,5.949296e-13
263,6.089195e-13
264,6.241778e-13
265,6.392147e-13
266,6.544171e-13
267,6.7108255e-13
268,6.8723087e-13
269,7.035163e-13
270,7.217202e-13
271,7.3893246e-13
272,7.5622126e-13
273,7.765061e-13
274,7.951183e-13
275,8.1379245e-13
276,8.356349e-13
277,8.549422e-13
278,8.7434183e-13
279,8.9646666e-13
280,9.147953e-13
281,9.331857e-13
282,9.56575e-13
283,9.743357e-13
284,9.920579e-13
285,1.0173575e-12
286,1.0348435e-12
287,1.0522904e-12
288,1.0805921e-12
289,1.0985146e-12
290,1.1163771e-12
291,1.1487243e-12
292,1.167392e-12
293,1.1857958e-12
294,1.2204925e-12
295,1.237354e-12
296,1.2538916e-12
297,1.2893947e-12
298,1.3022146e-12
299,1.3148586e-12
300,1.3540794e-12
301,1.3644433e-12
302,1.3745255e-12
303,1.4158051e-12
304,1.4216216e-12
305,1.427388e-12
306,1.4792643e-12
307,1.4854232e-12
308,1.4893057e-12
309,1.5428364e-12
310,1.5401143e-12
311,1.5344594e-12
312,1.5839645e-12
313,1.5672323e-12
314,1.5487416e-12
315,1.5972697e-12
316,1.5693679e-12
317,1.5408586e-12
318,1.5890012e-12
319,1.5512514e-12
