,0
0,-5.2027e-41
1,-5.189809e-35
2,-3.0993446e-32
3,2.1817138e-30
4,6.939337e-28
5,-1.7490835e-28
6,-7.266078e-27
7,5.278219e-26
8,-5.230675e-25
9,-3.517247e-26
10,-5.8587644e-25
11,-4.8739663e-25
12,-3.8424347e-25
13,-9.576478e-25
14,-1.1202861e-25
15,-1.2705306e-24
16,-3.0415244e-26
17,-1.5045834e-24
18,-1.5674369e-25
19,-1.3788147e-24
20,-2.9440252e-25
21,-1.0377708e-24
22,-3.4340264e-25
23,-7.2849515e-25
24,-3.3719366e-25
25,-2.2789768e-25
26,-2.8368045e-25
27,9.6619604e-26
28,-1.1642512e-25
29,2.763244e-25
30,5.698639e-26
31,3.6352066e-25
32,1.4343625e-25
33,1.8300604e-25
34,2.6205977e-25
35,1.173625e-25
36,5.649601e-25
37,-3.5064026e-26
38,5.840678e-25
39,-4.1095273e-25
40,6.158741e-25
41,-2.631747e-25
42,1.083038e-24
43,1.0903197e-25
44,1.0212388e-24
45,1.1386372e-24
46,8.173247e-25
47,-1.2938442e-25
48,1.7985047e-25
49,-4.79451e-24
50,1.1070046e-25
51,-7.079976e-24
52,-2.0318562e-24
53,-1.2224063e-23
54,-5.1504796e-24
55,1.1808666e-25
56,-9.75488e-24
57,2.859891e-23
58,-2.9546119e-24
59,2.0249035e-23
60,2.023553e-23
61,4.6290607e-23
62,4.4024942e-23
63,7.283048e-23
64,8.7576365e-23
65,4.8453165e-23
66,1.2042096e-22
67,8.629399e-23
68,1.3016026e-22
69,2.1796113e-22
70,2.0787996e-22
71,3.0572995e-22
72,4.0125015e-22
73,5.9570696e-22
74,6.1817655e-22
75,1.1866455e-21
76,1.1667622e-21
77,1.6958333e-21
78,2.1684837e-21
79,2.7006552e-21
80,3.0601018e-21
81,4.3931914e-21
82,4.777431e-21
83,5.7400934e-21
84,7.3784034e-21
85,8.25137e-21
86,9.2790964e-21
87,1.1356276e-20
88,1.1961953e-20
89,1.2802255e-20
90,1.4001357e-20
91,1.3826676e-20
92,1.3651517e-20
93,1.3279814e-20
94,1.1754573e-20
95,1.0295757e-20
96,8.31561e-21
97,5.939204e-21
98,4.009746e-21
99,1.8977662e-21
100,1.86802e-22
101,-9.783538e-22
102,-1.400196e-21
103,-1.8029207e-21
104,-2.183441e-21
105,-2.0538802e-21
106,-2.4510638e-21
107,-3.30153e-21
108,-3.8483693e-21
109,-4.8966548e-21
110,-6.2438723e-21
111,-7.658877e-21
112,-8.8009295e-21
113,-9.857821e-21
114,-1.1208611e-20
115,-1.1676485e-20
116,-1.1846068e-20
117,-1.2033283e-20
118,-1.1498774e-20
119,-1.0812889e-20
120,-1.0153717e-20
121,-8.999314e-21
122,-7.86305e-21
123,-6.7713526e-21
124,-5.4051935e-21
125,-4.1936417e-21
126,-3.0156695e-21
127,-1.9186634e-21
128,-1.1113383e-21
129,-4.1418396e-22
130,-5.959514e-24
131,1.6426968e-22
132,2.0802703e-22
133,1.0843801e-22
134,-4.656772e-23
135,-2.3783273e-22
136,-3.304525e-22
137,-4.027022e-22
138,-4.9659084e-22
139,-4.89412e-22
140,-5.5371043e-22
141,-7.297601e-22
142,-8.667153e-22
143,-1.1065544e-21
144,-1.4131561e-21
145,-1.6201073e-21
146,-1.8687048e-21
147,-2.0623422e-21
148,-2.1276762e-21
149,-2.1914904e-21
150,-2.1393976e-21
151,-2.0032976e-21
152,-1.880112e-21
153,-1.6135359e-21
154,-1.378935e-21
155,-1.2064715e-21
156,-9.162164e-22
157,-7.65137e-22
158,-6.776726e-22
159,-5.0101407e-22
160,-4.813103e-22
161,-4.790768e-22
162,-4.0213738e-22
163,-4.468633e-22
164,-4.765323e-22
165,-4.2512726e-22
166,-4.7732673e-22
167,-5.0438696e-22
168,-4.775061e-22
169,-5.239473e-22
170,-5.537082e-22
171,-5.372085e-22
172,-5.875258e-22
173,-6.146998e-22
174,-6.1713914e-22
175,-6.6641556e-22
176,-6.941846e-22
177,-7.0472325e-22
178,-7.4579975e-22
179,-7.6775937e-22
180,-7.734312e-22
181,-8.1109593e-22
182,-8.2720136e-22
183,-8.393871e-22
184,-8.787561e-22
185,-8.942704e-22
186,-9.18771e-22
187,-9.442924e-22
188,-9.629087e-22
189,-9.719376e-22
190,-9.918899e-22
191,-1.0182749e-21
192,-9.9844e-22
193,-1.0326764e-21
