,0
0,-5.2228e-41
1,-5.19269e-35
2,-3.0993272e-32
3,2.1869062e-30
4,6.943854e-28
5,-1.7680162e-28
6,-7.2371155e-27
7,5.2795946e-26
8,-5.233019e-25
9,-3.513165e-26
10,-5.8587546e-25
11,-4.868793e-25
12,-3.8438448e-25
13,-9.574397e-25
14,-1.1163024e-25
15,-1.2695011e-24
16,-3.024324e-26
17,-1.5041807e-24
18,-1.5664404e-25
19,-1.3790929e-24
20,-2.942256e-25
21,-1.0376813e-24
22,-3.4324472e-25
23,-7.280067e-25
24,-3.3721802e-25
25,-2.280609e-25
26,-2.8375337e-25
27,9.627243e-26
28,-1.1620378e-25
29,2.764718e-25
30,5.691206e-26
31,3.6382092e-25
32,1.4374934e-25
33,1.8290978e-25
34,2.6199096e-25
35,1.175378e-25
36,5.6483205e-25
37,-3.4924758e-26
38,5.842425e-25
39,-4.1083578e-25
40,6.159727e-25
41,-2.6310673e-25
42,1.0835614e-24
43,1.0902466e-25
44,1.021559e-24
45,1.1363601e-24
46,8.182135e-25
47,-1.2951029e-25
48,1.811758e-25
49,-4.791992e-24
50,1.1095048e-25
51,-7.05013e-24
52,-2.0248732e-24
53,-1.2225118e-23
54,-5.148299e-24
55,1.239406e-25
56,-9.763275e-24
57,2.8651942e-23
58,-2.9661383e-24
59,2.0224122e-23
60,2.0224571e-23
61,4.637109e-23
62,4.3969422e-23
63,7.284433e-23
64,8.7539295e-23
65,4.8432718e-23
66,1.2044497e-22
67,8.628924e-23
68,1.301563e-22
69,2.1795737e-22
70,2.0777323e-22
71,3.0569271e-22
72,4.0112653e-22
73,5.9567894e-22
74,6.184611e-22
75,1.1869249e-21
76,1.1664459e-21
77,1.6956173e-21
78,2.168071e-21
79,2.700852e-21
80,3.0592477e-21
81,4.3942904e-21
82,4.7774596e-21
83,5.740815e-21
84,7.3785456e-21
85,8.2524974e-21
86,9.28056e-21
87,1.1355613e-20
88,1.19622845e-20
89,1.2800536e-20
90,1.400542e-20
91,1.3828476e-20
92,1.3651375e-20
93,1.3280971e-20
94,1.17558085e-20
95,1.02975206e-20
96,8.315533e-21
97,5.940086e-21
98,4.010249e-21
99,1.8983745e-21
100,1.8707929e-22
101,-9.785422e-22
102,-1.4007636e-21
103,-1.802112e-21
104,-2.1838849e-21
105,-2.054672e-21
106,-2.4504808e-21
107,-3.3014826e-21
108,-3.8478835e-21
109,-4.895717e-21
110,-6.2431533e-21
111,-7.65747e-21
112,-8.801543e-21
113,-9.859091e-21
114,-1.1208573e-20
115,-1.1676767e-20
116,-1.1846828e-20
117,-1.2032842e-20
118,-1.14997016e-20
119,-1.08134405e-20
120,-1.0154395e-20
121,-8.998976e-21
122,-7.863008e-21
123,-6.7710666e-21
124,-5.4053486e-21
125,-4.1935682e-21
126,-3.0154584e-21
127,-1.918942e-21
128,-1.1113296e-21
129,-4.1418628e-22
130,-5.9161937e-24
131,1.6424679e-22
132,2.0802965e-22
133,1.0838106e-22
134,-4.6649103e-23
135,-2.3794307e-22
136,-3.3057573e-22
137,-4.0283996e-22
138,-4.967874e-22
139,-4.8958707e-22
140,-5.538972e-22
141,-7.3001087e-22
142,-8.669553e-22
143,-1.106762e-21
144,-1.4133669e-21
145,-1.6203699e-21
146,-1.868962e-21
147,-2.0625518e-21
148,-2.127857e-21
149,-2.1915963e-21
150,-2.1396133e-21
151,-2.0033612e-21
152,-1.8801872e-21
153,-1.6136655e-21
154,-1.3789256e-21
155,-1.206575e-21
156,-9.162704e-22
157,-7.6519685e-22
158,-6.777606e-22
159,-5.0106915e-22
160,-4.813644e-22
161,-4.791843e-22
162,-4.0223975e-22
163,-4.4693885e-22
164,-4.766046e-22
165,-4.251566e-22
166,-4.7737177e-22
167,-5.0444643e-22
168,-4.7758033e-22
169,-5.240254e-22
170,-5.5381504e-22
171,-5.3730056e-22
172,-5.876336e-22
173,-6.1477124e-22
174,-6.1728303e-22
175,-6.665958e-22
176,-6.943181e-22
177,-7.049233e-22
178,-7.4593743e-22
179,-7.680026e-22
180,-7.737281e-22
181,-8.1140365e-22
182,-8.2747263e-22
183,-8.395993e-22
184,-8.790203e-22
185,-8.944656e-22
186,-9.189221e-22
187,-9.444965e-22
188,-9.631085e-22
189,-9.721339e-22
190,-9.920871e-22
191,-1.0183584e-21
192,-9.985265e-22
193,-1.0326877e-21
194,-1.0634226e-21
195,-1.0260116e-21
196,-1.0556939e-21
197,-1.0870598e-21
198,-1.0478696e-21
199,-1.0598009e-21
200,-1.0872751e-21
201,-1.0603199e-21
202,-1.061239e-21
203,-1.0965897e-21
204,-1.0843249e-21
205,-1.0862573e-21
206,-1.1289139e-21
207,-1.1131494e-21
208,-1.1001913e-21
209,-1.1461329e-21
210,-1.0941898e-21
211,-1.0201179e-21
212,-1.085616e-21
213,-1.038753e-21
214,-1.0383526e-21
215,-1.0888944e-21
216,-1.0626717e-21
217,-1.0683616e-21
218,-1.1186745e-21
219,-1.092251e-21
220,-1.1063256e-21
221,-1.1464391e-21
222,-1.1242741e-21
223,-1.1370885e-21
224,-1.1740312e-21
225,-1.142315e-21
226,-1.1347281e-21
227,-1.1683363e-21
