,0
0,3.0478947
1,2.481633
2,1.9999882
3,1.5816803
4,1.2356536
5,0.92798537
6,0.7532432
7,0.6297652
8,0.53442
9,0.46294007
10,0.41014677
11,0.364285
12,0.32894295
13,0.29759464
14,0.2693865
15,0.24524736
16,0.22537841
17,0.20730887
18,0.19164373
19,0.17856093
20,0.16655919
21,0.15592265
22,0.14711277
23,0.13895929
24,0.13537422
25,0.1292609
26,0.1235393
27,0.11901516
28,0.114638336
29,0.11049482
30,0.10897737
31,0.105719075
32,0.10259817
33,0.10081689
34,0.0982956
35,0.095855385
36,0.095102005
37,0.09308445
38,0.091113165
39,0.091883585
40,0.09021852
41,0.088583805
42,0.08903358
43,0.08755156
44,0.08609962
45,0.08490045
46,0.083673
47,0.082463875
48,0.08070469
49,0.07964259
50,0.07859366
51,0.07973868
52,0.0787891
53,0.07786071
54,0.076804504
55,0.07595635
56,0.075131506
57,0.07462224
58,0.07383785
59,0.07308642
60,0.07284976
61,0.072109066
62,0.07141139
63,0.069667265
64,0.0690159
65,0.06840054
66,0.06794147
67,0.06730154
68,0.0667088
69,0.06695699
70,0.06629059
71,0.06570069
72,0.06612993
73,0.065481864
74,0.06490795
75,0.064949736
76,0.064347796
77,0.0638108
78,0.065634586
79,0.06494747
80,0.06435824
81,0.066038415
82,0.06526636
83,0.064621896
84,0.067702144
85,0.06688662
86,0.06618337
87,0.069407
88,0.06854733
89,0.06781699
90,0.06954254
91,0.06862271
92,0.067863084
93,0.071407005
94,0.070530675
95,0.069780976
96,0.07202485
97,0.071072176
98,0.07028061
99,0.07559897
100,0.074671425
101,0.07388681
102,0.073084824
103,0.07226441
104,0.07155211
105,0.07828537
106,0.07733747
107,0.076537944
108,0.079318054
109,0.078383476
110,0.07758075
111,0.084524095
112,0.083593994
113,0.08276714
114,0.08460325
115,0.08359552
116,0.082735434
117,0.08981924
118,0.0888171
119,0.08794113
120,0.08647592
121,0.085518874
122,0.08468711
123,0.09159979
124,0.090693854
125,0.089893
126,0.0924244
127,0.091552034
128,0.090775624
129,0.095940694
130,0.095116034
131,0.09437035
132,0.105406545
133,0.10460422
134,0.10387984
135,0.110197015
136,0.109394334
137,0.10868675
138,0.11034971
139,0.10966435
140,0.10903987
141,0.11235686
142,0.111706324
143,0.111121535
144,0.11366908
145,0.113069005
146,0.11252691
147,0.11690626
148,0.11637294
149,0.115885034
150,0.11465147
151,0.114142306
152,0.113685966
153,0.11611031
154,0.11564034
155,0.11520974
156,0.11982754
157,0.1194178
158,0.11903376
159,0.12510294
160,0.12471345
161,0.12435161
162,0.13043323
163,0.13006125
164,0.12971349
165,0.12562115
166,0.12526664
167,0.12493706
168,0.13167383
169,0.13133891
170,0.13101779
171,0.12490549
172,0.1245721
173,0.12425962
174,0.13001367
175,0.12969619
176,0.1293899
177,0.13891563
178,0.13858263
179,0.13825954
180,0.13416749
181,0.13382415
182,0.13349749
183,0.13700782
184,0.13666081
185,0.13632411
186,0.13790093
187,0.13754177
188,0.13719174
189,0.13581033
190,0.13543837
191,0.13507614
192,0.13476455
193,0.1343711
194,0.13398838
195,0.13356559
196,0.13315679
197,0.13275914
198,0.1322396
199,0.13181187
200,0.13139454
201,0.1340725
202,0.13361032
203,0.1331589
204,0.13618793
205,0.13566135
206,0.13514693
207,0.13115688
208,0.1306371
209,0.1301272
210,0.1280578
211,0.12753655
212,0.12702304
213,0.1263073
214,0.12576595
215,0.12522855
216,0.12614797
217,0.12556228
218,0.12498069
219,0.12663554
220,0.12597544
221,0.12532257
222,0.12848999
223,0.12772326
224,0.12696986
225,0.12083498
226,0.12010918
227,0.119404435
228,0.12242401
229,0.12160171
230,0.12080122
231,0.12454749
232,0.12359237
233,0.12267164
234,0.11960417
235,0.11867996
236,0.117801145
237,0.11875356
238,0.117743105
239,0.11679232
240,0.11846079
241,0.11737183
242,0.11635996
243,0.114324965
244,0.11331993
245,0.11239237
246,0.11228769
247,0.11131483
248,0.110418305
249,0.1123434
250,0.111350834
251,0.11043635
252,0.111368135
253,0.11039134
254,0.10949001
255,0.10889669
256,0.107963555
257,0.10709803
258,0.10540886
259,0.10454037
260,0.10372803
261,0.10437565
262,0.10351166
263,0.10269762
264,0.101702236
265,0.10085347
266,0.100049645
267,0.097667076
268,0.09685401
269,0.09607983
270,0.0965015
271,0.0956939
272,0.09492196
273,0.0952675
274,0.09446165
275,0.093690276
276,0.09279314
277,0.09199957
278,0.091242835
279,0.08779324
280,0.08704168
281,0.086329475
282,0.086992286
283,0.086252764
284,0.08555387
285,0.087775044
286,0.08701214
287,0.08629495
288,0.08199827
289,0.081252016
290,0.08056072
291,0.082931556
292,0.082148686
293,0.081431724
294,0.08142596
295,0.08058881
296,0.079835676
297,0.08044208
298,0.07954486
299,0.07874614
300,0.07994171
301,0.07904914
302,0.07826216
303,0.07417844
304,0.07332122
305,0.0725742
306,0.07862608
307,0.07769119
308,0.07688426
309,0.070842944
310,0.06998315
311,0.06925961
312,0.0707436
313,0.06991764
314,0.06922029
315,0.07260709
316,0.07175556
317,0.071035005
318,0.07113382
319,0.070309184
320,0.069606565
321,0.071432635
322,0.07056665
323,0.06983734
324,0.07266074
325,0.071716234
326,0.07093168
327,0.07133962
328,0.070410274
329,0.069642104
330,0.078374326
331,0.077313475
332,0.07644934
333,0.07296874
334,0.07214888
335,0.071446225
336,0.073559314
337,0.07260237
338,0.0718264
339,0.077593416
340,0.07655269
341,0.075726196
342,0.077065535
343,0.07626626
344,0.07559316
345,0.080362484
346,0.07952056
347,0.07882853
348,0.08054737
349,0.079777405
350,0.079142645
351,0.07968441
352,0.07896301
353,0.078373566
354,0.07882688
355,0.07819447
356,0.07767367
357,0.079339355
358,0.07876111
359,0.07828528
360,0.0815929
361,0.0810255
362,0.08056702
363,0.08124879
364,0.08073604
365,0.08032078
366,0.08092586
367,0.08048509
368,0.0801228
369,0.08050569
370,0.08011798
371,0.07979729
372,0.08249586
373,0.08220267
374,0.08194941
375,0.07729232
376,0.07703385
377,0.07680925
378,0.07751633
379,0.07729434
380,0.07709914
381,0.07440453
382,0.074187584
383,0.07400043
384,0.07516221
385,0.07498035
386,0.07481889
387,0.07381576
388,0.07366187
389,0.07352125
390,0.071759544
391,0.071611755
392,0.071476586
393,0.069667734
394,0.06950861
395,0.06936577
396,0.06769253
397,0.06756472
398,0.06744468
399,0.06692315
400,0.0667959
401,0.06667614
402,0.0665389
403,0.066409074
404,0.06628627
405,0.0649314
406,0.06479776
407,0.064670056
408,0.062310964
409,0.062172227
410,0.062037714
411,0.058907766
412,0.058768585
413,0.058632363
414,0.057742823
415,0.057595257
416,0.057450145
417,0.052591186
418,0.052427754
419,0.05226829
420,0.05169905
421,0.051524337
422,0.051353063
423,0.050574083
424,0.05038203
425,0.050194174
426,0.048210446
427,0.048006497
428,0.047806874
429,0.04539298
430,0.045178775
431,0.04496985
432,0.043196768
433,0.042972848
434,0.042754654
435,0.042061906
436,0.04182973
437,0.041603476
438,0.040560238
439,0.040327463
440,0.040101625
441,0.039316457
442,0.03908794
443,0.038866505
444,0.038582515
445,0.038343303
446,0.03811412
447,0.03806498
448,0.037818544
449,0.03758342
450,0.037913505
451,0.037665565
452,0.037430216
453,0.038038168
454,0.03778022
455,0.037537877
456,0.03765145
457,0.037384104
458,0.037134588
459,0.03840507
460,0.03811783
461,0.037850466
462,0.039419487
463,0.039098978
464,0.03880243
465,0.0404608
466,0.040115155
467,0.03979532
468,0.041234437
469,0.040864617
470,0.04052065
471,0.042070072
472,0.04166457
473,0.04128573
474,0.04328661
475,0.04284672
476,0.04242972
477,0.044379957
478,0.043891333
479,0.043422103
480,0.045018964
481,0.044469282
482,0.043936815
483,0.045311756
484,0.044694763
485,0.044097405
486,0.04556612
487,0.04488575
488,0.04422856
489,0.045992147
490,0.045250956
491,0.044538777
492,0.04611694
493,0.045329653
494,0.044581782
495,0.045719985
496,0.04493233
497,0.044193417
498,0.04562292
499,0.044844598
500,0.044122666
501,0.04496491
502,0.044227522
503,0.043550182
504,0.044112153
505,0.04342854
506,0.042805694
507,0.043515474
508,0.04289484
509,0.042333007
510,0.042917807
511,0.042361815
512,0.041861244
513,0.041969646
514,0.041481394
515,0.041043032
516,0.041344006
517,0.040893327
518,0.040492803
519,0.041462764
520,0.04100013
521,0.040596437
522,0.042698115
523,0.042144787
524,0.041676335
525,0.043875787
526,0.04322368
527,0.042682953
528,0.04467808
529,0.043977737
530,0.04340067
531,0.044789568
532,0.044117652
533,0.043566052
534,0.044701517
535,0.044062775
536,0.043547932
537,0.04448845
538,0.043851055
539,0.043349195
540,0.044229634
541,0.04360822
542,0.04312495
543,0.044247504
544,0.04367038
545,0.043220628
546,0.044354048
547,0.043815657
548,0.04339569
549,0.04534108
550,0.0448053
551,0.04439413
552,0.047464434
553,0.04687717
554,0.046437517
555,0.049225226
556,0.04861423
557,0.048160736
558,0.049194813
559,0.04871238
560,0.048342027
561,0.049502406
562,0.049024556
563,0.04866861
564,0.050221883
565,0.049748275
566,0.04940339
567,0.05305122
568,0.05245325
569,0.052043684
570,0.05401899
571,0.053686578
572,0.053431515
573,0.054539405
574,0.05423292
575,0.0540014
576,0.056024395
577,0.05572101
578,0.055497676
579,0.057937004
580,0.057655733
581,0.057449263
582,0.0589075
583,0.058672942
584,0.05849691
585,0.059832625
586,0.059634708
587,0.059483986
588,0.06150689
589,0.061338156
590,0.06120688
591,0.062341746
592,0.062195837
593,0.062080022
594,0.06250543
595,0.06236626
596,0.062256116
597,0.06375246
598,0.06362211
599,0.06351746
600,0.06508708
601,0.06496602
602,0.06486673
603,0.066557616
604,0.066435784
605,0.066334575
606,0.067051195
607,0.06693215
608,0.06683042
609,0.067113996
610,0.06700015
611,0.066898465
612,0.06833247
613,0.06821198
614,0.06810179
615,0.06953713
616,0.06940158
617,0.06927681
618,0.06945348
619,0.069302306
620,0.06916198
621,0.06948821
622,0.06932291
623,0.06916639
624,0.0707721
625,0.07058745
626,0.07041086
627,0.07276351
628,0.07255526
629,0.07235563
630,0.07110218
631,0.07087437
632,0.070654035
633,0.071039625
634,0.07078683
635,0.07054114
636,0.07042746
637,0.070154615
638,0.069889076
639,0.06956373
640,0.06927295
641,0.06898873
642,0.06956537
643,0.069248244
644,0.0689377
645,0.070106745
646,0.069760606
647,0.06942228
648,0.07065043
649,0.07027939
650,0.0699183
651,0.07123507
652,0.07085059
653,0.070476666
654,0.070722304
655,0.07032261
656,0.06993492
657,0.07003625
658,0.06962233
659,0.06922304
660,0.070536405
661,0.07010438
662,0.06969053
663,0.0716852
664,0.07123489
665,0.07080503
666,0.07268715
667,0.072218485
668,0.07177311
669,0.0727816
670,0.0723017
671,0.07184893
672,0.07284499
673,0.07235991
674,0.071904615
675,0.07337612
676,0.07288261
677,0.07241914
678,0.07467033
679,0.07415059
680,0.0736617
681,0.07592261
682,0.07537405
683,0.074857794
684,0.07698772
685,0.07641804
686,0.07587922
687,0.07752317
688,0.07693028
689,0.076367356
690,0.07814449
691,0.07752023
692,0.07692642
693,0.07827014
694,0.07760975
695,0.07698208
696,0.07852618
697,0.07783238
698,0.07717192
699,0.07894086
700,0.07820854
701,0.07751255
702,0.07909162
703,0.07833999
704,0.07762816
705,0.07990656
706,0.07909633
707,0.07833374
708,0.0797105
709,0.07891719
710,0.07817409
711,0.080676965
712,0.07985447
713,0.07908888
714,0.08137125
715,0.080500714
716,0.07970067
717,0.08188325
718,0.08096341
719,0.08012665
720,0.08316341
721,0.08214823
722,0.081235155
723,0.08150717
724,0.08056157
725,0.07971433
726,0.08042766
727,0.07951349
728,0.07870237
729,0.07836554
730,0.07753853
731,0.07682603
732,0.07808987
733,0.07724583
734,0.07653137
735,0.07807246
736,0.077208154
737,0.07648179
738,0.079818614
739,0.078908615
740,0.07815156
741,0.08163128
742,0.08067772
743,0.07989626
744,0.08236583
745,0.08142435
746,0.08065425
747,0.08251267
748,0.08160804
749,0.08086971
750,0.08289573
751,0.08199525
752,0.081277035
753,0.0831916
754,0.08228397
755,0.08157747
756,0.08256557
757,0.08172575
758,0.08107286
759,0.08395421
760,0.08314153
761,0.0825172
762,0.08543064
763,0.08467165
764,0.08408788
765,0.08708726
766,0.08640136
767,0.08586931
768,0.08651282
769,0.085904144
770,0.08543278
771,0.08709582
772,0.08657048
773,0.08615981
774,0.08788236
775,0.087410636
776,0.08704385
777,0.0890216
778,0.0885525
779,0.088201165
780,0.08934833
781,0.08894977
782,0.08864665
783,0.08910846
784,0.08880275
785,0.08855856
786,0.088022314
787,0.087727726
788,0.08749956
789,0.091148004
790,0.09079418
791,0.090532765
792,0.0909842
793,0.09071035
794,0.09049372
795,0.09481051
796,0.094532
797,0.09431093
798,0.090373956
799,0.090175614
800,0.09000678
801,0.08599564
802,0.08583959
803,0.08570062
