,0
0,14.3618145
1,14.227755
2,14.082254
3,13.931599
4,13.756575
5,13.593405
6,13.466722
7,13.335264
8,13.210701
9,13.0988
10,12.9829235
11,12.8693905
12,12.761413
13,12.6459465
14,12.529903
15,12.418136
16,12.3010235
17,12.185462
18,12.075966
19,11.964438
20,11.85663
21,11.755541
22,11.654224
23,11.557171
24,11.466171
25,11.375436
26,11.288604
27,11.206833
28,11.125359
29,11.047251
30,10.973347
31,10.899607
32,10.828719
33,10.761544
34,10.6943865
35,10.629625
36,10.568153
37,10.506505
38,10.446828
39,10.389801
40,10.332359
41,10.276546
42,10.222944
43,10.1687
44,10.1158
45,10.064941
46,10.013262
47,9.96271
48,9.914175
49,9.864649
50,9.816091
51,9.769495
52,9.721754
53,9.674845
54,9.629855
55,9.583639
56,9.538177
57,9.494625
58,9.44981
59,9.405697
60,9.363513
61,9.320007
62,9.277166
63,9.23634
64,9.194193
65,9.152686
66,9.113267
67,9.072591
68,9.032542
69,8.994535
70,8.955292
71,8.916656
72,8.879858
73,8.841937
74,8.804611
75,8.769152
76,8.732701
77,8.696863
78,8.662892
79,8.628149
80,8.594048
81,8.561834
82,8.529145
83,8.497147
84,8.466957
85,8.436694
86,8.4071665
87,8.37959
88,8.352337
89,8.325849
90,8.3013735
91,8.277669
92,8.254693
93,8.233638
94,8.213682
95,8.194306
96,8.177012
97,8.161028
98,8.145416
99,8.1316805
100,8.1193075
101,8.107083
102,8.096428
103,8.087241
104,8.07797
105,8.069921
106,8.063495
107,8.056846
108,8.050148
109,8.045415
110,8.040525
111,8.034959
112,8.031867
113,8.028631
114,8.025371
115,8.024866
116,8.024015
117,8.022285
118,8.023643
119,8.024612
120,8.023291
121,8.0257
122,8.027751
123,8.027253
124,8.031076
125,8.034406
126,8.034431
127,8.0394
128,8.04369
129,8.043615
130,8.049528
131,8.054639
132,8.054304
133,8.060684
134,8.066316
135,8.064721
136,8.071203
137,8.076688
138,8.074468
139,8.080793
140,8.085833
141,8.082908
142,8.089329
143,8.0941305
144,8.090296
145,8.096536
146,8.101205
147,8.0962715
148,8.102125
149,8.106548
150,8.1010895
151,8.107164
152,8.111383
153,8.105244
154,8.110642
155,8.114274
156,8.10735
157,8.112633
158,8.115631
159,8.108036
160,8.112617
161,8.114813
162,8.106395
163,8.11017
164,8.111378
165,8.101993
166,8.1048975
167,8.105187
168,8.0940275
169,8.0952215
170,8.093844
171,8.081617
172,8.081516
173,8.07881
174,8.06573
175,8.0644045
176,8.060474
177,8.046492
178,8.043901
179,8.038769
180,8.024103
181,8.020376
182,8.014186
183,7.998953
184,7.994329
185,7.9873405
186,7.971744
187,7.9664536
188,7.9589863
189,7.9434566
190,7.937543
191,7.9295635
192,7.9136744
193,7.9063044
194,7.897023
195,7.8807154
196,7.8720307
197,7.861743
198,7.844955
199,7.835164
200,7.8239765
201,7.8067613
202,7.7958083
203,7.783691
204,7.766355
205,7.7545066
206,7.7417016
207,7.724544
208,7.7122927
209,7.699239
210,7.6819983
211,7.6691065
212,7.655585
213,7.638807
214,7.6255274
215,7.6117864
216,7.59536
217,7.5819516
218,7.568035
219,7.551844
220,7.5382295
221,7.5242157
222,7.508239
223,7.494387
224,7.4802966
225,7.4645667
226,7.4504695
227,7.4362917
228,7.4213924
229,7.407768
230,7.393991
231,7.3799253
232,7.3667874
233,7.353489
234,7.3402586
235,7.327646
236,7.3148594
237,7.302719
238,7.2908225
239,7.278757
240,7.2673607
241,7.256025
242,7.2444887
243,7.2339196
244,7.2231026
245,7.212217
246,7.2022076
247,7.191966
248,7.1814814
249,7.1722465
250,7.162531
251,7.1526427
252,7.144417
253,7.1355553
254,7.126513
255,7.119471
256,7.1116247
257,7.103629
258,7.097236
259,7.0901127
260,7.0828285
261,7.0768003
262,7.070317
263,7.063479
264,7.058664
265,7.0532346
266,7.0476356
267,7.043942
268,7.0398865
269,7.0355453
270,7.0329857
271,7.0301714
272,7.027159
273,7.025426
274,7.023812
275,7.02195
276,7.020954
277,7.0204964
278,7.0197816
279,7.020194
280,7.0214305
281,7.022457
282,7.0243444
283,7.0272613
284,7.029993
285,7.0328298
286,7.037086
287,7.0410743
288,7.0446224
289,7.050115
290,7.0551248
291,7.059189
292,7.06558
293,7.0714293
294,7.075983
295,7.083237
296,7.089955
297,7.0952635
298,7.10367
299,7.111469
300,7.117134
301,7.126394
302,7.135026
303,7.1410537
304,7.151085
305,7.160458
306,7.1664295
307,7.1769333
308,7.186706
309,7.1924186
310,7.203469
311,7.213538
312,7.219503
313,7.231118
314,7.2417417
315,7.247781
316,7.2600937
317,7.2711287
318,7.2766337
319,7.2892933
320,7.3002505
321,7.304692
322,7.3167424
323,7.3270307
324,7.3304343
325,7.341881
326,7.351387
327,7.35366
328,7.3648314
329,7.373735
330,7.374778
331,7.3856435
332,7.394144
333,7.3941846
334,7.404462
335,7.412382
336,7.4121356
337,7.4232516
338,7.431301
339,7.430802
340,7.4417224
341,7.449596
342,7.447621
343,7.4585447
344,7.4663563
345,7.463543
346,7.4737244
347,7.4809303
348,7.4773073
